▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
アイメガネ与野本町店コンタクトレンズセンター,338-0003,埼玉県,さいたま市中央区,本町東1丁目6-3,048-852-0001,048-840-1611,http://www.aimegane.com/,生活用品,
メガネのアイ与野イオン店,338-0004,埼玉県,さいたま市中央区,本町西5丁目2-9,048-851-0001,N.A.,http://www.aimegane.com/,生活用品,
中嶋自動車工業株式会社,338-0004,埼玉県,さいたま市中央区,本町西5-5-7,048-855-0008,N.A.,http://www.nac-town.co.jp/,その他サービス,
さいたま新都心郵便局／郵便集荷,330-0081,埼玉県,さいたま市中央区,新都心3-1,048-600-0015,048-601-0038,http://map.japanpost.jp/,金融・郵貯・貸金,
株式会社ベルシステム24RMCさいたま,330-0081,埼玉県,さいたま市中央区,新都心11-2,048-600-0024,N.A.,https://www.bell24.co.jp/ja/,アウトソーシング,
日本和装さいたま局,330-6023,埼玉県,さいたま市中央区,新都心11-2,048-600-0031,048-600-0032,http://www.wasou.com/,その他,
きっずえんじぇる新都心店,338-0001,埼玉県,さいたま市中央区,上落合2丁目5-26,048-855-0033,048-710-5567,http://kids-angel.jp/,リサイクルショップ,
株式会社オカモト,N.A.,埼玉県,さいたま市中央区,上峰1-11-16,048-853-0044,N.A.,http://www.ok-okamoto.jp/,製造・加工（電子・精密機械器具）,
岩盤浴トルマリーナ,338-0012,埼玉県,さいたま市中央区,大戸1丁目34-10,048-859-0045,048-859-0040,http://www.eco-academyclub.com/,観光・温泉・銭湯,
株式会社田中商事,338-0006,埼玉県,さいたま市中央区,八王子5丁目14-23,048-855-0055,03-3765-5216,http://www.tanakashoji.co.jp/,不動産,
スターバックスコーヒー／さいたま新都心店,330-0081,埼玉県,さいたま市中央区,新都心10,048-601-0057,048-600-0515,http://www.starbucks.co.jp/,喫茶店・カフェ,
株式会社財務工房,338-0003,埼玉県,さいたま市中央区,本町東5丁目5-7,048-853-0066,048-853-0600,http://www.komonzeirishi.com/,士業・コンサルタント,
車検のコバック与野店,338-0001,埼玉県,さいたま市中央区,上落合4丁目1-24,048-851-0066,048-856-2730,http://kobac410.com/,車検・整備・修理,
エコ・アカデミークラブ,338-0012,埼玉県,さいたま市中央区,大戸1丁目34-10,048-859-0070,048-859-0040,http://www.eco-academyclub.com/,健康グッズ,
株式会社デルフィ,338-0014,埼玉県,さいたま市中央区,上峰2丁目9-21,048-678-0070,048-699-7085,http://www.derufyi.com/,IT・情報通信,
藤岡防災設備株式会社,338-0006,埼玉県,さいたま市中央区,八王子1-5-2,048-853-0080,048-853-9701,http://nittan-fts.com/,水道・ガス・電力,
株式会社新幸,N.A.,埼玉県,さいたま市中央区,下落合3-7-9西友内,048-832-0081,N.A.,http://www.cl-shinko.co.jp/,その他サービス,
杵屋さいたま新都心店,330-0081,埼玉県,さいたま市中央区,新都心10,048-601-0088,N.A.,http://www.gourmet-kineya.co.jp/,そば・うどん,
新都心皮フ科クリニック,330-0081,埼玉県,さいたま市中央区,新都心10,048-600-0088,048-600-0098,http://hifuka.cc/,外科系,
鈴木こどもクリニック,338-0013,埼玉県,さいたま市中央区,鈴谷5-14-20,048-840-0088,N.A.,http://www.myclinic.ne.jp/,医院・診療所・療養所,
バーミヤン／与野本町店,338-0004,埼玉県,さいたま市中央区,本町西4丁目10-3,048-851-0089,048-644-2481,http://www.skylark.co.jp/,レストラン,
関東農政局／食品表示110番,330-0081,埼玉県,さいたま市中央区,新都心2-1,048-740-0090,048-601-0548,http://www.maff.go.jp/,官公署,
まこと歯科クリニック,338-0002,埼玉県,さいたま市中央区,下落合6-11-16,048-851-0101,N.A.,http://www.makoto-dc.com/,医院・診療所・療養所,
さいたま市立／与野西北小学校,338-0007,埼玉県,さいたま市中央区,円阿弥4丁目3-7,048-853-0109,048-853-6110,http://yonoseihoku-e.saitama-city.ed.jp/,小・中・高・大学等,
埼玉県／警察署／浦和西警察署,338-0014,埼玉県,さいたま市中央区,上峰3丁目4-1,048-854-0110,048-824-7345,http://www.pref.saitama.lg.jp/,消防・警察,
かのん動物病院,338-0002,埼玉県,さいたま市中央区,下落合6丁目14-7,048-858-0111,048-858-0117,http://kanon-ah.com/,専門サービス業,
霧笛屋さいたま新都心店,330-0081,埼玉県,さいたま市中央区,新都心10,048-600-0116,048-600-0117,http://www.danke-bros.co.jp/,飲み屋,
埼玉スバル自動車株式会社／本社,338-0001,埼玉県,さいたま市中央区,上落合8丁目4-11,048-852-0131,048-852-0102,http://www.saitama-subaru.co.jp/,自動車販売,
埼玉スバル自動車株式会社与野店／営業部,338-0001,埼玉県,さいたま市中央区,上落合8丁目4-11,048-852-0133,048-852-1555,http://www.saitama-subaru.co.jp/,自動車販売,
さいたま市立／与野南小学校,338-0012,埼玉県,さいたま市中央区,大戸6丁目2-25,048-831-0157,048-831-0122,http://yonominami-e.saitama-city.ed.jp/,小・中・高・大学等,
関東六県電気工事業厚生年金基金,338-0013,埼玉県,さいたま市中央区,鈴谷4丁目10-5,048-856-0161,048-856-0163,http://www.kanrokukikin.com/,家電,
関東地方更生保護委員会,330-0081,埼玉県,さいたま市中央区,新都心2-1,048-600-0181,048-600-0192,http://www.moj.go.jp/,官公署,
司法書士中村事務所,338-0013,埼玉県,さいたま市中央区,鈴谷2丁目794,048-857-0201,050-3737-8470,http://www.shihou-nakamura.com/,士業・コンサルタント,
関東経済産業局／総務企画部／総務課／情報公開・政策評価室,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0205,N.A.,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／総務企画部／総務課／広報・情報システム室／情報システム担当,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0208,N.A.,http://www.kanto.meti.go.jp/,官公署,
株式会社エモーションプラス,338-0002,埼玉県,さいたま市中央区,下落合2丁目5-4-202,048-830-0211,N.A.,http://www.emotion-plus.net/,広告・マーケティング,
武蔵野総業株式会社,N.A.,埼玉県,さいたま市中央区,鈴谷2丁目794,048-857-0211,048-857-0215,http://www.yukadanbo.co.jp/,不動産,
関東経済産業局／総務企画部／総務課,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0213,048-601-1310,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／総務企画部／総務課／競争環境整備室,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0215,048-601-1310,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／総務企画部／総務課／広報・情報システム室／広報担当,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0216,048-601-1310,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／総務企画部／会計課,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0222,048-601-1283,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／総務企画部／企画課,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0232,048-601-1284,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／地域経済部／産業技術課,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0236,048-601-1287,http://www.kanto.meti.go.jp/,官公署,
株式会社タテイシ,N.A.,埼玉県,さいたま市中央区,鈴谷6-1-5,048-854-0239,N.A.,http://www.tateishi-web.com/,本,
関東経済産業局／地域経済部／産業技術課／特許室,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0239,048-601-1287,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／総務企画部／調査課,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0249,048-601-1285,http://www.kanto.meti.go.jp/,官公署,
関東経済産業局／地域経済部／地域経済課,330-0081,埼玉県,さいたま市中央区,新都心1-1,048-600-0253,048-601-1311,http://www.kanto.meti.go.jp/,官公署,
