▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
スタジオアリスLiPiイオンモールつがる柏店,038-3107,青森県,つがる市,柏稲盛幾世41-2F,050-5804-0886,06-6343-5600,http://www.studio-alice.co.jp/,写真・ビデオ・スライド,
有限会社石田建設,038-3165,青森県,つがる市,木造菊川植野9-2,0173-42-1043,0173-42-1012,http://www.bits-net.com/,建設業・工務店,
つがる市役所／教育委員会／文化課,038-3138,青森県,つがる市,木造若緑52,0173-49-1194,0173-42-3069,http://www.city.tsugaru.aomori.jp/,市区町村機関,
つがる市役所／ふれ愛センター,038-3157,青森県,つがる市,木造宮崎1-2,0173-42-1201,0173-42-3069,http://www.city.tsugaru.aomori.jp/,市区町村機関,
株式会社小山内,038-3102,青森県,つがる市,柏下古川鶴山89-10,0173-33-1220,0173-33-1433,http://www.kashiwayafudosan.com/,建設業・工務店,
つがる市木造福祉交流センター花しょうぶの館,038-3138,青森県,つがる市,木造若緑52,0173-42-1277,0173-42-3069,http://www.city.tsugaru.aomori.jp/,介護・福祉,
日産カーパレス柏,038-3102,青森県,つがる市,柏下古川絹森140,0173-38-1423,0173-35-8723,http://www.nissan.co.jp/,中古車・買取,
ドコモショップつがる柏店,038-3101,青森県,つがる市,柏鷺坂清留4-14,0173-38-1821,N.A.,https://www.nttdocomo.co.jp/,電話・通信,
つがるにしきた農業協同組合／柏支店,038-3104,青森県,つがる市,柏桑野木田幾世7-4,0173-25-2002,0173-46-2011,http://www.ja-aomori.or.jp/,組合・団体,
つがるにしきた農業協同組合／つがる支店／給油所,037-0104,青森県,つがる市,稲垣町豊川初瀬63-3,0173-46-2006,0173-46-2011,http://www.ja-aomori.or.jp/,組合・団体,
有限会社車力テック,038-3303,青森県,つがる市,車力町老森7-4,0173-56-2011,0173-56-2518,http://www.s-tec.jp/,製造・加工（電子・精密機械器具）,
つがる市立／柏中学校,038-3105,青森県,つがる市,柏広須福島82,0173-25-2021,0173-25-2027,http://www.city.tsugaru.aomori.jp/,小・中・高・大学等,
つがる市立／車力中学校,038-3303,青森県,つがる市,車力町屏風山1-214,0173-56-2023,0173-56-2236,http://www.city.tsugaru.aomori.jp/,小・中・高・大学等,
