▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
つくばみらい市立／板橋小学校,300-2307,茨城県,つくばみらい市,板橋2379,0297-58-0002,0297-58-0117,http://www.city.tsukubamirai.lg.jp/,小・中・高・大学等,
つくばみらい市立／小張小学校,300-2353,茨城県,つくばみらい市,小張1661,0297-58-0003,0297-58-0299,http://www.city.tsukubamirai.lg.jp/,小・中・高・大学等,
株式会社セレクトホーム,300-2436,茨城県,つくばみらい市,絹の台2丁目18-1,0297-34-0010,0297-34-0012,http://www.select-home.co.jp/,総合・職別工事業,
つくばみらい市立／わかくさ幼稚園,300-2307,茨城県,つくばみらい市,板橋3023-1,0297-58-0014,0297-58-5611,http://www.city.tsukubamirai.lg.jp/,幼稚園・保育施設,
おおいわ歯科医院,300-2421,茨城県,つくばみらい市,西丸山159-1,0297-52-0018,N.A.,http://www.ooiwa-dental.jp/,歯科系,
ティエドゥール（TIEDEUR）,300-2307,茨城県,つくばみらい市,板橋3032-1,0297-58-0039,N.A.,http://tiedeurs.com/,美容・コスメ,
高雲寺,300-2353,茨城県,つくばみらい市,小張1684,0297-58-0091,N.A.,http://kounji.grupo.jp/,宗教,
サイゼリヤ／守谷店,300-2436,茨城県,つくばみらい市,絹の台7丁目6,0297-52-0093,N.A.,http://www.saizeriya.co.jp/,イタリアン・フレンチ,
茨城みなみ農協／カントリーエレベーター,300-2355,茨城県,つくばみらい市,市野深858,0297-58-0100,0297-58-0500,https://www.ja-ibami.or.jp/,組合・団体,
つくばみらい市社会福祉協議会,300-2312,茨城県,つくばみらい市,神生530,0297-57-0123,0297-57-0206,http://www.tm-shakyo.jp/,市区町村機関,
茨城スバル自動車株式会社守谷店,300-2435,茨城県,つくばみらい市,筒戸3346-1,0297-52-0171,029-243-1783,http://www.ibaraki-subaru.co.jp/,車検・整備・修理,
つくばみらい市立／伊奈中学校,300-2355,茨城県,つくばみらい市,市野深600,0297-58-0201,0297-58-5611,http://www.city.tsukubamirai.lg.jp/,小・中・高・大学等,
有限会社大久保利通商店,300-2355,茨城県,つくばみらい市,市野深605-3,0297-58-0202,0297-58-6626,http://www.moti-net.co.jp/,お菓子・スイーツ,
太郎兵衛煎餅,300-2355,茨城県,つくばみらい市,市野深446-1,0297-58-0203,0297-58-4455,http://www8.plala.or.jp/,お菓子・スイーツ,
ルースヘアメイクスタジオ,300-2445,茨城県,つくばみらい市,小絹171-11-103,0297-52-0475,0297-52-0475,http://www.h-rus.com/,美容院・理容店・毛髪業,
つくばみらい市立／小絹中学校,300-2436,茨城県,つくばみらい市,絹の台1丁目14-2,0297-52-0505,0297-58-5611,http://www.city.tsukubamirai.lg.jp/,小・中・高・大学等,
取手自動車教習所,300-2337,茨城県,つくばみらい市,谷井田39,0297-58-0533,0297-57-0731,https://torikyo.menkira.jp/,資格,
株式会社クボタ建機東日本茨城営業所,300-2401,茨城県,つくばみらい市,台790-1,0297-52-0567,0297-52-0565,http://www.kenki.kubota.co.jp/,製造・加工（工作機械・一般機械器具）,
紫峰ヶ丘動物病院,300-2359,茨城県,つくばみらい市,西楢戸紫峰ヶ丘551街区7,0297-58-0620,N.A.,http://shihougaoka-ah.com/,動物病院・獣医師,
野菜直売所風の村,300-2358,茨城県,つくばみらい市,陽光台3丁目5-8,0297-57-0628,0297-57-0628,http://kazenomura.sitemix.jp/,食料品,
Lino,300-2436,茨城県,つくばみらい市,絹の台1丁目17-13,0297-52-0698,N.A.,http://www.hair-lino.com/,美容院・理容店・毛髪業,
山野井商事株式会社,300-2347,茨城県,つくばみらい市,豊体1670-3,0297-58-0787,0297-58-1215,http://www.yamanoishoji.com/,販売・卸（その他）,
つくばみらい市役所／小絹コミュニティセンター,300-2445,茨城県,つくばみらい市,小絹848,0297-52-0789,0297-52-0789,http://www.city.tsukubamirai.lg.jp/,市区町村機関,
株式会社ランド・プロジェクト,N.A.,茨城県,つくばみらい市,陽光台1丁目116街区3,0297-34-0885,0297-34-0887,http://www.land-project.co.jp/,不動産,
五洋建設,300-2337,茨城県,つくばみらい市,谷井田1405,0297-58-0898,0297-58-5526,http://www.penta-ocean.co.jp/,総合・職別工事業,
有限会社よしや畳店,300-2337,茨城県,つくばみらい市,谷井田913,0297-58-0899,N.A.,http://yoshiyatatami.com/,その他サービス,
アルバックテクノ株式会社,300-2406,茨城県,つくばみらい市,福岡2455-2,0297-52-0944,0297-52-0945,http://www.ulvac-techno.co.jp/,その他サービス,
なかむら矯正歯科クリニック,300-2445,茨城県,つくばみらい市,小絹758-5,0297-52-0960,0297-52-0960,http://www.nakamura-orthodontic-clinic.jp/,歯科系,
つくばみらい市役所／教育相談室,300-2341,茨城県,つくばみらい市,福田195,0297-57-0983,0297-58-5611,http://www.city.tsukubamirai.lg.jp/,市区町村機関,
つくばみらい市立／豊小学校,300-2347,茨城県,つくばみらい市,豊体1692,0297-58-1008,0297-58-5611,http://www.city.tsukubamirai.lg.jp/,小・中・高・大学等,
不動院,300-2307,茨城県,つくばみらい市,板橋2370-1,0297-58-1014,0297-58-7777,http://www.fudouin.or.jp/,宗教,
つくばみらい市立／伊奈第2保育所,300-2353,茨城県,つくばみらい市,小張4705,0297-58-1025,0297-58-5611,http://www.city.tsukubamirai.lg.jp/,幼稚園・保育施設,
ベッカーエアーテクノ株式会社,N.A.,茨城県,つくばみらい市,小絹93-1,0297-34-1055,0297-52-7285,http://www.becker-japan.com/,製造・加工（工作機械・一般機械器具）,
有限会社クイックエンジニアリング,300-2307,茨城県,つくばみらい市,板橋55-1,0297-57-1058,0297-57-1059,http://www.quickengineering.co.jp/,製造・加工（金属製品）,
HUTTE,300-2353,茨城県,つくばみらい市,小張4124-3,0297-57-1072,0297-57-1073,http://www.hutte.jp/,洋服,
タイヤ館294,300-2445,茨城県,つくばみらい市,小絹96-7,0297-52-1101,0297-52-1171,http://ibaraki.taiyakan-shop.jp/,カー用品,
成島建設株式会社,300-2307,茨城県,つくばみらい市,板橋3101,0297-58-1131,0297-58-3109,http://narushima.biz/,総合・職別工事業,
つくばみらい市立／谷井田小学校,300-2337,茨城県,つくばみらい市,谷井田2047,0297-58-1143,0297-58-5611,http://www.city.tsukubamirai.lg.jp/,小・中・高・大学等,
株式会社笹沼製作所,300-2302,茨城県,つくばみらい市,狸穴1387-5,0297-58-1161,0297-58-1163,http://www.sasanuma.co.jp/,製造・加工（金属製品）,
いっちゃん亭,300-2332,茨城県,つくばみらい市,山王新田1428-18,0297-57-1177,0297-57-1177,http://www.icchan-tei.com/,和食,
山野井精機株式会社,300-2347,茨城県,つくばみらい市,豊体1670-3,0297-58-1211,0297-58-1215,http://www.yamanoiseiki.co.jp/,製造・加工（工作機械・一般機械器具）,
茨城ゴルフ倶楽部,300-2352,茨城県,つくばみらい市,小島新田107,0297-58-1216,0297-58-1961,http://www.ibarakigc.jp/,ゴルフ,
