▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
アーバンホテル,300-3257,茨城県,つくば市,筑穂2丁目1-2,029-877-0001,029-877-0700,http://www.urbanhotel.co.jp/,ホテル・ペンション,
つくば国際会議場,305-0032,茨城県,つくば市,竹園2丁目20-3,029-861-0001,029-861-1209,http://www.epochal.or.jp/,組合・団体,
インティオ学院,305-0051,茨城県,つくば市,二の宮1丁目23-9,029-859-0003,029-859-0022,http://www.intio.or.jp/,資格,
松代歯科医院,305-0056,茨城県,つくば市,松野木95-4,029-838-0007,029-838-0006,http://www.matsushiroshika.com/,歯科系,
スカイホテル予約センター,305-0034,茨城県,つくば市,小野崎283-1,029-851-0008,029-856-5116,http://www.55-hotels.com/,ホテル・ペンション,
つくばメモリアルホール管理機構,300-3255,茨城県,つくば市,玉取1766,029-879-0008,029-879-0028,http://www.koukyou-saijo.com/,葬儀,
つくば市立／谷田部中学校,305-0861,茨城県,つくば市,谷田部6100,029-836-0008,029-836-3726,http://www.tsukuba.ed.jp/,小・中・高・大学等,
金太楼鮨つくば学園店,305-0033,茨城県,つくば市,東新井17-2,029-859-0008,029-859-0008,http://www.kintaro-sushi.com/,和食,
茨城ライフ株式会社,305-0051,茨城県,つくば市,二の宮2-17-2,029-855-0010,029-855-8190,http://www.i-life.co.jp/,不動産,
エデュース福祉事務局,300-2622,茨城県,つくば市,要273-1,029-877-0011,029-877-3366,http://i-relay.jp/,各種学校,
豊里ゴルフクラブ,300-2615,茨城県,つくば市,田倉5185,029-847-0011,029-848-1311,http://www.toyosato-gc.jp/,ゴルフ,
野村證券株式会社つくば支店,305-0817,茨城県,つくば市,葛城根崎研究学園C50街区1,029-844-0011,N.A.,http://www.nomura.co.jp/,証券・保険・商品先物,
ムサシ興発株式会社,305-0018,茨城県,つくば市,金田2017番地1号,029-863-0012,029-863-0018,http://www.musasikk.co.jp/,建設業・工務店,
株式会社旭ダンケつくば工場,300-2645,茨城県,つくば市,上郷4200,029-848-0012,029-848-0013,http://www.asahidanke.co.jp/,製造・加工（建築資材）,
クルーズ,305-0821,茨城県,つくば市,春日3丁目1-7,029-859-0013,029-859-0013,http://www.cruise-tsukuba.com/,飲み屋,
株式会社こどものとも茨城営業所,305-0074,茨城県,つくば市,高野台2丁目12-2-102,029-839-0014,048-774-8051,http://www.kodomonotomo.net/,販売・卸（その他）,
株式会社車卸値センターつくば店,305-0854,茨城県,つくば市,上横場2177-5,029-837-0014,029-837-0059,http://www.kurumaoroshi.com/,中古車・買取,
癒し処ココロ,305-0071,茨城県,つくば市,稲岡66-1,029-836-0015,N.A.,http://iyashi-kokoro.com/,美容・コスメ,
認知症の人と家族の会（公益社団法人）コールセンター,300-3257,茨城県,つくば市,筑穂1丁目10-4,029-879-0018,029-879-0808,http://www.juvenile-alzheimer.jp/,IT・情報通信,
稲葉酒造場,300-4353,茨城県,つくば市,沼田1485,029-866-0020,029-866-1747,http://www.minanogawa.jp/,酒・飲料品,
柳川精工株式会社／豊里工場,300-2646,茨城県,つくば市,緑ケ原4丁目18,029-847-0021,029-847-0023,http://www.yanagawaseiko.co.jp/,製造・加工（電子・精密機械器具）,
科学技術出版株式会社,300-2622,茨城県,つくば市,要443-1,029-877-0022,029-877-1030,http://www.it-book.co.jp/,印刷・出版,
社会福祉法人筑峯学園／障害児入所支援施設,300-4213,茨城県,つくば市,平沢655-4,029-867-0025,029-867-1968,http://www.tsukuhou.or.jp/,介護・福祉,
飯田医院,300-4353,茨城県,つくば市,沼田101,029-866-0025,029-866-0360,http://website2.infomity.net/,小児科系,
東京美装興業株式会社,305-0841,茨城県,つくば市,御幸が丘21,029-856-0026,029-854-0610,http://www.tokyo-biso.co.jp/,ビルメンテナンス,
つくば市立／北条小学校,300-4231,茨城県,つくば市,北条1077,029-867-0029,029-867-1037,http://www.tsukuba.ed.jp/,小・中・高・大学等,
カービューティ茨城,305-0005,茨城県,つくば市,天久保2丁目9-2,029-858-0030,029-858-0742,http://www.car-beauty.jp/,車検・整備・修理,
株式会社浪漫亭,305-0867,茨城県,つくば市,境田177-6,029-839-0030,029-839-0032,http://www.romantei.co.jp/,販売・卸（食料品）,
浦里酒造店合資会社,300-2617,茨城県,つくば市,吉沼982,029-865-0032,029-865-1857,http://www.kiritsukuba.co.jp/,酒・飲料品,
国分建設株式会社,305-0844,茨城県,つくば市,小白硲460-21,029-837-0032,N.A.,http://www.kokubun-kensetsu.jp/,総合・職別工事業,
東部液化石油株式会社,305-0071,茨城県,つくば市,大字稲岡字迎山729番地3,029-837-0033,029-836-2735,http://www.tobuekika.jp/,水道・ガス・電力,
つくば自動車整備専門学校,305-0004,茨城県,つくば市,柴崎624-5,029-863-0035,029-857-9706,http://www.tact.ac.jp/,専修学校,
栄和不動産,300-3255,茨城県,つくば市,玉取2236,029-879-0035,029-864-7676,http://810-net.com/,不動産,
さくま動物病院,305-0062,茨城県,つくば市,赤塚638-1,029-838-0038,029-838-0038,http://www.sakuma-anihos.com/,動物病院・獣医師,
茨城半井化学株式会社,305-0074,茨城県,つくば市,高野台3丁目15-14,029-839-0038,0166-24-2434,http://www.nacalai.co.jp/,製造・加工（化学・プラスチック）,
中島砂利株式会社,300-3253,茨城県,つくば市,大曽根180-1,029-864-0038,029-864-0721,http://www14.plala.or.jp/,製造・加工（建築資材）,
北海道システム・サイエンス株式会社,300-2622,茨城県,つくば市,要204番地,029-877-0040,029-879-0840,http://www.hssnet.co.jp/,製造・加工（電子・精密機械器具）,
つくば市立／山口小学校,300-4214,茨城県,つくば市,山口913,029-867-0042,029-867-1431,http://www.tsukuba.ed.jp/,小・中・高・大学等,
つくば市立／谷田部小学校,305-0861,茨城県,つくば市,谷田部2938,029-836-0044,N.A.,http://www.tsukuba.ed.jp/,小・中・高・大学等,
やわらか堂,300-2622,茨城県,つくば市,要315-18-201,029-879-0044,N.A.,http://yawarakado.blog129.fc2.com/,あん摩・はり・きゅう,
神田家,300-4352,茨城県,つくば市,筑波722,029-866-0044,029-866-0069,http://www.kandaya.info/,道の駅,
吉沼保育園,300-2617,茨城県,つくば市,吉沼1110,029-865-0050,029-865-0832,http://www.yosinuma.ed.jp/,幼稚園・保育施設,
クレオスクエアオペレーションセンター,305-0031,茨城県,つくば市,吾妻1丁目6-1,029-855-0051,029-852-6138,http://www.creo-sq.com/,コンビニ・スーパー・デパート,
株式会社パスカリア,305-0005,茨城県,つくば市,天久保2-14-11第一ビル2F,029-858-0051,029-858-0071,http://www.pascalia.co.jp/,IT・情報通信,
大久保歯科医院／大曽根,300-3253,茨城県,つくば市,大曽根3722-8,029-864-0051,029-864-2551,http://www.ohkubo-dc.com/,歯科系,
つくば市農業協同組合／茎崎支店,300-1255,茨城県,つくば市,小茎287,029-876-0052,029-876-3999,http://www.ja-tukuba.jp/,組合・団体,
山口信太郎商店,300-4231,茨城県,つくば市,北条4352,029-867-0053,029-867-0053,http://www.shouyu.e-tsukuba.jp/,食料品,
ザ・ハウス・オブ・ブランセ,300-2622,茨城県,つくば市,要246,029-879-0055,029-879-0011,http://www.blance.jp/,結婚・宴会,
つくば市立／茎崎中学校,300-1255,茨城県,つくば市,小茎450,029-876-0055,029-876-0053,http://www.tsukuba.ed.jp/,小・中・高・大学等,
株式会社クラフト,305-0051,茨城県,つくば市,二の宮2-1-3クラフトビル1F,029-855-0055,029-852-5555,http://www.craft-house.jp/,建設業・工務店,
有限会社アルミック,305-0051,茨城県,つくば市,二の宮2丁目17-12-103,029-851-0055,029-851-0055,http://www.arumik.jp/,レッカー・その他,
福屋,305-0861,茨城県,つくば市,谷田部2968,029-836-0056,N.A.,http://www.fukuya-dept.co.jp/,洋服,
つくば市立／茎崎第二小学校,300-1274,茨城県,つくば市,上岩崎1076,029-876-0059,N.A.,http://www.tsukuba.ed.jp/,小・中・高・大学等,
筑膳,300-4353,茨城県,つくば市,沼田1441-1,029-866-0068,029-824-8443,http://www.tsukuzen.com/,そば・うどん,
飯村医院,300-4231,茨城県,つくば市,北条4326-2,029-867-0068,029-867-3626,http://www.iimura-iin.serio.jp/,歯科系,
つくば市立／筑波東中学校,300-4231,茨城県,つくば市,北条4160,029-867-0069,029-867-2215,http://www.tsukuba.ed.jp/,小・中・高・大学等,
株式会社小森コーポレーションつくば工場,300-1268,茨城県,つくば市,中山203-1,029-839-0070,029-839-0074,https://www.komori.com/ja/jp/,製造・加工（工作機械・一般機械器具）,
株式会社オーナーズワン,305-0051,茨城県,つくば市,二の宮2丁目2-3-105,029-852-0077,029-852-0177,http://www.owners-1.co.jp/,不動産,
大和ハウス工業株式会社／つくば支店,305-0033,茨城県,つくば市,東新井38-1,029-856-0077,029-856-0074,http://www.daiwahouse.co.jp/,総合・職別工事業,
有限会社エビハラ平安堂／つくばデイズタウン店,305-0032,茨城県,つくば市,竹園1丁目9-2,029-855-0077,029-855-0419,http://heiando.info/,文房具,
森のどうぶつ診療所,300-2642,茨城県,つくば市,高野357-2,029-847-0078,029-847-0078,http://www001.upp.so-net.ne.jp/,動物病院・獣医師,
スドウ酒店,305-0861,茨城県,つくば市,谷田部2985-2,029-836-0079,029-836-0026,http://www.zizake.e-tsukuba.jp/,酒・飲料品,
有限会社ウィルグレイト,305-0056,茨城県,つくば市,松野木95-4,029-838-0079,029-838-0089,http://www.will-great.com/,商社・貿易,
メンズヘアーLA-R,305-0005,茨城県,つくば市,天久保2丁目14-15-101,029-856-0080,029-856-0080,http://www.la-r.e-tsukuba.jp/,美容院・理容店・毛髪業,
株式会社つくばテック,300-2665,茨城県,つくば市,高須賀131,029-847-0081,029-847-0083,http://tukubatec.com/,製造・加工（電子・精密機械器具）,
