▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社ファースト・リーディング,356-0050,埼玉県,ふじみ野市,ふじみ野1丁目1-28,049-256-0001,049-256-0002,http://www.first-leading.co.jp/,不動産,
大和不動産株式会社,356-0045,埼玉県,ふじみ野市,鶴ケ岡3丁目1-41,049-263-0001,049-263-0002,http://www.home.co.jp/,不動産,
前岡皮膚科,356-0004,埼玉県,ふじみ野市,上福岡1丁目12-25,049-265-0003,049-265-0003,http://www.hifuka23.net/,皮膚科・アレルギー科,
ふじみ野市立／大井中学校,356-0052,埼玉県,ふじみ野市,苗間24-1,049-261-0005,049-261-0691,http://www.fujimino.ed.jp/,小・中・高・大学等,
サガミ／埼玉大井店,356-0058,埼玉県,ふじみ野市,大井中央4丁目18-21,049-262-0006,049-262-0006,http://www.sagami.co.jp/,そば・うどん,
中嶋自動車工業株式会社,N.A.,埼玉県,ふじみ野市,大井830-1,049-263-0008,N.A.,http://www.nac-town.co.jp/,その他サービス,
めぐむ動物病院,356-0051,埼玉県,ふじみ野市,亀久保4丁目9-7,049-269-0012,049-269-0012,http://www3.plala.or.jp/,動物病院・獣医師,
有限会社小室自動車整備工場,356-0055,埼玉県,ふじみ野市,旭1-19-17,049-261-0016,049-264-0450,http://www.komuro-car-service.com/,その他サービス,
JAいるま野福岡支店,356-0028,埼玉県,ふじみ野市,西原2丁目1-5,049-261-0021,049-261-0026,http://www.ja-irumano.or.jp/,組合・団体,
小僧寿し大井町店,356-0058,埼玉県,ふじみ野市,大井中央2丁目8-1,049-269-0021,N.A.,http://www.kozosushi.co.jp/,弁当・宅配,
株式会社トヨタレンタリース新埼玉,356-0050,埼玉県,ふじみ野市,ふじみ野1-8-37,049-267-0032,049-267-0129,http://toyota-rlss.co.jp/,リース・レンタル,
文京学院大学／学生支援グループ,356-0051,埼玉県,ふじみ野市,亀久保1196,049-266-0035,049-261-8741,http://www.u-bunkyo.ac.jp/,小・中・高・大学等,
有限会社当麻水道工業所,356-0002,埼玉県,ふじみ野市,清見1-2-2,049-261-0041,049-261-0041,http://touma-suidou.com/,設備工事業,
愛心ペットセレモニー埼玉,356-0053,埼玉県,ふじみ野市,大井837-23,049-292-0047,049-292-0034,http://www.aishin2484.jp/,ペット霊園・葬祭,
藤本歯科医院,356-0004,埼玉県,ふじみ野市,上福岡2-7-7,049-265-0047,N.A.,http://www.fujimotoshika.com/,医院・診療所・療養所,
池谷歯科,356-0002,埼玉県,ふじみ野市,清見3丁目1-10,049-265-0077,N.A.,http://www.iketani-dc.com/,歯科系,
新井歯科医院,356-0053,埼玉県,ふじみ野市,大井1081-11,049-266-0081,049-246-0024,https://araishika.weebly.com/,歯科系,
株式会社三誠ハウス,356-0054,埼玉県,ふじみ野市,大井武蔵野1356-9,049-265-0086,049-269-1150,http://www.san-sei.co.jp/,不動産,
上福岡駅前アイクリニック,356-0004,埼玉県,ふじみ野市,上福岡6丁目4-5,049-267-0088,049-267-0088,http://www.kamifukuoka-eyeclinic.com/,眼科,
玄和書道会,356-0003,埼玉県,ふじみ野市,大原1丁目3-6,049-262-0089,049-267-1680,http://genwa.jp/,著述・芸術家,
株式会社トヨタレンタリース新埼玉ふじみ野店,356-0050,埼玉県,ふじみ野市,ふじみ野1丁目8-37,049-267-0100,049-267-0090,http://www.toyota-rlss.co.jp/,リース・レンタル,
株式会社トヨタレンタリース新埼玉上福岡駅前店,356-0004,埼玉県,ふじみ野市,上福岡6丁目1-7,049-262-0100,049-262-0200,http://www.toyota-rlss.co.jp/,リース・レンタル,
ふじみ野市役所／ふじみ野市消費生活センター,356-0011,埼玉県,ふじみ野市,福岡1丁目1-2,049-263-0110,N.A.,http://www.city.fujimino.saitama.jp/,市区町村機関,
上福岡総合病院,356-0011,埼玉県,ふじみ野市,福岡931,049-266-0111,049-266-6245,http://www.kamifukuoka.or.jp/,総合病院,
大熊医院,356-0004,埼玉県,ふじみ野市,上福岡3丁目1-17,049-261-0111,049-267-7551,http://ohkuma-iin.webmedipr.jp/,内科系,
上福岡リハケアセンター,356-0014,埼玉県,ふじみ野市,福岡新田108-1,049-266-0112,049-266-0141,http://kamifukuoka-rihakea.net/,介護・福祉,
入間東部地区消防組合／消防署／上福岡消防署,356-0001,埼玉県,ふじみ野市,川崎2丁目7-3,049-267-0119,049-261-4395,http://www.irumatohbu119.jp/,消防・警察,
ホンダテクニカルカレッジ関東,356-0045,埼玉県,ふじみ野市,鶴ケ岡5丁目2-2,049-264-0121,049-278-1190,http://www.hondacollege.ac.jp/,専修学校,
ふじみ野市立／福岡中学校,356-0017,埼玉県,ふじみ野市,上野台3丁目3-1,049-261-0142,049-266-3106,http://www.fujimino.ed.jp/,小・中・高・大学等,
ふじみ野市立／福岡小学校,356-0028,埼玉県,ふじみ野市,西原2丁目6-1,049-261-0144,049-269-4603,http://www.fujimino.ed.jp/,小・中・高・大学等,
株式会社ベストインテリア,356-0050,埼玉県,ふじみ野市,ふじみ野2-12-31,049-265-0151,049-265-0153,http://www.best-interior.net/,家具・インテリア,
ホソヤ時計店,356-0004,埼玉県,ふじみ野市,上福岡1丁目4-5,049-261-0164,049-261-0719,http://www.hosoya-tokeiten.com/,アクセサリー,
あーる工房,356-0003,埼玉県,ふじみ野市,大原2丁目1-30,049-269-0183,N.A.,http://www.rkobo.com/,衣類のリフォーム,
株式会社松電工業,356-0053,埼玉県,ふじみ野市,大井2-20-24,049-264-0197,049-264-0018,http://matsuden-k.co.jp/,電話・通信,
有限会社ダイハ工業,356-0052,埼玉県,ふじみ野市,苗間18-14,049-265-0208,N.A.,http://daiha.net/,販売・卸（日用品）,
サンドラッグ／上福岡大原店,356-0003,埼玉県,ふじみ野市,大原1丁目1-15,049-263-0211,049-256-8871,http://sundrug.co.jp/,美容・コスメ,
サンドラッグ上福岡大原薬局,356-0003,埼玉県,ふじみ野市,大原1丁目1-15,049-263-0223,N.A.,http://www.sundrug.co.jp/,薬,
ふじみ野市立／大井小学校,356-0052,埼玉県,ふじみ野市,苗間37,049-261-0242,049-261-0243,http://www.fujimino.ed.jp/,小・中・高・大学等,
スゥイート工房ウフ,356-0052,埼玉県,ふじみ野市,苗間1丁目12-1,049-264-0249,N.A.,http://www.oeuf-oeuf.com/,お菓子・スイーツ,
近藤不動産株式会社,N.A.,埼玉県,ふじみ野市,上福岡1-14-7,049-262-0252,N.A.,http://www.kondo-gr.co.jp/,不動産,
文京学院大学／教務グループ,356-0051,埼玉県,ふじみ野市,亀久保1196,049-266-0253,N.A.,http://www.u-bunkyo.ac.jp/,小・中・高・大学等,
イーグルボウルふじみ野,356-0051,埼玉県,ふじみ野市,亀久保4丁目9-20,049-265-0300,042-388-9955,http://www.eagleweb.co.jp/,プレイスポット,
株式会社新幸,N.A.,埼玉県,ふじみ野市,上福岡1-8-8西友内,049-265-0309,N.A.,http://www.cl-shinko.co.jp/,その他サービス,
株式会社ナカノ機設,356-0001,埼玉県,ふじみ野市,川崎2-4-10,049-263-0326,N.A.,http://nakanokisetsu.com/,製造・加工（工作機械・一般機械器具）,
地蔵院,356-0051,埼玉県,ふじみ野市,亀久保3丁目11-11,049-261-0327,049-261-8636,http://www.pref.saitama.lg.jp/chokotabi-saitama/ichioshi/it_tour.html,宗教,
上福岡皮膚科,356-0004,埼玉県,ふじみ野市,上福岡1丁目14-46,049-256-0330,N.A.,http://www.hifuka23.net/,皮膚科・アレルギー科,
日本住宅パネル工業協同組合中央試験所,356-0051,埼玉県,ふじみ野市,亀久保2186,049-265-0336,049-265-1176,http://www.panekyo.or.jp/,製造・加工（木製品・紙・パルプ関連）,
手打蕎麦ぐらの,356-0053,埼玉県,ふじみ野市,大井816-4,049-264-0337,049-264-0337,http://www.sobagura.com/,そば・うどん,
都市再生機構（独立行政法人）／コンフォール霞ケ丘管理サービス事務所,356-0006,埼玉県,ふじみ野市,霞ケ丘1丁目4,049-261-0341,N.A.,http://www.ur-net.go.jp/,公庫・公社・事業団,
東武鉄道株式会社／上福岡駅,356-0004,埼玉県,ふじみ野市,上福岡1丁目1-1,049-261-0342,N.A.,http://www.tobu.co.jp/,交通機関,
さいとう歯科医院,356-0032,埼玉県,ふじみ野市,富士見台8-1,049-261-0349,N.A.,http://www.saitou-shika.jp/,歯科系,
ふじみ野市役所／出張所,356-0006,埼玉県,ふじみ野市,霞ケ丘1丁目2-7,049-261-0353,049-261-0785,http://www.city.fujimino.saitama.jp/,市区町村機関,
スウィンふじみ野スイミングスクール,356-0050,埼玉県,ふじみ野市,ふじみ野1丁目4-16,049-264-0453,042-706-4540,http://www.inaho-sports.co.jp/,スポーツ,
宮建ハウジング株式会社,356-0026,埼玉県,ふじみ野市,築地1-2-13,049-269-0505,049-269-0511,http://miyaken-h.com/,建設業・工務店,
青木屋,356-0004,埼玉県,ふじみ野市,上福岡5丁目1-17,049-262-0505,042-333-7009,http://www.aokiya.net/,お菓子・スイーツ,
株式会社松屋フーズ／ふじみ野店,356-0050,埼玉県,ふじみ野市,ふじみ野1丁目9-21,049-256-0507,048-876-0364,http://www.matsuyafoods.co.jp/,レストラン,
デイリーヤマザキ上福岡駅西口店,356-0006,埼玉県,ふじみ野市,霞ケ丘1丁目4-12-102,049-261-0517,N.A.,http://www.daily-yamazaki.jp/,コンビニ・スーパー・デパート,
神木工務店有限会社一級建築士事務所,356-0052,埼玉県,ふじみ野市,苗間239,049-261-0535,049-261-0085,http://www.kamikikoumuten.com/,総合・職別工事業,
ラミューズ上福岡店,356-0004,埼玉県,ふじみ野市,上福岡1丁目7-3,049-267-0550,042-741-8191,http://l-amuse.jp/,プレイスポット,
エスケーミキサー株式会社,356-0064,埼玉県,ふじみ野市,大井武蔵野1396番地4号,049-264-0585,049-264-0587,http://www.skmixer.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社朝日工務店,N.A.,埼玉県,ふじみ野市,苗間400-1,049-261-0600,049-264-7722,http://www.asahikoumuten.co.jp/,建設業・工務店,
レストラン・ボンヴィヴァン,356-0055,埼玉県,ふじみ野市,旭1丁目14-26,049-256-0603,N.A.,http://bonvivant-ys.jp/,レストラン,
医療法人石川医院,356-0005,埼玉県,ふじみ野市,西2丁目1-11,049-261-0603,N.A.,http://ishikawa-cl.or.jp/,内科系,
ふじみ野市体育協会,356-0011,埼玉県,ふじみ野市,福岡1丁目1-1,049-266-0605,049-266-0615,http://fujimino-taikyo.org/,組合・団体,
ふじみ野市立／霞ケ丘保育所,356-0006,埼玉県,ふじみ野市,霞ケ丘1丁目5-5,049-261-0612,N.A.,http://www.city.fujimino.saitama.jp/,幼稚園・保育施設,
香取幼稚園,356-0004,埼玉県,ふじみ野市,上福岡3丁目1-18,049-261-0614,N.A.,http://www.katori.ed.jp/,幼稚園・保育施設,
医療法人社団安藤医院,356-0031,埼玉県,ふじみ野市,福岡中央1-7-17,049-261-0634,N.A.,http://www002.upp.so-net.ne.jp/andouiin/index.html,医院・診療所・療養所,
香取第二幼稚園,356-0002,埼玉県,ふじみ野市,清見3丁目7-5,049-263-0642,N.A.,http://www.youchien.ed.jp/,幼稚園・保育施設,
ふじみ野市立／大井中央公民館,356-0058,埼玉県,ふじみ野市,大井中央2丁目1-8,049-261-0648,N.A.,http://www.city.fujimino.saitama.jp/,市区町村機関,
ITTO個別指導学院ふじみ野うれし野校,356-0056,埼玉県,ふじみ野市,うれし野1丁目1-5,049-292-0668,N.A.,http://www.wits.vc/,塾・予備校,
医療法人あんべハート・クリニック,356-0053,埼玉県,ふじみ野市,大井621-12,049-256-0675,049-256-0685,http://www.anbe-heart-clinic.com/,医院・診療所・療養所,
トオヤマ家電,356-0035,埼玉県,ふじみ野市,丸山9-13,049-264-0677,049-264-0677,http://panasonicbuhin.ocnk.net/,家電,
キングファミリー大井町店,356-0058,埼玉県,ふじみ野市,大井中央1丁目3-1,049-269-0707,079-431-4509,http://kingfamily.co.jp/,洋服,
セブンイレブン／ふじみ野桜ヶ丘店,356-0059,埼玉県,ふじみ野市,桜ケ丘3丁目47-40,049-264-0717,049-264-0717,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
せきや眼科,356-0055,埼玉県,ふじみ野市,旭1丁目18-25,049-269-0750,049-269-0751,http://www.sekiya-ganka.com/,眼科,
ワークマン埼玉大井店,356-0045,埼玉県,ふじみ野市,鶴ケ岡3丁目3-29,049-262-0755,0270-32-6667,http://www.workman.co.jp/,制服・作業服,
洋麺屋五右衛門ふじみ野店,356-0050,埼玉県,ふじみ野市,ふじみ野4丁目9-1,049-256-0787,N.A.,http://www.yomenya-goemon.com/,イタリアン・フレンチ,
斎木ガス株式会社湯ドクター事業部,356-0004,埼玉県,ふじみ野市,上福岡1丁目4-12,049-256-0788,049-266-2641,http://www.u-doctor.com/,水道・ガス・電力,
株式会社仲野,356-0053,埼玉県,ふじみ野市,大井1081,049-263-0800,049-263-0814,http://www.fujimino-nakano.jp/,不動産,
天和庵,356-0052,埼玉県,ふじみ野市,苗間295-1,049-262-0801,N.A.,http://www.tennaan.com/,そば・うどん,
薬局メディクスふじみ野店,356-0050,埼玉県,ふじみ野市,ふじみ野1丁目4-16-101,049-264-0801,049-264-0825,http://www.jmsys.co.jp/,薬,
株式会社斉藤光学製作所,356-0033,埼玉県,ふじみ野市,新田2-3-11,049-263-0808,049-266-6424,http://www.interset.ne.jp/,製造・加工（電子・精密機械器具）,
美容室クープ・ド・クール,356-0056,埼玉県,ふじみ野市,うれし野2丁目15-14,049-256-0852,049-256-0821,http://e-coupdecoeur.com/,美容院・理容店・毛髪業,
車検のコバックふじみ野西店,356-0051,埼玉県,ふじみ野市,亀久保1807-3,049-265-0855,049-265-0810,http://www.s-kobac.com/,車検・整備・修理,
たんぽぽ保育園,356-0034,埼玉県,ふじみ野市,駒林79-2,049-263-0857,049-263-5562,http://www.tanpopohoikuen.jp/,幼稚園・保育施設,
100円ショップキャンドゥココネ上福岡店,356-0006,埼玉県,ふじみ野市,霞ケ丘1丁目2,049-264-0871,03-5331-5501,http://www.cando-web.co.jp/,生活用品,
ふじみの皮フ科,356-0050,埼玉県,ふじみ野市,ふじみ野1丁目4-16,049-256-0877,N.A.,http://fujimino-hifu.com/,皮膚科・アレルギー科,
上福岡高等看護学院,356-0014,埼玉県,ふじみ野市,福岡新田76-1,049-262-0884,049-262-0878,http://www.kamiko.ac.jp/,専修学校,
嶋村木材株式会社,N.A.,埼玉県,ふじみ野市,桜ケ丘1丁目37番46号,049-262-0892,049-264-8808,https://s-mokuzai.co.jp/,製造・加工（建築資材）,
リズムデンタルクリニック,356-0056,埼玉県,ふじみ野市,うれし野2丁目10-37-E,049-264-0896,049-264-2425,http://www.ohaguro.or.jp/,歯科系,
大政建設株式会社,356-0038,埼玉県,ふじみ野市,駒林元町1丁目1-1,049-261-0939,049-266-2988,http://www.ohmasakensetsu.com/,建設業・工務店,
有限会社さくらホーム,356-0011,埼玉県,ふじみ野市,福岡3-1-15,049-265-1001,049-265-1006,http://www.sakura1001.co.jp/,不動産,
ふじみ野市立／鶴ケ丘小学校,356-0045,埼玉県,ふじみ野市,鶴ケ岡1丁目3-1,049-262-1008,049-262-1524,http://www.fujimino.ed.jp/,小・中・高・大学等,
デイリーホテル上福岡駅前店,356-0004,埼玉県,ふじみ野市,上福岡6丁目1-8,049-278-1010,049-278-1011,http://dailyhotel.jp/,ホテル・ペンション,
株式会社シンセイホーム,356-0052,埼玉県,ふじみ野市,苗間51-1,049-267-1010,049-267-1012,http://www.shinseihome.com/,不動産,
弁天の森どうぶつ病院,356-0053,埼玉県,ふじみ野市,大井2丁目10-8,049-265-1013,049-265-1009,http://www2.tbb.t-com.ne.jp/,動物病院・獣医師,
ふじみ野市立／大井西中学校,356-0054,埼玉県,ふじみ野市,大井武蔵野408-1,049-264-1030,049-264-1042,http://www.fujimino.ed.jp/,小・中・高・大学等,
カイエー薬局,356-0004,埼玉県,ふじみ野市,上福岡1丁目9-28,049-269-1039,049-269-1043,http://kaiee-group.com/,薬,
