▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
若佐鈑金,035-0043,青森県,むつ市,南赤川町11-5,0175-31-0006,0175-31-0006,http://www13.plala.or.jp/,車検・整備・修理,
青森放送株式会社むつ支局,035-0073,青森県,むつ市,中央2丁目1-18,0175-24-0017,0173-46-2829,http://www.rab.co.jp/,映画・放送・新聞,
株式会社宝来工業,035-0032,青森県,むつ市,上川町11-46,0175-31-0018,0175-31-0019,http://houraikougyou.web.fc2.com/,総合・職別工事業,
東和電機工業株式会社,035-0044,青森県,むつ市,赤川町2-19,0175-23-0031,0175-23-0220,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
フォルクローロ大湊,035-0084,青森県,むつ市,大湊新町7-20,0175-24-0051,0175-24-0053,https://familio-folkloro.com/ominato/,ホテル・ペンション,
マエダストア／大湊バイパス店,035-0082,青森県,むつ市,文京町23-24,0175-24-0066,0175-22-4226,http://www.i-maeda.co.jp/,コンビニ・スーパー・デパート,
むつ下北子育て支援ネットワークひろば（NPO法人）／グループホームサンライズ3号館,035-0055,青森県,むつ市,苫生町1丁目2-27,0175-31-0066,0175-34-0013,http://npo-hiroba.org/,介護・福祉,
むつ下北子育て支援ネットワークひろば（NPO法人）／グループホームサンライズ1号館,035-0051,青森県,むつ市,新町14-8,0175-31-0067,0175-34-0013,http://npo-hiroba.org/,介護・福祉,
田中歯科クリニック,035-0071,青森県,むつ市,小川町1丁目4-17,0175-22-0077,N.A.,http://blueberry-dc.com/,歯科系,
眼鏡市場むつ店,035-0073,青森県,むつ市,中央2丁目2-7,0175-31-0085,0175-31-0085,http://www.meganeichiba.jp/,生活用品,
むつ下北子育て支援ネットワークひろば（NPO法人）児童デイサービスあおぞら,035-0073,青森県,むつ市,中央2丁目30-4,0175-31-0086,0175-34-0013,http://npo-hiroba.org/,介護・福祉,
むつパークホテル,035-0034,青森県,むつ市,田名部町9-10,0175-22-0089,0175-22-0855,http://www.mutsuparkhotel.co.jp/,ホテル・ペンション,
株式会社トヨタレンタリース青森／むつ店,035-0061,青森県,むつ市,下北町1-15,0175-23-0100,0175-23-0105,https://rent.toyota.co.jp/,リース・レンタル,
横迎町調剤薬局,035-0033,青森県,むつ市,横迎町2丁目1-8,0175-22-0118,0175-22-2724,https://meron-net.shop/ds/yokotyou-dr,薬,
下北地域広域行政事務組合／むつ消防署／火災情報テレホン,035-0071,青森県,むつ市,小川町2丁目14-1,0175-22-0119,0175-22-2580,http://shimoko.e-shimokita.jp/,消防・警察,
有限会社秀栄堂工藤造花店,035-0053,青森県,むつ市,緑町17-20,0175-22-0146,0175-22-0148,http://www.e-sogi.com/,その他サービス,
あおぎんリース株式会社むつ支店,035-0051,青森県,むつ市,新町28-17,0175-23-0171,0175-28-2304,http://www.aogin-lease.jp/contents/index.html,リース・レンタル,
キヤノンシステムアンドサポート株式会社むつ事業所,035-0061,青森県,むつ市,下北町1-12,0175-22-0192,0175-22-0194,http://www.canon-sas.co.jp/,OA機器,
マエダ本店／本部,035-0071,青森県,むつ市,小川町2丁目4-8,0175-23-0221,0175-22-4226,http://www.i-maeda.co.jp/,コンビニ・スーパー・デパート,
マックスバリュ東北株式会社,035-0073,青森県,むつ市,中央2丁目49-1,0175-29-0241,0175-29-0244,http://www.mv-tohoku.co.jp/,コンビニ・スーパー・デパート,
株式会社ほくとうむつ支店,035-0062,青森県,むつ市,仲町13-2,0175-22-0252,N.A.,http://www.hokutoh.com/,リース・レンタル,
株式会社サンワドー／むつ店,035-0073,青森県,むつ市,中央1丁目5-1,0175-22-0255,017-782-7141,http://www.sanwado.com/,生活用品,
ステーキワン青森むつ店,035-0021,青森県,むつ市,大字田名部字前田4-10,0175-23-0299,0175-23-0299,http://www.steakone-mutsu.com/,レストラン,
車検センターむつ苫生店,035-0055,青森県,むつ市,苫生町1丁目3-5,0175-22-0306,0175-23-2834,http://www.carcon.co.jp/,車検・整備・修理,
青森さくら会計（税理士法人）,035-0051,青森県,むつ市,新町9-6,0175-22-0370,0175-22-0302,http://www.aomori-sakura.cyber-kaikei.jp/,士業・コンサルタント,
ミスタードーナツむつ中央ショップ,035-0073,青森県,むつ市,中央2丁目2-6,0175-22-0377,0175-22-0377,https://www.misterdonut.jp/noscript.html,ファーストフード,
大谷法律事務所,035-0073,青森県,むつ市,中央2丁目13-12,0175-31-0382,0175-31-0383,http://www.otani-law.net/,士業・コンサルタント,
社会保険労務士齋藤晃史事務所,035-0061,青森県,むつ市,下北町14-12,0175-31-0409,0175-23-7303,http://saitousyaroushi.com/,士業・コンサルタント,
ライジンググループ／ライジングI,035-0051,青森県,むつ市,新町35-45,0175-23-0435,078-325-2112,http://www.kanematsu-group.co.jp/,屋内遊戯,
青森マツダ自動車株式会社むつ店,035-0051,青森県,むつ市,新町45-18,0175-22-0511,0175-22-4363,http://www.aomori-mazda.co.jp/,自動車販売,
むつ下北子育て支援ネットワークひろば（NPO法人）むつ市ファミリーサポートセンター,035-0073,青森県,むつ市,中央2丁目30-2,0175-24-0605,0175-34-0013,http://npo-hiroba.org/,幼稚園・保育施設,
株式会社TKS不動産,035-0071,青森県,むつ市,小川町1丁目6-6,0175-31-0606,0175-31-0607,http://www.tksre.com/,不動産,
ダイニングバー光,035-0033,青森県,むつ市,横迎町1丁目1-23,0175-22-0671,0175-22-0671,http://nyxgphikari.web.fc2.com/,飲み屋,
明光義塾むつ金曲教室,035-0041,青森県,むつ市,金曲1丁目16-18,0175-31-0706,N.A.,https://www.meikogijuku.jp/,塾・予備校,
みちのく荘／金谷デイサービスセンター,035-0072,青森県,むつ市,金谷2丁目20-1,0175-23-0771,0175-23-0761,http://www.michinokuso.jp/,介護・福祉,
株式会社サンデー／むつ中央店,035-0073,青森県,むつ市,中央2丁目6-13,0175-29-1020,0175-29-1006,http://www.sunday.co.jp/,生活用品,
有限会社むつパーツ／本社,035-0043,青森県,むつ市,南赤川町10-18,0175-22-1021,0175-28-2005,http://www.mutsuparts.co.jp/,N.A.,
下北地方森林組合,035-0072,青森県,むつ市,金谷1丁目2-32,0175-22-1041,0175-22-8944,http://www.forest-plan.org/,組合・団体,
ジェームスむつ店,035-0066,青森県,むつ市,緑ヶ丘32-1,0175-33-1051,0175-33-1052,http://www.jms-car.com/,車検・整備・修理,
全国観光写真事業協同組合,N.A.,青森県,むつ市,新町2-10,0175-22-1054,N.A.,http://www.kinenshashin.com/,組合・団体,
下北地域広域行政事務組合／消防本部／通信指令課,035-0071,青森県,むつ市,小川町2丁目14-1,0175-33-1063,0175-22-0114,http://shimoko.e-shimokita.jp/,消防・警察,
育栄管財株式会社下北営業所,035-0033,青森県,むつ市,横迎町2丁目16-44,0175-33-1066,0175-33-1067,http://www.ikuei-aom.co.jp/,ビルメンテナンス,
となみ療護園,035-0021,青森県,むつ市,大字田名部字赤川ノ内並木14-245,0175-33-1100,0175-33-1200,http://www.tonami.or.jp/,介護・福祉,
海上自衛隊／時間外休日総監部当直室,035-0093,青森県,むつ市,大湊町4-1,0175-24-1111,N.A.,http://www.mod.go.jp/,官公署,
株式会社東酸,N.A.,青森県,むつ市,真砂町3-1,0175-29-1120,0175-29-3011,http://www.kk-tosan.co.jp/,その他サービス,
プラザホテルむつ／婚礼宴会予約直通,035-0061,青森県,むつ市,下北町2-46,0175-23-1122,N.A.,https://www.ph-m.online/,結婚・宴会,
ファッションセンターしまむらむつ店,035-0073,青森県,むつ市,中央2丁目2-8,0175-33-1127,N.A.,http://www.shimamura.gr.jp/,洋服,
株式会社熊谷建設工業,035-0073,青森県,むつ市,中央1-5-7,0175-22-1141,0175-23-4541,http://www.kumagai-kk.co.jp/,総合・職別工事業,
青い森信用金庫／大湊支店,035-0085,青森県,むつ市,大湊浜町8-4,0175-24-1151,N.A.,http://www.aoimorishinkin.co.jp/,金融・郵貯・貸金,
有限会社ソノダビューティスタジオ,N.A.,青森県,むつ市,金曲一丁目2-7苫生モール,0175-22-1155,N.A.,http://www.mutsucci.or.jp/,美容院・理容店・毛髪業,
株式会社大湊精電社,035-0084,青森県,むつ市,大湊新町8-5,0175-24-1181,0175-24-1192,http://www.oominato-sd.co.jp/,電話・通信,
青森県立／田名部高等学校,035-0054,青森県,むつ市,海老川町6-18,0175-22-1184,0175-23-7233,http://www.shimokita.asn.ed.jp/,小・中・高・大学等,
