▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
東北メディカル学院,039-1522,青森県,三戸郡五戸町,字苗代沢3-6,0178-61-0606,0178-61-0034,http://www.rinken.ac.jp/,専修学校,
コメリハード&グリーン五戸店,039-1511,青森県,三戸郡五戸町,字鍜冶屋窪上ミ11-1,0178-61-0607,N.A.,http://www.komeri.bit.or.jp/,生活用品,
五戸町図書館,039-1558,青森県,三戸郡五戸町,字舘1-1,0178-61-1040,0178-61-1039,http://www.lib.5nohe.jp/,図書館,
デイサービスセンターにこにこプラザ五戸,039-1553,青森県,三戸郡五戸町,字川原町西裏5-80,0178-61-1060,0178-61-1062,http://www.sg-kumiai.or.jp/,介護・福祉,
株式会社東北産業,N.A.,青森県,三戸郡五戸町,大字豊間内字地蔵平1-865,0178-61-1100,0178-61-1101,http://touhokusangyou.jp/,建設業・工務店,
東北山田車体工業株式会社,039-1524,青森県,三戸郡五戸町,豊間内地蔵平1-750,0178-61-1111,0178-61-1112,http://www.tohoku-yamada.co.jp/,製造・加工（輸送機械器具）,
株式会社県南環境研究所,039-1527,青森県,三戸郡五戸町,大字扇田字西ノ沢9-102,0178-61-1120,0176-22-2662,http://www.kennankankyo.jp/,環境,
田中医院,039-1511,青森県,三戸郡五戸町,字鍜冶屋窪上ミ33-2,0178-61-1155,0178-61-1156,http://www.tanaka-iin.or.jp/,医院・診療所・療養所,
有限会社青森県農産物生産組合,039-1512,青森県,三戸郡五戸町,西の沢61,0178-61-1511,N.A.,http://syamorock.jp/,組合・団体,
八戸農業協同組合／ごのへ直売所,039-1558,青森県,三戸郡五戸町,字博労町21-1,0178-61-1815,0178-61-1815,http://www.ja-hachinohe.or.jp/,組合・団体,
八州スペースコンサル株式会社,039-1527,青森県,三戸郡五戸町,扇田字西ノ沢9-118,0178-67-2000,0178-67-2001,http://hassyu.jp/,相談・調査,
アピル五戸,039-1548,青森県,三戸郡五戸町,字新町34-3,0178-62-2011,0178-62-5955,http://www.hi-net.ne.jp/,結婚・宴会,
八戸農業協同組合／倉石支店,039-1702,青森県,三戸郡五戸町,大字倉石中市字上ミ平19-1,0178-77-2051,0178-77-3250,http://www.ja-hachinohe.or.jp/,組合・団体,
サンコーコンサルタント株式会社,039-1527,青森県,三戸郡五戸町,扇田字西ノ沢9-118,0178-67-2087,N.A.,http://www.suncoh.co.jp/,ビルメンテナンス,
五戸町役場,039-1513,青森県,三戸郡五戸町,字古舘21-1,0178-62-2111,0178-62-6317,http://www.town.gonohe.aomori.jp/,市区町村機関,
八戸酒類株式会社五戸工場,039-1554,青森県,三戸郡五戸町,字川原町12,0178-62-2115,0178-62-3013,http://www.jyokuu.com/,酒・飲料品,
株式会社阿部繁孝商店,039-1527,青森県,三戸郡五戸町,大字扇田字家ノ向17-1,0178-67-2203,0178-67-2203,http://www.abehan.co.jp/,製造・加工（食料品）,
ひばり野スポーツ交流センター,039-1524,青森県,三戸郡五戸町,大字豊間内字地蔵平1-407,0178-62-2211,0178-62-2213,http://www.gonohe-sppc.com/,スポーツ施設,
八戸農業協同組合／川内支店,039-1502,青森県,三戸郡五戸町,大字切谷内字菖蒲川下平33,0178-68-2211,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／東部・中央営農センター川内,039-1502,青森県,三戸郡五戸町,大字切谷内字菖蒲川下平33,0178-68-2212,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
三八五流通株式会社五戸支店,039-1524,青森県,三戸郡五戸町,大字豊間内字地蔵平1-751,0178-62-2221,0178-61-0206,http://www.miyago.co.jp/,宅配便,
みちのく銀行五戸支店,039-1559,青森県,三戸郡五戸町,字下大町17-1,0178-62-2251,N.A.,http://www.michinokubank.co.jp/,金融・郵貯・貸金,
株式会社菊駒酒造,039-1554,青森県,三戸郡五戸町,字川原町12,0178-62-2323,0178-62-6639,http://www.kikukoma.com/,酒・飲料品,
八戸農業協同組合／グリーンセンターあぐりす,039-1502,青森県,三戸郡五戸町,大字切谷内字中菖蒲川31-5,0178-68-2415,0178-68-3315,http://www.ja-hachinohe.or.jp/,組合・団体,
株式会社川村土木,039-1564,青森県,三戸郡五戸町,古舘下川原23-1,0178-62-2543,0178-62-3026,http://www.kawamura-d.com/,総合・職別工事業,
東北三吉工業株式会社,039-1524,青森県,三戸郡五戸町,豊間内字地蔵平1-622,0178-62-2545,0178-62-6054,http://www.tomiy.com/,製造・加工（工作機械・一般機械器具）,
有限会社橘機工,039-1501,青森県,三戸郡五戸町,大字切谷内字菖蒲川下谷地22-1,0178-68-2625,0178-68-3091,http://www.t-kikous.com/,製造・加工（鉄鋼製品）,
有限会社平養蜂場,039-1504,青森県,三戸郡五戸町,兎内40,0178-62-2754,0178-62-6090,http://www.tairayoho.jp/,農業,
山部米穀店,039-1534,青森県,三戸郡五戸町,字荒町14-1,0178-62-2760,0178-20-8678,http://www.yamaberice.com/,食料品,
株式会社スーパーハウス,039-1501,青森県,三戸郡五戸町,上市川字三方塚48-63,0178-68-2889,0178-68-3461,http://www.hi-net.ne.jp/,リース・レンタル,
南部バス株式会社／整備工場,039-1518,青森県,三戸郡五戸町,字下モ沢向13-167,0178-62-3066,0178-62-3086,http://www.nanbubus.co.jp/,車検・整備・修理,
有限会社菊六書店,039-1548,青森県,三戸郡五戸町,字新町23-1,0178-62-3108,0178-61-1037,https://u404142.bizloop.jp/?corp_id=u404142,本,
青い森信用金庫五戸支店,039-1533,青森県,三戸郡五戸町,字上大町37-5,0178-62-3131,N.A.,http://www.aoimorishinkin.co.jp/,金融・郵貯・貸金,
五戸町商工会,039-1548,青森県,三戸郡五戸町,字新町24-1,0178-62-3151,0178-62-4877,http://gonohe-syokokai.hi-net.ne.jp/,組合・団体,
南部バス株式会社,039-1518,青森県,三戸郡五戸町,字下モ沢向13-167,0178-62-3211,0178-62-3212,http://www.nanbubus.co.jp/,運送・貨物・倉庫,
南部バス株式会社／五戸営業所,039-1518,青森県,三戸郡五戸町,字下モ沢向13-167,0178-62-3212,0178-62-3212,http://www.nanbubus.co.jp/,交通機関,
村越シャモロックパーク,039-1702,青森県,三戸郡五戸町,大字倉石中市字中平54,0178-77-3220,0178-77-2546,http://murakoshi-syamorockpark.jp/,農業,
めぐみ保育園,039-1516,青森県,三戸郡五戸町,字市川道十文字3-2,0178-62-3224,0178-62-7604,http://www.megumihoikuen.com/,幼稚園・保育施設,
五戸警察署,039-1518,青森県,三戸郡五戸町,字下モ沢向13-6,0178-62-3241,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
