▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
南部町立／剣吉小学校,039-0612,青森県,三戸郡南部町,大字剣吉字大舘10-1,0178-75-0009,0178-75-1779,http://www.hi-net.ne.jp/,小・中・高・大学等,
夏堀仕出し店,039-0612,青森県,三戸郡南部町,大字剣吉字大坊8-10,0178-75-0036,0178-84-2592,http://www.nanbu-kanko.com/,食料品,
株式会社堀内工務店,039-0103,青森県,三戸郡南部町,大字大向字後渡62-5,0179-22-0161,0179-22-0160,http://horisoto.jp/,リフォーム,
南部町役場／名川チェリーセンター,039-0614,青森県,三戸郡南部町,大字虎渡字西山27-1,0178-75-0166,0178-84-2592,http://www.nanbu-kanko.com/,市区町村機関,
有限会社高森畳工店,039-0612,青森県,三戸郡南部町,大字剣吉字四反田21-6,0178-75-0274,0178-75-0310,http://tatamiweb.com/,製造・加工（建築資材）,
青森県立南部工業高等学校,039-0103,青森県,三戸郡南部町,大字大向字佐野平25,0179-22-0326,0179-20-1066,http://www.sanpachi-s.asn.ed.jp/,小・中・高・大学等,
有限会社名川製作所,039-0614,青森県,三戸郡南部町,虎渡字蒼前8-11,0178-75-0731,0178-75-0882,http://www.nagawa-ss.co.jp/qhm/index.php,製造・加工（電子・精密機械器具）,
有限会社名川製作所／本社,039-0614,青森県,三戸郡南部町,大字虎渡字蒼前8-11,0178-75-0882,0178-75-0882,http://www.nagawa-ss.co.jp/qhm/index.php,製造・加工（電子・精密機械器具）,
株式会社宮本農機,039-0612,青森県,三戸郡南部町,剣吉字大坊7-1,0178-75-1000,0178-75-1121,http://miyamoto.noukigu.net/,販売・卸（工作機械・一般機械器具）,
多摩川ハイテック株式会社福地第一工場,039-0811,青森県,三戸郡南部町,大字法師岡字勘右エ門山1-1,0178-60-1107,0178-60-1108,http://tamagawa-hightech.co.jp/jp/index.php,製造・加工（電子・精密機械器具）,
夏堀デンタルクリニック福地診療所,039-0802,青森県,三戸郡南部町,大字苫米地字町中22,0178-60-1111,N.A.,http://www.natsubori-dc.com/,歯科系,
株式会社サンデーホームマート名川店,039-0611,青森県,三戸郡南部町,大字斗賀字沼田78,0178-75-1117,0178-75-1117,http://www.sunday.co.jp/,生活用品,
有限会社名川製作所／中河原工場,039-0612,青森県,三戸郡南部町,大字剣吉字中河原1-26,0178-75-1221,0178-75-0882,http://www.nagawa-ss.co.jp/qhm/index.php,製造・加工（電子・精密機械器具）,
稲村歯科医院,039-0502,青森県,三戸郡南部町,大字下名久井字如来堂6-10,0178-76-1717,0178-76-1717,http://inamura-dc.com/,歯科系,
有限会社名川ウメ・サクランボ加工センター,039-0507,青森県,三戸郡南部町,大字高瀬字西宮野39-2,0178-76-1781,0178-76-2136,http://www.higashi-noen.com/,製造・加工（食料品）,
青い森鉄道／剣吉駅,039-0612,青森県,三戸郡南部町,大字剣吉字大坊13,0178-75-1866,N.A.,http://aoimorirailway.com/,交通機関,
南部町立／名川中学校,039-0502,青森県,三戸郡南部町,大字下名久井字白山81,0178-76-2110,0178-76-3971,https://sites.google.com/site/mingchuanzhongxuexiao/,小・中・高・大学等,
有限会社アグリーデザイン,N.A.,青森県,三戸郡南部町,大字上名久井字伊勢堂下7,0178-76-2112,0178-76-2115,http://www.agree-design.com/,食料品,
青森県信用組合南部支店,039-0103,青森県,三戸郡南部町,大字大向字勘吉46-6,0179-22-2158,0179-23-5016,http://www.aomoriken.shinkumi.co.jp/,金融・郵貯・貸金,
青森県信用組合名川支店,039-0503,青森県,三戸郡南部町,大字平字広場20-2,0178-76-2204,0178-76-2804,http://www.aomoriken.shinkumi.co.jp/,金融・郵貯・貸金,
八戸農業協同組合／名川支店,039-0503,青森県,三戸郡南部町,大字平字広場25-4,0178-76-2211,0178-76-3411,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／名川グリーンセンター,039-0503,青森県,三戸郡南部町,大字平字広場25-4,0178-76-2212,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
青森県立名久井農業高等学校／事務室,039-0502,青森県,三戸郡南部町,大字下名久井字下諏訪平1,0178-76-2215,0178-76-2234,http://www.sanpachi-s.asn.ed.jp/,小・中・高・大学等,
八戸農業協同組合／東部・中央営農センター福地・舘,039-0802,青森県,三戸郡南部町,大字苫米地字蒼前11-6,0178-84-2222,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
薬王堂南部町店,039-0105,青森県,三戸郡南部町,大字沖田面字沖中85-1,0179-34-2227,N.A.,http://www.yakuodo.co.jp/,薬,
あかね幼稚園,039-0815,青森県,三戸郡南部町,大字福田字あかね3-122,0178-84-2310,0178-84-2340,http://www.akane-y.jp/,幼稚園・保育施設,
郵便局株式会社,039-0501,青森県,三戸郡南部町,上名久井中町32-2,0178-76-2316,N.A.,http://map.japanpost.jp/,その他サービス,
清岳園,039-0502,青森県,三戸郡南部町,大字下名久井字高森57-7,0178-76-2467,0178-25-6721,http://www.seishou.jp/,介護・福祉,
法光寺,039-0506,青森県,三戸郡南部町,大字法光寺字法光寺20,0178-76-2506,0178-76-2625,http://www.nanbu-kanko.com/,宗教,
丸保不動産,039-0501,青森県,三戸郡南部町,大字上名久井字外ノ沢10-2,0178-76-2623,0178-76-2682,http://www.matsumoto-k.co.jp/,不動産,
留長果樹園,039-0103,青森県,三戸郡南部町,大字大向字後構68-2,0179-22-2818,0179-23-4179,http://www.tomechou.com/,観光・温泉・銭湯,
バーデパーク,039-0802,青森県,三戸郡南部町,大字苫米地字上根岸73-1,0178-84-2850,0178-84-2851,http://www.badepark.com/,観光・温泉・銭湯,
名川町農業観光案内所,039-0501,青森県,三戸郡南部町,大字上名久井字大渋民山23,0178-76-3020,0178-76-3020,http://nkankoutasyamura.web.fc2.com/,観光・温泉・銭湯,
誠果園,039-0104,青森県,三戸郡南部町,大字小向字正寿寺77,0179-23-3079,0179-23-5600,http://seikaen-apple.com/apple/,観光・温泉・銭湯,
かわむら内科クリニック,039-0802,青森県,三戸郡南部町,大字苫米地字町中22,0178-84-3111,0178-84-3112,http://www.kawacli.com/,内科系,
みちのく銀行南部支店,039-0103,青森県,三戸郡南部町,大字大向字経ケ森10-3,0179-23-3118,N.A.,http://www.michinokubank.co.jp/,金融・郵貯・貸金,
南部病院,039-0105,青森県,三戸郡南部町,大字沖田面字千刈36-2,0179-34-3131,0179-34-3130,http://nanbu-hp.or.jp/,医院・診療所・療養所,
株式会社三戸日産,039-0105,青森県,三戸郡南部町,大字沖田面字久保31,0179-34-3133,0179-34-3382,https://ni-aomori.nissan-dealer.jp/,車検・整備・修理,
川守田観光さくらんぼ園,039-0502,青森県,三戸郡南部町,大字下名久井字場口沢14-1,0178-76-3242,0178-76-3244,http://www11.plala.or.jp/,観光・温泉・銭湯,
八戸農業協同組合／南部グリーンセンター,039-0103,青森県,三戸郡南部町,大字大向字小波田24-4,0179-23-3267,0179-23-3269,http://www.ja-hachinohe.or.jp/,組合・団体,
釜渕運送有限会社南部営業所,039-0105,青森県,三戸郡南部町,大字沖田面字千刈26,0179-34-3313,0179-34-3313,http://kamabuchiunso.com/,ゴミ収集・資源回収,
ホームセンターかんぶん三戸店／配達くん,039-0103,青森県,三戸郡南部町,大字大向字後構20-3,0179-22-3333,N.A.,http://www.kanbun.com/,生活用品,
孔明荘,039-0802,青森県,三戸郡南部町,大字苫米地字蒼前11-1,0178-84-3333,0178-84-3005,http://komeisou.or.jp/,介護・福祉,
株式会社東自動車／スバルショップ三戸沖田面,039-0105,青森県,三戸郡南部町,大字沖田面字千刈50,0179-34-3416,0179-34-3493,http://www.subaru-shop-sss.jp/,自動車販売,
三信包装株式会社,039-0811,青森県,三戸郡南部町,大字法師岡字仁右エ門山3-12,0178-84-3480,0178-84-3875,http://sansin-hoso.co.jp/,製造・加工（その他）,
青森トヨペット株式会社三戸店,039-0105,青森県,三戸郡南部町,大字沖田面字沖中161,0179-34-3567,N.A.,http://www.aomoritoyopet.jp/,自動車販売,
ケクー・カフェ,039-0802,青森県,三戸郡南部町,大字苫米地字下宿7,0178-84-3739,0178-84-3739,http://www.kekucafe.com/,喫茶店・カフェ,
