▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
白萩平温泉ふれあい牧場,039-0316,青森県,三戸郡田子町,大字関字白萩平,0179-33-1088,0179-33-1571,http://machispa.la.coocan.jp/,観光・温泉・銭湯,
有限会社日沢建設,039-0317,青森県,三戸郡田子町,山口字山口14,0179-33-1839,0179-33-1139,http://www.hizawa.co.jp/,リフォーム,
田子町役場／創遊村／229スキーランドスキーセンター,039-0201,青森県,三戸郡田子町,大字田子字川代ノ上ミ66-39,0179-32-2100,0179-32-2100,http://www.souyumura.sakura.ne.jp/,市区町村機関,
ホンダカーズ田子,039-0201,青森県,三戸郡田子町,大字田子字上野ノ下タ1-7,0179-32-2167,0179-32-2120,http://dealer.honda.co.jp/,自動車販売,
田子町商工会,039-0201,青森県,三戸郡田子町,大字田子字風張13-1,0179-32-2177,0179-32-4295,http://jptakko.com/,組合・団体,
石亀歯科医院,039-0201,青森県,三戸郡田子町,大字田子字田子34-1,0179-32-2264,N.A.,http://www.ishigameshika.com/,歯科系,
釜渕運送有限会社,039-0201,青森県,三戸郡田子町,田子字七日市上ノ平82-1,0179-32-2299,0179-32-2299,http://kamabuchiunso.com/,運送・貨物・倉庫,
釜渕運送有限会社,039-0200,青森県,三戸郡田子町,大字田子字七日市上ノ平82番地1,0179-32-2300,0179-32-2195,http://kamabuchiunso.com/,その他サービス,
株式会社七洋田子営業所,039-0201,青森県,三戸郡田子町,大字田子字風張12-19,0179-32-2817,0179-32-3332,http://www.nanayo.com/,販売・卸（日用品）,
田子町役場,039-0201,青森県,三戸郡田子町,大字田子字天神堂平81,0179-32-3111,0179-32-4294,http://www.town.takko.lg.jp/,市区町村機関,
八戸農業協同組合／田子支店,039-0201,青森県,三戸郡田子町,大字田子字天神堂平76,0179-32-3121,0179-32-4379,http://www.ja-hachinohe.or.jp/,組合・団体,
株式会社阿部繁孝商店／田子ブロイラー工場,039-0201,青森県,三戸郡田子町,大字田子字舞手10,0179-32-3151,0179-32-3153,http://www.abehan.co.jp/,農業,
田子町役場／ガーリックセンター,039-0201,青森県,三戸郡田子町,大字田子字田子11,0179-32-3165,0179-32-3167,http://www.garlicenter.com/,市区町村機関,
田子町国民健康保険町立田子診療所,039-0201,青森県,三戸郡田子町,大字田子字前田2-17,0179-32-3171,0179-32-4253,http://www.takkohp.takko.aomori.jp/,外科系,
肉の博明,039-0201,青森県,三戸郡田子町,大字田子字天神堂向41-5,0179-32-3307,0179-32-2455,http://www.nikuno-hiroaki.jp/,食料品,
青森県信用組合田子支店,039-0201,青森県,三戸郡田子町,大字田子字田子21,0179-32-3320,N.A.,http://www.aomoriken.shinkumi.co.jp/,金融・郵貯・貸金,
株式会社七洋／田子営業所,039-0201,青森県,三戸郡田子町,大字田子字風張12-19,0179-32-3332,0179-32-3332,http://www.nanayo.com/,水道・ガス・電力,
株式会社岡崎屋,039-0201,青森県,三戸郡田子町,大字田子字小沼21-5,0179-32-3600,0179-32-3601,http://www.e-ninniku.com/,販売・卸（食料品）,
有限会社ハルミ内装,039-0201,青森県,三戸郡田子町,字天神堂平59-6,0179-34-3636,0179-32-2799,http://www.aomori-kensokyo.com/,建設業・工務店,
株式会社稲村鉄工所,039-0201,青森県,三戸郡田子町,田子字下田子下モ平30,0179-32-3640,0179-32-4550,http://www.inamura-tekkousho.com/,製造・加工（鉄鋼製品）,
みろく苑,039-0201,青森県,三戸郡田子町,大字田子字七日市上ノ平60,0179-32-3699,0179-32-4369,http://mirokuen.com/,介護・福祉,
八戸農業協同組合／田子精米所,039-0201,青森県,三戸郡田子町,大字田子字七日市15-1,0179-32-4003,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／田子グリーンセンター,039-0201,青森県,三戸郡田子町,大字田子字七日市15-1,0179-32-4058,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／田子野菜処理加工施設,039-0201,青森県,三戸郡田子町,大字田子字釜渕平21,0179-32-4137,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
太子食品工業株式会社,039-0201,青森県,三戸郡田子町,大字田子字池振外平17-1,0179-32-4145,0179-32-3222,http://www.taishi-food.co.jp/,食料品,
株式会社和の郷,039-0201,青森県,三戸郡田子町,大字田子字川代ノ上ミ66-39,0179-32-4343,0179-32-4340,http://www.aomori-ninniku.jp/,通販,
田子町役場／創遊村,039-0201,青森県,三戸郡田子町,大字田子字川代ノ上ミ66-39,0179-32-4344,0179-32-2231,http://www.souyumura.sakura.ne.jp/,観光・温泉・銭湯,
八戸農業協同組合／田子にんにく専用CA冷蔵庫,039-0201,青森県,三戸郡田子町,大字田子字釜渕平21,0179-20-7215,0179-20-7216,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／田子営農センター,039-0201,青森県,三戸郡田子町,大字田子字七日市15-1,0179-20-7711,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／田子支店／貯金窓口,039-0201,青森県,三戸郡田子町,大字田子字天神堂平76,0179-20-7712,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／田子支店／融資窓口,039-0201,青森県,三戸郡田子町,大字田子字天神堂平76,0179-20-7713,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
八戸農業協同組合／田子支店／共済窓口,039-0201,青森県,三戸郡田子町,大字田子字天神堂平76,0179-20-7714,N.A.,http://www.ja-hachinohe.or.jp/,組合・団体,
株式会社たから,N.A.,青森県,三戸郡田子町,大字茂市字佐内田15-3,0179-20-8550,0179-20-8551,https://takara229.com/ec/,食料品,
