▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
あすなろの里,039-1208,青森県,三戸郡階上町,大字角柄折字志民久保12-68,0178-20-0188,0178-20-0187,http://asunaronosato.com/,介護・福祉,
平成荘,039-1212,青森県,三戸郡階上町,蒼前西6丁目9-2637,0178-88-1115,0178-88-1115,http://heiseisou.com/,不動産,
いずみホールはしかみ,039-1211,青森県,三戸郡階上町,蒼前東2丁目9-25,0178-88-1232,0178-80-7675,http://www.izumi-hall.com/,葬儀,
ファッションセンターしまむら階上店,039-1201,青森県,三戸郡階上町,大字道仏字耳ケ吠43-1,0178-80-1261,N.A.,http://www.shimamura.gr.jp/,洋服,
株式会社薬王堂青森階上店,039-1201,青森県,三戸郡階上町,大字道仏字耳ケ吠6-269,0178-88-1266,N.A.,http://www.yakuodo.co.jp/,薬,
コメリホームセンター青森階上店／本館,039-1201,青森県,三戸郡階上町,大字道仏字天当平1-123,0178-80-1370,0178-80-1372,http://www.komeri.bit.or.jp/,生活用品,
株式会社北日本中央観光バス,039-1201,青森県,三戸郡階上町,道仏耳ケ吠8-1,0178-88-1515,0178-88-5450,http://kitabus.co.jp/,運送・貨物・倉庫,
有限会社森工務店,039-1212,青森県,三戸郡階上町,蒼前西3丁目9-1131,0178-88-1522,0178-88-5684,http://woodwork.fte.jp/,総合・職別工事業,
ビッグフット秀和,039-1212,青森県,三戸郡階上町,蒼前西1丁目9-3171,0178-88-1600,0178-88-1611,http://www.bess.jp/,不動産,
ユニバース／階上店,039-1201,青森県,三戸郡階上町,大字道仏字耳ケ吠43-369,0178-80-1730,0178-21-1811,http://www.universe.co.jp/,コンビニ・スーパー・デパート,
アジア海洋株式会社,039-1201,青森県,三戸郡階上町,道仏字耳ヶ吠2-29,0178-80-1751,N.A.,http://www.owa.co.jp/,建設業・工務店,
ハッピードラッグ階上店,039-1201,青森県,三戸郡階上町,大字道仏字耳ケ吠33-44,0178-80-1788,0178-80-1131,http://happydrug.co.jp/,薬,
階上町役場／道の駅はしかみ,039-1201,青森県,三戸郡階上町,大字道仏字耳ケ吠3-3,0178-88-1800,0178-88-1801,http://www.michinoeki-hashikami.jp/,市区町村機関,
階上町立／赤保内小学校,039-1202,青森県,三戸郡階上町,大字赤保内字耳ケ吠6-1,0178-88-2019,0178-88-1804,http://www.hi-net.ne.jp/,小・中・高・大学等,
寺下観音,039-1202,青森県,三戸郡階上町,大字赤保内字寺下8,0178-88-2027,N.A.,http://www.t-toumon.jp/,宗教,
階上町立／道仏中学校,039-1201,青森県,三戸郡階上町,大字道仏字蓬窪4-7,0178-89-2121,0178-80-6005,https://www.hi-net.ne.jp/,小・中・高・大学等,
八戸農業協同組合／階上支店,039-1202,青森県,三戸郡階上町,大字赤保内字耳ケ吠6-42,0178-88-2221,0178-88-4063,http://www.ja-hachinohe.or.jp/,組合・団体,
シナネン株式会社八戸営業所,039-1211,青森県,三戸郡階上町,蒼前東1丁目9-1141,0178-88-2286,0178-88-3634,http://www.sinanen.com/,販売・卸（日用品）,
山崎建工,039-1212,青森県,三戸郡階上町,蒼前西6-9-2205,0178-88-2563,0178-88-4260,http://www.yamazakikenko.jp/,リフォーム,
株式会社山道建設,039-1201,青森県,三戸郡階上町,道仏字白座窪22,0178-89-2753,0178-87-3279,http://yamamichi-kk.com/,リフォーム,
株式会社オダカネ,039-1201,青森県,三戸郡階上町,道仏字榊山11-44,0178-87-3006,0178-89-2849,http://www.odakane.jp/,製造・加工（食料品）,
社会福祉法人階上町社会福祉協議会,039-1201,青森県,三戸郡階上町,大字道仏字天当平1-182,0178-88-3067,0178-88-3069,http://www.shakyo.or.jp/,組合・団体,
八戸観光開発株式会社,039-1202,青森県,三戸郡階上町,赤保内字大渡21-27,0178-88-3211,0178-88-3197,http://hachinohecc.com/,ゴルフ,
八戸カントリークラブ,039-1202,青森県,三戸郡階上町,大字赤保内字大渡21-27,0178-88-3213,0178-88-3197,http://hachinohecc.com/,ゴルフ,
八戸ライセンススクール,039-1211,青森県,三戸郡階上町,蒼前東3丁目6-225,0178-88-3340,0178-88-3430,https://hachinohels.jp/,資格,
有限会社野原,039-1201,青森県,三戸郡階上町,道仏字野附窪6-20,0178-87-3344,0178-89-2502,http://www.nohara-lohas.com/,販売・卸（工作機械・一般機械器具）,
見心園在宅介護支援センター,039-1202,青森県,三戸郡階上町,大字赤保内字道仏道添21-12,0178-88-3355,0178-88-3355,http://www.kenshinen.jp/,介護・福祉,
伊勢屋金網工業株式会社八戸営業所,039-1211,青森県,三戸郡階上町,蒼前東1丁目9-91,0178-88-3361,0178-88-3363,http://www.iseya-k.co.jp/,エクステリア,
株式会社青森ポートリー／本社,039-1211,青森県,三戸郡階上町,蒼前東2丁目9-46,0178-88-3471,0178-88-3473,http://www.aopou.jp/,農業,
有限会社タケダサプライ不動産部,039-1211,青森県,三戸郡階上町,蒼前東4丁目6-16,0178-88-3518,0178-88-4784,http://www.takeda-supply.com/,不動産,
東門,039-1202,青森県,三戸郡階上町,大字赤保内字寺下13-1,0178-88-3987,0178-88-4312,http://www.t-toumon.jp/,レストラン,
八戸愛犬警察犬訓練所,039-1208,青森県,三戸郡階上町,大字角柄折字穴子沢6-19,0178-88-4049,0178-88-4049,http://www16.plala.or.jp/,犬訓練所,
ローソン階上町店,039-1212,青森県,三戸郡階上町,蒼前西7丁目9-2318,0178-88-4114,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
イワタニ・ケンボロー株式会社田代農場,039-1206,青森県,三戸郡階上町,大字田代字蛇平11,0178-88-4355,0178-88-4352,http://www.camb.co.jp/,農業,
河内屋金物株式会社,039-1121,青森県,三戸郡階上町,蒼前二丁目9-34,0178-88-4646,0178-88-4817,http://www.kawachiya-kanamono.com/,建設業・工務店,
株式会社キユーソー流通システム階上営業所,039-1208,青森県,三戸郡階上町,大字角柄折字新沼館9-159,0178-88-4666,0178-88-4664,http://www.krs.co.jp/,運送・貨物・倉庫,
八戸炭酸カルシウム工業株式会社／八戸工場,039-1208,青森県,三戸郡階上町,大字角柄折字柳平28-6,0178-88-4831,0178-88-4832,http://www.miyago.co.jp/,鉱業,
有限会社レンタルサービス興業,039-1208,青森県,三戸郡階上町,蒼前西3-9-1833,0178-88-5441,0178-88-6511,http://www.rs-rental.co.jp/,リース・レンタル,
磯島不動産,039-1212,青森県,三戸郡階上町,蒼前西2丁目9-152,0178-88-5505,0178-88-5525,http://www.isojima.jp/,不動産,
小松内科医院,039-1201,青森県,三戸郡階上町,道仏字天当平1-189,0178-88-5515,N.A.,http://www.komatsunaika.com/,医院・診療所・療養所,
ウッドワーク,039-1212,青森県,三戸郡階上町,蒼前西1丁目9-156,0178-88-5559,0178-88-5559,http://woodwork.fte.jp/,製造・加工（木製品・紙・パルプ関連）,
株式会社スガテック／八戸営業所,039-1201,青森県,三戸郡階上町,大字道仏字耳ケ吠3-223,0178-88-5588,0178-88-5590,http://www.sugatec.co.jp/,総合・職別工事業,
株式会社ヒカリ総合交通八戸営業所,039-1201,青森県,三戸郡階上町,大字道仏字中大古里23-14-2,0178-80-6688,0178-80-6677,http://www.hikarisogokotu.com/,交通機関,
おしゃべりハウス,039-1201,青森県,三戸郡階上町,大字道仏字耳ケ吠6-583,0178-88-6929,0178-88-6929,http://www.atv.jp/,肉料理,
夢（特定非営利活動法人）,039-1211,青森県,三戸郡階上町,蒼前東1丁目9-1794,0178-20-8570,0178-20-8571,http://npoyoume.web.fc2.com/,介護・福祉,
