▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
マルナカ漁業,039-3171,青森県,上北郡野辺地町,字下御手洗瀬24-1,0175-64-0020,0175-64-7040,https://www.marunaka-gyogyou.com/,食料品,
ゆうき青森農業協同組合／千草橋集出荷所,039-3105,青森県,上北郡野辺地町,字干草橋22-3,0175-64-0024,0175-64-0388,http://www.ja-yuukiaomori.or.jp/,組合・団体,
株式会社マルイチ横浜,039-3172,青森県,上北郡野辺地町,鳥井平34-92,0175-64-0161,0175-64-9246,http://www.maruichiyokohama.co.jp/,食料品,
三八五引越センター,039-3172,青森県,上北郡野辺地町,字鳥井平34-188,0175-64-0385,0178-27-0429,http://www.0385.co.jp/,運送・貨物・倉庫,
郵便局株式会社,039-3179,青森県,上北郡野辺地町,馬門81,0175-64-0399,N.A.,http://map.japanpost.jp/,その他サービス,
auショップ野辺地,039-3171,青森県,上北郡野辺地町,字二本木24-1,0175-65-1033,0175-65-1525,https://www.kcs.ne.jp/,電話・通信,
新むつ小川原株式会社青森本部,039-3114,青森県,上北郡野辺地町,字助佐小路12-1,0175-64-1063,0175-64-1178,http://www.shinmutsu.co.jp/,不動産,
蔦屋,039-3154,青森県,上北郡野辺地町,字上小中野39-19,0175-64-1111,N.A.,http://tsutaya777.web.fc2.com/,レストラン,
東芝電材マーケティング株式会社,039-3112,青森県,上北郡野辺地町,字中道22,0175-64-1113,0175-64-1218,https://www.tsdm.co.jp/tsdm/,販売・卸（建設資材）,
マックスバリュ東北株式会社,039-3171,青森県,上北郡野辺地町,字二本木24-1,0175-65-1234,0175-64-8100,http://www.mv-tohoku.co.jp/,コンビニ・スーパー・デパート,
大和電設工業株式会社野辺地技術センター,039-3131,青森県,上北郡野辺地町,字野辺地26-1,0175-65-1237,0175-64-1637,http://www.ddk.co.jp/,設備工事業,
公文式野辺地町教室,039-3163,青森県,上北郡野辺地町,字新町裏34,0175-64-1287,N.A.,http://www.kumon.ne.jp/,塾・予備校,
有限会社熊谷造花店,039-3131,青森県,上北郡野辺地町,字野辺地167-1,0175-64-1331,N.A.,http://www.e-sogi.com/,リース・レンタル,
ハッピードラッグ野辺地店,039-3171,青森県,上北郡野辺地町,字二本木25-5,0175-65-1455,0175-65-1455,http://happydrug.co.jp/,薬,
ゲオ野辺地駅前店,039-3154,青森県,上北郡野辺地町,字上小中野6-12,0175-65-1811,0175-65-1812,http://geo-online.co.jp/,賃貸・レンタル,
かっぱ寿司野辺地店,039-3171,青森県,上北郡野辺地町,字二本木31-1,0175-65-2011,045-224-7401,http://www.kappa-create.co.jp/,中華・中国料理,
野辺地町役場,039-3131,青森県,上北郡野辺地町,字野辺地123-1,0175-64-2111,0175-64-9594,http://www.town.noheji.aomori.jp/,市区町村機関,
野辺地警察署,039-3163,青森県,上北郡野辺地町,字新町裏1-1,0175-64-2121,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
野坂工務店,039-3142,青森県,上北郡野辺地町,字久田18-5,0175-64-2124,0175-64-0132,http://nozaka-k.com/,総合・職別工事業,
青い森信用金庫／野辺地支店,039-3131,青森県,上北郡野辺地町,字野辺地107-4,0175-64-2141,N.A.,http://www.aoimorishinkin.co.jp/,金融・郵貯・貸金,
東奥日報社野辺地支局,039-3131,青森県,上北郡野辺地町,字野辺地369,0175-64-2156,0175-64-1159,http://www.toonippo.co.jp/,映画・放送・新聞,
株式会社マリンテクノサービス,039-3116,青森県,上北郡野辺地町,字赤坂10-3,0175-65-2171,022-771-2366,http://www.marinets.co.jp/,製造・加工（電子・精密機械器具）,
野辺地町役場／図書館,039-3131,青森県,上北郡野辺地町,字野辺地1-1,0175-64-2195,0175-64-2195,http://noheji-library.net/main/index.php,図書館,
株式会社サンデー野辺地店,039-3171,青森県,上北郡野辺地町,字二本木38,0175-64-2200,N.A.,http://www.sunday.co.jp/,生活用品,
総合福祉センターのへじ,039-3129,青森県,上北郡野辺地町,字餅粟川原3-2,0175-65-2225,0175-65-2228,http://www.fukushinosato.com/,介護・福祉,
青森県産業技術センター畜産研究所,039-3156,青森県,上北郡野辺地町,字枇杷野51,0175-64-2231,0175-64-2230,http://www.aomori-itc.or.jp/,組合・団体,
十和田観光電鉄株式会社野辺地営業所,039-3171,青森県,上北郡野辺地町,字下御手洗瀬1-1,0175-64-2261,N.A.,http://www.toutetsu.co.jp/,交通機関,
野辺地町漁業協同組合,039-3131,青森県,上北郡野辺地町,字野辺地568,0175-64-2264,0175-64-7413,http://www.jf-nohejimachi.com/,組合・団体,
介護老人保健施設のへじ,039-3129,青森県,上北郡野辺地町,字餅粟川原4,0175-65-2333,0175-65-1808,http://www.fukushinosato.com/,介護・福祉,
在宅介護支援センターはまなす,039-3129,青森県,上北郡野辺地町,字餅粟川原3-2,0175-65-2334,0175-65-2228,http://www.fukushinosato.com/,介護・福祉,
むつ湾温泉,039-3171,青森県,上北郡野辺地町,字槻ノ木75-168,0175-64-2611,0175-64-2611,http://www.noheji.or.jp/,旅館・民宿,
野辺地郵便局／貯金・保険,039-3131,青森県,上北郡野辺地町,字野辺地28-1,0175-64-2711,0175-64-6485,http://map.japanpost.jp/,金融・郵貯・貸金,
野辺地町役場／児童館,039-3124,青森県,上北郡野辺地町,字白岩27-11,0175-64-3106,N.A.,http://www.kodomo-next.jp/,市区町村機関,
みちのく銀行野辺地支店,039-3131,青森県,上北郡野辺地町,字野辺地199-3,0175-64-3121,N.A.,http://www.michinokubank.co.jp/,金融・郵貯・貸金,
まかど温泉ホテル,039-3175,青森県,上北郡野辺地町,字湯沢9,0175-64-3131,0175-64-3137,http://www.makadoonsen.jp/,ホテル・ペンション,
まかど温泉スキー場,039-3175,青森県,上北郡野辺地町,字地続山1-1,0175-64-3138,0175-64-3193,http://www.toutetsu.co.jp/,ウィンタースポーツ,
株式会社マエダ,039-3111,青森県,上北郡野辺地町,字石神裏14-1,0175-64-3154,N.A.,http://www.i-maeda.co.jp/,コンビニ・スーパー・デパート,
ゆうき青森農業協同組合／野辺地支所,039-3131,青森県,上北郡野辺地町,字野辺地1-51,0175-64-3165,0175-64-4488,http://www.ja-yuukiaomori.or.jp/,組合・団体,
公立野辺地病院,039-3141,青森県,上北郡野辺地町,字鳴沢9-12,0175-64-3211,0175-64-5571,http://hospital-noheji-aomori.jp/,総合病院,
ゆうき青森農業協同組合らくのう支所,039-3104,青森県,上北郡野辺地町,字大月平33-1,0175-64-3241,0175-64-3244,http://www.ja-yuukiaomori.or.jp/,組合・団体,
有限会社東陽商事,039-3163,青森県,上北郡野辺地町,字新町裏34,0175-64-3333,0175-64-2556,http://www.1yk1.com/,不動産,
有限会社エーワン・ライズ,039-3154,青森県,上北郡野辺地町,字上小中野38-13,0175-64-3511,0175-64-2270,http://www.mokuseisya.jp/,不動産,
つぼ八のへじ店,039-3131,青森県,上北郡野辺地町,字野辺地316-1,0175-64-3578,0175-64-3578,http://www.tsubohachi.co.jp/,飲み屋,
郵便事業株式会社,039-3199,青森県,上北郡野辺地町,野辺地28-1,0175-64-3600,N.A.,http://map.japanpost.jp/,その他サービス,
みちのくコカ・コーラボトリング株式会社野辺地営業所,039-3154,青森県,上北郡野辺地町,字上小中野25-14,0175-64-4118,019-698-3220,http://www.michinoku.ccbc.co.jp/,酒・飲料品,
かくたま歯科医院,039-3131,青森県,上北郡野辺地町,字野辺地116-1,0175-64-4180,0175-64-3206,http://www.kakutama-dc.com/,歯科系,
うさぎや,039-3131,青森県,上北郡野辺地町,字野辺地1-18,0175-64-4195,0175-64-4196,http://usagi-ya.org/,美容・コスメ,
株式会社ヤンマー農機東日本青森カンパニー野辺地支店,039-3141,青森県,上北郡野辺地町,字鳴沢50-23,0175-64-4516,N.A.,https://www.yanmar.com/jp/,販売・卸（工作機械・一般機械器具）,
ゆうき青森農業協同組合／あぐりハウスすずな,039-3131,青森県,上北郡野辺地町,字野辺地1-5,0175-64-5178,0175-63-4088,http://www.ja-yuukiaomori.or.jp/,組合・団体,
電楽サービス,039-3125,青森県,上北郡野辺地町,坊ノ塚1-3,0175-64-5444,0175-64-7159,http://dengakunet.web.fc2.com/,OA機器,
青森トヨペット株式会社,N.A.,青森県,上北郡野辺地町,八ノ木谷地40-13,0175-64-5671,N.A.,http://www.aomoritoyopet.jp/,製造・加工（輸送機械器具）,
株式会社マルイチ横浜,039-3172,青森県,上北郡野辺地町,鳥井平34-92,0175-64-6594,0175-64-9246,http://www.maruichiyokohama.co.jp/,製造・加工（食料品）,
株式会社東酸野辺地営業所,039-3155,青森県,上北郡野辺地町,字切明15-4,0175-64-6882,0175-64-4223,http://www.kk-tosan.co.jp/,製造・加工（その他）,
