▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社Tokoファーム,071-1433,北海道,上川郡東川町,東3号北22,0166-82-0444,0166-82-0144,http://www.toko-group.com/,販売・卸（食料品）,
上坂木材株式会社,071-1426,北海道,上川郡東川町,北町12丁目26-1,0166-82-0700,0166-82-0600,http://www.uesaka-lumber.jp/,販売・卸（建設資材）,
花本建設株式会社／資源リサイクル部,071-1459,北海道,上川郡東川町,東9号南9,0166-82-2021,0166-82-4707,https://www.hanamoto.co.jp/,総合・職別工事業,
北央信用組合東川支店,071-1423,北海道,上川郡東川町,東町1丁目2-15,0166-82-2031,N.A.,http://www.hokuoh.shinkumi.jp/,金融・郵貯・貸金,
株式会社インテリアえぞ,071-1424,北海道,上川郡東川町,南町2-12-1,0166-82-2096,0166-82-2096,http://interior-ezo.co.jp/,家具・インテリア,
湧駒荘,071-1472,北海道,上川郡東川町,勇駒別,0166-97-2101,0166-97-2103,http://www.yukoman.jp/,旅館・民宿,
天人閣,071-1473,北海道,上川郡東川町,天人峡,0166-97-2111,0166-97-2114,http://www.tenninkaku.jp/,旅館・民宿,
東川町役場,071-1423,北海道,上川郡東川町,東町1丁目16-1,0166-82-2111,0166-82-3644,http://town.higashikawa.hokkaido.jp/,市区町村機関,
旭岳ビジターセンター,071-1472,北海道,上川郡東川町,勇駒別,0166-97-2153,0166-97-2155,http://www.welcome-higashikawa.jp/,博物館・美術館,
公文式東川教室,071-1425,北海道,上川郡東川町,西町1丁目1-14,0166-82-2210,N.A.,http://www.kumon.ne.jp/,塾・予備校,
大雪山白樺荘,071-1472,北海道,上川郡東川町,旭岳温泉,0166-97-2246,0166-97-2247,http://park19.wakwak.com/,旅館・民宿,
滝澤ベニヤ株式会社,071-1408,北海道,上川郡東川町,北町9丁目2番9号,0166-82-2271,0166-82-4684,http://www.takizawaveneer.co.jp/,製造・加工（建築資材）,
クラフト蒼,071-1431,北海道,上川郡東川町,1号北44,0166-82-2290,0166-82-2290,http://www14.plala.or.jp/,製造・加工（木製品・紙・パルプ関連）,
旭岳万世閣ホテルベアモンテ,071-1472,北海道,上川郡東川町,勇駒別,0166-97-2321,0166-97-2324,http://www.manseikaku-hotels.co.jp/,旅館・民宿,
キャンモアスキービレッジ,071-1406,北海道,上川郡東川町,西6号北8,0166-82-2333,0166-82-5003,http://www.canmore-ski.jp/,ウィンタースポーツ,
株式会社アーリー・タイムスアルファ,071-1426,北海道,上川郡東川町,北町13-1-1,0166-82-2400,0166-82-2435,http://www.early-times.jp/,製造・加工（生活雑貨・日用品）,
株式会社大雪葬祭,071-1423,北海道,上川郡東川町,東町2丁目2-15,0166-82-2419,0166-82-2458,http://www.coa-plan.net/,葬儀,
東川中学校,071-1426,北海道,上川郡東川町,北町1丁目5-1,0166-82-2428,0166-82-2348,http://higashikawa-jhs.jp/,小・中・高・大学等,
東川神社,071-1425,北海道,上川郡東川町,西町1丁目6-1,0166-82-2513,0166-82-2536,http://www.hokkaidojinjacho.jp/,宗教,
環境省北海道地方環境事務所東川自然保護官事務所,071-1423,北海道,上川郡東川町,東町1丁目13-15,0166-82-2527,0166-82-5086,http://hokkaido.env.go.jp/,官公署,
東交ハイヤー株式会社,071-1423,北海道,上川郡東川町,東町1丁目3-13,0166-82-2530,0166-82-2530,http://tokohire.web.fc2.com/,タクシー,
株式会社リラ・コーポレーション,071-1423,北海道,上川郡東川町,東町4丁目5-2,0166-82-2537,0166-82-3778,http://www.higashikawa.co.jp/,おみやげ,
株式会社インテリアナス,071-1426,北海道,上川郡東川町,北町7-5-23,0166-82-2585,0166-82-4675,http://www.interior-nasu.jp/,製造・加工（生活雑貨・日用品）,
藤田建設工業株式会社,071-1423,北海道,上川郡東川町,東町3-6-5,0166-82-2601,0166-82-4364,http://www.fujita-kensetu.com/,総合・職別工事業,
東川町役場／東川町キトウシ森林公園家族旅行村,071-1404,北海道,上川郡東川町,西4号北43,0166-82-2632,0166-82-2228,http://www.kazokuryokoumura.jp/,アウトドア,
東川寺,071-1426,北海道,上川郡東川町,北町4丁目1-3,0166-82-2718,0166-82-2905,http://www.thosenji.com/,宗教,
レンタルキャンピングカー・オアシスポイント,071-1423,北海道,上川郡東川町,東町1丁目13-11,0166-82-2757,0166-82-2757,http://www.camping-car.jp/,リース・レンタル,
株式会社大雪木工,N.A.,北海道,上川郡東川町,北町4丁目13番2号,0166-82-2900,0166-82-2918,http://www.taisetsu-mokko.co.jp/,製造・加工（その他）,
株式会社小岩組,N.A.,北海道,上川郡東川町,東町4丁目1-12,0166-82-2906,0166-82-3569,http://koiwagumi.com/,建設業・工務店,
平田こうじ店,071-1425,北海道,上川郡東川町,西町9丁目1-23,0166-82-3301,0166-82-3327,http://hiratakouji.jimdo.com/,製造・加工（食料品）,
石禅株式会社,071-1425,北海道,上川郡東川町,西町9-2-4,0166-82-3402,N.A.,http://www.ishizen.jp/,製造・加工（窯業・土石）,
旭川製麺株式会社,071-1425,北海道,上川郡東川町,西町6-2-1,0166-82-3545,N.A.,http://asahikawa-seimen.biz/,製造・加工（食料品）,
キャンモアスキー学校,071-1404,北海道,上川郡東川町,西4号北43,0166-82-3650,0166-82-2317,http://www.canmore.jp/,ウィンタースポーツ,
東川町観光協会,071-1423,北海道,上川郡東川町,東町1丁目1-15,0166-82-3761,0166-82-4764,http://www.welcome-higashikawa.jp/,観光・温泉・銭湯,
株式会社GISupply,071-1424,北海道,上川郡東川町,南町3丁目8-15,0166-73-3787,0166-73-3788,http://www.gisup.com/,製造・加工（電子・精密機械器具）,
ナイスフーズ,071-1425,北海道,上川郡東川町,西町2丁目9-1,0166-82-3881,0166-48-8987,http://www.arcs-g.co.jp/,食料品,
エノ産業株式会社,071-1426,北海道,上川郡東川町,北町10丁目1-1,0166-82-4000,0166-82-2434,http://www.eno-sangyo.co.jp/,製造・加工（工作機械・一般機械器具）,
SUNNYSPOT,071-1411,北海道,上川郡東川町,西11号北24,0166-82-4004,0166-82-4004,http://sunnyspot.pupu.jp/,喫茶店・カフェ,
株式会社造形美術,071-1425,北海道,上川郡東川町,西町2-7-1,0166-82-4005,0166-82-2548,http://www.zokei-art.com/,製造・加工（金属製品）,
株式会社ホクレン商事ホクレンショップひがしかわ店,071-1424,北海道,上川郡東川町,南町1丁目5-1,0166-68-4011,0166-68-4022,http://hokurenshoji.co.jp/,食料品,
鈴木工房,071-1432,北海道,上川郡東川町,東2号北7,0166-82-4025,0166-56-5738,http://www.suzuki-kobo.com/,製造・加工（木製品・紙・パルプ関連）,
株式会社藤田組,071-1426,北海道,上川郡東川町,北町7-1-3,0166-68-4055,0166-68-4066,http://www.f-gumi.co.jp/,総合・職別工事業,
居酒屋りしり,071-1423,北海道,上川郡東川町,東町1丁目6-14,0166-82-4088,0166-23-2009,http://www.welcome-higashikawa.jp/,飲み屋,
平田とうふ店,071-1426,北海道,上川郡東川町,北町9丁目1-5,0166-82-4148,0166-82-4148,http://www.welcome-higashikawa.jp/,食料品,
株式会社大栄,071-1426,北海道,上川郡東川町,北町十丁目一番一号,0166-82-4300,0166-82-3044,http://daieikk.co.jp/,食料品,
花本建設株式会社／東川事業所,071-1424,北海道,上川郡東川町,南町1丁目19-1,0166-82-4327,0166-82-2274,https://www.hanamoto.co.jp/,総合・職別工事業,
東川寺／葬儀会場,071-1426,北海道,上川郡東川町,北町4丁目1-3,0166-82-4338,0166-82-2905,http://www.thosenji.com/,宗教,
有限会社丸巳,071-1456,北海道,上川郡東川町,東6号南4番地,0166-82-4355,0166-82-3858,http://www.farm-marumi.co.jp/,農業,
手芸工房ウエカラパ,071-1458,北海道,上川郡東川町,東8号南1,0166-82-4491,0166-82-4491,http://uekarpa.blog87.fc2.com/,裁縫・手芸,
有限会社北の住まい建築研究社,071-1400,北海道,上川郡東川町,3586-3,0166-82-4556,0166-82-3775,http://www.kitanosumaisekkeisha.com/,リフォーム,
北海道東川養護学校,071-1410,北海道,上川郡東川町,西10号北36,0166-82-4586,0166-82-4587,http://www.higashikawayougo.hokkaido-c.ed.jp/,特殊教育諸学校,
キトウシ高原ホテル,071-1404,北海道,上川郡東川町,西4号北46,0166-82-4646,0166-82-4523,http://www.kitoushi-kougenhotel.jp/,観光・温泉・銭湯,
VILLAニセウコロコロ,071-1433,北海道,上川郡東川町,東3号北12,0166-82-4747,0166-82-4747,http://nisew-corocoro.com/,ホテル・ペンション,
東川町役場／東川町インフォメーションセンター道草館,071-1423,北海道,上川郡東川町,東町1丁目1-15-1,0166-68-4777,0166-82-4764,http://www.hokkaido-michinoeki.jp/,市区町村機関,
ひだまりの里,071-1425,北海道,上川郡東川町,西町8丁目29-1,0166-82-5550,0166-82-5582,http://www.a-fukushi.or.jp/,介護・福祉,
有料老人ホーム華,071-1426,北海道,上川郡東川町,北町7丁目5-16,0166-82-5606,0166-82-5606,http://www15.plala.or.jp/,介護・福祉,
モンベル大雪ひがしかわ店,071-1423,北海道,上川郡東川町,東町1丁目2-2,0166-82-6120,0166-82-6121,http://store.montbell.jp/,アウトドア,
ティールームトムテ,071-1460,北海道,上川郡東川町,東10号南5,0166-82-6522,0166-82-6522,http://www.t-tomte.com/,喫茶店・カフェ,
藤原製麺株式会社第六工場,071-1426,北海道,上川郡東川町,北町7丁目9-12,0166-99-6600,0166-25-7199,http://www.fujiwara-seimen.co.jp/,製造・加工（食料品）,
有限会社加藤木工,071-1426,北海道,上川郡東川町,北町12丁目2-1,0166-82-6666,0166-82-6667,http://www.katohmokkou.com/,家具・インテリア,
松山デンタルクリニック,071-1424,北海道,上川郡東川町,南町4丁目4-6,0166-82-7111,0166-82-7222,http://matsuyama-dental.main.jp/,歯科系,
ふじスーパー東川店,071-1425,北海道,上川郡東川町,西町3丁目4,0166-82-7611,0166-82-4997,http://www.arcs-g.co.jp/,食料品,
株式会社プレステージジャパン,071-1426,北海道,上川郡東川町,北町4丁目13-2,0166-82-7654,0166-82-7655,http://www.timeandstyle.com/,製造・加工（生活雑貨・日用品）,
