▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
BIGテキサス清水店,089-0116,北海道,上川郡清水町,南8条7丁目20,0156-69-0808,0156-69-0800,http://www.texas-gp.co.jp/,食料品,
レストランひまわり,089-0103,北海道,上川郡清水町,字清水第1線50-32,0156-62-1110,0156-62-1110,http://www.ichimaru.gr.jp/,レストラン,
しみず温泉フロイデ,089-0241,北海道,上川郡清水町,字熊牛126-3,0156-62-1126,0156-62-1111,http://www.simizu-freude.com/,旅館・民宿,
十勝清水町農業協同組合／株式会社十勝清水フードサービス,089-0103,北海道,上川郡清水町,字清水419-79,0156-62-1129,0156-62-7242,http://www.ja-shimizu.or.jp/,組合・団体,
グループホームうらら,089-0137,北海道,上川郡清水町,南1条3丁目20-2,0156-69-1177,0156-62-6116,http://gh-urara.com/,介護・福祉,
ごはん屋ゆめあとむ,089-0137,北海道,上川郡清水町,南1条11丁目1,0156-62-1234,01564-5-2218,http://www.mytokachi.jp/,レストラン,
株式会社ホクレン商事／食彩館すまいる432しみず店,089-0136,北海道,上川郡清水町,南1-1-2-2,0156-69-2000,0156-69-2003,http://hokurenshoji.co.jp/,組合・団体,
医療法人前田クリニック,089-0137,北海道,上川郡清水町,南一条4-1,0156-62-2032,0156-62-6116,http://maedaclinic.info/,医院・診療所・療養所,
越中屋旅館,089-0137,北海道,上川郡清水町,南1条2丁目,0156-62-2041,N.A.,http://www.etchuya-ryokan.com/,旅館・民宿,
レストラン風車,089-0357,北海道,上川郡清水町,字御影南1線45-8,0156-63-2080,0156-63-2080,http://www.fusha.info/,レストラン,
十勝清水町農業協同組合／農産課,089-0138,北海道,上川郡清水町,南2条1丁目,0156-62-2131,0156-62-4714,http://www.ja-shimizu.or.jp/,組合・団体,
十勝清水町農業協同組合／畜産販売課,089-0138,北海道,上川郡清水町,南2条1丁目,0156-62-2132,0156-62-6223,http://www.ja-shimizu.or.jp/,組合・団体,
十勝清水町農業協同組合／信用貯金課,089-0138,北海道,上川郡清水町,南2条1丁目,0156-62-2133,0156-62-6223,http://www.ja-shimizu.or.jp/,組合・団体,
旭山農志塾,089-0355,北海道,上川郡清水町,字旭山南8線58-1,0156-63-2134,0156-63-2135,http://www.asahiyama.or.jp/,介護・福祉,
十勝清水町農業協同組合／御影支所／経済,089-0371,北海道,上川郡清水町,御影東1条1丁目,0156-63-2138,0156-62-6223,http://www.ja-shimizu.or.jp/,組合・団体,
十勝清水町農業協同組合／御影給油所,089-0351,北海道,上川郡清水町,御影西1条5丁目2-1,0156-63-2158,0156-62-6223,http://www.ja-shimizu.or.jp/,組合・団体,
十勝清水町農業協同組合／管理課,089-0138,北海道,上川郡清水町,南2条1丁目,0156-62-2161,0156-62-6223,http://www.ja-shimizu.or.jp/,組合・団体,
十勝清水町農業協同組合／経営指導課,089-0138,北海道,上川郡清水町,南2条1丁目,0156-62-2163,0156-62-2165,http://www.ja-shimizu.or.jp/,組合・団体,
株式会社北洋銀行清水支店,089-0136,北海道,上川郡清水町,本通3丁目19,0156-62-2181,N.A.,http://www.hokuyobank.co.jp/,金融・郵貯・貸金,
株式会社ナカジマ薬局,N.A.,北海道,上川郡清水町,南2条3丁目1番4号,0156-69-2188,N.A.,http://www.nakajima-phar.co.jp/,製造・加工（医療・薬関連）,
清水町商工会,089-0136,北海道,上川郡清水町,本通1丁目1-2,0156-62-2208,0156-62-4613,http://www.do-shokoren.or.jp/,組合・団体,
株式会社大月鉄工,089-0103,北海道,上川郡清水町,清水785-5,0156-62-2247,0156-62-3658,http://www.ootuki-tekkou.co.jp/,修理,
清水寺,089-0126,北海道,上川郡清水町,南1条西4丁目2,0156-62-2249,N.A.,http://www.kiyomizudera.or.jp/,宗教,
