▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
小澤製粉販売株式会社,329-0114,栃木県,下都賀郡野木町,野木2061,0280-56-0011,0280-56-0021,http://www.ozawa-seifun.jp/,販売・卸（食料品）,
アリスとテレス,329-0112,栃木県,下都賀郡野木町,大字南赤塚1219-3,0280-57-0015,0280-57-0024,http://www.nogihosp.or.jp/,介護・福祉,
有限会社三田商会,329-0101,栃木県,下都賀郡野木町,大字友沼932-1,0280-55-0015,N.A.,http://mitasyoukai.la.coocan.jp/,バイク用品,
野木町立／野木小学校,329-0114,栃木県,下都賀郡野木町,大字野木2434,0280-56-0018,0280-56-0433,http://b7nb73xc.ec-net.jp/,小・中・高・大学等,
ファミリーマート野木工業団地店,329-0114,栃木県,下都賀郡野木町,大字野木107-1,0280-54-0051,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
栄研化学株式会社,329-0114,栃木県,下都賀郡野木町,野木143,0280-56-0081,N.A.,http://www.eiken.co.jp/,製造・加工（医療・薬関連）,
JAおやま／野木支店,329-0113,栃木県,下都賀郡野木町,大字中谷523-1,0280-56-0083,N.A.,http://www.ja-oyama.or.jp/,組合・団体,
株式会社ヒラサワ,329-0101,栃木県,下都賀郡野木町,友沼1340,0280-55-0116,0280-55-0119,http://www.y-hirasawa.jp/,製造・加工（金属製品）,
日信工業株式会社,329-0114,栃木県,下都賀郡野木町,野木141-3,0280-54-0200,0280-54-0205,http://ns-kougyou.co.jp/,製造・加工（電子・精密機械器具）,
町田勇,329-0111,栃木県,下都賀郡野木町,大字丸林550-6,0280-55-0271,0280-56-0091,http://www.tohokutochi.com/,不動産,
ひまわり荘,329-0112,栃木県,下都賀郡野木町,大字南赤塚1218-1,0280-57-0300,0280-57-0616,http://www.nogihosp.or.jp/,介護・福祉,
道浦工業株式会社,329-0111,栃木県,下都賀郡野木町,丸林603-1,0280-56-0458,0280-56-0464,http://www.msbox.biz/,総合・職別工事業,
小林恭バレエ団野木バレエ教室,329-0111,栃木県,下都賀郡野木町,大字丸林553-1,0280-55-0511,N.A.,http://www.kobayashi-kyo-ballet.com/,ダンス・おどり,
株式会社見笹石材店,329-0101,栃木県,下都賀郡野木町,友沼1318-1番地,0280-57-0550,0280-57-0861,http://www.i-333.co.jp/,製造・加工（その他）,
有限会社野木造花葬儀社,329-0101,栃木県,下都賀郡野木町,大字友沼1088,0280-55-0719,N.A.,http://memorial-nogi.com/,葬儀,
野木町健康センター・ゆーらんど,329-0112,栃木県,下都賀郡野木町,大字南赤塚1514-1,0280-57-0755,0280-57-2009,http://nogi-yuland.jp/,市区町村機関,
いなば内科クリニック,329-0111,栃木県,下都賀郡野木町,大字丸林583-3,0280-57-0770,N.A.,http://www.inaba-naika.com/,内科系,
法得幼稚園,329-0104,栃木県,下都賀郡野木町,大字佐川野468-1,0280-55-0806,0280-55-1114,http://www.houtoku-kgt.ed.jp/,幼稚園・保育施設,
株式会社日本ドライ,N.A.,栃木県,下都賀郡野木町,南赤塚山中218-3,0280-55-0820,0280-55-0820,http://www.jp-dry.co.jp/,その他サービス,
株式会社野本電設工業栃木営業所,329-0103,栃木県,下都賀郡野木町,大字若林70-5,0280-57-0918,0280-76-4740,http://www.nomoto-densetsu.co.jp/,家電,
株式会社板橋組／野木営業所,329-0111,栃木県,下都賀郡野木町,大字丸林414-19-102,0280-57-0921,0285-25-5226,http://www.itabashigumi.co.jp/,総合・職別工事業,
株式会社ユートピア・ハウジング,329-0104,栃木県,下都賀郡野木町,大字佐川野1837-1,0280-55-0991,0280-56-1469,http://utopia-h.info/,総合・職別工事業,
東邦樹脂工業株式会社,329-0114,栃木県,下都賀郡野木町,野木148,0280-56-1011,0280-56-2436,http://www.touhoujushi.co.jp/,製造・加工（化学・プラスチック）,
野木病院,329-0101,栃木県,下都賀郡野木町,大字友沼5320-2,0280-57-1011,0280-57-1012,http://www.nogihosp.or.jp/,眼科,
ファッションセンターしまむら／野木店,329-0111,栃木県,下都賀郡野木町,大字丸林403-10,0280-54-1020,N.A.,http://www.shimamura.gr.jp/,洋服,
カーブス野木丸林店,329-0111,栃木県,下都賀郡野木町,大字丸林417-47,0280-57-1055,N.A.,http://www.curves.co.jp/,スポーツ施設,
木村のかきもち／野木直売店,329-0111,栃木県,下都賀郡野木町,大字丸林387-1,0280-57-1100,028-653-3883,http://www.kakimochi.co.jp/,お菓子・スイーツ,
日本ピストンリング株式会社栃木工場,329-0114,栃木県,下都賀郡野木町,大字野木1111,0280-57-1111,048-856-5035,http://www.npr.co.jp/,製造・加工（輸送機械器具）,
宮脇書店野木店,329-0111,栃木県,下都賀郡野木町,大字丸林650-2,0280-54-1138,N.A.,http://www.miyawakishoten.com/,本,
マクドナルド／野木出光SS店,329-0101,栃木県,下都賀郡野木町,大字友沼4934,0280-54-1155,N.A.,http://www.mcdonalds.co.jp/,ファーストフード,
神谷運送株式会社／第五物流センター,329-0112,栃木県,下都賀郡野木町,大字南赤塚237-1,0280-56-1173,0280-55-0064,http://kamiya-exp.p-kit.com/,運送・貨物・倉庫,
神谷運送株式会社,329-0101,栃木県,下都賀郡野木町,友沼4840-4,0280-56-1175,0280-56-1179,http://kamiya-exp.p-kit.com/,運送・貨物・倉庫,
北関東東洋技研株式会社,329-0111,栃木県,下都賀郡野木町,丸林593-7,0280-57-1177,0280-57-1759,http://www.k-togi.com/,販売・卸（電気機械器具）,
株式会社国際企画,329-0113,栃木県,下都賀郡野木町,大字中谷1-2,0280-57-1183,0280-57-3269,http://www12.plala.or.jp/,製造・加工（電子・精密機械器具）,
ライフケア・クリニック希望,329-0101,栃木県,下都賀郡野木町,大字友沼5118-1,0280-56-1199,0280-33-8626,http://www.nogihosp.or.jp/,医院・診療所・療養所,
リハビリテーション花の舎病院,329-0112,栃木県,下都賀郡野木町,大字南赤塚1218-1,0280-57-1200,0280-57-1012,http://www.nogihosp.or.jp/,内科系,
ひまわり調剤薬局,329-0101,栃木県,下都賀郡野木町,大字友沼5320-4,0280-54-1211,0280-54-1212,https://meron-net.shop/ds/himawari-miyonodai,薬,
栄研化学株式会社,329-0114,栃木県,下都賀郡野木町,野木143,0280-56-1221,N.A.,http://www.eiken.co.jp/,製造・加工（医療・薬関連）,
しらこばと整骨院,329-0115,栃木県,下都賀郡野木町,大字野渡2784-1,0280-54-1233,N.A.,http://www.shirakobatoseikotsuin.jp/,整体等各種療術,
有限会社バルーンカンパニー,329-0101,栃木県,下都賀郡野木町,大字友沼5488-11,0280-55-1238,0280-55-1525,http://www.ultramagic.com/,広告・マーケティング,
三協フロンテア株式会社／スペースナビ小山店,329-0101,栃木県,下都賀郡野木町,大字友沼4751-6,0280-54-1240,0280-54-1241,http://www.sankyofrontier.com/,リフォーム,
テラウチ産業株式会社,329-0101,栃木県,下都賀郡野木町,友沼888,0280-56-1282,0280-56-0859,http://www.terauchi-sangyo.co.jp/,製造・加工（医療・薬関連）,
株式会社イトー急行栃木営業所,329-0103,栃木県,下都賀郡野木町,大字若林44-1,0280-54-1285,0561-84-1119,http://www.itoexp.co.jp/,運送・貨物・倉庫,
美容室kaRacu,329-0101,栃木県,下都賀郡野木町,大字友沼5975,0280-56-1300,N.A.,http://karacu.jimdo.com/,美容院・理容店・毛髪業,
株式会社栃木銀行／野木支店,329-0111,栃木県,下都賀郡野木町,大字丸林200-5,0280-57-1331,N.A.,http://www.tochigibank.co.jp/,金融・郵貯・貸金,
ほっともっと野木丸林店,329-0111,栃木県,下都賀郡野木町,大字丸林630-5,0280-54-1335,0280-54-1336,http://www.hottomotto.com/,弁当・宅配,
栃木日信株式会社,329-0114,栃木県,下都賀郡野木町,野木141-7,0280-54-1391,0280-54-1393,http://www.tochigi-ns.co.jp/,製造・加工（化学・プラスチック）,
木谷電器株式会社,N.A.,栃木県,下都賀郡野木町,友沼5502-13,0280-54-1434,0280-54-1435,http://www.kitanidenki.co.jp/,製造・加工（電子・精密機械器具）,
光明寺,329-0115,栃木県,下都賀郡野木町,大字野渡774,0280-55-1500,075-953-2264,http://www.komyo-ji.or.jp/,宗教,
栗田工業株式会社事業開発センター,329-0105,栃木県,下都賀郡野木町,大字川田1-1,0280-54-1511,N.A.,http://www.kurita.co.jp/,製造・加工（装置・設備）,
クリタ分析センター株式会社,329-0105,栃木県,下都賀郡野木町,川田五丁山1番1号,0280-54-1533,0280-57-2957,http://www.kuritabunseki.co.jp/,印刷・出版,
杏林製薬株式会社,329-0114,栃木県,下都賀郡野木町,野木1848,0280-57-1551,N.A.,http://www.kyorin-pharm.co.jp/,製造・加工（医療・薬関連）,
株式会社ヤオコー／野木店,329-0101,栃木県,下都賀郡野木町,大字友沼5309,0280-54-1611,N.A.,http://www.yaoko-net.com/,コンビニ・スーパー・デパート,
ザ・ダイソー100円ショップ生活雑貨館野木店,329-0111,栃木県,下都賀郡野木町,大字丸林650-4,0280-54-1612,N.A.,http://www.daiso-sangyo.co.jp/,生活用品,
有限会社フレンズ,329-0101,栃木県,下都賀郡野木町,大字友沼6602-4,0280-54-1650,0280-54-1651,http://friends-power.com/,中古車・買取,
JAおやま／のぞみ館野木,329-0101,栃木県,下都賀郡野木町,大字友沼4954-1,0280-54-1655,N.A.,http://www.ja-oyama.or.jp/,組合・団体,
株式会社針谷工業所,329-0113,栃木県,下都賀郡野木町,中谷479,0280-55-1665,0280-57-2541,http://www.kk-hariya.co.jp/,製造・加工（工作機械・一般機械器具）,
野木幼稚園,329-0101,栃木県,下都賀郡野木町,大字友沼5883,0280-56-1723,0280-56-1727,http://www.nogi-kindergarten.ed.jp/,幼稚園・保育施設,
星光工業株式会社,329-0114,栃木県,下都賀郡野木町,野木1970,0280-55-1784,0280-55-1175,http://www.seikoukogyo.jp/,製造・加工（鉄鋼製品）,
