▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
コメリハード&グリーン岩手山田店,028-1321,岩手県,下閉伊郡山田町,山田第5地割55-1,0193-82-0511,0193-82-0512,http://www.komeri.bit.or.jp/,生活用品,
株式会社同仁社,028-1361,岩手県,下閉伊郡山田町,織笠15地割17番地1,0193-82-0709,0193-82-0712,http://www.dojinsha.jp/,その他サービス,
山田湾ベーカリー,028-1311,岩手県,下閉伊郡山田町,大沢第2地割19-1,0193-81-1003,0193-81-1003,http://yamadaone.com/,食料品,
三陸やまだ漁業協同組合,028-1332,岩手県,下閉伊郡山田町,中央町11-14,0193-82-1122,0193-82-1133,http://www.jf-sanrikuyamada.jp/,組合・団体,
有限会社三陸パーツセンター,028-1361,岩手県,下閉伊郡山田町,織笠第15地割21-1,0193-81-1155,0193-82-0044,http://sanrikupc.com/,カー用品,
木澤歯科医院,028-1351,岩手県,下閉伊郡山田町,長崎4丁目14-6,0193-81-1188,0193-81-1189,http://kizawa-shika.com/,歯科系,
民宿四十八坂荘,028-1371,岩手県,下閉伊郡山田町,船越第2地割80-3,0193-84-2020,0193-84-2020,http://www.48sakasou.burari.biz/,旅館・民宿,
カメイ株式会社山田営業所,028-1351,岩手県,下閉伊郡山田町,長崎2丁目1-5,0193-82-2036,0193-82-5365,https://www.kamei.co.jp/,水道・ガス・電力,
カットインみなと,028-1351,岩手県,下閉伊郡山田町,長崎4丁目10-1,0193-82-2072,0193-82-2072,https://cut-in-minato.jimdofree.com/,美容院・理容店・毛髪業,
有限会社エス研工,028-1361,岩手県,下閉伊郡山田町,織笠23地割56-3,0193-81-2130,0193-81-2131,http://www2.plala.or.jp/,製造・加工（金属製品）,
山田町立／大沢小学校,028-1311,岩手県,下閉伊郡山田町,大沢第6地割51,0193-82-2137,0193-82-2121,http://academic4.plala.or.jp/,小・中・高・大学等,
阪神低温株式会社,028-1342,岩手県,下閉伊郡山田町,川向町168番,0193-82-2151,0193-82-2450,http://www.hanshinteion.co.jp/,食料品,
ホームワンサトー,028-1302,岩手県,下閉伊郡山田町,豊間根第2地割43-6,0193-86-2164,0193-86-2106,http://home1-sato.com/,生活用品,
岩手県立／山田高等学校／職員室,028-1361,岩手県,下閉伊郡山田町,織笠第8地割6-2,0193-82-2164,0193-81-2055,http://www2.iwate-ed.jp/,小・中・高・大学等,
釜揚げ屋,028-1351,岩手県,下閉伊郡山田町,長崎1丁目9-2,0193-82-2173,0193-82-4127,http://senbei.kawasai.net/,そば・うどん,
山田町立／大浦小学校,028-1371,岩手県,下閉伊郡山田町,船越第20地割10,0193-84-2250,0193-84-3489,http://academic4.plala.or.jp/,小・中・高・大学等,
岩手県北自動車株式会社,028-1371,岩手県,下閉伊郡山田町,船越6-51-6,0193-84-2311,0193-84-2313,http://www.iwate-kenpokubus.co.jp/,運送・貨物・倉庫,
山田町立／豊間根小学校,028-1302,岩手県,下閉伊郡山田町,豊間根第7地割58-1,0193-86-2412,0193-86-2418,http://academic4.plala.or.jp/,小・中・高・大学等,
山田町立／荒川小学校,028-1303,岩手県,下閉伊郡山田町,荒川第4地割77-1,0193-86-2413,0193-86-2413,http://academic4.plala.or.jp/,小・中・高・大学等,
陸中運輸有限会社,028-1302,岩手県,下閉伊郡山田町,豊間根第2地割33-45,0193-86-2451,0193-86-2268,https://www.rikuchu.co.jp/,運送・貨物・倉庫,
株式会社薬王堂山田大沢店,028-1311,岩手県,下閉伊郡山田町,大沢第2地割31-1,0193-81-2499,N.A.,http://www.yakuodo.co.jp/,薬,
株式会社薬王堂岩手山田店,028-1343,岩手県,下閉伊郡山田町,境田町16-6,0193-82-2500,N.A.,http://www.yakuodo.co.jp/,薬,
気仙沼窯業株式会社,N.A.,岩手県,下閉伊郡山田町,織笠第12地割1-2,0193-82-2502,0193-82-6835,http://www.e-kawara.co.jp/,製造・加工（建築資材）,
公文／山田教室,028-1351,岩手県,下閉伊郡山田町,長崎1丁目5-17,0193-82-2510,N.A.,http://www.kumon.ne.jp/,塾・予備校,
山田町商工会,028-1351,岩手県,下閉伊郡山田町,長崎3丁目6-18,0193-82-2515,0193-82-0677,http://www.shokokai.com/,組合・団体,
岩手県立／山田高等学校／事務室,028-1361,岩手県,下閉伊郡山田町,織笠第8地割6-2,0193-82-2637,0193-81-2055,http://www2.iwate-ed.jp/,小・中・高・大学等,
株式会社アベキ,N.A.,岩手県,下閉伊郡山田町,第6地割1158-1,0193-84-2700,N.A.,http://www.abeki-21.com/,ガソリンスタンド,
豊間根保育園,028-1302,岩手県,下閉伊郡山田町,豊間根第3地割177-10,0193-86-2745,0193-86-2745,http://wncpn538.blog.fc2.com/,幼稚園・保育施設,
船宿海太郎,028-1311,岩手県,下閉伊郡山田町,大沢第1地割1-34,0193-81-2780,N.A.,http://kaitaro.eyado.net/,旅館・民宿,
木村商店,028-1332,岩手県,下閉伊郡山田町,中央町7-6,0193-82-2829,0193-82-4701,http://tokkuri.co.jp/,製造・加工（食料品）,
ビジネスインやまだ,028-1371,岩手県,下閉伊郡山田町,船越第6地割148-1,0193-84-3006,0193-84-3021,http://www.inn-yamada.jp/,ホテル・ペンション,
中村生花店,028-1351,岩手県,下閉伊郡山田町,長崎1丁目11-2,0193-82-3038,0193-42-2533,http://www.fujitv-flower.net/,ガーデニング,
龍昌寺,028-1333,岩手県,下閉伊郡山田町,後楽町4-5,0193-82-3089,0193-82-4099,http://www.ryushotemple.sakura.ne.jp/,宗教,
山田町役場,028-1341,岩手県,下閉伊郡山田町,八幡町3-20,0193-82-3111,0193-82-4989,http://www.town.yamada.iwate.jp/,市区町村機関,
株式会社岩手銀行山田支店,028-1341,岩手県,下閉伊郡山田町,八幡町12-9,0193-82-3131,0193-82-2172,http://www.iwatebank.co.jp/,金融・郵貯・貸金,
和田工業株式会社,028-1301,岩手県,下閉伊郡山田町,石峠第3地割17-4,0193-86-3211,0193-86-3214,http://www.wadakogyo.co.jp/,製造・加工（電子・精密機械器具）,
住友建機株式会社,028-1302,岩手県,下閉伊郡山田町,豊間根3-178-4,0193-86-3267,0193-86-3268,http://www.sumitomokenki.co.jp/,製造・加工（工作機械・一般機械器具）,
郵便局株式会社,028-1371,岩手県,下閉伊郡山田町,船越23-41-2,0193-84-3268,N.A.,http://map.japanpost.jp/,その他サービス,
陸中海岸青少年の家,028-1371,岩手県,下閉伊郡山田町,船越第2地割42,0193-84-3311,0193-84-3312,https://sp.echna.ne.jp/,都道府県機関,
近物レックス株式会社宮古営業所,028-1302,岩手県,下閉伊郡山田町,豊間根第2地割13-6,0193-86-3365,0596-22-4600,http://www.kinbutsurex.co.jp/,運送・貨物・倉庫,
株式会社エフビー,028-1302,岩手県,下閉伊郡山田町,豊間根第2地割31-1,0193-86-3456,0193-86-3457,http://iwate-fb.jp/,製造・加工（工作機械・一般機械器具）,
三陸味処三五十,028-1351,岩手県,下閉伊郡山田町,長崎1丁目9-2,0193-82-3500,0193-82-3500,http://oishiisanriku.com/,レストラン,
ヤマト興建株式会社,028-1302,岩手県,下閉伊郡山田町,豊間根第18地割222,0193-86-3536,0193-86-3536,http://www.yamatokouken.com/,総合・職別工事業,
平安荘,028-1321,岩手県,下閉伊郡山田町,山田第16地割9-10,0193-82-3611,0193-81-1100,http://seijukai-heianso.jp/,介護・福祉,
ホームとよまね／2号館,028-1302,岩手県,下閉伊郡山田町,豊間根第2地割111-3,0193-86-3620,0193-86-3620,http://toyomane2.blog.fc2.com/,介護・福祉,
留理歯科医院,028-1302,岩手県,下閉伊郡山田町,豊間根第2地割105-1,0193-86-3718,0193-86-3719,http://www.rurishika.com/,歯科系,
山田町観光協会,028-1371,岩手県,下閉伊郡山田町,船越第7地割50-1,0193-84-3775,0193-84-2580,http://yamada-kankou.jp/,観光・温泉・銭湯,
株式会社北日本銀行山田支店,028-1341,岩手県,下閉伊郡山田町,八幡町12-9,0193-82-3811,N.A.,http://www.kitagin.co.jp/,金融・郵貯・貸金,
社会福祉法人山田町社会福祉協議会,028-1341,岩手県,下閉伊郡山田町,八幡町3-20,0193-82-3841,0193-82-5670,http://www.yamada-shakyo.or.jp/,組合・団体,
キヨカワオート,028-1302,岩手県,下閉伊郡山田町,豊間根第6地割101-1,0193-86-3866,0193-86-3866,http://kiyokawa-auto.on.omisenomikata.jp/,自動車販売,
いっぷく／船越店,028-1371,岩手県,下閉伊郡山田町,船越第6地割148-1,0193-84-4005,N.A.,http://www.localplace.jp/,レストラン,
洋菓子のかわさい,028-1332,岩手県,下閉伊郡山田町,中央町6-11,0193-82-4127,0193-82-3805,http://patisserie.kawasai.net/,お菓子・スイーツ,
郵便局株式会社,028-1399,岩手県,下閉伊郡山田町,境田町15-1,0193-82-4136,0193-82-9316,http://map.japanpost.jp/,その他サービス,
公文／織笠教室,028-1361,岩手県,下閉伊郡山田町,織笠第11地割109-1,0193-82-4230,N.A.,http://www.kumon.ne.jp/,塾・予備校,
五篤丸水産,028-1332,岩手県,下閉伊郡山田町,中央町5-4,0193-77-4312,0193-77-4312,http://gotokumaru.jp/,食料品,
武藤自動車商会,028-1321,岩手県,下閉伊郡山田町,山田第4地割13-1,0193-77-4455,0193-77-4433,http://butocar.web.fc2.com/,自動車販売,
日本棋院陸中山田支部,028-1342,岩手県,下閉伊郡山田町,川向町4-6,0193-82-4743,N.A.,http://www.nihonkiin.or.jp/,囲碁・将棋・ボード,
JA新いわて／南部葬祭センター,028-1351,岩手県,下閉伊郡山田町,長崎4丁目12-11,0193-82-4746,0193-82-0782,http://www.jaiwate.or.jp/,葬儀,
株式会社佐藤政行種苗山田出張所,028-1302,岩手県,下閉伊郡山田町,豊間根第5地割260-8,0193-83-5055,0193-83-5066,http://www.satoseed.jp/,ガーデニング,
株式会社川石水産,028-1302,岩手県,下閉伊郡山田町,豊間根第7地割30,0193-83-5155,0193-83-5020,http://www.kawaishi-suisan.com/,製造・加工（食料品）,
株式会社山田の牡蠣くん,028-1311,岩手県,下閉伊郡山田町,大沢第7地割108-1,0193-77-5200,0193-77-5201,http://www.kakikun.jp/,食料品,
ツインスターテクノロジー株式会社,028-1311,岩手県,下閉伊郡山田町,大沢4-20-140,0193-82-5405,0193-82-5406,http://www.twowinstar.co.jp/,製造・加工（化学・プラスチック）,
びはんストア豊間根店,028-1302,岩手県,下閉伊郡山田町,豊間根第2地割70-2,0193-83-5411,N.A.,http://yamadabihan.jp/,コンビニ・スーパー・デパート,
株式会社富士工業,028-1302,岩手県,下閉伊郡山田町,豊間根第7地割4-10,0193-83-5963,0193-86-3635,https://www.fujioh.com/,製造・加工（電子・精密機械器具）,
山内接骨院,028-1341,岩手県,下閉伊郡山田町,八幡町7-9,0193-82-6650,0193-82-6650,http://www.yamauchi-sekkotsuin.com/,整体等各種療術,
藤根石材株式会社,028-1311,岩手県,下閉伊郡山田町,大沢5-44-7,0193-82-6677,N.A.,http://www.fujinesekizai.jp/,製造・加工（その他）,
道の駅やまだ,028-1371,岩手県,下閉伊郡山田町,船越第6地割141,0193-89-7025,0193-89-7026,http://www.yamada-michinoeki.jp/,道の駅,
山田町立／轟木小学校,028-1361,岩手県,下閉伊郡山田町,織笠第20地割22,0193-82-9571,0193-82-9571,http://academic4.plala.or.jp/,小・中・高・大学等,
山田町立／山田北小学校,028-1321,岩手県,下閉伊郡山田町,山田第14地割21,0193-82-9588,0193-82-9587,http://academic4.plala.or.jp/,小・中・高・大学等,
有限会社佐藤建業,028-1311,岩手県,下閉伊郡山田町,大沢第3地割9-8,0193-82-9832,0193-82-9837,http://www.rnac.ne.jp/,総合・職別工事業,
