▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
有限会社泉山石材店,028-0041,岩手県,久慈市,長内町第32地割1-9,0194-53-0014,0194-53-0909,http://www.izumiyamasekizai.com/,造園,
株式会社小袖屋,028-0041,岩手県,久慈市,長内町40-17-4,0194-53-0025,0194-53-2890,http://www.i-yamase.net/,食料品,
ほっかほっか亭／久慈駅前店,028-0061,岩手県,久慈市,中央2丁目17,0194-53-0033,0194-53-0033,http://www.hokkahokkatei.co.jp/,弁当・宅配,
株式会社レーベル’ホーム,028-0051,岩手県,久慈市,川崎町12-3,0194-52-0041,0194-52-0042,http://www.e-lebel.com/,総合・職別工事業,
かわさき栄食,028-0041,岩手県,久慈市,長内町第27地割27-1,0194-52-0055,0194-52-0713,http://www.rpkawasaki.jp/,弁当・宅配,
株式会社総合土木コンサルタンツ,028-0031,岩手県,久慈市,天神堂34-9-34,0194-76-0068,0194-76-0066,http://www.sogodoboku.co.jp/,印刷・出版,
株式会社サンホームズ,028-0051,岩手県,久慈市,川崎町12-14,0194-52-0077,0194-53-0088,http://sunhomes-kuji.co.jp/,不動産,
株式会社佐佐木設計,028-0012,岩手県,久慈市,新井田4-37-5,0194-52-0080,0194-52-3019,http://www.sasakisekkei.com/,印刷・出版,
県北ファッション,028-0012,岩手県,久慈市,新井田第5地割51-1,0194-53-0082,0194-53-9363,http://kuji-made.net/,製造・加工（衣料関連）,
シャディサラダ館湊町店,028-0011,岩手県,久慈市,湊町第20地割8-1,0194-53-0096,N.A.,http://www.giftshop-koyama.com/,贈り物・みやげ,
久慈警察署,028-0051,岩手県,久慈市,川崎町2-1,0194-53-0110,N.A.,http://www.pref.iwate.jp/,消防・警察,
久慈広域連合／久慈消防署,028-0041,岩手県,久慈市,長内町第29地割21-1,0194-53-0119,0194-53-3115,http://www.kuji-kouiki.jp/,消防・警察,
三陸鉄道株式会社／久慈駅,028-0061,岩手県,久慈市,中央3丁目38-2,0194-52-0177,0194-52-0179,http://www.sanrikutetsudou.com/,交通機関,
川貫保育園,028-0083,岩手県,久慈市,大沢第8地割10-8,0194-52-0311,0194-52-0371,http://www.kawanukihoikuen.jp/,幼稚園・保育施設,
高畑電機株式会社,028-0053,岩手県,久慈市,田高1-38,0194-52-0321,0194-53-3483,http://www.takahatadenki.co.jp/,家電,
宮澤歯科医院,028-0064,岩手県,久慈市,八日町1丁目37,0194-53-0390,N.A.,http://dental.miyasawa.com/,歯科系,
居酒屋つぼ八／事務所,028-0071,岩手県,久慈市,小久慈町第36地割25-39,0194-53-0456,0194-53-0040,http://www.tsubohachi.co.jp/,飲み屋,
