▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
有限会社カーネットワーク九戸店,028-6504,岩手県,九戸郡九戸村,大字長興寺第3地割51-1,0195-41-1181,0195-42-4088,http://www.carnetwork.jp/,自動車販売,
日本調剤九戸薬局,028-6502,岩手県,九戸郡九戸村,大字伊保内第7地割49-3,0195-41-1286,0195-41-1287,http://www.nicho.co.jp/,薬,
株式会社岩手開発測量設計,N.A.,岩手県,九戸郡九戸村,大字伊保内7-17-8,0195-41-1505,0195-41-1506,http://www.iwakai.co.jp/,印刷・出版,
岩崎青果,028-6611,岩手県,九戸郡九戸村,大字山根第2地割17,0195-43-2001,0195-43-2003,http://iwasakiseika.com/,販売・卸（食料品）,
九戸村役場,028-6502,岩手県,九戸郡九戸村,大字伊保内第10地割11-6,0195-42-2111,0195-42-3120,http://www.vill.kunohe.iwate.jp/,市区町村機関,
株式会社岩手銀行／伊保内支店,028-6502,岩手県,九戸郡九戸村,大字伊保内第12地割5,0195-42-2121,0195-42-3565,http://www.iwatebank.co.jp/,金融・郵貯・貸金,
岩手県立二戸病院付属九戸地域診療センター,028-6502,岩手県,九戸郡九戸村,大字伊保内第7地割35-1,0195-42-2151,0195-42-4179,http://www.ninohe-hp.net/,医院・診療所・療養所,
岩手県北自動車株式会社,028-6502,岩手県,九戸郡九戸村,伊保内12-52-3,0195-42-2211,0195-42-2212,http://www.iwate-kenpokubus.co.jp/,運送・貨物・倉庫,
小野家栄,028-6502,岩手県,九戸郡九戸村,大字伊保内第15地割5-3,0195-42-2224,0195-42-2224,http://www.kinokosansai.com/,販売・卸（食料品）,
九戸村商工会,028-6502,岩手県,九戸郡九戸村,大字伊保内第11地割47-1,0195-42-2230,0195-42-2251,http://www.shokokai.com/,組合・団体,
くのへスキー場／管理事務所,028-6502,岩手県,九戸郡九戸村,大字伊保内第18地割41-6,0195-42-2366,0195-42-2963,http://www.vill.kunohe.iwate.jp/,ウィンタースポーツ,
有限会社中野葬具仏具店,028-6502,岩手県,九戸郡九戸村,伊保内第11-56-2,0195-42-2516,0195-42-3211,http://www.e-sogi.com/,家具・インテリア,
有限会社北成建設,028-6502,岩手県,九戸郡九戸村,伊保内第22地割3-3,0195-42-2609,N.A.,http://hokuseikensetsu.hp.gogo.jp/,建設業・工務店,
下田沢山ぶどう農園,028-6611,岩手県,九戸郡九戸村,大字山根第10地割101,0195-43-2640,0195-43-2640,http://www.nanyado.net/,観光・温泉・銭湯,
有限会社高倉工芸,028-6612,岩手県,九戸郡九戸村,大字戸田第9地割115,0195-43-2826,0195-43-2052,http://nanbuhouki.jp/,製造・加工（その他）,
株式会社マルイ造形家具工業,028-6502,岩手県,九戸郡九戸村,伊保内第11地割13,0195-42-3031,0195-42-3026,http://www.marui-zoukei.co.jp/,製造・加工（金属製品）,
岩手県立伊保内高等学校,028-6502,岩手県,九戸郡九戸村,大字伊保内第1地割61-12,0195-42-3121,0195-42-3191,http://www2.iwate-ed.jp/,小・中・高・大学等,
岩手県立伊保内高等学校／職員室,028-6502,岩手県,九戸郡九戸村,大字伊保内第1地割61-12,0195-42-3122,0195-42-3191,http://www2.iwate-ed.jp/,小・中・高・大学等,
堀閤電氣株式会社,028-6505,岩手県,九戸郡九戸村,大字江刺家第10地割70,0195-42-3343,0195-42-3363,http://horikoh.com/,家電,
テーオー食品株式会社岩手工場,028-6505,岩手県,九戸郡九戸村,大字江刺家第20地割20-15,0195-42-3511,03-3950-8693,http://www.to-foods.com/,食料品,
栗谷川建工,028-6504,岩手県,九戸郡九戸村,長興寺5-96-3,0195-42-3681,N.A.,http://www.kuriken001.com/,リフォーム,
株式会社大崎建設,028-6505,岩手県,九戸郡九戸村,大字江刺家第18地割13-2,0195-42-3788,0195-42-3465,http://www.oosaki-kensetu.net/,総合・職別工事業,
いわて県北クリーン株式会社,028-6505,岩手県,九戸郡九戸村,大字江刺家第20地割48-34,0195-42-4085,0195-42-4550,http://www.iwate2cln.co.jp/,廃棄物処理,
さいとう鍼灸院,028-6502,岩手県,九戸郡九戸村,大字伊保内第11地割20-2,0195-42-4133,0195-42-4133,http://www.ekiten.jp/,あん摩・はり・きゅう,
九戸村役場／オドデ館,028-6506,岩手県,九戸郡九戸村,大字山屋第2地割28-1,0195-42-4400,0195-42-4400,http://www.thr.mlit.go.jp/,市区町村機関,
