▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
岩手日報社洋野支局,028-7914,岩手県,九戸郡洋野町,種市第23地割25-48,0194-69-1060,N.A.,http://www.iwate-np.co.jp/,映画・放送・新聞,
ホーマックニコット大野店,028-8802,岩手県,九戸郡洋野町,大野第60地割3-1,0194-68-1200,0194-68-1201,http://www.homac-nicot.co.jp/,生活用品,
郵便局株式会社,028-7911,岩手県,九戸郡洋野町,種市39-78-2,0194-69-1520,N.A.,http://map.japanpost.jp/,その他サービス,
岩手県信用漁業協同組合連合会種市支店,028-7914,岩手県,九戸郡洋野町,種市第22地割131-10,0194-69-1536,0194-69-1538,http://www.iwatesg.org/,金融・郵貯・貸金,
三浦商店,028-7903,岩手県,九戸郡洋野町,種市第1地割137-82,0194-67-2001,0194-67-3785,http://miurashoten.shime-saba.com/,製造・加工（食料品）,
株式会社岩手銀行種市支店,028-7914,岩手県,九戸郡洋野町,種市第23地割27-7,0194-65-2031,N.A.,http://www.iwatebank.co.jp/,金融・郵貯・貸金,
洋野町役場／大野庁舎,028-8802,岩手県,九戸郡洋野町,大野第8地割47-2,0194-77-2111,0194-77-4015,http://www.town.hirono.iwate.jp/,市区町村機関,
東長寺,028-7917,岩手県,九戸郡洋野町,種市第57地割109,0194-66-2121,0194-66-2181,http://www.raspberry.ne.jp/,宗教,
洋野町立／種市中学校,028-7913,岩手県,九戸郡洋野町,種市第25地割29,0194-65-2138,0194-65-5551,http://tanechu.schoolbus.jp/,小・中・高・大学等,
岩手県立種市高等学校／事務室,028-7912,岩手県,九戸郡洋野町,種市第38地割94-110,0194-65-2145,0194-65-2158,http://www2.iwate-ed.jp/,小・中・高・大学等,
岩手県立種市高等学校／職員室,028-7912,岩手県,九戸郡洋野町,種市第38地割94-110,0194-65-2147,0194-65-5654,http://www2.iwate-ed.jp/,小・中・高・大学等,
