▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
カナンの園,028-5133,岩手県,二戸郡一戸町,中山字大塚4-7,0195-36-1026,0195-36-1027,http://www.canaan-jp.com/,介護・福祉,
いちのへ調剤薬局,028-5312,岩手県,二戸郡一戸町,一戸字砂森55-22,0195-31-1108,0195-31-1109,https://meron-net.shop/ds/ichinohechouzai,薬,
ホームセンターかんぶん一戸店,028-5312,岩手県,二戸郡一戸町,一戸字砂森123-1,0195-31-1133,N.A.,http://www.kanbun.com/,生活用品,
株式会社ネオス,028-5301,岩手県,二戸郡一戸町,西法寺字西法寺133-21,0195-31-1180,0195-31-1181,http://www.neos-psm.co.jp/,製造・加工（金属製品）,
株式会社岩手県北観光北岩手支店,028-5312,岩手県,二戸郡一戸町,一戸字北舘105-4,0195-31-1202,019-641-8844,https://www.michinoritravel-tohoku.jp/,旅行業・代理店,
奥中山高原農協乳業株式会社,028-5134,岩手県,二戸郡一戸町,奥中山字西田子1311-3,0195-36-1211,0195-36-1212,http://www.okunakayama.co.jp/,食料品,
株式会社ジョイス一戸店,028-5312,岩手県,二戸郡一戸町,一戸字砂森123-1,0195-31-1650,019-622-0470,http://www.arcs-g.co.jp/,コンビニ・スーパー・デパート,
一戸町役場,028-5311,岩手県,二戸郡一戸町,高善寺字大川鉢24-9,0195-33-2111,0195-33-3770,http://www.town.ichinohe.iwate.jp/,市区町村機関,
社会福祉法人慶寿園特別養護老人ホーム,028-5222,岩手県,二戸郡一戸町,姉帯字下村24-1,0195-34-2112,0195-34-3351,http://iwate-jikoukai.jp/,介護・福祉,
ミニストップ奥中山店,028-5133,岩手県,二戸郡一戸町,中山字大塚244-5,0195-35-2120,0195-35-3004,http://www.ministop.co.jp/,コンビニ・スーパー・デパート,
農林水産省,028-5312,岩手県,二戸郡一戸町,一戸字大越田98-6,0195-32-2121,N.A.,http://www.maff.go.jp/,官公署,
