▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社冨沢商店,989-2203,宮城県,亘理郡山元町,浅生原字新館東41-3,0223-37-0008,0223-37-3074,http://www.tomizawa.info/,販売・卸（その他）,
郵便局株式会社,989-2206,宮城県,亘理郡山元町,大平横山36,0223-37-0053,N.A.,http://map.japanpost.jp/,その他サービス,
やまもと幼稚園,989-2202,宮城県,亘理郡山元町,高瀬字竹ノ内原41,0223-37-0074,0223-37-3909,http://www.youchien.net/,幼稚園・保育施設,
身体障害者更生施設静和園,989-2112,宮城県,亘理郡山元町,真庭字名生東72-2,0223-37-0075,0223-37-0078,http://miyagi-seiwakai.jp/,介護・福祉,
郵便局株式会社,989-2201,宮城県,亘理郡山元町,山寺頭無161-1,0223-37-0146,N.A.,http://map.japanpost.jp/,その他サービス,
有限会社安田工務店,989-2201,宮城県,亘理郡山元町,山寺字西頭無43-46,0223-37-0147,0223-37-2044,http://www.yasudakomuten.com/,リフォーム,
徳本寺,989-2111,宮城県,亘理郡山元町,坂元字寺前13,0223-38-0320,0223-38-1495,http://www.tokuhonji.jp/,宗教,
高山木材工業株式会社,989-2111,宮城県,亘理郡山元町,坂元字白山坂1番地,0223-38-0333,0223-38-1728,http://www.takayama-wood.com/,建設業・工務店,
宮城県立山元養護学校,989-2202,宮城県,亘理郡山元町,高瀬字合戦原100-2,0223-37-0518,N.A.,https://yamayou.myswan.ed.jp/,特殊教育諸学校,
亘理山元商工会山元事務所,989-2203,宮城県,亘理郡山元町,浅生原字作田山2-70,0223-37-0543,0223-37-2334,http://watayama.main.jp/,組合・団体,
株式会社ナルケ自動車,989-2202,宮城県,亘理郡山元町,高瀬字南下高瀬98,0223-37-0631,0223-37-2253,http://www.naruke.com/,車検・整備・修理,
宮城野ゴルフクラブ,989-2111,宮城県,亘理郡山元町,坂元字渋沢43,0223-38-1101,0223-38-1105,http://www.accordiagolf.com/,ゴルフ,
山元町役場／総務課,989-2203,宮城県,亘理郡山元町,浅生原字作田山32,0223-37-1111,0223-37-4144,http://www.town.yamamoto.miyagi.jp/,市区町村機関,
株式会社仙台スプリング製作所山元工場,989-2202,宮城県,亘理郡山元町,高瀬字舘下88-1,0223-37-1125,0223-37-1126,http://www.sendaispring.com/,製造・加工（電子・精密機械器具）,
みやぎ亘理農業協同組合／坂元支所,989-2111,宮城県,亘理郡山元町,坂元字舘下113,0223-38-1131,0223-38-1498,http://www.jawatari.or.jp/,組合・団体,
国立病院機構宮城病院（独立行政法人）,989-2202,宮城県,亘理郡山元町,高瀬字合戦原100,0223-37-1131,0223-37-3316,https://miyagi.hosp.go.jp/,医院・診療所・療養所,
株式会社北村製作所宮城工場,989-2111,宮城県,亘理郡山元町,坂元字原ノ町5,0223-37-1151,0223-37-3475,http://www.jknc.co.jp/,製造・加工（電子・精密機械器具）,
前田製管株式会社,989-2112,宮城県,亘理郡山元町,真庭字新山神70,0223-38-1171,0223-38-1567,http://www.maeta.co.jp/,製造・加工（建築資材）,
株式会社七十七銀行／山下支店,989-2201,宮城県,亘理郡山元町,山寺字山下64,0223-37-1177,0220-22-5097,http://www.77bank.co.jp/,金融・郵貯・貸金,
守久建設株式会社,989-2207,宮城県,亘理郡山元町,八手庭字石田73-2,0223-37-1217,0223-37-3861,http://morikyu-kensetsu.co.jp/,リフォーム,
岩機ダイカスト工業株式会社／坂元工場,989-2111,宮城県,亘理郡山元町,坂元字作田3-1,0223-38-1231,0223-38-0647,http://iwakidc.co.jp/,製造・加工（金属製品）,
株式会社シプロ,989-2111,宮城県,亘理郡山元町,坂元川内5-6,0223-38-1232,0223-38-0105,http://www.cipro.co.jp/,製造・加工（工作機械・一般機械器具）,
岩機ダイカスト工業株式会社,989-2111,宮城県,亘理郡山元町,坂元字宮の脇50,0223-38-1479,0223-38-0389,http://www.iwakidc.co.jp/,製造・加工（鉄鋼製品）,
株式会社鈴久建設,989-2201,宮城県,亘理郡山元町,山寺字沼田5-4,0223-37-2144,0223-37-2912,http://suzukyu-home.com/,リフォーム,
あぶくま信用金庫／山元支店,989-2207,宮城県,亘理郡山元町,八手庭字新道北1-2,0223-37-2313,N.A.,http://www.abukuma.co.jp/,金融・郵貯・貸金,
株式会社サンテック,989-2202,宮城県,亘理郡山元町,高瀬字梅田50,0223-37-2351,0223-37-2383,http://www.suntec-sec.jp/,製造・加工（化学・プラスチック）,
