▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
美郷町役場／名水市場・湧太郎,019-1404,秋田県,仙北郡美郷町,六郷字馬町83,0187-84-0020,0187-84-0030,http://akita-misato.com/yutaro/,市区町村機関,
美郷町役場／六郷観光情報センター,019-1404,秋田県,仙北郡美郷町,六郷字馬町83,0187-84-0110,0187-84-3553,http://www.rokugo-mizu.net/,市区町村機関,
本覚寺,019-1404,秋田県,仙北郡美郷町,六郷字東高方町26,0187-84-0124,N.A.,http://japanorg.exblog.jp/,宗教,
有限会社藤谷モータース,019-1401,秋田県,仙北郡美郷町,鑓田字稲荷19-15,0187-84-0148,0187-84-3309,http://www.akishakyo.or.jp/,中古車・買取,
有限会社美郷コイル,019-1404,秋田県,仙北郡美郷町,六郷字本道町56-4,0187-84-0177,0187-84-3969,http://www8.plala.or.jp/,製造・加工（電子・精密機械器具）,
斎藤則明,019-1404,秋田県,仙北郡美郷町,六郷字本道町19,0187-84-0300,0187-84-0302,http://www.akitasuwagu.jp/,宗教,
こりとーる館じゅん整体院,019-1404,秋田県,仙北郡美郷町,六郷字浮池66-1,0187-84-0401,N.A.,http://www.korito-ru.com/,整体等各種療術,
北都銀行六郷支店,019-1404,秋田県,仙北郡美郷町,六郷字馬町78,0187-84-0435,N.A.,http://www.hokutobank.co.jp/,金融・郵貯・貸金,
有限会社六郷プラニング,019-1402,秋田県,仙北郡美郷町,野中字下明子278-2,0187-84-0567,N.A.,http://aqua65.ftw.jp/,製造・加工（衣料関連）,
有限会社細井技研工業,N.A.,秋田県,仙北郡美郷町,金沢東根字蛭川11番地,0187-84-0596,0187-84-1483,http://www.hosoigiken.co.jp/,建設業・工務店,
株式会社ユウメディカル,019-1404,秋田県,仙北郡美郷町,六郷字遠槻25,0187-84-0703,N.A.,http://yumedical.jp/,販売・卸（その他）,
