▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社角庄商店,960-0715,福島県,伊達市,梁川町大舘142,024-577-0018,024-577-0209,http://kadosho0018.blog108.fc2.com/,販売・卸（建設資材）,
福島県立梁川高等学校,960-0735,福島県,伊達市,梁川町字鶴ケ岡33,024-577-0037,N.A.,https://yanagawa-h.fcs.ed.jp/,小・中・高・大学等,
福島県北交通株式会社,960-0759,福島県,伊達市,梁川町広瀬町7,024-577-0051,024-577-0389,http://www.kenpokukotsu.com/,交通機関,
シーアイエー株式会社,N.A.,福島県,伊達市,梁川町やながわ工業団地90-1,024-577-0075,024-577-7676,http://www.cia.co.jp/,印刷・出版,
メモリアルホールひろせ,960-0757,福島県,伊達市,梁川町幸町98,024-527-0075,024-527-0074,http://www.memorialhall-hirose.com/,葬儀,
土屋工業株式会社,960-0711,福島県,伊達市,梁川町粟野字北ノ内43,024-577-0157,024-577-0153,http://www.fuku-tekko.or.jp/,総合・職別工事業,
株式会社メディカルコアふたば薬局,960-0621,福島県,伊達市,保原町字中村町30-3,024-575-0166,024-575-0160,http://www.futaba-ph.co.jp/,製造・加工（医療・薬関連）,
伊達の野菜倶楽部株式会社,960-0708,福島県,伊達市,梁川町字東塩野川48,024-577-0222,024-577-2559,http://dateyasai.com/,製造・加工（建築資材）,
港屋漢方堂薬局,960-0756,福島県,伊達市,梁川町青葉町52,024-577-0251,024-577-5313,http://www.kigusuri.com/,薬,
ツルハドラッグ／梁川店,960-0747,福島県,伊達市,梁川町字町裏34-1,024-527-0268,N.A.,http://www.tsuruha.co.jp/,薬,
北福島医療センター／リハビリテーション室,960-0502,福島県,伊達市,箱崎字東23-1,024-551-0270,024-551-0808,http://www.jinsenkai.or.jp/,総合病院,
興國寺,960-0741,福島県,伊達市,梁川町字大町2丁目49,024-577-0273,024-577-7300,http://www.koukokuji.com/,宗教,
保原薬局梁川東店,960-0776,福島県,伊達市,梁川町字東土橋6-5,024-527-0333,024-575-3615,http://www.uyou.gr.jp/,薬,
株式会社渡辺工務店,960-0785,福島県,伊達市,梁川町字小梁川27-1,024-577-0409,024-577-0561,http://www.e-house.co.jp/,建設業・工務店,
菊甲食品株式会社,960-0711,福島県,伊達市,梁川町粟野字後塚原4-1,024-577-0455,024-577-3424,http://www.kikukoh-foods.com/,食料品,
大東銀行／保原支店,960-0671,福島県,伊達市,保原町字東野崎68-1,024-575-0511,024-575-0535,http://www.daitobank.co.jp/,金融・郵貯・貸金,
ささき衣料店,960-0759,福島県,伊達市,梁川町広瀬町52,024-577-0513,024-577-0994,http://kuwa-go.com/,洋服,
株式会社梁瀬モーター,960-0757,福島県,伊達市,梁川町幸町1,024-577-0533,024-577-4004,http://yanase-motor.co.jp/,車検・整備・修理,
北福島医療センター,960-0502,福島県,伊達市,箱崎字東23-1,024-551-0551,024-551-0808,http://www.jinsenkai.or.jp/,総合病院,
有限会社フクシマライフサービス,N.A.,福島県,伊達市,保原町字西猫川108-5,024-575-0551,N.A.,http://www.f-lifeservice.com/,その他サービス,
八栄不動産,960-0727,福島県,伊達市,梁川町字上町57-1,024-577-0587,024-577-0642,http://www.tochi-ie.com/,不動産,
福島紅葉漬株式会社,960-0729,福島県,伊達市,梁川町希望ヶ丘10,024-577-0658,024-577-2546,http://www.uyou.gr.jp/,製造・加工（食料品）,
こばやし子ども・内科クリニック,960-0744,福島県,伊達市,梁川町字内町47,024-577-0663,024-563-7214,http://kobayashi-kodomo.jp/,内科系,
アリスペットクリニック,960-0601,福島県,伊達市,保原町字栄町37-1,024-575-0700,024-575-0700,http://alice-pet.com/,動物病院・獣医師,
株式会社壽製作所,960-0809,福島県,伊達市,霊山町上小国字杉の内47-4,024-588-1006,024-588-1539,http://www.kotobuki-seisakusho.co.jp/,製造・加工（鉄鋼製品）,
株式会社たまのや伊達斎苑,960-0472,福島県,伊達市,根田58-1,024-551-1011,024-551-1012,http://heartline.cocolonet.jp/,イベント,
保原中央クリニック／予約センター,960-0611,福島県,伊達市,保原町字城ノ内73-1,024-575-1020,024-551-0808,http://www.jinsenkai.or.jp/,総合病院,
りょうぜん里山がっこう,960-0804,福島県,伊達市,霊山町大石字細倉17,024-587-1032,024-587-1082,http://date-satoyama.com/,各種学校,
株式会社宮本冷機,960-0502,福島県,伊達市,箱崎字沖前109,024-551-1032,N.A.,http://www.miyamoto.co.jp/,建設業・工務店,
松浦敏幸税理士事務所,960-0629,福島県,伊達市,保原町字弥生町31番地4,024-575-1033,N.A.,http://www.tkcnf.com/,アウトソーシング,
セブンイレブン／福島霊山店,960-0808,福島県,伊達市,霊山町下小国字畑尻5-1,024-586-1041,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
おの整形外科クリニック,960-0777,福島県,伊達市,梁川町字西土橋120,024-527-1055,024-527-1050,http://www.ono-ortho.com/,外科系,
昌福寺,960-0711,福島県,伊達市,梁川町粟野字中通47,024-577-1067,024-577-1067,http://www.sotozen-navi.com/detail/index_70067.html,宗教,
