▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
杜不動産株式会社,969-1603,福島県,伊達郡桑折町,字上町73,024-581-0080,024-581-0070,http://fu-co.jp/,不動産,
ファミリー薬局,969-1605,福島県,伊達郡桑折町,字堰合21,024-581-0090,024-581-0086,https://www.natural-pharmacy.jp/jp/,薬,
有限会社Yプランニング,969-1629,福島県,伊達郡桑折町,字西町54-2,024-582-1166,024-582-1167,http://www.yplanning.com/,広告・マーケティング,
社会福祉法人コクーン／特別養護老人ホームコクーン,969-1613,福島県,伊達郡桑折町,字桑島四9-4,024-582-1181,N.A.,http://www.cocoon.or.jp/,介護・福祉,
社会福祉法人コクーン／ディサービスセンターコクーン,969-1613,福島県,伊達郡桑折町,字桑島四9-4,024-582-1211,N.A.,http://www.cocoon.or.jp/,介護・福祉,
花の郷夢工房（特定非営利活動法人）,969-1602,福島県,伊達郡桑折町,字町裏57-3,024-582-1231,024-582-4413,http://npo-yume.net/,仏壇・仏具・神具,
株式会社熊本園芸,969-1612,福島県,伊達郡桑折町,字西大隅21-8,024-582-2031,024-582-3390,http://www.kumamoto-engei.com/,エクステリア,
株式会社近藤組,969-1617,福島県,伊達郡桑折町,陣屋40,024-582-2037,024-582-2137,http://www.kondo.co.jp/,総合・職別工事業,
桑折聖・オリーブの郷,969-1661,福島県,伊達郡桑折町,大字上郡字内記1-1,024-581-2100,024-581-2500,http://www.koriseiolivenosato.jp/,介護・福祉,
桑折町役場,969-1611,福島県,伊達郡桑折町,字東大隅18,024-582-2111,024-582-2479,http://www.town.koori.fukushima.jp/,市区町村機関,
福島北警察署／桑折分庁舎,969-1643,福島県,伊達郡桑折町,大字谷地字形土15-2,024-582-2151,N.A.,http://www.police.pref.fukushima.jp/,消防・警察,
伊達果実農業（協）,969-1661,福島県,伊達郡桑折町,上郡字堰上18,024-582-2175,024-582-2529,http://dateka.ec-net.jp/,組合・団体,
吉川紙業株式会社,969-1652,福島県,伊達郡桑折町,成田字元宿2,024-582-2184,024-582-6432,http://www.ysk-box.co.jp/,製造・加工（木製品・紙・パルプ関連）,
ミニストップ福島桑折町店,969-1614,福島県,伊達郡桑折町,字本町42-1,024-581-2190,N.A.,http://www.ministop.co.jp/,コンビニ・スーパー・デパート,
曙ブレーキ工業株式会社／福島製造所,969-1652,福島県,伊達郡桑折町,大字成田字新宿10,024-582-2191,024-581-2007,http://www.akebono-brake.com/,製造・加工（輸送機械器具）,
株式会社福島銀行桑折支店,969-1661,福島県,伊達郡桑折町,大字上郡字仲丸4-10,024-582-2207,024-582-4547,http://www.fukushimabank.co.jp/,金融・郵貯・貸金,
旭計器株式会社福島工場,969-1613,福島県,伊達郡桑折町,字桑島一55,024-582-2215,024-582-2244,http://www.asahikeiki.co.jp/,製造・加工（電子・精密機械器具）,
株式会社東邦銀行桑折支店,969-1601,福島県,伊達郡桑折町,字北町44,024-582-2235,024-522-5624,http://www.tohobank.co.jp/,金融・郵貯・貸金,
セブンイレブン／桑折町倉本店,969-1651,福島県,伊達郡桑折町,大字万正寺字倉本1-1,024-582-2242,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
フクシマフーズ株式会社,N.A.,福島県,伊達郡桑折町,大字成田字二本木10番地の1,024-582-2260,024-582-6067,http://fukushimafoods.jp/,食料品,
福島信用金庫桑折支店,969-1614,福島県,伊達郡桑折町,字本町25-1,024-582-2265,N.A.,http://www.shinkin.co.jp/,金融・郵貯・貸金,
前田道路株式会社福島合材工場,969-1663,福島県,伊達郡桑折町,大字伊達崎字出シ62-1,024-575-2311,024-575-2344,http://www.taiseirotec.co.jp/,総合・職別工事業,
渋谷建設株式会社,969-1641,福島県,伊達郡桑折町,南半田字六角37,024-582-2315,024-582-6443,http://www.shibuken.jp/,リフォーム,
伊達地方衛生処理組合衛生センター,969-1663,福島県,伊達郡桑折町,大字伊達崎字舟場東1-1,024-575-2371,024-582-4641,http://www.date-eisei.jp/,住まいのクリーニング,
サンクス福島桑折町店,969-1661,福島県,伊達郡桑折町,大字上郡字仲丸4-14,024-581-2468,N.A.,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
桑折町商工会,969-1603,福島県,伊達郡桑折町,字上町72-1,024-582-2474,024-582-2531,http://park20.wakwak.com/,組合・団体,
株式会社ハイアス,969-1652,福島県,伊達郡桑折町,大字成田字中丸3-2,024-581-2766,N.A.,http://www.hias.jp/,ビルメンテナンス,
株式会社ダイユーエイト桑折店,969-1643,福島県,伊達郡桑折町,大字谷地字石近48-1,024-581-2917,024-581-291,http://www.daiyu8.co.jp/,生活用品,
おの建築設計事務所,969-1627,福島県,伊達郡桑折町,字諏訪40-22,024-582-3004,024-582-6335,http://koori-onosekkei.com/,リフォーム,
株式会社富士薬品伊達営業所,969-1661,福島県,伊達郡桑折町,大字上郡字楽10-12,024-582-3007,N.A.,http://www.fujiyakuhin.co.jp/,薬,
太田良平,969-1628,福島県,伊達郡桑折町,字新町6,024-582-3138,N.A.,http://p0245823138.miteyo.jp/,著述・芸術家,
株式会社三栄精機製作所,969-1619,福島県,伊達郡桑折町,仮屋1,024-582-3144,024-582-3521,http://www.sanei-air.com/,製造・加工（輸送機械器具）,
有限会社ワタナベスタジオ,969-1612,福島県,伊達郡桑折町,字西大隅3-13,024-582-3152,N.A.,http://www.watanabestudio.jp/,写真・ビデオ・スライド,
有限会社平井モーター,969-1651,福島県,伊達郡桑折町,万正寺字往還端21-2,024-582-3433,024-582-3455,http://www.subaru.jp/,自動車販売,
