▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
郵便局株式会社,N.A.,千葉県,佐倉市,西志津1-11-1,043-462-0001,043-462-0010,http://map.japanpost.jp/,その他サービス,
株式会社旭鶴,285-0804,千葉県,佐倉市,馬渡918,043-498-0002,043-498-2702,http://www.asahiduru.jp/,酒・飲料品,
株式会社常磐植物化学研究所,N.A.,千葉県,佐倉市,木野子158,043-498-0007,043-498-0561,http://www.tokiwaph.co.jp/,製造・加工（医療・薬関連）,
凛風会白銀クリニック（医療法人社団）,N.A.,千葉県,佐倉市,白銀3丁目3-2,043-481-0007,043-481-0008,http://www.shirogane.or.jp/,外科系,
カラオケBanBan千葉佐倉店,285-0037,千葉県,佐倉市,本町62,043-486-0008,03-5225-1411,http://karaoke-shin.jp/,プレイスポット,
佐倉厚生園／外来直通,N.A.,千葉県,佐倉市,鏑木町320,043-484-0010,N.A.,http://www.sakurakouseien.jp/,医院・診療所・療養所,
ベイシア佐倉店,N.A.,千葉県,佐倉市,寺崎,043-481-0011,N.A.,http://www.beisia.co.jp/,コンビニ・スーパー・デパート,
平野産業株式会社,285-0844,千葉県,佐倉市,上志津原239,043-489-0017,043-461-7767,http://www.pigjapan.com/,製造・加工（金属製品）,
Bianca・ユーカリが丘店,N.A.,千葉県,佐倉市,南ユーカリが丘1-1,043-488-0018,03-3544-8042,http://www.bianca-salon.com/,美容・コスメ,
みずきが丘歯科医院,N.A.,千葉県,佐倉市,染井野3-40-10,043-488-0020,N.A.,http://www.mizukigaoka-dc.com/,歯科系,
平野歯科クリニック,285-0037,千葉県,佐倉市,本町48-4,043-483-0022,043-483-0022,http://www.hiranoshika.jp/,歯科系,
有限会社アウル,N.A.,千葉県,佐倉市,青菅979-1,043-460-0023,043-460-0027,http://www.owl2004.co.jp/,建設業・工務店,
株式会社平和建設,285-0025,千葉県,佐倉市,鏑木町377-12,043-485-0024,043-485-0021,http://www.heiwa-k.com/,総合・職別工事業,
デイリーヤマザキ／ユーカリが丘駅前店,N.A.,千葉県,佐倉市,ユーカリが丘4丁目8-6,043-463-0029,N.A.,http://www.daily-yamazaki.jp/,コンビニ・スーパー・デパート,
東和航空輸送株式会社,N.A.,千葉県,佐倉市,大作2-3-3,043-498-0031,043-498-0034,http://www.towaair.com/,運送・貨物・倉庫,
株式会社佐栄電気,N.A.,千葉県,佐倉市,上志津1032-9,043-489-0033,043-461-6270,http://www.saei.co.jp/,家電,
アート・メンタルトリートメント・ラボ.AML,285-0837,千葉県,佐倉市,王子台6丁目27-16,043-488-0036,043-488-0022,http://www.creative-therapy.jp/,整体等各種療術,
アメリカンランゲージスクール／ユーカリが丘校,N.A.,千葉県,佐倉市,ユーカリが丘3丁目2-1-204,043-462-0043,043-462-0043,http://www.americanlanguage.jp/,語学,
岩渕薬品株式会社／小売部,285-0025,千葉県,佐倉市,鏑木町51,043-484-0046,N.A.,http://www.iwabuchi-net.co.jp/,販売・卸（医薬・化粧品）,
株式会社小川園,N.A.,千葉県,佐倉市,城内町257-16,043-484-0065,N.A.,http://www.ogawaen.co.jp/,食料品,
佐倉市立／馬渡保育園,285-0804,千葉県,佐倉市,馬渡812-2,043-498-0065,043-481-5300,http://www.city.sakura.lg.jp/,幼稚園・保育施設,
明光義塾／佐倉教室,285-0817,千葉県,佐倉市,大崎台1丁目3-6-202,043-481-0071,N.A.,http://www.meikogijuku.jp/,塾・予備校,
フジスポーツクラブ／志津教室,N.A.,千葉県,佐倉市,井野1441-3,043-488-0074,047-424-6965,http://fujisportsclub.com/,スポーツ,
自家焙煎珈琲さびゆう,285-0837,千葉県,佐倉市,王子台6丁目27-14,043-488-0081,N.A.,http://www.cafe-sabiyuu.com/,喫茶店・カフェ,
株式会社ミッション,N.A.,千葉県,佐倉市,井野1491-2,043-489-0082,043-489-4102,http://www.justicesurfboard.com/,販売・卸（その他）,
株式会社イーパック,N.A.,千葉県,佐倉市,太田2056-1,043-483-0089,043-483-0189,http://www.e-pack.co.jp/,生活用品,
株式会社いがらしハウジング,285-0859,千葉県,佐倉市,南ユーカリが丘12-10,043-463-0091,043-463-0209,http://www.igara-c.com/,不動産,
スズカファイン株式会社千葉営業所,N.A.,千葉県,佐倉市,石川620-1,043-486-0096,043-481-3761,http://www.suzukafine.co.jp/,販売・卸（建設資材）,
アクア・ユーカリ株式会社,N.A.,千葉県,佐倉市,ユーカリが丘3丁目2番地1合,043-488-0100,043-461-8174,http://www.aquayukari-web.com/,観光・温泉・銭湯,
株式会社ホンダカーズ東総,285-0837,千葉県,佐倉市,王子台6-10-9,043-460-0100,043-460-0101,http://www.hondacars-toso.co.jp/,製造・加工（輸送機械器具）,
佐倉市／佐倉図書館,N.A.,千葉県,佐倉市,新町189-1,043-485-0106,043-485-2321,https://www.library.city.sakura.lg.jp/,図書館,
千葉県／警察本部／佐倉警察署,N.A.,千葉県,佐倉市,表町3丁目17-1,043-484-0110,043-227-9271,http://www.police.pref.chiba.jp/,消防・警察,
佐倉市八街市酒々井町消防組合／火災の問い合わせ,N.A.,千葉県,佐倉市,大蛇町281,043-486-0119,N.A.,http://www.119-sys.jp/,消防・警察,
佐倉市八街市酒々井町消防組合／佐倉消防署／臼井出張所,N.A.,千葉県,佐倉市,染井野3丁目1-5,043-488-0119,043-488-0118,http://www.119-sys.jp/,消防・警察,
佐倉市八街市酒々井町消防組合／佐倉消防署／角来出張所,285-0821,千葉県,佐倉市,角来1730,043-485-0119,043-484-1053,http://www.119-sys.jp/,消防・警察,
佐倉市八街市酒々井町消防組合／志津消防署／志津南出張所,N.A.,千葉県,佐倉市,中志津3丁目35-1,043-489-0119,043-489-3000,http://www.119-sys.jp/,消防・警察,
佐倉市八街市酒々井町消防組合／消防本部,N.A.,千葉県,佐倉市,大蛇町281,043-481-0119,043-484-2502,http://www.119-sys.jp/,消防・警察,
美容室illume,285-0837,千葉県,佐倉市,王子台6丁目8-19,043-460-0120,N.A.,http://www.illume-hair.com/,美容院・理容店・毛髪業,
吉野家佐倉ユーカリが丘店,N.A.,千葉県,佐倉市,上座1205,043-460-0122,N.A.,https://www.yoshinoya.com/,レストラン,
アート引越センター,N.A.,千葉県,佐倉市,表町2丁目9-3,043-485-0123,N.A.,http://www.the0123.com/,運送・貨物・倉庫,
けん佐倉店,285-0817,千葉県,佐倉市,大崎台1丁目16-1,043-486-0129,03-5459-2929,http://www.mgfood.co.jp/,肉料理,
佐倉市／岩名運動公園陸上競技場,N.A.,千葉県,佐倉市,岩名828,043-483-0131,043-483-0133,http://www.iwana.shiteikanri-sakura.jp/iwa/,スポーツ施設,
ジョイフル,285-0811,千葉県,佐倉市,表町1丁目13-3,043-486-0147,N.A.,https://www.joyfull.co.jp/,レストラン,
株式会社日本陶業／佐倉倉庫,N.A.,千葉県,佐倉市,生谷1568-1,043-462-0150,03-3667-3508,http://www.nihontogyo.co.jp/,建材,
オリジン弁当／京成佐倉店,N.A.,千葉県,佐倉市,栄町1001-5,043-481-0151,043-481-0152,http://www.toshu.co.jp/,食料品,
株式会社馬場建材,285-0842,千葉県,佐倉市,下志津原154,043-489-0158,043-462-0819,http://baba-kenzai.co.jp/,販売・卸（建設資材）,
ツチヤ産業株式会社,N.A.,千葉県,佐倉市,小篠塚1211,043-498-0160,N.A.,http://www.tsuchiya-sg.co.jp/,廃棄物処理,
スィートガーデンベイシア佐倉店,N.A.,千葉県,佐倉市,寺崎,043-481-0161,N.A.,http://www.sweetgarden.co.jp/,お菓子・スイーツ,
有限会社プロクト,285-0858,千葉県,佐倉市,ユーカリが丘2-27-3,043-462-0166,043-301-3266,http://www.proct.jp/,印刷・出版,
株式会社富士ドライ,N.A.,千葉県,佐倉市,表町1-3-1,043-484-0170,N.A.,http://www.fujidry.jp/,その他サービス,
ウエルシア薬局佐倉王子台店,N.A.,千葉県,佐倉市,王子台4丁目14-1,043-460-0171,043-460-0172,http://www.welcia-yakkyoku.co.jp/,薬,
妙隆寺,285-0025,千葉県,佐倉市,鏑木町188,043-484-0188,043-484-0158,http://www.myoryuji.jp/,宗教,
シモアール／ユーカリが丘店,N.A.,千葉県,佐倉市,上座1193,043-463-0195,N.A.,http://www.shimor.com/,酒・飲料品,
株式会社マルヤ,N.A.,千葉県,佐倉市,小竹669-1,043-464-0195,N.A.,https://www.maruya-group.co.jp/jp/,コンビニ・スーパー・デパート,
医療法人社団慧友会こしべクリニック,285-0811,千葉県,佐倉市,表町3-18-14,043-486-0200,N.A.,http://www.koshibe-clinic.com/,医院・診療所・療養所,
浄土宗称念寺,N.A.,千葉県,佐倉市,青菅98-1,043-487-0202,043-462-9591,http://www.nekodera.net/,宗教,
世紀東急工業株式会社,N.A.,千葉県,佐倉市,太田2417-4,043-485-0202,N.A.,http://www.seikitokyu.co.jp/,建設業・工務店,
フィットネスクラブウスイ,N.A.,千葉県,佐倉市,王子台1丁目15-2,043-488-0211,043-488-0213,http://www.tsugaspo.co.jp/,スポーツ,
デンタルサポート株式会社,N.A.,千葉県,佐倉市,臼井53-3,043-460-0220,043-460-0224,http://www.dentalsupport.co.jp/,歯科系,
京成電鉄株式会社／京成佐倉駅,285-0014,千葉県,佐倉市,栄町1001-5,043-484-0222,043-484-0222,http://www.keisei.co.jp/,交通機関,
安楽亭井野店,N.A.,千葉県,佐倉市,井野1505,043-462-0226,N.A.,http://www.anrakutei.co.jp/,肉料理,
郵便局株式会社,N.A.,千葉県,佐倉市,山王1-3-3,043-483-0231,043-483-0225,http://map.japanpost.jp/,その他サービス,
大東建設株式会社,285-0854,千葉県,佐倉市,上座558-1,043-489-0235,043-461-4303,http://www.d10.co.jp/,建設業・工務店,
第一環境株式会社,N.A.,千葉県,佐倉市,表町4-7-1,043-481-0266,043-486-3035,http://www.daiichikankyo.co.jp/,ビルメンテナンス,
ITTO個別指導学院ユーカリが丘校,285-0858,千葉県,佐倉市,ユーカリが丘3丁目3-11,043-460-0280,03-5495-7157,http://www.ganbaru.co.jp/,塾・予備校,
株式会社広域高速ネット二九六,N.A.,千葉県,佐倉市,ユーカリが丘4-1-1スカイプラザサウスタワー2F,043-489-0296,043-489-0295,http://www.catv296.co.jp/,映画・放送・新聞,
株式会社広域高速ネット二九六,N.A.,千葉県,佐倉市,ユーカリが丘4-1-1スカイプラザサウスタワー2階,043-497-0296,N.A.,http://www.catv296.co.jp/,映画・放送・新聞,
みやけクリニック,285-0845,千葉県,佐倉市,西志津3-2-2,043-460-0303,N.A.,http://www.miyakeclinic.jp/,医院・診療所・療養所,
医療法人社団芽ばえの会,N.A.,千葉県,佐倉市,大崎台1-9-2,043-483-0303,043-483-0300,http://www.harunari.com/,医院・診療所・療養所,
佐倉サンゴルフセンター,N.A.,千葉県,佐倉市,生谷1530-1,043-487-0303,03-5776-0508,http://www.coolon-golf.com/,ゴルフ,
長岡産婦人科クリニック,285-0837,千葉県,佐倉市,王子台3-16-1,043-461-0303,N.A.,http://www.nagaokaclinic.or.jp/,医院・診療所・療養所,
佐倉カントリー倶楽部,N.A.,千葉県,佐倉市,飯田1000,043-485-0311,043-485-5188,http://www.sakuracountry.co.jp/,ゴルフ,
すずき指圧院,N.A.,千葉県,佐倉市,中志津3丁目24-9,043-487-0320,043-235-7951,http://www.saturn.sannet.ne.jp/,あん摩・はり・きゅう,
ファミリーマート佐倉臼井台店,285-0866,千葉県,佐倉市,臼井台1682-1,043-460-0321,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
株式会社テーオー印刷,N.A.,千葉県,佐倉市,鏑木町1137-4,043-484-0321,043-485-3515,http://www.teoh.co.jp/,印刷・出版,
佐倉市／志津児童センター,N.A.,千葉県,佐倉市,上志津1764,043-488-0326,043-460-2200,http://shizujidocenter.shiteikanri-sakura.jp/,介護・福祉,
はなわ眼科,285-0005,千葉県,佐倉市,宮前3丁目4-10,043-481-0333,N.A.,http://www.hanawa-ganka.com/,眼科,
KTコントラクト株式会社,N.A.,千葉県,佐倉市,小篠塚1181-1,043-498-0363,N.A.,https://kt-logi.co.jp/,アウトソーシング,
