▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
玉村公園ゴルフ倶楽部,370-1115,群馬県,佐波郡玉村町,大字五料815,0270-65-0001,0270-65-0001,http://www.koengolf.co.jp/,ゴルフ,
やきとり大吉,370-1135,群馬県,佐波郡玉村町,大字板井832-14,0270-64-0039,N.A.,http://www.daikichi.co.jp/,肉料理,
林精鋼株式会社,370-1127,群馬県,佐波郡玉村町,大字上之手,0270-64-0080,0270-20-4011,http://www.hsk-web.jp/,製造・加工（鉄鋼製品）,
まほろば,370-1121,群馬県,佐波郡玉村町,大字上飯島387-8,0270-64-0087,0270-64-0087,http://www.h-mahoroba.jp/,お菓子・スイーツ,
株式会社フレッセイ玉村店,370-1105,群馬県,佐波郡玉村町,大字福島78-6,0270-64-0222,0270-50-1555,http://www.fressay.co.jp/,コンビニ・スーパー・デパート,
株式会社京愛／ショールーム,370-1117,群馬県,佐波郡玉村町,大字川井220,0270-65-0288,0270-65-7854,http://www5.wind.ne.jp/,製造・加工（木製品・紙・パルプ関連）,
株式会社万代電気工業,370-1132,群馬県,佐波郡玉村町,下新田303,0270-65-0320,0270-65-0390,http://www.bandaidenki.com/,建設業・工務店,
アルバックテクノ株式会社,370-1112,群馬県,佐波郡玉村町,下之宮430-2,0270-65-0333,0270-65-0115,http://www.ulvac-techno.co.jp/,その他サービス,
よこて皮膚科医院,370-1127,群馬県,佐波郡玉村町,大字上之手2025-6,0270-65-0345,N.A.,http://med.wind.ne.jp/,医院・診療所・療養所,
ミライフ株式会社群馬玉村店,370-1122,群馬県,佐波郡玉村町,大字上茂木76,0270-64-0401,0270-64-0400,http://www.melife.co.jp/,水道・ガス・電力,
金石衛材株式会社,370-1101,群馬県,佐波郡玉村町,藤川184-4,0270-64-0500,0270-64-0005,http://www.kaneishi.co.jp/,製造・加工（電子・精密機械器具）,
株式会社グンソー本社,370-1101,群馬県,佐波郡玉村町,大字藤川207-3,0270-65-0580,0270-65-0583,http://www.gunso.co.jp/,リフォーム,
ナガイスイミングスクール玉村校,370-1122,群馬県,佐波郡玉村町,大字上茂木596,0270-65-0606,0270-65-0607,http://www.nagai-s-s.com/,スポーツ,
伊藤忠丸紅特殊鋼株式会社,370-1115,群馬県,佐波郡玉村町,大字五料208,0270-65-0625,0270-65-0629,http://www.spc.benichu.com/,製造・加工（建築資材）,
株式会社ケアコム／群馬工場,370-1113,群馬県,佐波郡玉村町,大字箱石419-1,0270-65-0651,042-485-7216,http://www.carecom.jp/,製造・加工（電子・精密機械器具）,
セブンイレブン／玉村樋越店,370-1103,群馬県,佐波郡玉村町,大字樋越569,0270-65-0702,029-254-8610,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
タマムラデリカ株式会社,370-1104,群馬県,佐波郡玉村町,大字上福島611-1,0270-65-0711,0270-65-1170,http://tamadeli.com/,製造・加工（食料品）,
児童くらぶ,370-1105,群馬県,佐波郡玉村町,大字福島509,0270-65-0785,N.A.,http://www.zidoclub.net/,書道・そろばん,
日米礦油株式会社,379-1135,群馬県,佐波郡玉村町,板井字,0270-65-0805,N.A.,http://www.nichibeikoyu.co.jp/,製造・加工（化学・プラスチック）,
東洋倉庫株式会社,N.A.,群馬県,佐波郡玉村町,上新田674,0270-64-1040,0270-64-0073,http://www.1040.co.jp/,運送・貨物・倉庫,
東松企業株式会社,370-1135,群馬県,佐波郡玉村町,大字板井141,0270-50-1067,0270-50-1069,http://www.tosho-express.com/,運送・貨物・倉庫,
三協株式会社,370-1116,群馬県,佐波郡玉村町,大字飯倉1-1,0270-65-1106,0270-65-9991,http://www.sankyokk.co.jp/,製造・加工（電子・精密機械器具）,
アットホーム尚久高崎東,370-1105,群馬県,佐波郡玉村町,大字福島80-1,0270-64-1107,0274-62-4871,http://hosoya.or.jp/,介護・福祉,
玉村町文化センター,370-1105,群馬県,佐波郡玉村町,大字福島325,0270-65-1110,0270-65-5200,http://www.tamamura-bunka.or.jp/,映画・劇場・会館,
株式会社ジェムコ高崎,370-1126,群馬県,佐波郡玉村町,宇貫588,0270-65-1111,0270-65-1340,https://gemco.jp/,販売・卸（日用品）,
玉村町立図書館,370-1105,群馬県,佐波郡玉村町,大字福島325,0270-65-1122,0270-65-5600,http://www.library.tamamura.gunma.jp/,図書館,
マクドナルド玉村とりせん店,370-1121,群馬県,佐波郡玉村町,大字上飯島280,0270-50-1130,0270-50-1130,http://www.mcdonalds.co.jp/,ファーストフード,
有限会社ウェルサポート・オギ,370-1122,群馬県,佐波郡玉村町,上茂木117-5,0270-50-1133,N.A.,http://www.wsogi.com/,介護・福祉,
セブンイレブン／玉村五料店,370-1115,群馬県,佐波郡玉村町,大字五料164-2,0270-65-1147,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
株式会社新共ロジテム,370-1135,群馬県,佐波郡玉村町,板井169-1,0270-50-1150,0270-50-1151,http://shinkyou-logitem.co.jp/,引越,
TSUTAYAタマムラブックセンター,370-1127,群馬県,佐波郡玉村町,大字上之手1688,0270-65-1155,0270-65-0617,http://store-tsutaya.tsite.jp/store_index.html?ta16x=x2,賃貸・レンタル,
株式会社小花製作所,370-1103,群馬県,佐波郡玉村町,大字樋越229-7,0270-64-1234,N.A.,http://kobana-flett.com/,製造・加工（金属製品）,
株式会社YAMANAKA,370-1117,群馬県,佐波郡玉村町,大字川井1730-1,0270-65-1361,0270-65-1368,http://www.clean-yamanaka.com/,製造・加工（鉄鋼製品）,
株式会社トラスト,370-1135,群馬県,佐波郡玉村町,板井919-9,0270-65-1366,0270-65-1366,http://www.trust-ltd.co.jp/,不動産,
マックス株式会社／玉村工場,370-1117,群馬県,佐波郡玉村町,大字川井1848,0270-65-1381,0270-20-4004,http://www.max-ltd.co.jp/,製造・加工（金属製品）,
東群運送株式会社前橋南インター営業所,370-1104,群馬県,佐波郡玉村町,大字上福島731-3,0270-50-1400,0270-65-2430,http://tougun-unsou.com/,運送・貨物・倉庫,
コスモ石油販売株式会社／セルフ玉村,370-1132,群馬県,佐波郡玉村町,大字下新田289,0270-65-1481,0270-65-1483,http://www.cosmo-oil.co.jp/,ガソリンスタンド,
くすりのユニーク,370-1133,群馬県,佐波郡玉村町,大字上新田1672-2,0270-65-1556,0270-65-1556,http://www.kigusuri.com/,薬,
小林労務総合事務所,370-1112,群馬県,佐波郡玉村町,大字下之宮575,0270-64-1587,0270-61-8368,http://www.k-sroffice.com/,士業・コンサルタント,
新日本セシオ株式会社,370-1117,群馬県,佐波郡玉村町,川井2094,0270-50-1600,0270-50-1601,http://www.secio.co.jp/,リース・レンタル,
有限会社菓庵水戸屋,370-1105,群馬県,佐波郡玉村町,大字福島34-4,0270-65-1616,N.A.,http://www.mitoya1895.com/,お菓子・スイーツ,
宇敷木材工業株式会社,370-1124,群馬県,佐波郡玉村町,角渕4632-1,0270-64-1717,0270-64-1755,http://ushiki.net/,その他サービス,
にしきの保育園,370-1127,群馬県,佐波郡玉村町,大字上之手1619-5,0270-75-1777,0270-75-1661,http://nishikino-hoikuen.com/,幼稚園・保育施設,
橋本総業株式会社群馬支店,370-1127,群馬県,佐波郡玉村町,大字上之手2065-4,0270-64-1800,N.A.,http://www.hat.co.jp/,商社・貿易,
有限会社ダイテック,370-1124,群馬県,佐波郡玉村町,大字角渕5206-3,0270-64-1819,0270-64-2014,http://www.p-daitec.co.jp/,製造・加工（化学・プラスチック）,
ことぶき整体院,370-1102,群馬県,佐波郡玉村町,大字飯塚236-11,0270-65-1861,N.A.,http://kotobukiseitai.com/,整体等各種療術,
伊澤鍼灸接骨院,370-1133,群馬県,佐波郡玉村町,大字上新田676-17-1D,0270-64-1908,0270-64-1908,http://www.zawashow.com/,あん摩・はり・きゅう,
石川ラボシステムズ,370-1132,群馬県,佐波郡玉村町,大字下新田1133,0270-64-1927,0270-64-1927,http://www.ishikawa-lab.co.jp/,保険衛生,
ベストR総合学院玉村校／個別指導部,370-1132,群馬県,佐波郡玉村町,大字下新田253-2,0270-65-1959,0270-75-1158,http://www.best-k.jp/,塾・予備校,
かたの歯科クリニック,370-1132,群馬県,佐波郡玉村町,大字下新田815-5,0270-64-2000,N.A.,http://www.katanoshika.jp/,歯科系,
