▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
エーヴランドホテル,046-0002,北海道,余市郡余市町,登町2361-1,0135-22-0011,0135-23-8591,http://www.a-brand.jp/,ホテル・ペンション,
余市警察署,046-0015,北海道,余市郡余市町,朝日町27,0135-22-0110,0135-23-6930,http://www.yoichi-syo.police.pref.hokkaido.lg.jp/,消防・警察,
Join,046-0003,北海道,余市郡余市町,黒川町2丁目58,0135-22-0177,N.A.,http://www.joinalive.jp/2019/,飲み屋,
惠泉農園,046-0013,北海道,余市郡余市町,豊丘町374-3,0135-22-0703,0135-21-6155,http://www.vitaport.co.jp/,宗教,
惠泉マリア訪問看護ステーション,046-0013,北海道,余市郡余市町,豊丘町301,0135-22-0707,0135-22-0803,http://www.vitaport.co.jp/,介護・福祉,
北海道ハートバス,046-0004,北海道,余市郡余市町,大川町16丁目5,0135-22-0810,0135-23-3939,http://heartbus.net/,交通機関,
鶴亀温泉,046-0001,北海道,余市郡余市町,栄町22-1,0135-22-1126,0135-48-6666,http://www.tsurukame-onsen.com/,観光・温泉・銭湯,
なの花薬局余市店,046-0004,北海道,余市郡余市町,大川町15丁目10,0135-22-1193,0135-22-1195,http://www.pharmaholdings.jp/,薬,
富士メガネ余市駅前店,046-0003,北海道,余市郡余市町,黒川町7丁目20,0135-22-1300,0135-22-1301,http://www.fujimegane.co.jp/,生活用品,
とみさわ歯科,046-0025,北海道,余市郡余市町,富沢町9丁目19-2,0135-22-1511,0135-22-1522,http://tomisawasika.jp/,歯科系,
エルラプラザ,046-0003,北海道,余市郡余市町,黒川町5丁目43,0135-22-1515,0135-22-1517,http://yoichi-cho.com/,組合・団体,
グループホームポランの家,046-0004,北海道,余市郡余市町,大川町8丁目12,0135-22-1577,0135-22-1578,http://www.poran-home.com/,介護・福祉,
有限会社総合宅建コンサルタント,046-0011,北海道,余市郡余市町,入舟町388,0135-22-1717,0135-22-1718,http://www13.plala.or.jp/,不動産,
プロショップかわぐち,046-0021,北海道,余市郡余市町,浜中町215-1,0135-23-2003,0135-23-2003,http://proshopkawaguchi.com/,釣り,
余市商工会議所,046-0003,北海道,余市郡余市町,黒川町3丁目114,0135-23-2116,0135-22-5100,http://www.hokkaido.cci.or.jp/,組合・団体,
北海信用金庫／本店,046-0003,北海道,余市郡余市町,黒川町4丁目5,0135-22-2121,0135-22-3685,http://www.shinkin.co.jp/,金融・郵貯・貸金,
余市郡漁業協同組合／管理部／総務課,046-0024,北海道,余市郡余市町,港町148,0135-23-2131,0135-22-6235,http://www.yoichigyokyo.com/,組合・団体,
北星余市高校／事務室,046-0003,北海道,余市郡余市町,黒川町19丁目2-1,0135-23-2166,0135-22-6097,http://www.hokusei-y-h.ed.jp/,小・中・高・大学等,
北海道中央バス株式会社／余市営業所,046-0023,北海道,余市郡余市町,梅川町775,0135-23-2175,N.A.,http://www.chuo-bus.co.jp/,交通機関,
北海道中央バス株式会社／余市案内所,046-0003,北海道,余市郡余市町,黒川町5丁目43,0135-23-2176,N.A.,http://www.chuo-bus.co.jp/,交通機関,
余市葡萄酒醸造所,046-0003,北海道,余市郡余市町,黒川町1318,0135-23-2184,0135-23-2186,http://yoichiwine.jp/,酒・飲料品,
株式会社北洋銀行余市支店,046-0003,北海道,余市郡余市町,黒川町4丁目112,0135-23-2194,0135-23-2199,http://www.hokuyobank.co.jp/,金融・郵貯・貸金,
余市宇宙記念館,046-0003,北海道,余市郡余市町,黒川町6丁目4,0135-21-2200,0135-21-2203,http://www.spacedome.jp/,博物館・美術館,
夢の森幼稚園,046-0022,北海道,余市郡余市町,沢町331,0135-22-2215,0135-22-2239,http://yumenomori-y.com/,幼稚園・保育施設,
大乗寺,046-0011,北海道,余市郡余市町,入舟町203,0135-22-2235,076-241-2330,http://www.daijoji.or.jp/,宗教,
医療法人社団倫仁会,046-0003,北海道,余市郡余市町,黒川町7-13,0135-22-2245,0135-22-2551,http://rinjinkai.or.jp/,医院・診療所・療養所,
ツルハドラッグ余市店,046-0004,北海道,余市郡余市町,大川町8丁目100-1,0135-21-2268,N.A.,http://www.tsuruha.co.jp/,薬,
auショップ余市,046-0004,北海道,余市郡余市町,大川町10丁目24,0135-21-2270,0135-21-2205,https://www.au.com/,電話・通信,
有限会社福原伸幸商店,046-0023,北海道,余市郡余市町,梅川町678,0135-22-2299,0135-22-5699,http://www.fukuhara-yoichi.co.jp/,製造・加工（食料品）,
中根酒店,046-0004,北海道,余市郡余市町,大川町3丁目78,0135-22-2315,0135-48-5515,http://nob916.blog10.fc2.com/,酒・飲料品,
山本幸章,046-0002,北海道,余市郡余市町,登町1100,0135-22-2375,N.A.,http://www.fruits-yamamoto.net/,観光・温泉・銭湯,
養護老人ホームかるな和順,046-0022,北海道,余市郡余市町,沢町5丁目77-1,0135-22-2408,0135-21-2408,http://www.tokufukai.or.jp/,介護・福祉,
瀬戸動物病院,046-0003,北海道,余市郡余市町,黒川町9丁目8,0135-22-2436,0135-22-2488,http://seto-ah.com/,動物病院・獣医師,
協和総合管理株式会社,N.A.,北海道,余市郡余市町,大川町10丁目10番地,0135-22-2458,N.A.,http://www.kyowa-sogo.com/,建設業・工務店,
イオン余市店,046-0003,北海道,余市郡余市町,黒川町12丁目62-1,0135-23-2527,011-865-4131,https://www.aeon-hokkaido.jp/home.html,コンビニ・スーパー・デパート,
余市精菱機械株式会社,046-0003,北海道,余市郡余市町,黒川町9丁目147,0135-22-2555,0135-22-6700,http://www.yseiryo.com/,販売・卸（その他）,
あゆ見荘,046-0012,北海道,余市郡余市町,山田町712,0135-22-2656,0135-23-5330,http://www4.plala.or.jp/,レストラン,
有限会社南保留太郎商店,046-0024,北海道,余市郡余市町,港町88,0135-22-2744,0135-23-2150,http://nanpo.net/,製造・加工（食料品）,
ホテル水明閣,046-0012,北海道,余市郡余市町,山田町687,0135-22-2838,0135-22-5388,http://www.suimeikaku.co.jp/,旅館・民宿,
マリンビレッジ,046-0032,北海道,余市郡余市町,豊浜町63-8,0135-23-2890,N.A.,http://www.mavic17.com/,スポーツ用品,
ホリディ,046-0004,北海道,余市郡余市町,大川町18丁目14-2,0135-22-2902,0135-44-2411,http://park15.wakwak.com/,お菓子・スイーツ,
青野歯科医院,046-0004,北海道,余市郡余市町,大川町3丁目63,0135-22-3089,N.A.,http://www.aono-do.com/,歯科系,
丸果札幌青果株式会社／余市連絡事務所,046-0003,北海道,余市郡余市町,黒川町1115,0135-23-3109,N.A.,http://www.marukasapporo.co.jp/,販売・卸（食料品）,
つばめタクシー,046-0003,北海道,余市郡余市町,黒川町8丁目37,0135-23-3111,0135-23-5703,http://tubame--taxi.com/,交通機関,
今野晃司法書士事務所,046-0011,北海道,余市郡余市町,入舟町95,0135-23-3114,0135-23-3115,http://www.sihosyosi.or.jp/,士業・コンサルタント,
余市町農協,046-0003,北海道,余市郡余市町,黒川町5丁目22,0135-23-3121,0135-23-4212,http://www.ja-yoichi.or.jp/,組合・団体,
ニッカウヰスキー株式会社,046-0003,北海道,余市郡余市町,黒川町7丁目6,0135-23-3131,0135-23-3137,http://www.nikka.com/,酒・飲料品,
株式会社樽石,N.A.,北海道,余市郡余市町,大川町14-15,0135-23-3165,0135-23-3166,http://www.taruseki.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社三浦屋,046-0003,北海道,余市郡余市町,黒川町9丁目130,0135-22-3236,0135-22-3707,https://www.miuraya.com/,販売・卸（食料品）,
杉の子幼稚園／事務所,046-0003,北海道,余市郡余市町,黒川町15丁目2-2,0135-22-3239,0135-22-3284,http://www.mitugonji.com/,幼稚園・保育施設,
北海道新聞社余市支局,046-0003,北海道,余市郡余市町,黒川町6丁目25-20,0135-23-3290,0135-23-2190,http://kk.hokkaido-np.co.jp/,映画・放送・新聞,
吉原種苗株式会社,046-0025,北海道,余市郡余市町,富沢町2-10,0135-22-3366,0135-22-3669,http://yoshihara-syubyo.jp/,販売・卸（その他）,
学校法人リタ幼稚園,046-0003,北海道,余市郡余市町,黒川町1丁目17,0135-22-3430,0135-22-3758,http://www.youchien.net/,幼稚園・保育施設,
余市町農協／中央給油所,046-0003,北海道,余市郡余市町,黒川町891,0135-22-3531,N.A.,http://www.hokuren-ss.jp/,組合・団体,
井上商店,046-0004,北海道,余市郡余市町,大川町11丁目34,0135-22-3571,0838-25-0852,http://www.hagiinoue.co.jp/,食料品,
藤本観光果樹園,046-0002,北海道,余市郡余市町,登町1976,0135-22-3624,0135-23-8482,http://www.fujimoto-kankounouen.com/,観光・温泉・銭湯,
JR北海道余市駅,046-0003,北海道,余市郡余市町,黒川町5丁目43,0135-23-3631,0135-22-1515,http://www.jrhokkaido.co.jp/,交通機関,
北後志消防組合／余市消防署,046-0003,北海道,余市郡余市町,黒川町6丁目25-2,0135-23-3711,0135-23-3943,http://park19.wakwak.com/,消防・警察,
余市郵便局／郵便,046-0004,北海道,余市郡余市町,大川町6丁目31,0135-22-3733,N.A.,http://www.post.japanpost.jp/,金融・郵貯・貸金,
日本基督教団余市教会,046-0003,北海道,余市郡余市町,黒川町1丁目17,0135-22-3758,0135-22-3758,http://www.yoichi-church.com/,宗教,
北後志消防組合／消防本部,046-0003,北海道,余市郡余市町,黒川町6丁目25-2,0135-23-3759,0135-23-7811,http://park19.wakwak.com/,消防・警察,
渋谷整骨院,046-0003,北海道,余市郡余市町,黒川町11丁目9,0135-22-3769,0135-22-5212,http://www.shibuya-seikotsuin.com/,整体等各種療術,
イエローハット余市店,046-0001,北海道,余市郡余市町,栄町37-1,0135-23-3818,0135-23-3817,http://www.yellowhat.jp/,カー用品,
中村建設株式会社,046-0003,北海道,余市郡余市町,黒川町1294-6,0135-23-3830,0135-22-3088,http://nakamurakensetsu.info/,総合・職別工事業,
医療法人社団滋恒会,046-0003,北海道,余市郡余市町,黒川町3-109,0135-22-3866,0135-22-7457,http://nakajimanaika.hajimeyoo.com/,医院・診療所・療養所,
湊宣詔,046-0022,北海道,余市郡余市町,沢町4丁目70,0135-22-4062,N.A.,http://www.ikkodate.jp/,リフォーム,
北海道日通プロパン販売株式会社余市営業所,046-0003,北海道,余市郡余市町,黒川町5丁目27,0135-22-4113,0135-22-4114,http://www.h-nittsupuropan.co.jp/,水道・ガス・電力,
株式会社余市川温泉,046-0011,北海道,余市郡余市町,入舟町322,0135-22-4126,0135-22-0007,http://yoichigawa.com/,観光・温泉・銭湯,
日本堂,046-0003,北海道,余市郡余市町,黒川町3丁目126,0135-22-4131,0135-23-5600,http://www.nihondo.co.jp/,生活用品,
札幌トヨペット株式会社余市店,046-0001,北海道,余市郡余市町,栄町44-1,0135-22-4141,N.A.,http://www.sapporo-toyopet.jp/,車検・整備・修理,
株式会社オニキス余市・プロファイル,046-0003,北海道,余市郡余市町,黒川町9丁目51-2,0135-22-4293,0135-23-2793,http://onix-yoichi.com/,自動車販売,
有限会社ビィクトリーポーク,046-0003,北海道,余市郡余市町,黒川町10丁目3-5,0135-22-4341,0135-23-7744,http://www.victory-pork.jp/,農業,
北海道マツダ販売株式会社余市店,046-0004,北海道,余市郡余市町,大川町13丁目20,0135-22-4400,0135-22-5349,http://www.hokkaido-mazda.co.jp/,車検・整備・修理,
中道造花店／中道すずらんホール,046-0003,北海道,余市郡余市町,黒川町13丁目10-1,0135-21-4499,0135-21-4119,http://www.yoichi-sousai.jp/,葬儀,
社会福祉法人よいち福祉会／高齢者総合福祉施設フルーツ・シャトーよいち／居宅介護支援事業所,046-0003,北海道,余市郡余市町,黒川町85-65,0135-21-4600,0135-21-4601,http://www.fruit.or.jp/,介護・福祉,
てらデンタルクリニック,046-0025,北海道,余市郡余市町,富沢町6丁目96-1,0135-23-4618,0135-23-8618,http://www.teradental.com/,歯科系,
ほっともっと余市店,046-0004,北海道,余市郡余市町,大川町2丁目23-1,0135-21-4650,N.A.,http://www.hottomotto.com/,弁当・宅配,
ソフトバンク余市,046-0004,北海道,余市郡余市町,大川町8丁目40-1,0135-21-4777,0135-21-4444,http://www.m-digi.co.jp/,電話・通信,
炭番屋,046-0003,北海道,余市郡余市町,黒川町2丁目194,0135-21-4832,0135-21-4855,http://www.sumibanya.com/,和食,
