▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
グローアップワークス,369-0306,埼玉県,児玉郡上里町,大字七本木2610-15,0495-34-0006,0495-34-0011,http://growupworks.web.fc2.com/,中古車・買取,
JTBリノンツーリスト・ウニクス本庄上里店,369-0306,埼玉県,児玉郡上里町,大字七本木2272-1,0495-35-0011,0495-35-0031,http://www.jtb.co.jp/,旅行業・代理店,
ウニクス上里,369-0306,埼玉県,児玉郡上里町,大字七本木2272-1,0495-35-0066,0495-34-2000,http://www.unicus-sc.jp/,コンビニ・スーパー・デパート,
株式会社東日本宇佐美埼玉栃木販売支店／セルフイオン上里,369-0301,埼玉県,児玉郡上里町,大字金久保460-1,0495-35-0072,0495-35-0073,http://usami-net.com/,ガソリンスタンド,
ラジエンスウエア株式会社,369-0313,埼玉県,児玉郡上里町,大字堤696-7,0495-35-0081,0495-35-0075,http://www.radianceware.co.jp/,製造・加工（医療・薬関連）,
上里歯科医院,369-0306,埼玉県,児玉郡上里町,大字七本木955-3,0495-33-0141,0495-33-0141,http://www.kamisato-dental.com/,歯科系,
Dステーション上里店,369-0301,埼玉県,児玉郡上里町,大字金久保482-1,0495-33-0188,048-650-8500,http://www.p-world.co.jp/,プレイスポット,
P’s-first上里店,369-0301,埼玉県,児玉郡上里町,大字金久保359-1,0495-35-0201,0495-35-0201,http://www.pfirst.jp/,ペットショップ,
ルピナス会本部,369-0313,埼玉県,児玉郡上里町,大字堤489,0495-33-0204,0495-33-6337,http://www.rupinasu.info/,介護・福祉,
パチンコプラザラ・カータ上里店,369-0306,埼玉県,児玉郡上里町,大字七本木3575,0495-35-0211,N.A.,http://www.p-world.co.jp/,屋内遊戯,
株式会社ベルク上里SC店,369-0301,埼玉県,児玉郡上里町,大字金久保359-1,0495-35-0300,0495-35-0301,http://www.belc.jp/,コンビニ・スーパー・デパート,
社会福祉法人豊井会,369-0311,埼玉県,児玉郡上里町,大字勅使河原1584,0495-35-0333,0495-34-0002,http://www.hoseikai.org/,介護・福祉,
公文式七本木教室,369-0306,埼玉県,児玉郡上里町,大字七本木3512-24,0495-34-0393,N.A.,http://www.kumon.ne.jp/,塾・予備校,
株式会社エムディーシステムズ,369-0306,埼玉県,児玉郡上里町,大字七本木2003-B,0495-35-0404,046-296-5090,http://mdsystems.biz/,総合・職別工事業,
ウニクス上里歯科,369-0306,埼玉県,児玉郡上里町,大字七本木2272-1,0495-35-0418,0495-35-0419,http://www.unicus-sc.jp/,歯科系,
有限会社マルコウ種苗,369-0302,埼玉県,児玉郡上里町,黛180,0495-33-0424,0495-33-3894,https://marukou2251.com/,農業,
児玉郡市広域消防本部／上里分署,369-0306,埼玉県,児玉郡上里町,大字七本木292,0495-33-0442,0495-27-2242,http://www.kodamakouiki.jp/,消防・警察,
コリ・とーる上里,369-0306,埼玉県,児玉郡上里町,大字七本木2347-14,0495-33-0477,0495-33-0678,http://www.korito-ru.net/,観光・温泉・銭湯,
カルディーコーヒーファームイオン上里ショッピングセンター店,369-0301,埼玉県,児玉郡上里町,大字金久保359-1,0495-35-0510,N.A.,http://www.kaldi.co.jp/,食料品,
マジックミシンイオン上里ショッピングセンター店,369-0301,埼玉県,児玉郡上里町,大字金久保359-1,0495-35-0515,0495-35-0515,http://www.reform-s.com/,靴・かばん・小物,
村島製菓,369-0314,埼玉県,児玉郡上里町,大字三町746,0495-33-0530,0495-33-0530,http://www.murashimaseika.com/,お菓子・スイーツ,
株式会社イオンファンタジー,369-0301,埼玉県,児玉郡上里町,大字金久保字蓮山359番1,0495-35-0536,N.A.,http://www.fantasy.co.jp/,その他サービス,
アウトレットJイオン上里ショッピングセンター店,369-0301,埼玉県,児玉郡上里町,大字金久保359-1,0495-35-0542,0495-35-0542,http://www.mac-house.co.jp/,洋服,
埼玉ひびきの農業協同組合／上里支店,369-0306,埼玉県,児玉郡上里町,大字七本木164-3,0495-33-0549,0495-23-1718,http://www.ja-hibikino.jp/,組合・団体,
