▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
三光産業?,N.A.,埼玉県,入間郡越生町,上野宮ノ腰758,049-277-1112,N.A.,http://burrtol.jp/,製造・加工（電子・精密機械器具）,
越生メディカルクリニック,350-0411,埼玉県,入間郡越生町,大字黒岩199-1,049-277-1119,049-277-1222,http://www.ogose-mc.com/,内科系,
セーブオン越生上野店,350-0415,埼玉県,入間郡越生町,大字上野1055-1,049-277-1701,N.A.,http://www.saveon.co.jp/,コンビニ・スーパー・デパート,
越生自動車大学校,350-0417,埼玉県,入間郡越生町,上野東1丁目3-2,049-292-2012,049-292-2012,http://www.ogosejidai.ac.jp/,専修学校,
清和学園高等学校,350-0417,埼玉県,入間郡越生町,上野東1丁目3-2,049-292-2017,049-292-2510,http://www.sgh.ed.jp/,小・中・高・大学等,
越生町商工会,350-0416,埼玉県,入間郡越生町,大字越生1126-9,049-292-2021,049-292-2027,http://www.ogose-syokoukai.com/,組合・団体,
埼玉縣信用金庫越生支店,350-0416,埼玉県,入間郡越生町,大字越生387-9,049-292-2050,N.A.,http://www.saishin.co.jp/kojin/,金融・郵貯・貸金,
有限会社佐藤酒造店,350-0405,埼玉県,入間郡越生町,大字津久根141-1,049-292-2058,049-292-2034,http://www.satoshuzou.co.jp/,酒・飲料品,
越生町立／越生小学校,350-0411,埼玉県,入間郡越生町,大字黒岩251,049-292-2071,049-292-2124,http://ogosyo.blogspot.com/,小・中・高・大学等,
有限会社山口写真本店,350-0416,埼玉県,入間郡越生町,大字越生783,049-292-2103,049-292-6533,http://yamaguchi-studio.com/,中古品売買,
越生みどり幼稚園,350-0416,埼玉県,入間郡越生町,大字越生950,049-292-2106,049-292-2106,http://midoriyouchien.iinaa.net/,幼稚園・保育施設,
テイク,350-0416,埼玉県,入間郡越生町,大字越生868,049-292-2121,049-292-2121,http://www.takeinc.co.jp/,コンビニ・スーパー・デパート,
田村製薬株式会社,350-0404,埼玉県,入間郡越生町,成瀬829番6号,049-292-2150,049-292-2983,http://www.tamuraseiyaku.com/,製造・加工（医療・薬関連）,
