▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
テーオーカードセンター／本店,040-0015,北海道,函館市,梁川町10-25,0138-32-0001,0138-32-0010,http://www.to-dept.com/,金融・郵貯・貸金,
ファイブスター函館店,041-0851,北海道,函館市,本通4丁目14-13,0138-33-0001,0138-33-0002,http://www.five-star.co.jp/,レストラン,
マリエール函館／写真室,040-0015,北海道,函館市,梁川町2-8,0138-51-0001,0138-62-5701,http://www.marriyell-hakodate.jp/,結婚・宴会,
一乃松,042-0932,北海道,函館市,湯川町1丁目3-17,0138-57-0001,0138-57-3666,http://www.ichinomatsu.co.jp/,旅館・民宿,
函館市医師会／事務局,042-0932,北海道,函館市,湯川町3丁目38-45,0138-36-0001,0138-36-0007,http://www.hotweb.or.jp/,組合・団体,
タイムズカーレンタル／函館空港前店,042-0952,北海道,函館市,高松町569-19,0138-59-0002,N.A.,https://rental.timescar.jp/,リース・レンタル,
nail-Spica,041-0853,北海道,函館市,中道1丁目27-12,0138-52-0005,0138-30-7556,http://spica.bitter.jp/,美容・コスメ,
ジェイ・アート株式会社,041-0812,北海道,函館市,昭和3-31-20,0138-46-0005,0138-46-1270,http://maro.ne.jp/,家電,
ドコモショップ／函館昭和店,041-0812,北海道,函館市,昭和4丁目3-24,0138-40-0005,N.A.,http://www.nttdocomo.co.jp/,電話・通信,
株式会社函館平安システム／平安ホール昭和,041-0812,北海道,函館市,昭和2丁目40-10,0138-43-0005,0138-43-0066,http://heian-system.com/,葬儀,
株式会社日研,040-0061,北海道,函館市,海岸町7-13,0138-26-0006,0138-26-7007,http://www.nikken-kosakusho.co.jp/,販売・卸（一般機械）,
湯の川女性クリニック,042-0932,北海道,函館市,湯川町2丁目17-8,0138-59-0006,0138-59-0007,http://yunokawa-jc.com/,産科・婦人科系,
カサイデザインハウス,040-0072,北海道,函館市,亀田町22-14,0138-45-0007,0138-45-2693,http://www.kd-house.com/,総合・職別工事業,
新東山墓園／第2新東山墓園,041-0833,北海道,函館市,陣川町149-2,0138-56-0007,0138-56-3002,http://www.h-ss.org/,葬儀,
