▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ベイシア月夜野店,379-1304,群馬県,利根郡みなかみ町,下牧482,0278-62-0001,N.A.,http://www.beisia.co.jp/,コンビニ・スーパー・デパート,
ポミエ,379-1417,群馬県,利根郡みなかみ町,東峰273,0278-64-0005,0278-64-0088,http://www.takuminosato.com/,レストラン,
法師温泉長寿館,379-1401,群馬県,利根郡みなかみ町,永井650,0278-66-0005,0278-66-0003,http://www.houshi-onsen.jp/,旅館・民宿,
農産物加工の家,379-1418,群馬県,利根郡みなかみ町,須川834-3,0278-64-0010,0278-64-0398,http://www.takuminosato.com/,そば・うどん,
国土交通省関東地方整備局／利根川ダム統合管理事務所／相俣ダム管理支所,379-1404,群馬県,利根郡みなかみ町,相俣1493,0278-66-0034,N.A.,http://www.ktr.mlit.go.jp/,官公署,
佐藤商会,379-1402,群馬県,利根郡みなかみ町,吹路308-2,0278-66-0041,0544-58-0150,http://www.rspantera.com/,車検・整備・修理,
三国屋,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1173-1,0278-66-0044,0120-82-8048,http://www.mikuniyazengoro.com/,そば・うどん,
デンボー工業株式会社,379-1418,群馬県,利根郡みなかみ町,須川881-12,0278-64-0055,0278-64-0080,http://www.denboh.com/,製造・加工（電子・精密機械器具）,
旅籠屋丸一,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉199,0278-66-0066,0278-64-2220,http://www.hatagoya-maruichi.com/,旅館・民宿,
新月,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1137-5,0278-66-0087,N.A.,http://shingetsu-1966.com/,製造・加工（食料品）,
株式会社トヨタレンタリース群馬上毛高原駅前店,379-1313,群馬県,利根郡みなかみ町,月夜野1766,0278-62-0100,0278-62-0400,https://rent.toyota.co.jp/,リース・レンタル,
株式会社名濱,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1081,0278-66-0100,0278-66-0596,http://mei-hin.com/,販売・卸（食料品）,
有限会社松田水道,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1103,0278-66-0109,0278-66-0671,http://www.setsubiyasan.com/,設備工事業,
カインズホーム／月夜野店,379-1304,群馬県,利根郡みなかみ町,下牧524,0278-62-0111,0495-25-1001,http://www.cainz.co.jp/,生活用品,
みなかみ町役場／新治支所,379-1414,群馬県,利根郡みなかみ町,布施365,0278-64-0111,0278-64-0852,http://www.enjoy-minakami.jp/,市区町村機関,
仁田屋,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1143,0278-66-0114,0278-66-0930,http://www.kannet.ne.jp/,旅館・民宿,
月夜野カントリークラブ,379-1411,群馬県,利根郡みなかみ町,新巻3695-2,0278-64-0116,0278-64-1274,http://www.tsukiyonocc.com/,ゴルフ,
群馬県警察本部／沼田警察署／新治交番,379-1414,群馬県,利根郡みなかみ町,布施119,0278-64-0130,027-223-7950,http://www.pref.gunma.jp/,消防・警察,
はしば食堂,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1093,0278-66-0153,0278-66-0153,http://www.page.sannet.ne.jp/,そば・うどん,
木内建設株式会社,379-1409,群馬県,利根郡みなかみ町,湯宿温泉2086-1,0278-64-0154,0278-64-0167,http://www1.kiuchi.jp/,総合・職別工事業,
トコヤホンダ,379-1409,群馬県,利根郡みなかみ町,湯宿温泉536-3,0278-64-0157,0278-64-0157,http://tokoya.good2390.com/,美容院・理容店・毛髪業,
前田屋,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉291,0278-66-0173,0278-66-0175,http://maedaya-yuuki.ecnet.jp/,旅館・民宿,
猿ケ京温泉旅館協同組合,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1185-4,0278-66-0186,0278-25-3185,http://www.sarugakyo-ryokan.com/,予約,
旅籠しんでん,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1528,0278-66-0205,0278-66-0206,http://www.hatagoshinden.com/,旅館・民宿,
太陽館,379-1409,群馬県,利根郡みなかみ町,湯宿温泉2384,0278-64-0211,0278-64-2110,http://www.taiyoukan.com/,旅館・民宿,
気楽や民宿,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉357,0278-66-0221,0278-66-0309,http://www16.plala.or.jp/,旅館・民宿,
珈琲倶楽部,379-1314,群馬県,利根郡みなかみ町,下津1958-1,0278-62-0222,0278-62-0222,http://tsukiyonocoffee.com/,喫茶店・カフェ,
北関東秩父コンクリート株式会社,N.A.,群馬県,利根郡みなかみ町,羽場16,0278-64-0225,N.A.,http://www.k-chichibu.co.jp/,製造・加工（その他）,
株式会社ホーマーイオン研究所群馬工場,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1249-3,0278-66-0230,03-3463-6154,http://www.homerion.co.jp/,製造・加工（医療・薬関連）,
株式会社サカト産業,379-1308,群馬県,利根郡みなかみ町,真庭191-1,0278-62-0276,0278-62-0020,http://www.sakato.info/,製造・加工（木製品・紙・パルプ関連）,
ロッジガルニ,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉205,0278-66-0288,N.A.,http://lodge-garnie.com/,その他宿泊施設,
藤屋,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉876,0278-66-0296,0278-66-0486,http://www.sports-fujiya.com/,旅館・民宿,
ダック,379-1414,群馬県,利根郡みなかみ町,布施2467,0278-64-0311,N.A.,http://888888.jp/,コンビニ・スーパー・デパート,
湯豆のやど本伝,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1180-1,0278-66-0321,0278-66-0177,http://www.yuzunoyado.com/,旅館・民宿,
利根沼田農協／新治スタンド,379-1411,群馬県,利根郡みなかみ町,新巻32-1,0278-64-0353,0278-22-6666,http://www.jatone.or.jp/,ガソリンスタンド,
みなかみ町観光協会,379-1313,群馬県,利根郡みなかみ町,月夜野1744-1,0278-62-0401,0278-20-2124,http://www.enjoy-minakami.jp/,観光・温泉・銭湯,
みやま荘,379-1409,群馬県,利根郡みなかみ町,湯宿温泉598-1,0278-64-0545,0278-64-2468,http://www.miyamaso.net/,旅館・民宿,
みくに荘,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉216,0278-66-0555,0278-66-0556,http://mikunisou.info/,旅館・民宿,
大滝屋旅館,379-1409,群馬県,利根郡みなかみ町,湯宿温泉2383,0278-64-0602,0278-64-2266,http://www.yujuku-onsen.com/,旅館・民宿,
かねた屋旅館,379-1409,群馬県,利根郡みなかみ町,湯宿温泉608,0278-64-0606,0278-64-0653,http://www.yujuku-kanetaya.com/,旅館・民宿,
笛木建設株式会社,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1001,0278-66-0636,0278-66-1338,http://www.fueki-kensetsu.com/,総合・職別工事業,
蔵やしき,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉107,0278-66-0641,0278-66-0642,http://www.kurayashiki.co.jp/,旅館・民宿,
芳澤税務会計事務所,379-1313,群馬県,利根郡みなかみ町,月夜野565-1,0278-62-0655,0278-62-0656,http://www.yoshizawa-kaikei.x0.com/,士業・コンサルタント,
太助ドライブイン,379-1411,群馬県,利根郡みなかみ町,新巻3596,0278-64-0710,0278-64-0638,http://www.daimaruya.jp/,レストラン,
湯島オートキャンプ場,379-1404,群馬県,利根郡みなかみ町,相俣2004-31,0278-66-0733,N.A.,http://www.mantenboshinoyu.com/,キャンプ,
すえひろ,379-1414,群馬県,利根郡みなかみ町,布施84-1,0278-64-0831,N.A.,http://www7.plala.or.jp/,レストラン,
くるみの家,379-1418,群馬県,利根郡みなかみ町,須川782,0278-64-0843,0278-64-2220,http://takuminosato.jp/,美術・工芸,
三国生花／月夜野店,379-1304,群馬県,利根郡みなかみ町,下牧478-4,0278-62-0878,0278-62-0878,http://www.fujitv-flower.net/,ガーデニング,
ル・ヴァンベール湖郷,379-1404,群馬県,利根郡みなかみ町,相俣1731,0278-66-0880,0278-66-0220,http://sarugakyo-kokyo.com/,旅館・民宿,
川古温泉浜屋旅館,379-1404,群馬県,利根郡みなかみ町,相俣2577,0278-66-0888,0278-66-0889,http://www3.kannet.ne.jp/,旅館・民宿,
月夜野庭銀の月,379-1307,群馬県,利根郡みなかみ町,政所1042,0278-62-1002,0278-62-1002,http://tsukiyonotei-ginnotsuki.com/,レストラン,
株式会社長登屋,379-1307,群馬県,利根郡みなかみ町,政所202-4,0278-62-1011,0278-62-1010,http://www.nagatoya-gift.com/,製造・加工（食料品）,
湖城閣,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉121,0278-66-1021,0278-66-1141,http://www.kojokaku.com/,旅館・民宿,
陶芸の家,379-1418,群馬県,利根郡みなかみ町,須川286-2,0278-64-1031,0278-64-1031,http://takuminosato.jp/,趣味,
五郎兵衛やかた,379-1418,群馬県,利根郡みなかみ町,須川1055-2,0278-64-1043,0278-64-2266,http://www.yujuku-onsen.com/,レストラン,
朝日食品工業株式会社月夜野工場,379-1307,群馬県,利根郡みなかみ町,政所1007,0278-62-1081,048-711-4504,http://www.asahico.co.jp/,製造・加工（食料品）,
有限会社清野旅館,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1124,0278-66-1100,0278-66-1144,http://kiyono-r.com/,旅館・民宿,
猿ケ京ホテル,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1171,0278-66-1101,0278-66-1108,http://www.sarugakyo.net/,旅館・民宿,
財団法人三国路与謝野晶子紀行文学館,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉宮野1175-1,0278-66-1110,N.A.,http://www.sarugakyo.net/,組合・団体,
利根沼田農協／新治支店,379-1414,群馬県,利根郡みなかみ町,布施353,0278-64-1111,0278-22-6666,http://www.jatone.or.jp/,組合・団体,
しんりんレストラン,379-1314,群馬県,利根郡みなかみ町,下津3375-5,0278-62-1122,0278-62-1123,http://www.sinrin.co.jp/,和食,
深代喫煙具製作所,379-1418,群馬県,利根郡みなかみ町,須川1085,0278-64-1122,0278-64-1123,http://fukashiro.co.jp/,その他,
利根沼田農協／上津セルフスタンド,379-1315,群馬県,利根郡みなかみ町,上津953-1,0278-62-1125,0278-22-6666,http://www.jatone.or.jp/,ガソリンスタンド,
長生館,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1178,0278-66-1131,0278-66-1135,http://yumoto-chouseikan.jp/,旅館・民宿,
みなかみ町商工会,379-1313,群馬県,利根郡みなかみ町,月夜野1744-1,0278-62-1155,0278-62-6264,http://www.minakami.or.jp/,組合・団体,
かかし,379-1415,群馬県,利根郡みなかみ町,西峰須川129,0278-64-1204,0278-64-1204,http://m-kakasi.com/,旅館・民宿,
みねの湯つきよの館,379-1305,群馬県,利根郡みなかみ町,後閑1739-1,0278-62-1207,0278-62-1302,http://minenoyu.com/,旅館・民宿,
さくら薬局月夜野店,379-1308,群馬県,利根郡みなかみ町,真庭304-1,0278-62-1222,N.A.,http://www.kraft-net.co.jp/,薬,
ノルンみなかみスキースクール,379-1614,群馬県,利根郡みなかみ町,寺間479-139,0278-72-1224,N.A.,http://nornminakami.com/,ウィンタースポーツ,
ヤマキ株式会社,379-1313,群馬県,利根郡みなかみ町,月夜野4000番地,0278-62-1231,0278-62-1246,http://www.yamaki.co.jp/,食料品,
別亭やえ野,379-1725,群馬県,利根郡みなかみ町,綱子356,0278-72-1266,0278-72-3037,http://www.yaeno.jp/,旅館・民宿,
グランボレパラグライダースクール,379-1306,群馬県,利根郡みなかみ町,師2151-1,0278-62-1274,0278-62-1275,http://www.g-v.jp/,その他,
三国ボデーショップ,379-1411,群馬県,利根郡みなかみ町,新巻148,0278-64-1370,0278-64-1373,https://mikunibodyshop.wixsite.com/392site,車検・整備・修理,
カッパクラブ,379-1614,群馬県,利根郡みなかみ町,寺間18,0278-72-1372,0278-72-1373,http://www.kappa-club.com/,アウトドア,
有限会社東洋プロセス,379-1308,群馬県,利根郡みなかみ町,真庭781-3,0278-62-1414,0278-62-3300,http://www.toyo-process.com/,専門サービス業,
一作農園,379-1414,群馬県,利根郡みなかみ町,布施1876-2,0278-64-1416,N.A.,http://www3.kannet.ne.jp/,観光・温泉・銭湯,
水紀行館,379-1617,群馬県,利根郡みなかみ町,湯原1681-1,0278-72-1425,0278-72-1426,http://www9.wind.ne.jp/,道の駅,
本陣,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉290,0278-66-1432,025-789-2818,http://www.oyado-honjin.com/,飲み屋,
樋口旅館,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1167-1,0278-66-1500,0278-66-1501,http://www.higuchi-r.com/,旅館・民宿,
みなかみ町商工会／新治支所,379-1414,群馬県,利根郡みなかみ町,布施378-7,0278-64-1515,0278-64-1516,http://www.minakami.or.jp/,組合・団体,
株式会社協和,379-1418,群馬県,利根郡みなかみ町,須川881-13,0278-64-1555,0278-64-1559,http://www.kk-kyouwa.com/,製造・加工（輸送機械器具）,
フォトスタジオ佐川,379-1305,群馬県,利根郡みなかみ町,後閑598-4,0278-62-1586,0278-62-1589,http://www.photo-sagawa.com/,写真・ビデオ・スライド,
アイチ研修センター／テクノプラザ,379-1418,群馬県,利根郡みなかみ町,須川881-6,0278-64-1611,0278-64-2120,http://www.aichi-kensyu.co.jp/,アウトソーシング,
保ちゃんりんご園,379-1411,群馬県,利根郡みなかみ町,新巻909-62,0278-64-1637,0278-64-2304,http://www5.kannet.ne.jp/,観光・温泉・銭湯,
江高りんご園,379-1411,群馬県,利根郡みなかみ町,新巻909-58,0278-64-1638,0278-64-1638,http://www5.kannet.ne.jp/,観光・温泉・銭湯,
ノエビア化粧品古馬牧代理店,379-1308,群馬県,利根郡みなかみ町,真庭289-1,0278-62-1665,0278-62-1665,http://www.noevir.co.jp/,美容・コスメ,
有限会社月夜野きのこ園,379-1305,群馬県,利根郡みなかみ町,後閑1170,0278-62-1673,0278-62-1674,http://tsukiyono.co.jp/,製造・加工（食料品）,
気ママ屋,379-1617,群馬県,利根郡みなかみ町,湯原713,0278-72-1700,N.A.,http://kimamaya.arrow.jp/,レストラン,
ファミリーマートJA利根沼田月夜野店,379-1315,群馬県,利根郡みなかみ町,上津957-2,0278-62-1755,0969-27-5570,http://www.family.co.jp/,コンビニ・スーパー・デパート,
利根沼田農協／オートパル西部・農機,379-1313,群馬県,利根郡みなかみ町,月夜野426-2,0278-62-1800,0278-22-6666,http://www.jatone.or.jp/,組合・団体,
群馬サイクルスポーツセンター,379-1411,群馬県,利根郡みなかみ町,新巻3853,0278-64-1811,0278-64-1818,http://www.gummacsc.com/,スポーツ施設,
民話と紙芝居の家,379-1403,群馬県,利根郡みなかみ町,猿ヶ京温泉1150-1,0278-66-1874,N.A.,http://www.sarugakyo.net/,娯楽,
大成興業株式会社,379-1418,群馬県,利根郡みなかみ町,須川字下原881-10,0278-64-1911,0278-64-1919,http://www.taiseikogyo.jp/,製造・加工（化学・プラスチック）,
国土交通省関東地方整備局／利根川ダム統合管理事務所／藤原ダム管理支所,379-1722,群馬県,利根郡みなかみ町,夜後26,0278-75-2006,N.A.,http://www.ktr.mlit.go.jp/,官公署,
月夜野病院,379-1308,群馬県,利根郡みなかみ町,真庭316,0278-62-2011,0278-62-2013,http://moon-hp.or.jp/,肛門科,
利根沼田農協／月夜野支店,379-1313,群馬県,利根郡みなかみ町,月夜野425,0278-62-2021,0278-22-6666,http://www.jatone.or.jp/,組合・団体,
利根沼田農協／西部ガスセンター,379-1313,群馬県,利根郡みなかみ町,月夜野425,0278-62-2023,0278-22-6666,http://www.jatone.or.jp/,組合・団体,
ロッジ宝台樹,379-1721,群馬県,利根郡みなかみ町,藤原3765,0278-75-2035,0278-75-2035,http://lodge-houdaigi.com/,旅館・民宿,
群馬県警察本部／沼田警察署／水上交番,379-1617,群馬県,利根郡みなかみ町,湯原1681-1,0278-72-2049,N.A.,http://www.police.pref.gunma.jp/,消防・警察,
やまさん工房,379-1418,群馬県,利根郡みなかみ町,須川822,0278-64-2064,0278-50-9039,http://www.shippouyaki.jp/,著述・芸術家,
日本バイブルホーム,379-1721,群馬県,利根郡みなかみ町,藤原6289-14,0278-75-2066,N.A.,http://www3.kannet.ne.jp/,宗教,
利根郡信用金庫／新治支店,379-1414,群馬県,利根郡みなかみ町,布施117,0278-64-2071,0278-56-2121,http://www.toneshin.co.jp/,金融・郵貯・貸金,
やぐら,379-1721,群馬県,利根郡みなかみ町,藤原5959,0278-75-2077,0278-75-2641,http://www3.kannet.ne.jp/,旅館・民宿,
株式会社ウィズウェイストジャパン,379-1417,群馬県,利根郡みなかみ町,東峰474-2,0278-64-2079,0278-64-2084,http://www.withwaste.jp/,製造・加工（建築資材）,
水資源機構沼田総合管理所／矢木沢ダム管理所,379-1721,群馬県,利根郡みなかみ町,藤原6381-4,0278-75-2081,N.A.,http://www.water.go.jp/honsya/honsya/index.html,組合・団体,
秘湯の宿龍洞,379-1721,群馬県,利根郡みなかみ町,藤原6188-1,0278-75-2086,0278-75-2368,http://www.ryuudou.com/,旅館・民宿,
群馬県庁／県民局／利根沼田県民局／沼田土木事務所／水上事業所,379-1612,群馬県,利根郡みなかみ町,小日向416,0278-72-2093,0278-72-6451,http://www.pref.gunma.jp/,都道府県機関,
清流の宿たむら,379-1721,群馬県,利根郡みなかみ町,藤原6273-2,0278-75-2096,0278-75-2171,http://www.yado-tamura.com/,旅館・民宿,
