▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
サンキョーシャッター株式会社／仙北営業所,981-4225,宮城県,加美郡加美町,字新木伏77,0229-64-1025,022-257-5285,http://www.sankyoshutter.co.jp/,エクステリア,
キョーワ株式会社,981-4225,宮城県,加美郡加美町,字新木伏13-1,0229-64-1066,0229-64-1077,http://www.kyowa-inc.co.jp/,製造・加工（建築資材）,
ケイテック株式会社,981-4263,宮城県,加美郡加美町,雁原325,0229-64-1111,0229-63-5652,http://www.k-technology.co.jp/,製造・加工（電子・精密機械器具）,
ファッションセンターしまむら中新田店,981-4263,宮城県,加美郡加美町,字雁原330,0229-64-1282,N.A.,http://www.shimamura.gr.jp/,洋服,
イオンスーパーセンター加美店,981-4264,宮城県,加美郡加美町,字赤塚178,0229-64-1311,0229-64-1312,http://www.aeonsupercenter.co.jp/,コンビニ・スーパー・デパート,
ファミリーマート小野田神山西店,981-4317,宮城県,加美郡加美町,字神山西19-3,0229-68-1311,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
株式会社ヨークベニマル中新田店,981-4253,宮城県,加美郡加美町,字大門93,0229-64-1511,0229-64-1514,http://www.yorkbeni.co.jp/,コンビニ・スーパー・デパート,
加美訪問看護ステーション,981-4241,宮城県,加美郡加美町,字南町181-1,0229-64-1551,0229-64-1552,http://www.miyagi-kango.or.jp/,組合・団体,
株式会社ピックルスコーポレーション,981-4263,宮城県,加美郡加美町,字雁原725,0229-64-1555,0229-64-1688,http://www.pickles.co.jp/,食料品,
株式会社ジェー・シー・エー,N.A.,宮城県,加美郡加美町,赤塚178,0229-64-1941,N.A.,http://www.jca1.co.jp/,その他サービス,
菅原精米工業株式会社,N.A.,宮城県,加美郡加美町,雁原172-4,0229-63-2012,N.A.,http://www.ssk-rice.com/,食料品,
株式会社中勇酒造店,981-4241,宮城県,加美郡加美町,南町166,0229-63-2018,0229-63-2089,http://www.mugen-kuramoto.co.jp/,製造・加工（食料品）,
英智学館中新田校,981-4261,宮城県,加美郡加美町,字町裏51-1,0229-64-2055,0229-64-2055,http://eichikan.co.jp/,塾・予備校,
株式会社農協観光,981-4261,宮城県,加美郡加美町,字町裏180-2,0229-64-2101,0229-63-3861,http://www.ntour.jp/,運送・貨物・倉庫,
丸か建設株式会社,981-4264,宮城県,加美郡加美町,赤塚37,0229-63-2101,0229-63-2102,http://www.maruka-cons.co.jp/,総合・職別工事業,
株式会社星栄商店,981-4251,宮城県,加美郡加美町,字西町34-1,0229-63-2112,0229-63-3500,http://www.miyagi-vip.jp/,食料品,
河北新報社中新田支局,981-4254,宮城県,加美郡加美町,字北町二番141-1,0229-63-2115,022-211-1448,http://www.kahoku.co.jp/,映画・放送・新聞,
株式会社みうらクリーニング小野田店,981-4335,宮城県,加美郡加美町,字新小路76-9,0229-67-2158,N.A.,http://www.miura-cleaning.com/,衣類のリフォーム,
大崎地域広域行政事務組合／大崎広域西部事業所,981-4227,宮城県,加美郡加美町,字新川原92,0229-63-2163,0229-63-2127,http://www.osakikoiki.jp/,市区町村機関,
菅原精米工業株式会社,N.A.,宮城県,加美郡加美町,字町裏96,0229-63-2170,0229-63-6345,http://www.ssk-rice.com/,食料品,
菅原精米工業株式会社,N.A.,宮城県,加美郡加美町,字百目木1-25-1,0229-63-2171,0229-63-7904,http://www.ssk-rice.com/,食料品,
皆成建設株式会社,981-4222,宮城県,加美郡加美町,下新田字地蔵車3-2,0229-64-2205,0229-64-2207,http://www.kaiseikensetsu.com/,建設業・工務店,
平禄寿司中新田店,981-4253,宮城県,加美郡加美町,字大門100-2,0229-64-2240,N.A.,http://www.heiroku.jp/,中華・中国料理,
株式会社仙台銀行／中新田支店,981-4261,宮城県,加美郡加美町,字町裏38-1,0229-63-2274,N.A.,http://www.sendaibank.co.jp/,金融・郵貯・貸金,
小野田建設株式会社,981-4337,宮城県,加美郡加美町,長檀125,0229-67-2278,0229-67-2129,http://www.miyagi-vip.jp/,総合・職別工事業,
加美警察署,981-4261,宮城県,加美郡加美町,字町裏103-1,0229-63-2311,N.A.,http://www.police.pref.miyagi.jp/,消防・警察,
株式会社ヴィヴィド・サウンド・コーポレーション,981-4275,宮城県,加美郡加美町,穴畑53,0229-63-2320,N.A.,http://www.vividsound.co.jp/,製造・加工（その他）,
薬王堂中新田店,981-4264,宮城県,加美郡加美町,字赤塚223-1,0229-63-2323,0229-63-2325,http://www.yakuodo.co.jp/,薬,
セブンイレブン／加美下野目店,981-4302,宮城県,加美郡加美町,字下野目雷北10-1,0229-67-2339,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
有限会社新堀順花店,981-4241,宮城県,加美郡加美町,南町87-1,0229-63-2356,0229-63-2669,http://www.e-sogi.com/,その他サービス,
有限会社今野花店葬儀社,981-4334,宮城県,加美郡加美町,字町屋敷二番42-1,0229-67-2402,0229-67-6277,http://www.konno-hana.com/,葬儀,
セントケア宮城株式会社加美営業所,981-4241,宮城県,加美郡加美町,字南町72,0229-64-2470,0229-64-2471,http://comsn.com/,介護・福祉,
株式会社早坂精密工業,981-4271,宮城県,加美郡加美町,羽場字屋敷前3-1-1,0229-63-2535,0229-63-2538,http://htd-m.com/,製造・加工（工作機械・一般機械器具）,
社会福祉法人加美町社会福祉協議会,981-4261,宮城県,加美郡加美町,字町裏320,0229-63-2547,0229-63-2898,http://www.shakyo.or.jp/,組合・団体,
