▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社関東運輸色麻営業所,981-4111,宮城県,加美郡色麻町,黒沢字切付7-10,0229-66-1171,027-265-1410,http://kanto-unyu.co.jp/,運送・貨物・倉庫,
加美よつば農業協同組合／本店,981-4122,宮城県,加美郡色麻町,四竃字はぬ木町14-1,0229-66-1222,0229-65-4378,http://www.ja-kami.or.jp/,組合・団体,
サンすまいるしかま,981-4131,宮城県,加美郡色麻町,大字下新町北152-1,0229-66-1250,0229-66-1251,http://www.suncare-s.jp/,介護・福祉,
株式会社ハウテック,981-4122,宮城県,加美郡色麻町,四竈字本郷5-17,0229-66-1500,0229-66-1503,http://www.hou-tech.jp/,製造・加工（建築資材）,
イセ食品株式会社,981-4111,宮城県,加美郡色麻町,黒沢字切付7-10,0229-65-2031,0229-65-2470,http://www.ise-egg.co.jp/,食料品,
色麻町役場,981-4122,宮城県,加美郡色麻町,四竃字北谷地41,0229-65-2111,0229-65-2685,http://www.town.shikama.miyagi.jp/,市区町村機関,
株式会社阿部製畳,981-4122,宮城県,加美郡色麻町,四竃北河原1-4,0229-65-2131,0229-65-2133,http://www.tatami-abe.com/,製造・加工（建築資材）,
郵便局株式会社,981-4102,宮城県,加美郡色麻町,高城上ノ原7,0229-65-2155,N.A.,http://map.japanpost.jp/,その他サービス,
有限会社菅原造園,981-4122,宮城県,加美郡色麻町,四竃字北袋2番16番地,0229-65-2160,0229-65-2040,http://www.miyagi-vip.jp/,建設業・工務店,
有限会社四釜自工,981-4122,宮城県,加美郡色麻町,四竃北河原10-11,0229-65-2208,0229-65-4379,http://akayuri.web.fc2.com/,車検・整備・修理,
加美よつば農業協同組合／色麻支店／金融・共済課,981-4122,宮城県,加美郡色麻町,四竃字はぬ木町14-1,0229-65-2221,0229-65-4378,http://www.ja-kami.or.jp/,組合・団体,
加美郡保健医療福祉行政事務組合／公立加美病院,981-4122,宮城県,加美郡色麻町,四竃字杉成9,0229-66-2500,0229-66-2501,http://www.kamihp.jp/,市区町村機関,
有限会社青木フーズ,981-4131,宮城県,加美郡色麻町,大字上新町150-11,0229-65-2588,0229-65-2664,http://kouyoushokuhin.co.jp/,食料品,
イセファーム東北株式会社,981-4111,宮城県,加美郡色麻町,黒沢字切付7-10,0229-65-2644,022-292-3965,http://www.ise-egg.co.jp/,農業,
加美郡保健医療福祉行政事務組合／事務局,981-4122,宮城県,加美郡色麻町,四竃字杉成9,0229-66-2760,0229-66-2781,http://www.kamihp.jp/,市区町村機関,
加美居宅介護支援事業所,981-4122,宮城県,加美郡色麻町,四竃字杉成9,0229-66-2770,0229-66-2781,http://www.kamihp.jp/,介護・福祉,
加美郡保健医療福祉行政事務組合／加美老人保健施設,981-4122,宮城県,加美郡色麻町,四竃字杉成9,0229-66-2780,0229-66-2781,http://www.kamihp.jp/,市区町村機関,
イセ食品株式会社,981-4111,宮城県,加美郡色麻町,黒沢字切付7-10,0229-65-3042,0229-65-4012,http://www.ise-egg.co.jp/,食料品,
ライスフィールド,981-4131,宮城県,加美郡色麻町,大字下新町13-3,0229-65-3430,N.A.,http://www17.plala.or.jp/,レストラン,
リブレ-ヘアーメイク,981-4122,宮城県,加美郡色麻町,四竃字町78,0229-65-3561,0229-65-3388,http://www.livre.cc/,美容院・理容店・毛髪業,
株式会社エーコープ宮城,981-4122,宮城県,加美郡色麻町,四釜字はぬ木町14の1,0229-65-3880,N.A.,http://www.acoop-miyagi.jp/,コンビニ・スーパー・デパート,
宮城県加美農業高等学校パイロットスクール／校舎,981-4111,宮城県,加美郡色麻町,黒沢字北條152,0229-65-3900,0229-65-3901,https://kamino-h.myswan.ed.jp/,小・中・高・大学等,
株式会社東北マイタック,981-4131,宮城県,加美郡色麻町,大字上新町41-1,0229-87-3985,0229-87-3986,http://t-mitac.com/,総合・職別工事業,
イセ食品株式会社,981-4111,宮城県,加美郡色麻町,黒沢字切付7-10,0229-65-4011,0229-65-4012,http://www.ise-egg.co.jp/,販売・卸（食料品）,
ヤマセ電気株式会社／本社,981-4122,宮城県,加美郡色麻町,四竃字はぬ木町154-1,0229-65-4016,0229-65-4168,http://www.yamase-net.co.jp/,製造・加工（電子・精密機械器具）,
株式会社渡邊屋,981-4103,宮城県,加美郡色麻町,高根字原畑68,0229-65-4163,0229-65-3812,http://www.miyagi-vip.jp/,製造・加工（その他）,
色麻町産業開発公社,981-4122,宮城県,加美郡色麻町,四竃字東原1-12,0229-65-4372,0229-65-4372,http://shop.egoma-shikama.jp/,レストラン,
かっぱのゆ,981-4104,宮城県,加美郡色麻町,平沢字新早坂21,0229-65-4505,0229-65-4611,http://www.town.shikama.miyagi.jp/,市区町村機関,
株式会社遠藤店,981-4121,宮城県,加美郡色麻町,一の関字屋敷1,0229-65-4589,N.A.,http://www.co-endoten.com/,建設業・工務店,
ゴウダ株式会社,N.A.,宮城県,加美郡色麻町,四竃字本郷5-2,0229-65-5055,0229-65-5058,http://www.goda-j.co.jp/,その他サービス,
ローソン色麻上新町店,981-4131,宮城県,加美郡色麻町,大字上新町147-1,0229-65-5065,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
篠崎木工株式会社宮城工場,981-4122,宮城県,加美郡色麻町,四竃字大原217-11,0229-65-5101,0229-66-1523,http://www.shinozakimokko.co.jp/,製造・加工（建築資材）,
特別養護老人ホーム芍薬の里色麻,981-4122,宮城県,加美郡色麻町,四竃字東原1-4,0229-65-5510,0229-65-5520,http://miyafuku.jp/,介護・福祉,
サンリット工業株式会社宮城工場,981-4122,宮城県,加美郡色麻町,四竃字本郷5-13,0229-87-5815,N.A.,http://www.sunlit-ind.co.jp/,製造・加工（化学・プラスチック）,
