▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社スーパーストア,N.A.,青森県,北津軽郡中泊町,中里紅葉坂154,0173-69-1234,0173-69-1515,http://www.superstore.co.jp/,コンビニ・スーパー・デパート,
みちのく銀行／中里支店,037-0305,青森県,北津軽郡中泊町,大字中里字亀山455-1,0173-57-2231,N.A.,http://www.michinokubank.co.jp/,金融・郵貯・貸金,
有限会社みちのくサウンド,037-0512,青森県,北津軽郡中泊町,大字小泊字朝間18-4,0173-64-2320,0173-64-2319,http://www.michinoku-sound.co.jp/,製造・加工（電子・精密機械器具）,
藤本建設,037-0315,青森県,北津軽郡中泊町,豊岡字若松11-1,0173-57-2513,0173-57-2529,http://www.fujimotok.com/,リフォーム,
みちのく銀行／小泊支店,037-0522,青森県,北津軽郡中泊町,大字小泊字小泊245-1,0173-64-2611,N.A.,http://www.michinokubank.co.jp/,金融・郵貯・貸金,
幸友会内潟療護園,037-0318,青森県,北津軽郡中泊町,大字田茂木字若宮1933,0173-58-3001,0173-57-3102,http://uchigata.or.jp/,組合・団体,
サークルK小泊店,037-0300,青森県,北津軽郡中泊町,大字小泊字築上23-3,0173-64-3045,N.A.,http://as.chizumaru.com/,コンビニ・スーパー・デパート,
内潟療護園,037-0308,青森県,北津軽郡中泊町,大字深郷田字甘木120-2,0173-57-3100,0173-57-3102,http://uchigata.or.jp/,介護・福祉,
株式会社平山建設,037-0301,青森県,北津軽郡中泊町,今泉神山59-1,0173-58-3121,0173-58-3124,http://hirayama-k.sakura.ne.jp/,総合・職別工事業,
齋勝建設株式会社,N.A.,青森県,北津軽郡中泊町,小泊朝間46-2,0173-64-3200,0173-64-3227,http://www.saikatsu.co.jp/,建設業・工務店,
イワタニ東北株式会社つがる北営業所,037-0311,青森県,北津軽郡中泊町,大字大沢内字海原221-4,0173-57-3229,N.A.,http://www.iwatani-tohoku.co.jp/,燃料,
北大センターパチンコ／事務室,037-0305,青森県,北津軽郡中泊町,大字中里字亀山452,0173-57-3438,0172-35-0365,http://gaghh.googletr.org/,屋内遊戯,
しじみ亭奈良屋,037-0301,青森県,北津軽郡中泊町,大字今泉字唐崎255,0173-58-3581,0173-58-3476,http://www.shijimi.net/,レストラン,
中泊町役場小泊支所／小説津軽の像記念館,037-0511,青森県,北津軽郡中泊町,大字小泊字砂山1080-1,0173-64-3588,0173-64-3588,http://www.komakino.jp/,市区町村機関,
株式会社ディスパッチ,037-0305,青森県,北津軽郡中泊町,中里紅葉坂55-7,0173-57-3726,0173-57-3704,http://dispatch.co.jp/,スポーツ施設,
中里交通株式会社,037-0304,青森県,北津軽郡中泊町,尾別字浅井98-2,0173-57-3772,N.A.,http://nakasatokotsubus.businesscatalyst.com/,運送・貨物・倉庫,
有限会社卓立水産,037-0522,青森県,北津軽郡中泊町,大字小泊字小泊,0173-64-3800,N.A.,http://www.takuritsu.com/,食料品,
株式会社上野建設,037-0316,青森県,北津軽郡中泊町,芦野字堤の袖148-75,0173-57-3825,0173-57-3227,http://ueno-kk.com/,リフォーム,
株式会社ヰセキ東北,N.A.,青森県,北津軽郡中泊町,中里字平山266-20,0173-57-4027,0173-57-4438,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
有限会社アプラス,037-0308,青森県,北津軽郡中泊町,深郷田字甘木150-46,0173-57-4123,0173-57-4124,http://www.aplas-aomori.com/,製造・加工（化学・プラスチック）,
株式会社スーパーストア中里店,037-0305,青森県,北津軽郡中泊町,大字中里字紅葉坂154,0173-57-4630,0172-73-3236,http://www.superstore.co.jp/,洋服,
有限会社みちのくオート,037-0308,青森県,北津軽郡中泊町,深郷田甘木140-28,0173-57-4645,0173-57-4969,http://michinoku-auto.com/,その他サービス,
社会福祉法人中泊町社会福祉協議会,037-0305,青森県,北津軽郡中泊町,中里宝森1-2,0173-57-4841,0173-57-4841,http://nakadomarimatishakyo.web.fc2.com/,介護・福祉,
株式会社アクトプラン,037-0309,青森県,北津軽郡中泊町,大字八幡字日向334,0173-57-5720,0173-57-5721,http://actplan575720.web.fc2.com/,結婚・宴会,
株式会社小野や,037-0309,青森県,北津軽郡中泊町,大字八幡字八幡56,0173-57-5970,N.A.,http://www.tsugaru-onoya.com/,通販,
株式会社ディスパッチ,037-0305,青森県,北津軽郡中泊町,大字中里字紅葉坂55-7,0173-57-9039,0173-57-3704,http://dispatch.co.jp/,住まいのクリーニング,
