▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ニッポンレンタカー東北株式会社／鷹巣営業所,018-3302,秋田県,北秋田市,栄字中綱89-1,0186-60-0022,0186-67-6787,http://www.nipponrentacar.co.jp/,リース・レンタル,
ツルハドラッグ／鷹巣店,018-3302,秋田県,北秋田市,栄字中綱2,0186-60-0028,0186-60-0028,http://www.tsuruha.co.jp/,薬,
サンドラッグ鷹巣店,018-3302,秋田県,北秋田市,栄字前綱58-1,0186-60-0061,0186-60-0062,http://www.sundrug.co.jp/,薬,
技苑コンサル株式会社,018-3301,秋田県,北秋田市,綴子字古関120-6,0186-63-0066,0186-63-0067,https://gienconsul.jimdofree.com/,相談・調査,
株式会社トヨタレンタリース秋田／大館能代空港店,018-3325,秋田県,北秋田市,元町13-24,0186-60-0100,0186-63-2410,https://rent.toyota.co.jp/,リース・レンタル,
北秋田市大太鼓の館,018-3301,秋田県,北秋田市,綴子字大堤道下62-1,0186-63-0111,0186-63-2828,http://www.city.kitaakita.akita.jp/,博物館・美術館,
米代薬局,018-3322,秋田県,北秋田市,住吉町9-14,0186-62-0120,0186-63-2087,https://meron-net.shop/ds/yonesiro,薬,
昭和化学工業株式会社／秋田第二工場,018-3301,秋田県,北秋田市,綴子字外一通41,0186-62-0147,0186-62-1171,http://www.showa-chemical.co.jp/,製造・加工（化学・プラスチック）,
秋田県立秋田北鷹高等学校,018-3314,秋田県,北秋田市,伊勢町1-1,0186-60-0151,0186-62-0555,http://www.akitahokuyou-h.akita-pref.ed.jp/,小・中・高・大学等,
菅原館,018-3313,秋田県,北秋田市,旭町4-13,0186-62-0167,0186-62-2367,http://www.sugawarakan.com/,旅館・民宿,
一番星きらら,018-3454,秋田県,北秋田市,脇神字高村岱131,0186-60-0262,0186-60-0263,http://www7.plala.or.jp/,介護・福祉,
ネッツトヨタ秋田株式会社鷹巣店,018-3301,秋田県,北秋田市,綴子字前野161-1,0186-63-0265,0186-63-0266,http://www.netz-akita.co.jp/,車検・整備・修理,
有限会社小笠原工務店,N.A.,秋田県,北秋田市,東横町5番8号,0186-62-0293,0186-63-2305,http://www.kumagera.ne.jp/,建設業・工務店,
銀座ナカジマ,018-3321,秋田県,北秋田市,松葉町10-15,0186-62-0308,0186-62-0308,http://www.nakazima.org/,靴・かばん・小物,
デジタルワークショップカワタ,018-3321,秋田県,北秋田市,松葉町10-7,0186-62-0360,0186-62-0360,http://www.digital-k.com/,家電,
メガネのカワタ,018-3311,秋田県,北秋田市,材木町1-19,0186-62-0369,0186-62-0369,http://meganenokawata.web.fc2.com/,生活用品,
藤島林産株式会社,018-3301,秋田県,北秋田市,綴子字田中下モ31,0186-62-0390,0186-62-0392,http://www.fujishima-1.com/,製造・加工（木製品・紙・パルプ関連）,
綴子神社,018-3301,秋田県,北秋田市,綴子字西館46,0186-62-0471,0186-62-5846,http://www.tsudurekojinja.or.jp/,宗教,
松尾牧場,018-3302,秋田県,北秋田市,栄字琵琶田44,0186-63-0523,0186-62-1015,http://matsuo-farm.jp/,農業,
オリックスレンタカー株式会社大館能代空港カウンター店,018-3454,秋田県,北秋田市,脇神からむし岱21-144,0186-60-0543,N.A.,http://car.orix.co.jp/,リース・レンタル,
株式会社燦英,018-3301,秋田県,北秋田市,綴子字前野32番地1,0186-63-0640,N.A.,http://www.sanei-c.com/,観光・温泉・銭湯,
株式会社芳賀工務店,018-3313,秋田県,北秋田市,旭町9-3,0186-62-0952,0186-62-0963,http://www.kumagera.ne.jp/,総合・職別工事業,
虹の街,018-3454,秋田県,北秋田市,脇神字藤株囲ノ内14,0186-63-0986,0186-63-0987,http://www.nijinomachi.co.jp/,介護・福祉,
秋田県北秋田地域振興局／大館能代空港管理事務所,018-3454,秋田県,北秋田市,脇神からむし岱21-144,0186-63-1001,0186-63-1009,http://www.pref.akita.lg.jp/,都道府県機関,
松尾豊,018-3321,秋田県,北秋田市,松葉町8-14,0186-62-1012,0186-62-1015,http://www.matsuo-meat.com/,食料品,
ホテル八木,018-3311,秋田県,北秋田市,材木町1-20,0186-62-1026,0186-62-1286,http://hotel-yagi.com/,ホテル・ペンション,
佐金酒店,018-3316,秋田県,北秋田市,東横町12-1,0186-62-1032,0186-62-5420,http://www.sakin21.com/,酒・飲料品,
合資会社晩梅,018-3322,秋田県,北秋田市,住吉町8-1,0186-62-1066,0186-62-3036,http://www.banbai.com/,お菓子・スイーツ,
北秋田市立／綴子小学校,018-3301,秋田県,北秋田市,綴子字街道下59,0186-62-1084,0186-63-2494,http://www.kumagera.ne.jp/,小・中・高・大学等,
株式会社シーガルジャパン,018-3301,秋田県,北秋田市,綴子字大堤62-1,0186-60-1110,0186-60-1166,http://www.kireine.com/,クリーニング,
北秋田市役所／市民生活部／生活課／環境班,018-3312,秋田県,北秋田市,花園町19-1,0186-62-1110,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
秋田内陸縦貫鉄道株式会社／秋田内陸線旅行センター,018-3321,秋田県,北秋田市,松葉町3-2,0186-60-1111,0186-60-1112,http://www.akita-nairiku.com/,旅行業・代理店,
北秋田市役所,018-3312,秋田県,北秋田市,花園町19-1,0186-62-1111,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市役所／健康福祉部／高齢福祉課／介護保険班,018-3312,秋田県,北秋田市,花園町19-1,0186-62-1112,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市役所／市民生活部／市民課／市民班,018-3312,秋田県,北秋田市,花園町19-1,0186-62-1114,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市役所／財務部／税務課／市税班,018-3315,秋田県,北秋田市,宮前町4-15,0186-62-1116,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市／消防署,018-3331,秋田県,北秋田市,鷹巣字北中家下85,0186-62-1119,0186-63-1119,http://www.kumagera.ne.jp/,消防・警察,
株式会社シーガルジャパン／鷹巣工場店,018-3301,秋田県,北秋田市,綴子字大堤62-1,0186-60-1120,0186-60-1166,http://www.kireine.com/,住まいのクリーニング,
株式会社秋田ギフト,018-3323,秋田県,北秋田市,米代町2-15,0186-63-1123,0186-63-1495,http://akita-gift.com/,販売・卸（その他）,
北秋田市／中央公民館,018-3312,秋田県,北秋田市,花園町15-1,0186-62-1130,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
社会福祉法人県北報公会／南鷹巣保育園,018-3454,秋田県,北秋田市,脇神字高村岱140,0186-62-1140,0186-62-1141,http://www.yoshinosato.or.jp/,介護・福祉,
奈良医院,018-3322,秋田県,北秋田市,住吉町7-1,0186-62-1146,0186-62-1194,http://www.digital-k.com/,医院・診療所・療養所,
秋田県北秋田地域振興局／鷹巣阿仁福祉環境部-保健所／企画福祉課,018-3331,秋田県,北秋田市,鷹巣字東中岱76-1,0186-62-1165,0186-62-1180,http://www.pref.akita.lg.jp/,都道府県機関,
鷹巣病院,018-3301,秋田県,北秋田市,綴子字釜堤脇12,0186-62-1210,0186-62-2335,http://www.hakuaikai.info/,医院・診療所・療養所,
能代河川国道事務所鷹巣出張所,018-3301,秋田県,北秋田市,綴子字柳中91,0186-62-1226,0186-63-0991,http://www.thr.mlit.go.jp/,官公署,
株式会社成文社,018-3331,秋田県,北秋田市,鷹巣字上家下24,0186-62-1231,0186-63-0092,http://www.kumagera.ne.jp/,印刷・出版,
株式会社秋北新聞社,018-3323,秋田県,北秋田市,米代町1-48,0186-62-1236,0186-63-2387,http://www.media-res.net/,印刷・出版,
秋田魁新報社鷹巣支局,018-3331,秋田県,北秋田市,鷹巣字北中家下83,0186-62-1239,0186-62-1229,http://www.sakigake.jp/,映画・放送・新聞,
北秋田警察署,018-3331,秋田県,北秋田市,鷹巣字下家下1,0186-62-1245,0186-62-1245,http://www.police.pref.akita.jp/,消防・警察,
認定こども園しゃろーむ／鷹巣保育園・鷹巣教会幼稚園,018-3316,秋田県,北秋田市,東横町10-34,0186-62-1249,0186-62-1159,http://www5.plala.or.jp/,幼稚園・保育施設,
株式会社クラウン精密秋田工場,018-3333,秋田県,北秋田市,坊沢字深関沢13-2,0186-62-1260,0186-63-0050,http://www.crown-screw.co.jp/,製造・加工（工作機械・一般機械器具）,
朝日建設株式会社リサイクルセンター,018-3301,秋田県,北秋田市,綴子字山神堂下144-62,0186-62-1311,0186-62-3055,http://asahi-kensetsu.info/,廃棄物処理,
ケアセンターようこう萬堂,018-3311,秋田県,北秋田市,材木町1-18,0186-60-1337,0186-44-6661,http://www.yoo-koo.net/,介護・福祉,
北都銀行／鷹巣支店,018-3311,秋田県,北秋田市,材木町9-28,0186-62-1352,0186-63-0424,http://www.hokutobank.co.jp/,金融・郵貯・貸金,
有限会社丸徳建材店,018-3323,秋田県,北秋田市,米代町2-29,0186-62-1370,N.A.,http://www.kumagera.ne.jp/,製造・加工（建築資材）,
いとく／鷹巣南店,018-3323,秋田県,北秋田市,米代町16-1,0186-60-1400,0186-60-1401,http://www.itoku.co.jp/,コンビニ・スーパー・デパート,
タプロス株式会社北秋田営業所,018-3301,秋田県,北秋田市,綴子字大堤道下95-2,0186-63-1451,0186-63-0130,http://www.tapros.co.jp/,空調,
秋田銀行鷹巣支店,018-3312,秋田県,北秋田市,花園町2-29,0186-62-1451,0186-62-2641,http://www.akita-bank.co.jp/,金融・郵貯・貸金,
株式会社森山呉服店,018-3321,秋田県,北秋田市,松葉町10-1,0186-62-1468,0186-62-1474,http://casquedor.ocnk.net/,和服,
北秋田市／綴子基幹集落センター・綴子公民館,018-3301,秋田県,北秋田市,綴子掛泥道上151-1,0186-62-1472,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
有限会社碇谷建築,018-3302,秋田県,北秋田市,栄字中岱191,0186-62-1522,0186-67-7077,http://www.ikariya.jp/,総合・職別工事業,
昭和化学工業株式会社／秋田工場,018-3301,秋田県,北秋田市,綴子字堤下74,0186-62-1545,0186-62-3977,http://www.showa-chemical.co.jp/,製造・加工（化学・プラスチック）,
北秋田市立／鷹巣西小学校,018-3333,秋田県,北秋田市,坊沢字善千鳥坂5,0186-62-1549,0186-63-2397,http://www.kumagera.ne.jp/,小・中・高・大学等,
北秋田市立／鷹巣中央小学校,018-3454,秋田県,北秋田市,脇神字高村岱79-12,0186-62-1558,0186-63-2295,http://www.kumagera.ne.jp/,小・中・高・大学等,
暁商工株式会社,018-3311,秋田県,北秋田市,材木町7番24号,0186-62-1560,0186-62-1561,http://www.akatsuki-sk.co.jp/,その他サービス,
秋田県立鷹巣技術専門校,018-3301,秋田県,北秋田市,綴子字街道下191,0186-62-1626,0186-62-3923,http://www.pref.akita.lg.jp/,各種学校,
北秋田市立／鷹巣東小学校,018-3302,秋田県,北秋田市,栄字古川布252,0186-62-1645,0186-63-2419,http://www.kumagera.ne.jp/,小・中・高・大学等,
大館北秋田森林組合／本所,018-3454,秋田県,北秋田市,脇神字佐助岱27-2,0186-62-1664,0186-62-1650,http://www.kitaakita.or.jp/,組合・団体,
ケーズデンキ鷹巣店,018-3302,秋田県,北秋田市,栄字前綱86-1,0186-60-1700,N.A.,https://www.ksdenki.com/shop/default.aspx,家電,
北秋田市立／鷹巣中学校,018-3333,秋田県,北秋田市,坊沢字下タ上野79,0186-62-1701,0186-63-1893,http://www.kumagera.ne.jp/,小・中・高・大学等,
株式会社高坂本店きものの苑,018-3322,秋田県,北秋田市,住吉町9-17,0186-62-1726,0186-63-0020,http://www.kousaka-kk.com/,和服,
株式会社北鹿新聞社北秋田支局,018-3321,秋田県,北秋田市,松葉町6-44,0186-62-1819,0186-62-1908,http://www.hokuroku.co.jp/,映画・放送・新聞,
県北自動車学校,018-3301,秋田県,北秋田市,綴子字佐戸岱6,0186-62-1845,0186-62-1846,http://dr-takanosu.com/,資格,
北秋田市観光協会,018-3322,秋田県,北秋田市,住吉町12-18,0186-62-1851,0186-63-2586,http://www.city.kitaakita.akita.jp/,観光・温泉・銭湯,
株式会社佐藤乳販,018-3454,秋田県,北秋田市,脇神字平崎上岱1,0186-62-1854,0186-63-1958,http://www.shokuhin-sato.com/,酒・飲料品,
鷹巣郵便局／郵便,018-3322,秋田県,北秋田市,住吉町7-32,0186-62-1863,0186-62-5460,http://map.japanpost.jp/,金融・郵貯・貸金,
田地川運送株式会社秋田営業所,018-3301,秋田県,北秋田市,綴子字糠沢上谷地170-1,0186-63-1981,0186-63-1982,http://www.tajikawa.co.jp/,運送・貨物・倉庫,
三菱マテリアル株式会社東北電力所／小又川第2発電所,018-4511,秋田県,北秋田市,森吉字女木内1,0186-76-2002,N.A.,http://www.mmc.co.jp/corporate/ja/,水道・ガス・電力,
秋林商店,018-4735,秋田県,北秋田市,阿仁比立内字堂ノ向34-1,0186-84-2016,0186-84-2031,http://ani-akibayashi.com/,酒・飲料品,
東北労働金庫／鷹巣支店,018-3313,秋田県,北秋田市,旭町4-33,0186-63-2020,N.A.,http://www.tohoku-rokin.or.jp/,金融・郵貯・貸金,
正法院,018-4251,秋田県,北秋田市,鎌沢字家ノ南45,0186-78-2022,N.A.,http://shoubouin.com/,宗教,
北秋田市立／大阿仁小学校,018-4735,秋田県,北秋田市,阿仁比立内字様ノ向1,0186-84-2030,0186-84-2670,http://www.kumagera.ne.jp/,小・中・高・大学等,
有限会社桜井特殊ミシン商会,018-4221,秋田県,北秋田市,下杉字小堤61,0186-78-2039,0186-78-4704,http://www.stjapan.jp/,製造・加工（工作機械・一般機械器具）,
株式会社上杉組,018-4745,秋田県,北秋田市,阿仁萱草字水上口59,0186-82-2040,0186-82-2001,http://www.kumagera.ne.jp/,総合・職別工事業,
北秋田市立／鷹巣小学校,018-3331,秋田県,北秋田市,鷹巣字南中家下37-1,0186-62-2041,0186-63-2042,http://www.kumagera.ne.jp/,小・中・高・大学等,
北秋田市立／鷹巣南小学校,018-3452,秋田県,北秋田市,七日市字中岱31,0186-66-2053,0186-66-2057,http://www.kumagera.ne.jp/,小・中・高・大学等,
北秋田市役所／市民生活部／合川総合窓口センター／FAX,018-4272,秋田県,北秋田市,新田目字大野82-2,0186-78-2100,0186-78-3277,http://www.city.kitaakita.akita.jp/,市区町村機関,
社会福祉法人県北報公会,018-3452,秋田県,北秋田市,七日市字中道岱15,0186-66-2104,0186-66-2659,http://www.yoshinosato.or.jp/,介護・福祉,
北秋田市立／合川東小学校,018-4231,秋田県,北秋田市,上杉字下屋布岱279,0186-78-2105,0186-78-2105,http://www.kumagera.ne.jp/,小・中・高・大学等,
吉野工場,018-3452,秋田県,北秋田市,七日市字中道岱1-56,0186-66-2109,0186-66-2858,http://www.yoshinosato.or.jp/,製造・加工（木製品・紙・パルプ関連）,
社会福祉法人北秋田市社会福祉協議会／たかのす地域福祉センター,018-3312,秋田県,北秋田市,花園町16-1,0186-63-2109,0186-63-2460,http://kitaakita-shakyo.or.jp/,組合・団体,
北秋田市役所／大阿仁保育園,018-4742,秋田県,北秋田市,阿仁幸屋渡字前野7-19,0186-84-2109,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
萬整骨院,018-3331,秋田県,北秋田市,鷹巣字愛宕下44-1,0186-63-2111,0186-63-2111,http://www.yoo-koo.net/,整体等各種療術,
北秋田市役所／市民生活部／阿仁総合窓口センター／FAX,018-4613,秋田県,北秋田市,阿仁銀山字下新町41-1,0186-82-2113,0186-82-3505,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市／合川農村環境改善センター・合川公民館,018-4282,秋田県,北秋田市,李岱字下豊田25,0186-78-2114,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市役所／総務部／内陸線再生支援室,018-4613,秋田県,北秋田市,阿仁銀山字下新町41-1,0186-82-2114,0186-82-3505,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市／阿仁体育館・阿仁運動場・阿仁テニスコート,018-4611,秋田県,北秋田市,阿仁水無字畑町東裏130,0186-82-2126,0186-63-2586,http://www.city.kitaakita.akita.jp/,スポーツ施設,
秋田県立比内養護学校たかのす分校,018-3452,秋田県,北秋田市,七日市字家向49,0186-66-2128,0186-60-2102,http://www.hinai-s-takanosu.akita-pref.ed.jp/,特殊教育諸学校,
北秋田市立／合川北小学校,018-4203,秋田県,北秋田市,木戸石字屋布岱35,0186-78-2128,0186-78-2128,http://www.kumagera.ne.jp/,小・中・高・大学等,
北秋田市立／阿仁合小学校／校長室,018-4611,秋田県,北秋田市,阿仁水無字上岱13-2,0186-82-2130,0186-82-2353,http://www.kumagera.ne.jp/,小・中・高・大学等,
二ツ井パネル株式会社,018-4211,秋田県,北秋田市,川井字横呑沢5-130,0186-78-2132,0186-78-4755,http://futapa.jp/,製造・加工（木製品・紙・パルプ関連）,
北秋田市立／合川中学校,018-4282,秋田県,北秋田市,李岱字家向1,0186-78-2135,0186-78-3509,http://www.kumagera.ne.jp/,小・中・高・大学等,
森幸園,018-4515,秋田県,北秋田市,阿仁前田字菅ノ沢73,0186-75-2141,0186-75-3217,http://www.akita-kouraku.jp/,介護・福祉,
株式会社佐藤庫組,018-4203,秋田県,北秋田市,木戸石字川下32,0186-78-2154,0186-78-2262,http://satokura.jp/,総合・職別工事業,
大館北秋田森林組合／阿仁森吉支所,018-4601,秋田県,北秋田市,阿仁吉田字上野道下36,0186-82-2173,0186-82-2245,http://www.kitaakita.or.jp/,組合・団体,
北秋田市／合川体育館,018-4282,秋田県,北秋田市,李岱下豊田25,0186-78-2178,0186-63-2586,http://www.city.kitaakita.akita.jp/,スポーツ施設,
北秋田市／阿仁公民館,018-4611,秋田県,北秋田市,阿仁水無字大町146-1,0186-82-2220,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
あきた北央農業協同組合／阿仁支店,018-4613,秋田県,北秋田市,阿仁銀山字下新町119-16,0186-82-2236,0186-82-2238,https://www.ja-takanosu.or.jp/,組合・団体,
北秋田市役所／鷹巣東保育園,018-3302,秋田県,北秋田市,栄字太田新田43-2,0186-62-2254,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
有限会社タイヤガーデン森吉,018-4515,秋田県,北秋田市,阿仁前田字道行沢143-1,0186-75-2254,0186-75-2254,https://www.y-yokohama.com/tire-garden/,カー用品,
北秋田市立／鷹巣南中学校,018-3454,秋田県,北秋田市,脇神字塚ノ岱165-1,0186-63-2255,0186-63-2148,http://www.kumagera.ne.jp/,小・中・高・大学等,
ボワ・アン・クープ,018-3321,秋田県,北秋田市,松葉町11-4,0186-62-2269,0186-62-2269,http://www.boire-un-coup.com/,イタリアン・フレンチ,
株式会社ホテルニュー松尾,018-3322,秋田県,北秋田市,住吉町11-7,0186-63-2311,0186-63-2313,http://www.hotel-matsuo.jp/,旅館・民宿,
杣温泉旅館,018-4511,秋田県,北秋田市,森吉字湯ノ岱川向湯ノ沢7,0186-76-2311,0186-76-2311,http://www.somaonsen.com/,旅館・民宿,
北秋田市役所／前田保育園,018-4515,秋田県,北秋田市,阿仁前田字下川端103-1,0186-75-2316,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市／交流センター,018-3311,秋田県,北秋田市,材木町2-2,0186-63-2321,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
北秋田市立／阿仁中学校,018-4611,秋田県,北秋田市,阿仁水無字畑町東裏194,0186-82-2325,0186-82-2652,http://www.kumagera.ne.jp/,小・中・高・大学等,
北秋田市立／阿仁合小学校,018-4611,秋田県,北秋田市,阿仁水無字上岱13-2,0186-82-2326,0186-82-2130,http://www.kumagera.ne.jp/,小・中・高・大学等,
100円ショップセリアイオンタウン鷹巣店,018-3302,秋田県,北秋田市,栄字中綱31-1,0186-62-2331,N.A.,http://www.seria-group.com/,生活用品,
本間物産株式会社,018-3331,秋田県,北秋田市,鷹巣字東上綱1-1,0186-63-2331,N.A.,http://www.maruhoncowboy.com/,食料品,
森吉山荘,018-4511,秋田県,北秋田市,森吉字湯ノ岱14-1,0186-76-2334,0186-76-2101,http://www.kokumin-shukusha.or.jp/,公共宿泊施設,
有限会社ワールボンボン,018-3312,秋田県,北秋田市,花園町1-3,0186-62-2334,0186-62-5285,http://w-bonbon.jp/?transactionid=3f49192ebc4d5b660217b73616bcddc48cd33eb2,食料品,
北秋田市立／森吉中学校,018-4516,秋田県,北秋田市,桂瀬字柏木岱1,0186-73-2335,N.A.,http://www.kumagera.ne.jp/,小・中・高・大学等,
株式会社秋北不動産情報センター,018-3302,秋田県,北秋田市,栄字中綱130-6,0186-63-2336,0186-63-2366,http://www.kitaakita-fudousan.com/,不動産,
北秋田市クリーンリサイクルセンター,018-3333,秋田県,北秋田市,坊沢大野宮後150,0186-63-2343,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
太陽園,018-4273,秋田県,北秋田市,根田字西10,0186-78-2359,0186-78-3720,http://www.akitaz.jp/,ガーデニング,
日本鋳造株式会社,018-3301,秋田県,北秋田市,綴子字上台121-2,0186-62-2381,0186-62-2387,http://www.nipponchuzo.co.jp/,製造・加工（鉄鋼製品）,
創和技術株式会社,018-3321,秋田県,北秋田市,松葉町12番22号,0186-63-2432,0186-63-2433,http://www.sowa-g.co.jp/,印刷・出版,
松尾,018-3321,秋田県,北秋田市,松葉町8-14,0186-62-2436,0186-62-1015,http://www.matsuo-meat.com/,レストラン,
マタギ資料館,018-4731,秋田県,北秋田市,阿仁打当字仙北渡道上ミ67,0186-84-2458,0186-84-2459,http://www.mataginosato.com/,博物館・美術館,
みくにコンピュータースクール,018-3331,秋田県,北秋田市,鷹巣字東上綱27-2,0186-62-2483,0186-62-2483,http://www.micspc.com/school/index.html,資格,
有限会社松橋商事,018-3301,秋田県,北秋田市,綴子字胡桃館78-2,0186-62-2488,0186-62-2488,http://www.jomonnoyu.com/,不動産,
株式会社くまがい卵油研究所,018-3342,秋田県,北秋田市,前山堤岱61-2,0186-67-2510,0186-67-2331,http://www.ranyu.jp/,製造・加工（食料品）,
北秋調剤薬局鷹巣店,018-3312,秋田県,北秋田市,花園町10-1,0186-63-2510,0186-63-1904,http://www.pharmax.co.jp/,薬,
小林眼科医院,018-3312,秋田県,北秋田市,花園町7-12,0186-62-2544,0186-63-0035,http://www.kobayashi-eye-clinic.com/,眼科,
北秋田市役所／北秋田市地域福祉センター,018-3315,秋田県,北秋田市,宮前町9-68,0186-63-2558,0186-63-2578,http://www.city.kitaakita.akita.jp/,市区町村機関,
道の駅あに,018-4735,秋田県,北秋田市,阿仁比立内字家ノ後8-1,0186-69-2575,N.A.,http://www.kumagera.ne.jp/,道の駅,
社団法人秋田県農業公社県北支社,018-3454,秋田県,北秋田市,脇神字高村岱92,0186-63-2600,0186-63-2611,http://www.ak-agri.or.jp/,組合・団体,
有限会社福助堂,018-3316,秋田県,北秋田市,東横町3-5,0186-62-2611,0186-63-1811,http://www.fukusukedo.co.jp/,コンビニ・スーパー・デパート,
マタギの里観光開発株式会社／打当温泉マタギの湯,018-4731,秋田県,北秋田市,阿仁打当字仙北渡道上ミ67,0186-84-2612,0186-84-2459,http://www.mataginosato.com/,旅館・民宿,
伊勢堂岱温泉・縄文の湯,018-3454,秋田県,北秋田市,脇神字平崎川戸沼86-2,0186-63-2626,0186-63-2627,http://www.jomonnoyu.com/,旅館・民宿,
北秋田市役所／鷹巣中央保育園,018-3324,秋田県,北秋田市,大町2-30,0186-62-2630,0186-63-2586,http://www.city.kitaakita.akita.jp/,市区町村機関,
社団法人秋田県獣医師会北秋田支部,018-3454,秋田県,北秋田市,脇神字高村岱94-1,0186-62-2644,0186-62-2644,http://www.akitaken-juishikai.or.jp/,組合・団体,
株式会社ENEOSフロンティア,018-3454,秋田県,北秋田市,脇神字ハケノ下34-7,0186-63-2679,N.A.,http://www.eneos-frontier.co.jp/,ガソリンスタンド,
社団法人北秋田建設業協会,018-3301,秋田県,北秋田市,綴子字柳中18,0186-62-2680,0186-63-1116,http://www.a-kenkyo.or.jp/,組合・団体,
たむら内科クリニック,018-3302,秋田県,北秋田市,栄字中綱116-1,0186-63-2700,0186-63-2701,http://www.digital-k.com/,内科系,
デイリーヤマザキ鷹巣七日市店,018-3452,秋田県,北秋田市,七日市字前田67-1,0186-66-2715,0186-66-2715,http://www.daily-yamazaki.jp/,コンビニ・スーパー・デパート,
全農エネルギー株式会社,018-3451,秋田県,北秋田市,小森逆川岱15-9,0186-66-2727,0186-66-2810,http://zennoh-energy.co.jp/,ガソリンスタンド,
有限会社タナカスポーツ,018-3322,秋田県,北秋田市,住吉町8-27,0186-62-2731,0186-62-2757,http://www.tanaka-sp.jp/,スポーツ用品,
秋田トヨペット株式会社鷹巣店,018-3331,秋田県,北秋田市,鷹巣字東中岱74-1,0186-62-2745,0186-60-1008,http://www.akita-toyopet.co.jp/,車検・整備・修理,
青山荘老人ホーム,018-3301,秋田県,北秋田市,綴子字釜堤脇10,0186-62-2747,0186-62-2748,http://www.kumagera.ne.jp/,介護・福祉,
有限会社金森建築,018-4273,秋田県,北秋田市,根田字家の前64,0186-78-2763,0186-78-3406,http://www.kanamori-k.com/,リフォーム,
北秋田市／鷹巣北部学校給食センター,018-3301,秋田県,北秋田市,綴子字胡桃館3-2,0186-62-2766,0186-63-2586,http://www.city.kitaakita.akita.jp/,アウトソーシング,
株式会社大館自動車部品商会鷹巣営業所,018-3301,秋田県,北秋田市,綴子字田中表122-1,0186-62-2772,0186-62-2778,http://www.obs1962.com/,製造・加工（輸送機械器具）,
株式会社ユアテック／鷹巣営業所,018-3331,秋田県,北秋田市,鷹巣字東中岱104-2,0186-62-2811,0186-62-9769,http://www.yurtec.co.jp/,家電,
中央シリカ株式会社,018-3301,秋田県,北秋田市,綴子字市六10,0186-62-2867,0186-62-3912,http://www.chuosilika.co.jp/,鉱業,
グリーンヒルズゴルフ練習場,018-3301,秋田県,北秋田市,綴子字上台35,0186-63-2880,N.A.,http://www.golfinfo.jp/,ゴルフ,
株式会社ウヌマ地域総研,N.A.,秋田県,北秋田市,花園町20-13,0186-63-2905,N.A.,http://www.unuma.co.jp/,印刷・出版,
ニッポンレンタカー東北株式会社／大館能代空港カウンター,018-3454,秋田県,北秋田市,脇神字からむし岱21-144,0186-63-2956,03-6859-6117,http://www.nipponrentacar.co.jp/,リース・レンタル,
有限会社高橋工務店,018-4211,秋田県,北秋田市,川井字才ノ神62-2,0186-78-2973,N.A.,http://www13.plala.or.jp/,リフォーム,
秋田土建株式会社,018-4301,秋田県,北秋田市,米内沢字倉ノ沢出口5-1,0186-72-3001,0186-72-3004,http://akitadoken.co.jp/,総合・職別工事業,
株式会社ヰセキ東北,N.A.,秋田県,北秋田市,綴子字中堤79-4,0186-62-3004,0186-62-4197,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
