▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
北群馬信用金庫／吉岡支店,370-3605,群馬県,北群馬郡吉岡町,大字北下1026-4,0279-55-0123,N.A.,http://www.kitashin-web.co.jp/,金融・郵貯・貸金,
株式会社錦江群馬営業所,370-3606,群馬県,北群馬郡吉岡町,大字上野田1974-1,0279-54-0355,078-691-6830,http://www.kinkoh.net/,総合・職別工事業,
TONCHINKAN,370-3602,群馬県,北群馬郡吉岡町,大字大久保1972-1,0279-55-0419,0279-55-0419,http://www.localplace.jp/,中華・中国料理,
赤城乗馬学校,370-3601,群馬県,北群馬郡吉岡町,大字漆原1590-1,0279-54-0481,0279-54-0522,http://www.akagi-johba.co.jp/,屋内遊戯,
株式会社カワチ薬品吉岡店,370-3602,群馬県,北群馬郡吉岡町,大字大久保1473-1,0279-54-0552,N.A.,http://www.cawachi.co.jp/,薬,
有限会社タクショー本社,370-3605,群馬県,北群馬郡吉岡町,大字北下1165-1,0279-54-0571,0279-54-0573,http://www.takusyo.co.jp/,制服・作業服,
特定非営利活動法人山脈,370-3604,群馬県,北群馬郡吉岡町,南下983-2,0278-64-0591,N.A.,http://www.npo-yamanami.jp/,組合・団体,
株式会社きのした群馬しっかり工場,370-3606,群馬県,北群馬郡吉岡町,大字上野田1329-105,0279-54-0678,03-3879-0679,http://puffoods.jp/,製造・加工（食料品）,
陽なた坂・じゅじゅ,370-3604,群馬県,北群馬郡吉岡町,大字南下127-6,0279-55-0802,0279-55-0802,http://cafejuju.web.fc2.com/,喫茶店・カフェ,
公文式下野田教室,370-3608,群馬県,北群馬郡吉岡町,大字下野田1063-3,0279-54-0806,N.A.,http://www.kumon.ne.jp/,塾・予備校,
モンテローザ,370-3605,群馬県,北群馬郡吉岡町,大字北下1021-13,0279-54-0884,0279-54-0894,http://www.monteroza.co.jp/,製造・加工（食料品）,
花屋藤松,370-3602,群馬県,北群馬郡吉岡町,大字大久保891-1,0279-54-0887,027-325-3651,http://fujimatsu-s.com/,ガーデニング,
田中病院歯科,370-3603,群馬県,北群馬郡吉岡町,大字陣場98,0279-55-0888,N.A.,http://gunneikai.jp/index.html,歯科系,
ドッグハウスワイルドローズ,370-3607,群馬県,北群馬郡吉岡町,大字小倉827-298,0279-54-1050,0279-54-1050,http://www.wildrose.tv/,ペットショップ,
吉岡町文化センター,370-3608,群馬県,北群馬郡吉岡町,大字下野田472,0279-54-1161,0279-54-8448,http://park17.wakwak.com/,映画・劇場・会館,
エース歯科,370-3602,群馬県,北群馬郡吉岡町,大字大久保112-2,0279-55-1181,0279-55-1154,http://www.ace-dent.jp/,歯科系,
魚べい吉岡店,370-3602,群馬県,北群馬郡吉岡町,大字大久保836-1,0279-54-1211,N.A.,http://www.genkisushi.co.jp/,中華・中国料理,
株式会社ブルーペッパー渋川営業所,370-3601,群馬県,北群馬郡吉岡町,大字漆原2549-5,027-234-1266,0562-36-1983,http://www.maruta.co.jp/,運送・貨物・倉庫,
マルエドラッグ吉岡店,370-3602,群馬県,北群馬郡吉岡町,大字大久保891-1,0279-55-1313,0279-70-8050,http://www.marue-drug.co.jp/,薬,
大塚工機株式会社榛名工場総務,370-3607,群馬県,北群馬郡吉岡町,大字小倉843-1,0279-54-1551,0279-54-1083,http://www.otsuka-koki.co.jp/,製造・加工（輸送機械器具）,
有限会社山下鉄工所吉岡工場,370-3604,群馬県,北群馬郡吉岡町,大字南下899-1,0279-54-1582,0279-54-1583,http://www.weld-yamashita.co.jp/,製造・加工（金属製品）,
スポーツデポ前橋吉岡店,370-3602,群馬県,北群馬郡吉岡町,大字大久保765,0279-54-1611,0279-54-8981,http://www.alpen-group.jp/,スポーツ用品,
HAIR-MAKE・アンジッヒ（An-Sich）,370-3601,群馬県,北群馬郡吉岡町,大字漆原1385-1,0279-55-1643,N.A.,http://www3.to/,美容院・理容店・毛髪業,
南風コーポレーション,370-3601,群馬県,北群馬郡吉岡町,大字漆原158-3,0279-54-1741,0279-54-0389,http://www.mk-co.net/,不動産,
クランパン,370-3602,群馬県,北群馬郡吉岡町,大字大久保2424-4,0279-55-1917,0279-55-1917,http://www.kuranpain.com/,食料品,
JA北群渋川／駒寄支所,370-3602,群馬県,北群馬郡吉岡町,大字大久保2101,0279-54-2081,0279-54-2103,https://www.jagunma.or.jp/,組合・団体,
田中病院,370-3603,群馬県,北群馬郡吉岡町,大字陣場98,0279-54-2106,0279-54-0247,http://gunneikai.jp/index.html,内科系,
群馬銀行／吉岡支店,370-3608,群馬県,北群馬郡吉岡町,大字下野田715-3,0279-54-2151,N.A.,http://www.gunmabank.co.jp/,金融・郵貯・貸金,
ぐんまみらい信用組合吉岡支店,370-3603,群馬県,北群馬郡吉岡町,大字陣場253-2,0279-54-2191,0279-54-6612,http://www.skibank.co.jp/,金融・郵貯・貸金,
群馬県警察本部／渋川警察署／吉岡町交番,370-3604,群馬県,北群馬郡吉岡町,大字南下1390-1,0279-54-2301,N.A.,https://www.police.pref.gunma.jp/,消防・警察,
富沢石油株式会社,370-3606,群馬県,北群馬郡吉岡町,大字上野田1329-45,0279-54-2345,N.A.,http://www.tomizawa-kk.com/,ガソリンスタンド,
ふなお居宅介護支援事業所,370-3606,群馬県,北群馬郡吉岡町,大字上野田2135,0279-54-2700,0279-54-3703,http://www.kuneikai.com/,介護・福祉,
有限会社伊藤製麺,370-3602,群馬県,北群馬郡吉岡町,大字大久保2097-6,0279-54-2706,0279-54-2706,http://www.ito-seimen.jp/,製造・加工（食料品）,
