▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社ホンダカーズ千葉,N.A.,千葉県,千葉市美浜区,稲毛海岸5-2-1,043-242-0001,043-242-1700,http://www.hondacars-chiba.com/,製造・加工（輸送機械器具）,
株式会社みずほ銀行／稲毛海岸支店,261-0004,千葉県,千葉市美浜区,高洲1丁目21-1,043-278-0001,N.A.,http://www.mizuhobank.co.jp/,金融・郵貯・貸金,
株式会社幕張メッセ,N.A.,千葉県,千葉市美浜区,中瀬2-1,043-296-0001,043-296-0529,http://www.m-messe.co.jp/,リース・レンタル,
ONTHEGO,261-0021,千葉県,千葉市美浜区,ひび野1丁目4-3,043-297-0003,N.A.,http://www.onthego.co.jp/,美容院・理容店・毛髪業,
はなの舞プレナ幕張店,N.A.,千葉県,千葉市美浜区,ひび野2丁目4,043-310-0006,043-310-0007,http://www.chimney.co.jp/,飲み屋,
ホワイトキャップ,N.A.,千葉県,千葉市美浜区,磯辺2丁目6-6-B,043-303-0009,043-303-0009,http://www.whitecap.jp/,スポーツ用品,
真砂第一幼稚園,261-0011,千葉県,千葉市美浜区,真砂2丁目17-82,043-278-0011,043-278-0011,http://www.youchien.net/,幼稚園・保育施設,
パナソニックポリテクノロジー株式会社,N.A.,千葉県,千葉市美浜区,打瀬2-6パティオス4番街,043-211-0015,N.A.,http://www.panaracer.com/,製造・加工（化学・プラスチック）,
高洲中央医院,261-0004,千葉県,千葉市美浜区,高洲4丁目5-11,043-278-0018,043-278-0122,http://www.chiba-city-med.or.jp/,医院・診療所・療養所,
真砂白百合幼稚園,N.A.,千葉県,千葉市美浜区,真砂3丁目14-2,043-278-0023,043-279-8225,http://www.masago-shirayuri.ed.jp/,幼稚園・保育施設,
さかなや道場海浜幕張店,N.A.,千葉県,千葉市美浜区,ひび野1丁目14,043-350-0025,043-350-0026,http://www.chimney.co.jp/,飲み屋,
千葉市／美浜区／幕張勤労市民プラザ,261-0014,千葉県,千葉市美浜区,若葉3丁目1-8,043-274-0027,043-274-9252,http://chibaksp.jp/,市区町村機関,
ティーヌン海浜幕張店,N.A.,千葉県,千葉市美浜区,ひび野1丁目9,043-212-0030,043-212-0033,http://www.spiceroad.co.jp/,カレー,
臼井正一事務所,261-0004,千葉県,千葉市美浜区,高洲1丁目9-7,043-244-0033,043-244-2200,http://shoichi.info/,組合・団体,
コスモ石油販売株式会社S&CCS幕張,N.A.,千葉県,千葉市美浜区,打瀬1丁目1-1,043-272-0041,045-941-1125,http://www.2525r.com/,ガソリンスタンド,
リアットイオンモール幕張新都心店,N.A.,千葉県,千葉市美浜区,豊砂1-1,043-274-0043,N.A.,http://www.riat-rs.com/,靴・かばん・小物,
フロンティア外語学院／海浜幕張校,261-0013,千葉県,千葉市美浜区,打瀬2丁目9-16,043-213-0050,043-213-0050,http://www.frontier-english.jp/,語学,
株式会社須山歯研歯材部デンコ,N.A.,千葉県,千葉市美浜区,真砂2丁目24-7,043-277-0051,043-277-8414,http://www.suyama.co.jp/,製造・加工（医療・薬関連）,
鳥の一,N.A.,千葉県,千葉市美浜区,中瀬1丁目4,043-299-0051,043-299-0051,http://www.dynac-japan.com/,肉料理,
JIN珈琲店,N.A.,千葉県,千葉市美浜区,高洲4丁目1-3,043-243-0055,043-270-5609,http://www.ne.jp/,レストラン,
クリシェ,N.A.,千葉県,千葉市美浜区,高洲3丁目2-16,043-278-0055,N.A.,http://cliche-hair.com/,美容・コスメ,
自動車事故対策機構千葉療護センター,261-0012,千葉県,千葉市美浜区,磯辺3-30-1,043-277-0061,N.A.,http://www.seikei-kai.or.jp/,医院・診療所・療養所,
セブンイレブン／幕張西店,N.A.,千葉県,千葉市美浜区,幕張西2丁目7-19,043-275-0063,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
有限会社サクセス・プロデュース東京ベイ,N.A.,千葉県,千葉市美浜区,高洲3-6-3-1111,043-279-0071,043-279-0072,http://www.smi-tokyobay.com/,販売・卸（その他）,
ヤックスドラッグ／パティオス店,261-0013,千葉県,千葉市美浜区,打瀬2丁目5,043-211-0088,043-211-0088,http://www.yacs.jp/home/index.html,薬,
株式会社キッツ,N.A.,千葉県,千葉市美浜区,中瀬1-10-1,043-299-0111,043-299-0126,http://www.kitz.co.jp/,製造・加工（その他）,
千葉製粉株式会社,N.A.,千葉県,千葉市美浜区,新港17,043-241-0111,043-247-8282,http://www.chiba-seifun.co.jp/,製造・加工（食料品）,
東芝情報機器株式会社,261-0011,千葉県,千葉市美浜区,真砂5-20-7,043-270-0111,043-270-0110,https://dynabook.com/corporate/profile/outline.html,製造・加工（工作機械・一般機械器具）,
千葉製粉株式会社／製粉・ミックス事業本部／業務部,N.A.,千葉県,千葉市美浜区,新港17,043-241-0113,N.A.,http://www.chiba-seifun.co.jp/,製造・加工（食料品）,
千葉製粉株式会社／製粉・ミックス事業本部／乾麺,N.A.,千葉県,千葉市美浜区,新港17,043-241-0114,N.A.,http://www.chiba-seifun.co.jp/,製造・加工（食料品）,
千葉県立／千葉西高等学校,261-0012,千葉県,千葉市美浜区,磯辺3丁目30-3,043-277-0115,043-277-3924,http://www.chiba-c.ed.jp/,小・中・高・大学等,
千葉製粉株式会社／製粉・ミックス事業本部／ふすま係,N.A.,千葉県,千葉市美浜区,新港17,043-241-0115,N.A.,http://www.chiba-seifun.co.jp/,製造・加工（食料品）,
千葉製粉株式会社／機能素材事業本部／開発担当,N.A.,千葉県,千葉市美浜区,新港17,043-241-0117,N.A.,http://www.chiba-seifun.co.jp/,製造・加工（食料品）,
千葉市消防局／美浜消防署,N.A.,千葉県,千葉市美浜区,真砂5丁目15-6,043-279-0119,043-279-0450,http://www.city.chiba.jp/,消防・警察,
千葉製粉株式会社／製粉・ミックス事業本部／物流課,N.A.,千葉県,千葉市美浜区,新港17,043-241-0119,N.A.,http://www.chiba-seifun.co.jp/,製造・加工（食料品）,
松籟亭,261-0021,千葉県,千葉市美浜区,ひび野2丁目116,043-296-0126,043-296-0128,http://www.seibu-la.co.jp/,アウトドア,
株式会社トヨタレンタリース千葉,N.A.,千葉県,千葉市美浜区,新港57,043-247-0131,N.A.,http://www.trl-chiba.co.jp/,リース・レンタル,
千葉銀行／幕張新都心支店／幕張ローンプラザ,N.A.,千葉県,千葉市美浜区,中瀬2丁目6-1,043-351-0131,043-351-0132,http://www.chibabank.co.jp/,金融・郵貯・貸金,
有限会社ギャラリー・ピア・ワン,N.A.,千葉県,千葉市美浜区,打瀬2-4パティオス1番街103,043-211-0150,043-211-0150,http://www.gallery-pier-one.com/,販売・卸（その他）,
セブンイレブン／千葉稲毛海岸駅前店,261-0004,千葉県,千葉市美浜区,高洲1丁目23-2,043-279-0154,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
興栄燃料株式会社／幕張メッセSS,N.A.,千葉県,千葉市美浜区,ひび野1丁目4-2,043-296-0155,043-244-5124,http://www.koei-e.jp/,ガソリンスタンド,
株式会社オートランド東京,N.A.,千葉県,千葉市美浜区,新港223-8,043-245-0163,N.A.,http://www.autoland.jp/,製造・加工（輸送機械器具）,
ヤックスドラッグパティオス薬局,N.A.,千葉県,千葉市美浜区,打瀬2丁目5,043-310-0166,043-310-0167,http://www.yacs.jp/home/index.html,薬,
千葉市立／高洲小学校,261-0004,千葉県,千葉市美浜区,高洲2丁目2-20,043-243-0169,043-244-7479,http://www.cabinet-cbc.ed.jp/,小・中・高・大学等,
ウエルシア薬局ピア店,N.A.,千葉県,千葉市美浜区,真砂4丁目1-10,043-278-0171,043-278-0170,http://www.welcia-yakkyoku.co.jp/,薬,
眼鏡市場美浜ニューポートリゾート店,N.A.,千葉県,千葉市美浜区,新港32-6,043-246-0178,N.A.,http://www.meganeichiba.jp/,生活用品,
はなまるうどんプレナ幕張店,261-0021,千葉県,千葉市美浜区,ひび野2丁目4,043-310-0180,03-3549-8710,http://www.hanamaruudon.com/,そば・うどん,
オリンパスメディカルサイエンス販売株式会社,N.A.,千葉県,千葉市美浜区,中瀬2-6,043-299-0181,043-299-0182,http://www.olympus-medicalscience.co.jp/,製造・加工（工作機械・一般機械器具）,
幕張デンタルオフィス,N.A.,千葉県,千葉市美浜区,中瀬2丁目6-1,043-297-0187,0475-44-0033,http://www.makuhari-dental.com/,歯科系,
