▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
渡部又八,967-0006,福島県,南会津郡南会津町,永田字穴沢603,0241-62-0012,0241-62-0923,http://www.kinmon.aizu.or.jp/,酒・飲料品,
株式会社大桃建設工業,N.A.,福島県,南会津郡南会津町,田島字本町甲3886,0241-62-0020,0241-62-0282,http://www.omomo.co.jp/,建設業・工務店,
男山酒造,967-0005,福島県,南会津郡南会津町,中荒井字久宝居785,0241-62-0023,0241-62-0073,http://otokoyama.jp/,酒・飲料品,
国権酒造株式会社,967-0004,福島県,南会津郡南会津町,田島字上町甲4037,0241-62-0036,0241-62-3878,http://www.kokken.co.jp/,酒・飲料品,
南会津地方広域市町村圏組合,967-0004,福島県,南会津郡南会津町,田島字西町甲4331,0241-62-0054,0241-62-0115,http://www.minamiaizu-kouiki.jp/,市区町村機関,
会津鉄道株式会社／会津田島駅,967-0004,福島県,南会津郡南会津町,田島字西番場甲358-3,0241-62-0065,0241-62-0065,http://www.aizutetsudo.jp/,交通機関,
福島県立田島高等学校,967-0004,福島県,南会津郡南会津町,田島字田部原260,0241-62-0066,0241-62-2909,https://tajima-h.fcs.ed.jp/,小・中・高・大学等,
有限会社三谷製作所／福島工場,967-0004,福島県,南会津郡南会津町,田島字田部原177,0241-62-0075,0241-62-0075,http://www.sanya-ss.com/,製造・加工（電子・精密機械器具）,
木の店ステラ,967-0012,福島県,南会津郡南会津町,川島字大宮川原1222-3,0241-62-0128,0241-62-2678,http://www.sutera-w.com/,製造・加工（木製品・紙・パルプ関連）,
会津乗合自動車株式会社／田島営業所,967-0005,福島県,南会津郡南会津町,中荒井字油燈下108-1,0241-62-0134,0241-62-0259,https://www.aizubus.com/,交通機関,
ヤマトカメラ店,967-0004,福島県,南会津郡南会津町,田島字中町甲3926,0241-62-0147,N.A.,http://www.uyou.gr.jp/,写真館・現像,
南福島郵便輸送株式会社,967-0004,福島県,南会津郡南会津町,田島字中町甲3928,0241-62-0155,0241-62-0934,http://mf-yubinyusou.com/,運送・貨物・倉庫,
株式会社奈良屋,N.A.,福島県,南会津郡南会津町,大字田島字田島柳6番地1,0241-62-0156,N.A.,http://www.naraya-soba.com/,食料品,
福島地方法務局田島出張所,967-0004,福島県,南会津郡南会津町,田島字寺前甲2869,0241-62-0249,N.A.,http://houmukyoku.moj.go.jp/,官公署,
福島県南会津保健福祉事務所／総務課,967-0004,福島県,南会津郡南会津町,田島字天道沢甲2542-2,0241-63-0302,0241-63-0310,http://www.pref.fukushima.lg.jp/,都道府県機関,
柏屋,967-0004,福島県,南会津郡南会津町,田島字後町甲3972-6,0241-62-0348,0241-62-0348,http://www.usukawa.co.jp/,レストラン,
福島民友新聞社南会津支局,967-0004,福島県,南会津郡南会津町,田島字後原甲3759-4,0241-62-0370,0241-62-0394,http://www.minyu-net.com/,映画・放送・新聞,
株式会社ヰセキ東北,N.A.,福島県,南会津郡南会津町,田島字東荒井甲2512-1,0241-62-0387,0241-62-0382,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
中嶋助産院,967-0004,福島県,南会津郡南会津町,田島字中町甲3953,0241-62-0445,N.A.,http://www4.plala.or.jp/,産科・婦人科系,
福島県南酒販株式会社,N.A.,福島県,南会津郡南会津町,田島字東荒井27-1,0241-62-0524,0241-62-0930,http://www.kennan-syuhan.co.jp/,食料品,
コマツ福島株式会社,N.A.,福島県,南会津郡南会津町,田島東荒井甲2498-1,0241-62-0548,0241-62-0857,http://www.kics.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社ショウエー,967-0004,福島県,南会津郡南会津町,田島田部原158,0241-62-0566,0241-62-4537,http://www.shoei-r.co.jp/,製造・加工（化学・プラスチック）,
田島カトリック教会,967-0004,福島県,南会津郡南会津町,田島字根小屋甲4242,0241-62-0568,0241-62-0595,http://www.tohoku-catholic.ac.jp/,宗教,
株式会社ショウエー,N.A.,福島県,南会津郡南会津町,田島字田部原158番地,0241-62-0599,0241-62-4537,http://www.shoei-r.co.jp/,製造・加工（医療・薬関連）,
セブンイレブン／会津田島店,967-0004,福島県,南会津郡南会津町,田島字東町甲2868,0241-62-0938,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
皆川清寿,967-0004,福島県,南会津郡南会津町,田島字大坪19,0241-63-1000,0241-63-1001,http://www.uyou.gr.jp/,相談・調査,
株式会社大橋工務店,967-0006,福島県,南会津郡南会津町,永田西俣110,0241-62-1000,0241-62-3872,http://www.ohashi-k.net/,リフォーム,
はりゅうウッドスタジオ,967-0026,福島県,南会津郡南会津町,針生字小坂38-1,0241-65-1001,0241-65-1002,http://www.haryu.jp/,リフォーム,
株式会社ハマヤ,967-0001,福島県,南会津郡南会津町,長野字加藤谷1874-2,0241-62-1038,0241-62-3249,http://www.hmy.co.jp/,鉱業,
株式会社荒海チップ,967-0012,福島県,南会津郡南会津町,川島字土橋1205,0241-62-1054,0241-62-1065,http://www.uyou.gr.jp/,製造・加工（木製品・紙・パルプ関連）,
丸山館,967-0004,福島県,南会津郡南会津町,田島字中町甲3943,0241-62-1133,0241-62-3729,http://www.maruyamakan.com/,旅館・民宿,
有限会社つるや商店,967-0004,福島県,南会津郡南会津町,田島字谷地甲72-2,0241-62-1166,0241-62-3166,http://www.uyou.gr.jp/,OA機器,
久米工業株式会社,967-0006,福島県,南会津郡南会津町,永田字大道上326,0241-62-1182,0241-62-1103,http://www.uyou.gr.jp/,総合・職別工事業,
東北労働金庫／田島支店,967-0004,福島県,南会津郡南会津町,田島字本町甲3845-1,0241-62-1200,0241-62-4800,http://www.tohoku-rokin.or.jp/,金融・郵貯・貸金,
株式会社東邦銀行／田島支店,967-0004,福島県,南会津郡南会津町,田島字中町甲3944-10,0241-62-1234,0241-62-4663,http://www.tohobank.co.jp/,金融・郵貯・貸金,
大東銀行田島支店,967-0004,福島県,南会津郡南会津町,田島字谷地甲60-2,0241-62-1240,0241-62-1242,http://www.daitobank.co.jp/,金融・郵貯・貸金,
佐川急便株式会社会津田島店／FAX,967-0005,福島県,南会津郡南会津町,中荒井字油燈下102,0241-63-1256,0241-62-8811,http://www.sagawa-exp.co.jp/,運送・貨物・倉庫,
山口温泉きらら289,967-0611,福島県,南会津郡南会津町,山口字橋尻1,0241-71-1289,0241-71-1290,http://www.kirara289.jp/,観光・温泉・銭湯,
セブンイレブン／会津田島新町店,967-0004,福島県,南会津郡南会津町,田島字鎌倉崎乙41-1,0241-62-1377,0241-67-342,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
株式会社マストロ・ジェッペット,967-0004,福島県,南会津郡南会津町,田島字田部原113,0241-62-1600,0241-62-1602,http://www.mastrogeppetto.jp/,製造・加工（その他）,
ペンション北欧の森,967-0026,福島県,南会津郡南会津町,針生字昼滝山857-43,0241-65-1755,0241-65-1756,http://www.aizu-ns.net/,ホテル・ペンション,
株式会社南栄通商／レンタル機材センター,967-0004,福島県,南会津郡南会津町,田島字北下原165-1,0241-63-1828,0241-62-7890,http://www.nanei-tsuushou.com/,リース・レンタル,
会津乗合自動車株式会社,967-0611,福島県,南会津郡南会津町,山口字村上825-1,0241-72-2001,N.A.,http://www.aizubus.com/,運送・貨物・倉庫,
会津高原リゾートイン台鞍,967-0026,福島県,南会津郡南会津町,針生字昼滝山857-150,0241-64-2011,0241-64-2525,http://www.daikura.net/,ホテル・ペンション,
南会津町／しらかば公園管理棟,967-0333,福島県,南会津郡南会津町,湯ノ花1389,0241-78-2028,N.A.,http://www.minamiaizu.org/,スポーツ施設,
花泉酒造合名会社,967-0631,福島県,南会津郡南会津町,界中田646-1,0241-73-2029,0241-73-2566,http://www.hanaizumi.ne.jp/,製造・加工（食料品）,
梅寿館／別館,967-0004,福島県,南会津郡南会津町,田島字西町甲4318,0241-62-2050,N.A.,http://www.uyou.gr.jp/,結婚・宴会,
南会津町奥会津博物館伊南館,967-0507,福島県,南会津郡南会津町,青柳字久川23,0241-76-2071,N.A.,http://www.minamiaizu.org/,博物館・美術館,
南会津町総合支援センター（一般財団法人）,967-0304,福島県,南会津郡南会津町,松戸原55,0241-78-2110,0241-78-3274,http://www.minamiaizu.org/,組合・団体,
会津高原南郷スキー場,967-0631,福島県,南会津郡南会津町,界字湯の入293,0241-73-2111,0241-73-2123,http://www.nango-ski.com/,ウィンタースポーツ,
南会津町観光協会南郷支部,967-0611,福島県,南会津郡南会津町,山口字村上842,0241-72-2112,0241-72-2937,http://www.minamiaizu.org/,市区町村機関,
南会津町南郷総合支所／振興課／農林建設係,967-0611,福島県,南会津郡南会津町,山口字村上864,0241-72-2113,0241-72-2002,http://www.minamiaizu.org/,市区町村機関,
株式会社スミタフォトニクス,967-0501,福島県,南会津郡南会津町,古町字東町尻13番地,0241-76-2116,N.A.,http://www.sumita-opt.co.jp/,製造・加工（電子・精密機械器具）,
南会津地方広域市町村圏組合／消防署舘岩分遣所,967-0304,福島県,南会津郡南会津町,松戸原128,0241-78-2116,0241-62-0115,http://www.minamiaizu-kouiki.jp/,消防・警察,
株式会社星工務店,N.A.,福島県,南会津郡南会津町,界字上田下987,0241-73-2117,N.A.,http://www.suma-navi.com/,建設業・工務店,
