▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社藤林商会,038-1203,青森県,南津軽郡藤崎町,久井名舘早稲田295-2,0172-65-2002,0172-65-2648,http://fujibayashi.co.jp/,リフォーム,
社会福祉法人藤崎町社会福祉協議会／ケアプランセンター,038-3803,青森県,南津軽郡藤崎町,大字西豊田1丁目3,0172-75-2030,0172-75-2128,http://www.fujisakishakyo.or.jp/,組合・団体,
社会福祉法人藤崎町社会福祉協議会,038-1214,青森県,南津軽郡藤崎町,常盤富田70-1,0172-65-2056,0172-69-5262,http://www.fujisakishakyo.or.jp/,介護・福祉,
藤崎造園,038-3802,青森県,南津軽郡藤崎町,藤崎字南豊田31-2,0172-75-2093,0172-75-4672,http://fujizo.com/,農業,
株式会社陸奥ホーム,038-1214,青森県,南津軽郡藤崎町,大字常盤字一西田12-2,0172-65-2137,0172-65-3291,http://mutsu-home.com/,建設業・工務店,
グループホームメープルの里ときわ,038-1214,青森県,南津軽郡藤崎町,大字常盤字三西田8-8,0172-65-2228,0172-65-3688,http://maple-sato.com/,介護・福祉,
株式会社三浦組,038-3804,青森県,南津軽郡藤崎町,葛野岡元18-3,0172-75-2328,0172-75-2326,http://miura-gumi.com/,リフォーム,
世紀東急工業株式会社,038-1204,青森県,南津軽郡藤崎町,大字水木字平中20-1,0172-65-2394,N.A.,http://www.seikitokyu.co.jp/,建設業・工務店,
株式会社高松技研,038-1215,青森県,南津軽郡藤崎町,若松森越22-2,0172-65-2604,0172-65-2604,http://takamatsu-giken.main.jp/,運送・貨物・倉庫,
久保田建設株式会社,038-3803,青森県,南津軽郡藤崎町,西豊田三丁目1-8,0172-75-2752,0172-75-2753,http://kubota-k.ftw.jp/,建設業・工務店,
株式会社かさい商店／常盤工場,038-1211,青森県,南津軽郡藤崎町,大字福島字富田40-1,0172-65-2929,0172-65-2929,http://www.kasaishouten.co.jp/,家具・インテリア,
せきばクリニック,038-3802,青森県,南津軽郡藤崎町,大字藤崎字武元5-5,0172-75-3020,N.A.,http://www.sekiba-clinic.com/,医院・診療所・療養所,
弘前大学農学生命科学部附属生物共生教育研究センター藤崎農場事務室,038-3802,青森県,南津軽郡藤崎町,大字藤崎字下袋7-1,0172-75-3026,0172-75-5646,http://nature.cc.hirosaki-u.ac.jp/,小・中・高・大学等,
福田道路株式会社／弘前営業所,038-1216,青森県,南津軽郡藤崎町,大字榊字亀田39,0172-65-3106,N.A.,http://www.fukudaroad.co.jp/,リフォーム,
津軽みらい農業協同組合／常盤基幹支店,038-1214,青森県,南津軽郡藤崎町,大字常盤字一西田11,0172-65-3111,0172-65-3799,http://www.ja-tsugaru-mirai.or.jp/,組合・団体,
有限会社ナリデン,038-3803,青森県,南津軽郡藤崎町,西豊田3-3-22,0172-75-3259,0172-75-3292,http://nariden.net/,家電,
藤崎町立／藤崎中央小学校,038-3814,青森県,南津軽郡藤崎町,大字水沼字浅田11,0172-75-3303,0172-75-3220,http://www.fujisaki-ed.jp/,小・中・高・大学等,
東北地方整備局青森河川国道事務所藤崎出張所,038-3802,青森県,南津軽郡藤崎町,大字藤崎字村井36-1,0172-75-3314,0172-75-2864,http://www.thr.mlit.go.jp/,官公署,
（農法）トキワ養鶏,038-1214,青森県,南津軽郡藤崎町,常盤富田3-4,0172-65-3355,0172-65-3589,http://www.tokiwa-group.com/,農業,
食彩ときわ館,038-1216,青森県,南津軽郡藤崎町,大字榊字和田65-8,0172-65-3660,0172-65-3945,http://www15.plala.or.jp/,食料品,
張山電氣株式会社,038-1216,青森県,南津軽郡藤崎町,大字榊字亀田32-1,0172-65-3755,0172-32-6227,http://www.hariyama.jp/,家電,
ときわ会病院,038-1216,青森県,南津軽郡藤崎町,大字榊字亀田2-1,0172-65-3771,0172-65-3773,http://www.tokiwakai.or.jp/,外科系,
津軽みらい農業協同組合／常盤基幹支店／常盤基幹グリーンセンター,038-1214,青森県,南津軽郡藤崎町,大字常盤字一西田11,0172-65-4050,0172-65-2029,http://www.ja-tsugaru-mirai.or.jp/,組合・団体,
東奥信用金庫藤崎支店,038-3802,青森県,南津軽郡藤崎町,大字藤崎字舘岡1-2,0172-75-4101,N.A.,http://www.shinkin.co.jp/,金融・郵貯・貸金,
和電工業株式会社,038-1218,青森県,南津軽郡藤崎町,大字榊字種元27-1,0172-65-4114,0172-65-4115,http://www.waden.jp/,建設業・工務店,
キューズ・アンティークス,038-1204,青森県,南津軽郡藤崎町,大字水木字浅田72-1,0172-65-4400,0172-65-4401,http://www.qs-antique.com/homepage/,家具・インテリア,
有限会社生涯リフォームのゆう,N.A.,青森県,南津軽郡藤崎町,大字福島字東田87,0172-65-4746,0172-65-2953,http://reform-you.ftw.jp/,建設業・工務店,
有限会社弘鉄ホーム,038-1201,青森県,南津軽郡藤崎町,福舘西田199-1,0172-69-5078,0172-65-4188,http://kotetu-h.ftw.jp/,リフォーム,
東和電機工業株式会社,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5111,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／営業技術課,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5112,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／生産管理課,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5113,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／設計課,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5114,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／クリエイト事業部,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5115,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／資材課,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5116,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／研究開発課,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5117,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／プラントシステム事業部,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5118,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／守衛室,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5119,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
東和電機工業株式会社／カスタム課,038-1216,青森県,南津軽郡藤崎町,大字榊字和田88-1,0172-69-5130,0172-69-5122,http://www.towagp.co.jp/,製造・加工（電子・精密機械器具）,
ケアハウスしずか,038-1204,青森県,南津軽郡藤崎町,大字水木字浅田95,0172-69-5151,0172-69-5150,http://care-net.biz/,介護・福祉,
特別養護老人ホームときわ,038-1204,青森県,南津軽郡藤崎町,大字水木字浅田95,0172-69-5225,0172-65-2115,http://care-net.biz/,介護・福祉,
サンクス常盤バイパス店,038-1204,青森県,南津軽郡藤崎町,大字水木字浅田128-5,0172-69-5236,N.A.,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
