▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ささき内科クリニック（医療法人智徳会）,018-1722,秋田県,南秋田郡五城目町,字鵜ノ木90-1,018-855-1182,018-852-3113,http://www.chitokukai.jp/,小児科系,
株式会社木村食品工業五城目工場,018-1703,秋田県,南秋田郡五城目町,字羽黒前96-3,018-855-1222,018-855-1223,http://kimura-food.co.jp/,製造・加工（食料品）,
あきた湖東農業協同組合／本所／経済部／あきた湖東介護福祉センター,018-1721,秋田県,南秋田郡五城目町,字七倉123-2,018-855-1515,018-855-1501,http://www.ja-akita-kotoh.or.jp/,N.A.,
株式会社農協観光,018-1721,秋田県,南秋田郡五城目町,字七倉123-2,018-855-1517,018-852-4572,http://www.ntour.jp/,運送・貨物・倉庫,
宮脇書店五城目店,018-1723,秋田県,南秋田郡五城目町,上樋口字熊野堂下57-1,018-855-1566,018-855-1566,http://www.miyawakishoten.com/,本,
介護老人保健施設湖東老健,018-1705,秋田県,南秋田郡五城目町,字上町284-1,018-855-1570,018-855-1555,http://www.seiwakai-net.com/,介護・福祉,
鍋鶴五城目きものセンター,018-1706,秋田県,南秋田郡五城目町,字下タ町226-1,018-852-2027,N.A.,https://nabetsuru.jimdofree.com/,クリーニング・コインランドリー,
あきた湖東農業協同組合／大豆加工所,018-1711,秋田県,南秋田郡五城目町,高崎字行内沢88,018-852-2038,018-855-1501,http://www.ja-akita-kotoh.or.jp/,組合・団体,
五城目町立／大川小学校,018-1735,秋田県,南秋田郡五城目町,大川下樋口字屋敷下59-1,018-875-2055,018-875-5738,http://academic4.plala.or.jp/,小・中・高・大学等,
秋田中央交通株式会社,018-1722,秋田県,南秋田郡五城目町,字鵜ノ木34番,018-852-2110,N.A.,http://www.akita-chuoukotsu.co.jp/,運送・貨物・倉庫,
ロイヤルネットワーク株式会社,N.A.,秋田県,南秋田郡五城目町,大川西野字田屋前138,018-852-2131,N.A.,http://www.usachan.co.jp/,その他サービス,
株式会社宮盛,018-1734,秋田県,南秋田郡五城目町,大川大川字沖面195,018-875-2151,N.A.,http://www.miyamori.co.jp/,製造・加工（その他）,
秋田県環境と文化のむら,018-1723,秋田県,南秋田郡五城目町,上樋口字山田沢156-1,018-852-2202,018-852-5251,http://www.kankyou-bunka.jp/,博物館・美術館,
あきた湖東農業協同組合／五城目倉庫,018-1711,秋田県,南秋田郡五城目町,高崎字行内沢88,018-852-2203,018-855-1501,http://www.ja-akita-kotoh.or.jp/,組合・団体,
秋田県立五城目高等学校／事務室,018-1732,秋田県,南秋田郡五城目町,大川西野字田屋下100,018-852-2265,018-852-9474,http://www.gojome-h.akita-pref.ed.jp/,小・中・高・大学等,
五城目町立／杉沢小学校,018-1713,秋田県,南秋田郡五城目町,馬場目字杉沢下台59-1,018-853-2320,018-853-2446,http://www.akita-c.ed.jp/,小・中・高・大学等,
株式会社恵命堂,018-1705,秋田県,南秋田郡五城目町,字上町35-3,018-852-2339,N.A.,http://www.keimeido.co.jp/,製造・加工（医療・薬関連）,
農家レストラン清流の森,018-1713,秋田県,南秋田郡五城目町,馬場目字蛇喰27,018-853-2577,018-853-2577,http://www.seiryunomori.com/,レストラン,
湯の越の宿,018-1851,秋田県,南秋田郡五城目町,内川浅見内字後田125-5,018-854-2683,018-854-2685,http://www.yunokoshinoyado.com/,観光・温泉・銭湯,
日本保健鍼灸マッサージ協同組合連合会,018-1725,秋田県,南秋田郡五城目町,西磯ノ目1丁目2-13,018-852-2818,018-852-2818,http://www.nipporen.jp/,あん摩・はり・きゅう,
ティアラRELAX&ESTHE,018-1723,秋田県,南秋田郡五城目町,上樋口字屋岸183-1,018-852-2911,N.A.,http://www.tiara-esthe.jp/,美容・コスメ,
秋田銀行五城目支店,018-1706,秋田県,南秋田郡五城目町,字下タ町229,018-852-3120,N.A.,http://www.akita-bank.co.jp/,金融・郵貯・貸金,
北都銀行五城目支店,018-1724,秋田県,南秋田郡五城目町,東磯ノ目1丁目7-14,018-852-3130,N.A.,http://www.hokutobank.co.jp/,金融・郵貯・貸金,
松竹,018-1706,秋田県,南秋田郡五城目町,字下タ町43-2,018-852-3160,018-852-4645,http://www.shochiku.co.jp/,弁当・宅配,
あきた湖東農業協同組合／五城目給油所,018-1722,秋田県,南秋田郡五城目町,字鵜ノ木93-10,018-852-3444,018-855-1501,http://www.ja-akita-kotoh.or.jp/,組合・団体,
郵便局株式会社,018-1732,秋田県,南秋田郡五城目町,大川西野西野109,018-852-3542,N.A.,http://map.japanpost.jp/,その他サービス,
株式会社山形部品五城目営業所,018-1735,秋田県,南秋田郡五城目町,大川下樋口字関合34-1,018-875-3731,018-875-3345,http://www.ypcp.co.jp/,車検・整備・修理,
ドッグホリディ,018-1724,秋田県,南秋田郡五城目町,東磯ノ目2丁目6-6,018-852-3816,018-852-3816,http://www.dogholiday.biz/,ペット美容室,
高性寺,018-1706,秋田県,南秋田郡五城目町,字下タ町179,018-852-3821,N.A.,http://jazzimpression.main.jp/,宗教,
ふぁいんバレエスクール,018-1703,秋田県,南秋田郡五城目町,字羽黒前96-38,018-852-4005,N.A.,http://fineballet.web.fc2.com/,ダンス・おどり,
五城目警察署,018-1721,秋田県,南秋田郡五城目町,字七倉178-4,018-852-4100,018-852-4100,http://www.police.pref.akita.jp/,消防・警察,
菊地合板木工株式会社,018-1711,秋田県,南秋田郡五城目町,高崎字里下82-3,018-852-4105,018-852-4991,http://www.kikuchi-mokko.com/,製造・加工（その他）,
福禄寿酒造株式会社,018-1706,秋田県,南秋田郡五城目町,字下タ町48番地,018-852-4130,018-852-4132,http://www.fukurokuju.jp/,製造・加工（その他）,
