▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
あきた湖東農業協同組合／井川支所,018-1516,秋田県,南秋田郡井川町,浜井川字曲渕3,018-874-2025,018-874-3459,http://www.ja-akita-kotoh.or.jp/,組合・団体,
比内どり食品有限会社,018-1523,秋田県,南秋田郡井川町,坂本字飛塚23-13,018-874-2031,018-874-2042,http://www.hinaidori.co.jp/,食料品,
スズキ部品秋田労働組合,018-1516,秋田県,南秋田郡井川町,浜井川字家ノ東192-1,018-874-2207,018-874-2482,http://www.suzuki-akita.co.jp/,組合・団体,
北太平洋貿易株式会社,N.A.,秋田県,南秋田郡井川町,北川尻字下田面替場11-1,018-874-2212,018-874-2212,http://www.northpacifictrading.net/,商社・貿易,
有限会社井川鈴木ボデー,018-1516,秋田県,南秋田郡井川町,浜井川字飯塚境115,018-874-2218,018-874-2685,http://www.suzukibody.net/,車検・整備・修理,
桐ケ丘,018-1526,秋田県,南秋田郡井川町,寺沢字綱木沢133-2,018-874-2272,018-874-2273,http://www.kirigaoka.org/,介護・福祉,
郵便局株式会社,018-1527,秋田県,南秋田郡井川町,井内屋布合26-2,018-874-2282,N.A.,http://map.japanpost.jp/,その他サービス,
北日本ボード工業株式会社,018-1516,秋田県,南秋田郡井川町,浜井川字家ノ東133-2,018-874-2301,018-874-2213,http://www.kitanihon-board.jp/,製造・加工（その他）,
郵便局株式会社,018-1511,秋田県,南秋田郡井川町,今戸縄手添65-1,018-874-2317,N.A.,http://map.japanpost.jp/,その他サービス,
株式会社スズキ部品秋田,018-1516,秋田県,南秋田郡井川町,浜井川字家の東192-1,018-874-2321,018-874-2320,http://www.suzuki-akita.co.jp/,製造・加工（輸送機械器具）,
湖東地区行政一部事務組合／湖東地区消防署,018-1516,秋田県,南秋田郡井川町,浜井川字喜兵衛堰10-1,018-874-2420,018-874-2564,http://akita-kotoh-fd.jp/,消防・警察,
スズキ部品秋田労働組合／事務局,018-1516,秋田県,南秋田郡井川町,浜井川字家ノ東192-1,018-874-2482,N.A.,http://www.suzuki-akita.co.jp/,組合・団体,
さくらデンタルオフィス,018-1516,秋田県,南秋田郡井川町,浜井川字杉ノ実24-1,018-874-2522,018-874-3801,http://www.dental-sakura.net/,歯科系,
株式会社湊建設,018-1523,秋田県,南秋田郡井川町,坂本字山崎75-2,018-874-3250,018-874-3250,http://www.minato-kensetsu.com/,建設業・工務店,
株式会社アイセス,018-1512,秋田県,南秋田郡井川町,北川尻字下田面替場11-1,018-874-3252,018-874-3242,http://aises.jp/,製造・加工（工作機械・一般機械器具）,
株式会社小熊商会,018-1516,秋田県,南秋田郡井川町,浜井川字新堰180-1,018-874-3488,018-874-3178,http://www.oguma-s.co.jp/,製造・加工（建築資材）,
株式会社魚国総本社,018-1516,秋田県,南秋田郡井川町,浜井川字家ノ東192-1,018-874-3738,N.A.,http://www.uokuni-s.co.jp/,アウトソーシング,
スーパーセンターアマノ井川店,018-1512,秋田県,南秋田郡井川町,北川尻字新坂90-1,018-874-4222,018-874-4115,http://sc-amano.jp/,生活用品,
井川町役場／総務課-総務班,018-1512,秋田県,南秋田郡井川町,北川尻字海老沢樋ノ口78-1,018-874-4411,018-874-2600,http://www.town.ikawa.akita.jp/,市区町村機関,
ジャパンケア井川／訪問介護,018-1516,秋田県,南秋田郡井川町,浜井川字土樋160,018-855-6120,N.A.,http://comsn.com/,介護・福祉,
あきた湖東農業協同組合／農機センター／FAX,018-1512,秋田県,南秋田郡井川町,北川尻字海老沢土社32,018-855-6122,018-855-6126,http://www.ja-akita-kotoh.or.jp/,組合・団体,
井川町特別養護老人ホームさくら苑,018-1526,秋田県,南秋田郡井川町,寺沢字綱木沢145-5,018-855-6123,018-855-6124,http://www.sakuraen-akita-ikawa.org/,介護・福祉,
あきた湖東農業協同組合／営農経済センター,018-1512,秋田県,南秋田郡井川町,北川尻字海老沢土社28,018-855-6177,018-855-6188,http://www.ja-akita-kotoh.or.jp/,組合・団体,
あきた湖東農業協同組合／営農経済センター／営農,018-1512,秋田県,南秋田郡井川町,北川尻字海老沢土社28,018-855-6221,018-855-1501,http://www.ja-akita-kotoh.or.jp/,組合・団体,
あきた湖東農業協同組合／営農経済センター／購買,018-1512,秋田県,南秋田郡井川町,北川尻字海老沢土社28,018-855-6222,018-855-1501,http://www.ja-akita-kotoh.or.jp/,組合・団体,
あきた湖東農業協同組合／営農経済センター／販売,018-1512,秋田県,南秋田郡井川町,北川尻字海老沢土社28,018-855-6223,018-855-1501,http://www.ja-akita-kotoh.or.jp/,組合・団体,
あきた湖東農業協同組合／農産物直売所湖東のやさい畑,018-1512,秋田県,南秋田郡井川町,北川尻字海老沢土社29-1,018-893-6230,018-874-2252,http://www.ja-akita-kotoh.or.jp/,組合・団体,
株式会社ワンオーエス,018-1515,秋田県,南秋田郡井川町,小竹花字川端32,018-855-6262,018-855-6263,http://www.1os.jp/,IT・情報通信,
