▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ファッションセンターしまむら南陽店,999-2232,山形県,南陽市,三間通1258-1,0238-50-0025,N.A.,http://www.shimamura.gr.jp/,洋服,
ココス南陽店,999-2211,山形県,南陽市,赤湯3281-1,0238-50-0036,N.A.,http://www.cocos-jpn.co.jp/,レストラン,
JA山形おきたま／JAグリーン南陽,992-0472,山形県,南陽市,宮内864,0238-59-0047,0238-45-2079,http://www.okitama-yt-ja.or.jp/,組合・団体,
株式会社ヤマラクフーズ,992-0472,山形県,南陽市,宮内715-3,0238-59-0055,0238-47-6500,http://www.yamaraku-foods.co.jp/,食料品,
ニッポンレンタカー東北株式会社／赤湯駅前営業所,999-2241,山形県,南陽市,郡山1089-5,0238-50-0068,0238-49-8260,http://www.nipponrentacar.co.jp/,リース・レンタル,
共和コンクリート工業株式会社南陽工場,992-0477,山形県,南陽市,梨郷3405,0238-59-0100,N.A.,http://www.kyowa-concrete.co.jp/,製造・加工（建築資材）,
株式会社ダイユーエイト南陽店,999-2261,山形県,南陽市,蒲生田1471,0238-59-0140,0238-43-7771,http://www.daiyu8.co.jp/,生活用品,
株式会社かわでん,999-2293,山形県,南陽市,小岩沢225,0238-50-0207,0238-49-2016,http://www.kawaden.co.jp/,製造・加工（電子・精密機械器具）,
ケーズデンキ南陽パワフル館,999-2241,山形県,南陽市,郡山高野561,0238-50-0255,0238-50-0277,https://www.ksdenki.com/shop/default.aspx,家電,
カーケアアドバイザーショップ,999-2232,山形県,南陽市,三間通334-1,0238-50-0306,0238-43-6080,http://www.okitama.co.jp/,車検・整備・修理,
アペゼール,992-0473,山形県,南陽市,池黒630,0238-59-0316,0238-59-0326,http://www14.plala.or.jp/,美容・コスメ,
株式会社スズデン,999-2211,山形県,南陽市,赤湯346-16,0238-50-0530,0238-50-0531,http://www.e-suzuden.com/,建設業・工務店,
山形鉄道株式会社／宮内駅,992-0472,山形県,南陽市,宮内2854-2,0238-40-0560,0238-40-0561,http://www.flower-liner.jp/,交通機関,
スモークハウスファイン南陽店,999-2211,山形県,南陽市,赤湯2860-1,0238-40-0567,0238-57-4362,http://www.e86.jp/,食料品,
株式会社武蔵屋グループ総合葬祭専門店むさしセレモニー／むさしセレモニーホール南陽,999-2211,山形県,南陽市,赤湯3318,0238-50-0634,N.A.,http://www.e-musashiya.com/,葬儀,
ゲオ南陽店,999-2221,山形県,南陽市,椚塚420,0238-50-0640,0238-50-0641,http://geo-online.co.jp/,賃貸・レンタル,
カー’ズ・ファクトリー・シュティール,999-2221,山形県,南陽市,椚塚1023,0238-50-0656,0238-50-0657,http://www.stil.jp/,自動車販売,
山交観光株式会社南陽案内所,999-2241,山形県,南陽市,郡山938-1,0238-50-0658,0238-50-0669,http://www.yamakokanko.co.jp/,旅行業・代理店,
株式会社トスネット置賜営業所,999-2221,山形県,南陽市,椚塚1970-1,0238-50-0670,0238-50-0671,http://www.tosnet.co.jp/,アウトソーシング,
竹田司法書士事務所,999-2222,山形県,南陽市,長岡551-8,0238-50-1007,N.A.,http://www.netlink-market.com/,士業・コンサルタント,
ミスタードーナツ南陽ショップ,999-2241,山形県,南陽市,郡山578,0238-50-1032,N.A.,https://www.misterdonut.jp/noscript.html,ファーストフード,
フジカラーパレットプラザヤマザワ南陽店,999-2241,山形県,南陽市,郡山578,0238-50-1050,N.A.,http://www.80210.com/,写真・ビデオ・スライド,
森永酪農販売株式会社東北支店山形事務所,992-0472,山形県,南陽市,宮内4651-5,0238-59-1056,03-3798-0163,http://www.mo-rakunouhanbai.com/,農業,
カーブス南陽長岡,999-2222,山形県,南陽市,長岡480-3,0238-50-1080,0238-40-3731,http://www.curves.co.jp/,スポーツ,
株式会社トヨタレンタリース山形赤湯駅前店,999-2241,山形県,南陽市,郡山1056-1,0238-50-1100,0238-50-1101,http://www.rent-toyota.co.jp/,リース・レンタル,
橋本産業株式会社南陽出張所,999-2221,山形県,南陽市,椚塚1675-4,0238-50-1116,0238-50-1099,http://www.hashimotogp.co.jp/,水道・ガス・電力,
ヤマザワ／南陽店,999-2241,山形県,南陽市,郡山578,0238-50-1122,N.A.,http://yamazawa.co.jp/,コンビニ・スーパー・デパート,
シュープラザ南陽店,999-2211,山形県,南陽市,赤湯3081-1,0238-50-1130,0238-50-1130,http://www.chiyodagrp.co.jp/,靴・かばん・小物,
南陽市役所／教育委員会／社会教育課・中央公民館,999-2211,山形県,南陽市,赤湯791-1,0238-50-1140,0238-50-1139,http://www.city.nanyo.yamagata.jp/,市区町村機関,
ガスト南陽店,999-2211,山形県,南陽市,赤湯2871,0238-50-1141,N.A.,http://www.skylark.co.jp/,レストラン,
株式会社大岸製作所,992-0473,山形県,南陽市,池黒字長表1306-1,0238-27-1177,0238-27-1180,http://www.ohgishi.com/,製造・加工（鉄鋼製品）,
株式会社エヌ・ケー・フローリスト,999-2234,山形県,南陽市,中央東75-1,0238-59-1187,0238-59-1186,http://www.nk-florist.com/,ガーデニング,
エムケイ開発有限会社,999-2211,山形県,南陽市,赤湯2856-1,0238-50-1225,0238-50-1226,http://mk-kaihatsu.net/,不動産,
株式会社武蔵屋グループ総合葬祭専門店むさしセレモニー／むさしセレモニーさくら会館,999-2211,山形県,南陽市,赤湯3315,0238-50-1234,0238-50-1234,http://www.e-musashiya.com/,葬儀,
愛犬の店プ・ドール,999-2222,山形県,南陽市,長岡1952,0238-50-1236,0238-50-1237,http://po-dole.com/,ペット美容室,
株式会社あんしん情報館,999-2241,山形県,南陽市,郡山630-5,0238-50-1250,0238-43-5064,https://anshinjohokan.jp/,証券・保険・商品先物,
かっぱ寿司南陽店,999-2232,山形県,南陽市,三間通1251-1,0238-50-1271,045-224-7401,http://www.kappa-create.co.jp/,中華・中国料理,
宮内まっちゃん薬局,992-0472,山形県,南陽市,宮内4545-1,0238-59-1280,0238-59-1281,http://www.phmirai.co.jp/,薬,
きらやかリース株式会社,999-2211,山形県,南陽市,赤湯823-9,0238-50-1281,0238-50-1282,http://www.kirayaka-l.co.jp/,リース・レンタル,
株式会社ヨークベニマル南陽店,999-2232,山形県,南陽市,三間通1259-1,0238-50-1310,0238-50-1312,http://www.yorkbeni.co.jp/,コンビニ・スーパー・デパート,
ダイナム山形南陽店,999-2211,山形県,南陽市,赤湯川尻2869,0238-50-1323,03-3802-8564,http://www.dynam.jp/top/index.html,屋内遊戯,
南陽市商工会,999-2262,山形県,南陽市,若狭郷屋839-1,050-3385-1358,0238-40-2626,http://www.shokokai-yamagata.or.jp/,組合・団体,
ケアセンターとこしえ二色根,999-2231,山形県,南陽市,二色根73,0238-50-1420,0238-40-3924,http://www.tokoshie.net/,介護・福祉,
株式会社マックハウスイオンタウン南陽店,999-2211,山形県,南陽市,赤湯3051-10,0238-50-1433,N.A.,http://www.mac-house.co.jp/,洋服,
幸楽苑イオンタウン南陽店,999-2211,山形県,南陽市,赤湯3074-1,0238-50-1520,0238-22-1311,http://www.kourakuen.co.jp/,ラーメン,
ガイア南陽店,999-2211,山形県,南陽市,赤湯2929-2,0238-50-1538,N.A.,http://www.gaia-jp.com/,屋内遊戯,
株式会社荘内銀行,999-2211,山形県,南陽市,赤湯2885,0238-50-1570,N.A.,http://www.shonai.co.jp/,金融・郵貯・貸金,
ヤマダ電機テックランド南陽店,999-2211,山形県,南陽市,赤湯3044-1,0238-40-1775,0238-50-1532,http://www.yamada-denki.jp/,家電,
SWS東日本株式会社,992-0473,山形県,南陽市,池黒1182,0238-45-2002,0238-45-3008,http://www.sws-e.co.jp/,製造・加工（輸送機械器具）,
株式会社かわでん／本社・山形工場,999-2203,山形県,南陽市,小岩沢225,0238-49-2011,0238-50-0234,http://www.kawaden.co.jp/,製造・加工（電子・精密機械器具）,
山形河川国道事務所／南陽出張所,999-2232,山形県,南陽市,三間通13-4,0238-43-2011,0238-43-2411,http://www.thr.mlit.go.jp/,官公署,
株式会社杵屋本店,N.A.,山形県,南陽市,宮内2650,0238-47-2014,0238-47-5747,http://www.kineya.co.jp/,食料品,
金田屋魚店,999-2211,山形県,南陽市,赤湯774,0238-43-2014,0238-43-6462,https://www.maruuo.co.jp/ym/,食料品,
株式会社杵屋本店,N.A.,山形県,南陽市,郡山1059-3,0238-43-2023,0238-43-3183,http://www.kineya.co.jp/,食料品,
南陽市ライフル射撃場,999-2204,山形県,南陽市,川樋380,0238-49-2029,03-3481-2392,http://www.riflesports.jp/,スポーツ施設,
清茂登旅館,999-2211,山形県,南陽市,赤湯424-5,0238-43-2039,0238-40-2589,http://samidare.jp/,旅館・民宿,
公文式沖郷教室,999-2262,山形県,南陽市,若狭郷屋862-5,0238-40-2041,N.A.,http://www.kumon.ne.jp/,塾・予備校,
有限会社酒井ワイナリー,999-2211,山形県,南陽市,赤湯980,0238-43-2043,0238-40-3184,http://www.sakai-winery.jp/,製造・加工（食料品）,
サンクス南陽赤湯店,999-2211,山形県,南陽市,赤湯3109-1,0238-49-2051,N.A.,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
有限会社大浦ぶどう酒,999-2211,山形県,南陽市,赤湯312,0238-43-2056,0238-43-2755,http://ourawine.com/,酒・飲料品,
森の湯,999-2211,山形県,南陽市,赤湯548,0238-43-2057,0238-43-6195,http://morinoyu.co.jp/,旅館・民宿,
セブンイレブン／南陽西工業団地前店,992-0474,山形県,南陽市,漆山1105,0238-47-2059,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
南陽市役所／漆山学童保育施設,992-0474,山形県,南陽市,漆山1936,0238-47-2069,0238-40-3242,http://www.city.nanyo.yamagata.jp/,市区町村機関,
喜久一製菓株式会社,999-2241,山形県,南陽市,郡山1083,0238-43-2073,0238-43-6413,http://www.yamagata-kasi.com/,食料品,
有限会社宮内ハム,992-0472,山形県,南陽市,宮内2508,0238-47-2102,0238-47-5543,http://www.office-web.jp/,製造・加工（食料品）,
高島電機株式会社,N.A.,山形県,南陽市,中ノ目字入生免143-3,0238-40-2105,0238-40-3036,http://www.takashima-denki.co.jp/,製造・加工（電子・精密機械器具）,
宮城興業株式会社／はぎ荘,992-0472,山形県,南陽市,宮内2200,0238-45-2108,0238-45-3015,http://www.miyagikogyo.co.jp/,製造・加工（衣料関連）,
工藤建材店,999-2211,山形県,南陽市,赤湯809,0238-43-2108,0238-40-3141,http://www14.plala.or.jp/,製造・加工（建築資材）,
ヤマザワ／宮内店,992-0472,山形県,南陽市,宮内2453-2,0238-45-2111,0238-45-2112,http://yamazawa.co.jp/,コンビニ・スーパー・デパート,
南陽市役所／火災情報テレホン,999-2232,山形県,南陽市,三間通445-2,0238-49-2119,0238-40-3242,http://www.city.nanyo.yamagata.jp/,情報提供サービス,
桜井歯科医院,999-2232,山形県,南陽市,三間通139-5,0238-43-2125,0238-43-5770,http://www.dental-sakurai.com/,歯科系,
山形新聞宮内専売所,992-0472,山形県,南陽市,宮内2416-36,0238-47-2126,0238-47-6580,http://yamagata-np.jp/,映画・放送・新聞,
株式会社赤湯観光タクシー,999-2211,山形県,南陽市,赤湯825番地,0238-43-2140,0238-43-2141,http://www.akayukankotaxi.com/,運送・貨物・倉庫,
菊地運輸株式会社,992-0473,山形県,南陽市,池黒字前田593-11,0238-45-2151,0238-45-2152,http://kikuchiunyu.co.jp/,運送・貨物・倉庫,
南陽市役所／赤湯温泉事務所,999-2211,山形県,南陽市,赤湯482-1,0238-43-2156,0238-43-2156,http://www.city.nanyo.yamagata.jp/,観光・温泉・銭湯,
