▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
社団法人富岡労働基準協会,979-1112,福島県,双葉郡富岡町,中央2丁目25,0240-22-0033,0240-22-5479,http://www.kitakatakyoukai.or.jp/,組合・団体,
株式会社ダイユーエイト富岡店,979-1151,福島県,双葉郡富岡町,大字本岡字新夜ノ森561,0240-21-0188,N.A.,http://www.daiyu8.co.jp/,生活用品,
医療法人社団ときわ会富岡クリニック,979-1151,福島県,双葉郡富岡町,大字本岡字本町36,0240-21-0333,N.A.,http://www.tokiwa.or.jp/,医院・診療所・療養所,
リジョイスとみおか,979-1112,福島県,双葉郡富岡町,中央2丁目101,0240-22-0378,0240-23-5780,http://www.yuaikai.net/,介護・福祉,
株式会社ヰセキ東北,N.A.,福島県,双葉郡富岡町,大字本岡字王塚581-1,0240-22-0609,0240-22-0624,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
フジモールド工業株式会社,979-1101,福島県,双葉郡富岡町,小良ヶ浜字深谷311-3,0240-22-0831,0240-22-0891,http://fuji-mold.jp/,製造・加工（金属製品）,
日検エンジニアリング株式会社,979-1152,福島県,双葉郡富岡町,本町1丁目46,0240-22-0857,0240-22-0860,http://www.nikken-eng.co.jp/,その他サービス,
愛成園,979-1151,福島県,双葉郡富岡町,大字本岡字本町西632-1,0240-22-0927,0240-22-0978,http://www.yuaikai.net/,介護・福祉,
福島民友新聞社富岡支局,979-1152,福島県,双葉郡富岡町,本町1丁目10,0240-22-1042,0240-22-1080,http://www.minyu-net.com/,映画・放送・新聞,
株式会社中村塗装店福島営業所,979-1151,福島県,双葉郡富岡町,大字本岡字王塚590-18,0240-22-1104,0240-22-1065,http://www.nakamura-p.co.jp/,製造・加工（装置・設備）,
株式会社福島情報処理センター,979-1152,福島県,双葉郡富岡町,本町1-51木村管工ビル3階,0240-21-1180,0240-21-1184,http://www.fic.co.jp/,IT・情報通信,
有限会社ホテルひさご,979-1112,福島県,双葉郡富岡町,中央1丁目182,0240-22-1188,0240-22-1190,http://businesshotelpro.info/,旅館・民宿,
マクドナルド富岡トムトム店,979-1111,福島県,双葉郡富岡町,大字小浜字中央416,0240-21-1311,0240-21-1314,http://www.mcdonalds.co.jp/,ファーストフード,
株式会社丸東,979-1151,福島県,双葉郡富岡町,大字本岡字王塚646-1,0240-22-1471,0240-22-1088,http://marutou010.com/,総合・職別工事業,
株式会社東工業,979-1151,福島県,双葉郡富岡町,大字本岡字新夜ノ森565-1,0240-22-1550,0240-22-4300,http://www.higashi-t.com/,製造・加工（工作機械・一般機械器具）,
コナカ双葉富岡店,979-1151,福島県,双葉郡富岡町,大字本岡字新夜ノ森567,0240-21-1661,N.A.,http://www.konaka.co.jp/,洋服,
株式会社カナモト,979-1151,福島県,双葉郡富岡町,大字本岡字王塚673番地4,0240-21-1677,0240-21-1701,http://www.kanamoto.co.jp/,リース・レンタル,
財団法人福島県体育協会浜通り広域スポーツセンター,979-1111,福島県,双葉郡富岡町,大字小浜字中央474,0240-21-1711,0240-21-1712,http://www.sports-fukushima.or.jp/,スポーツ施設,
大和工業株式会社,979-1161,福島県,双葉郡富岡町,字夜の森南3丁目52-1,0240-22-1786,N.A.,http://www.yamatokogyo.co.jp/,家電,
みどり化学株式会社,979-1131,福島県,双葉郡富岡町,上郡山太田364,0240-22-1811,0240-22-1812,http://www.midori-kagaku.co.jp/,製造・加工（化学・プラスチック）,
株式会社ツルハツルハドラッグ富岡店,979-1151,福島県,双葉郡富岡町,大字本岡字新夜ノ森523,0240-21-1877,0240-32-0045,http://www.tsuruha.co.jp/,薬,
株式会社ハウスビューティーL富岡店,979-1121,福島県,双葉郡富岡町,大字仏浜字西原1,0240-21-1881,0240-21-1882,http://www.housebeauty-l.com/,住まいのクリーニング,
わたなべ法務事務所,979-1151,福島県,双葉郡富岡町,大字本岡字関ノ前163-4,0240-22-1919,0246-88-1819,http://www.watanabe-houmu.net/,士業・コンサルタント,
宝泉寺,979-1151,福島県,双葉郡富岡町,大字本岡字王塚451,0240-22-2086,0240-22-2298,http://housenji.web.fc2.com/,宗教,
株式会社福島銀行／富岡支店,979-1112,福島県,双葉郡富岡町,中央1丁目140,0240-22-2161,N.A.,http://www.fukushimabank.co.jp/,金融・郵貯・貸金,
大東銀行富岡支店,979-1152,福島県,双葉郡富岡町,本町2丁目36-1,0240-22-2165,0240-35-5115,http://www.daitobank.co.jp/,金融・郵貯・貸金,
富岡自動車学校,979-1171,福島県,双葉郡富岡町,大字大菅字川田195,0240-22-2470,0240-22-6458,http://www.jidousyagakko.com/,資格,
東洋学園,979-1171,福島県,双葉郡富岡町,大字大菅字蛇谷須79,0240-22-2537,0240-22-3731,http://ffk.jp/,介護・福祉,
株式会社木内計測福島営業所,979-1112,福島県,双葉郡富岡町,中央2丁目115,0240-22-2700,0240-22-5005,http://www.kiuchi-ins.co.jp/,家電,
有限会社大原本店,979-1112,福島県,双葉郡富岡町,中央1-62,0240-22-3032,0240-22-3350,http://ohhara-honten.ftw.jp/,洋服,
株木建設株式会社,979-1131,福島県,双葉郡富岡町,大字上郡山字太田713,0240-25-3112,N.A.,http://www.kabuki.co.jp/,建設業・工務店,
株式会社東邦銀行富岡支店,979-1111,福島県,双葉郡富岡町,大字小浜字中央262,0240-22-3116,024-522-5624,http://www.tohobank.co.jp/,金融・郵貯・貸金,
あぶくま信用金庫／富岡支店,979-1112,福島県,双葉郡富岡町,中央1丁目33,0240-22-3161,N.A.,http://www.abukuma.co.jp/,金融・郵貯・貸金,
セブンイレブン／富岡夜ノ森店,979-1151,福島県,双葉郡富岡町,大字本岡字新夜ノ森351,0240-22-3303,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
南双葉青年会議所,979-1111,福島県,双葉郡富岡町,大字小浜字大膳町1,0240-22-3322,0240-22-1817,http://www.jc737.net/,組合・団体,
双葉地方土地開発公社,979-1111,福島県,双葉郡富岡町,小浜553-1,0240-22-3333,0240-22-4076,http://www.futabashobohonbu.jp/,不動産,
富岡ゴルフ練習場,979-1131,福島県,双葉郡富岡町,大字上郡山字太田1-1,0240-22-3863,N.A.,http://www.golf-p.net/,ゴルフ,
セコム株式会社富岡事務所,979-1112,福島県,双葉郡富岡町,中央1丁目40,0240-22-3875,N.A.,https://www.secom.co.jp/,アウトソーシング,
山九プラントテクノ株式会社福島事業所,979-1151,福島県,双葉郡富岡町,大字本岡字新夜ノ森215-2,0240-22-3903,0240-22-4416,http://www.sankyuplant.co.jp/,リフォーム,
わたなべ動物病院／産業動物,979-1161,福島県,双葉郡富岡町,字夜の森南5丁目10,0240-22-3943,N.A.,http://www.pethospital.jp/,動物病院・獣医師,
双葉地方農業共済組合,979-1132,福島県,双葉郡富岡町,大字下郡山字真壁326,0240-22-4111,N.A.,http://www.fukushima-nosainet.jp/,組合・団体,
福島県立富岡高等学校,979-1111,福島県,双葉郡富岡町,大字小浜字中央632,0240-22-4141,0240-22-6284,http://www.tomioka-h.fks.ed.jp/,小・中・高・大学等,
平田バルブ工業株式会社,979-1131,福島県,双葉郡富岡町,大字上郡山字清水232,0240-22-4483,0240-22-4158,http://www.hvi.co.jp/,製造・加工（工作機械・一般機械器具）,
公文式富岡教室,979-1112,福島県,双葉郡富岡町,中央2丁目16,0240-22-4503,N.A.,http://www.kumon.ne.jp/,塾・予備校,
新日本空調株式会社,979-0622,福島県,双葉郡富岡町,大字毛萱字前川原596,0240-25-4611,N.A.,http://www.snk.co.jp/,空調,
セントランス株式会社福島事業所,979-1112,福島県,双葉郡富岡町,中央2丁目29,0240-22-4681,0240-22-4682,http://www.centrans.co.jp/,建設業・工務店,
マグナ通信工業株式会社,979-1152,福島県,双葉郡富岡町,本町1丁目66番地,0240-22-5065,0240-22-5066,http://www.magna.co.jp/,建設業・工務店,
富岡土木事務所,979-1111,福島県,双葉郡富岡町,小浜553-2,0240-22-5121,0240-23-6607,http://www.pref.fukushima.lg.jp/,都道府県機関,
株式会社木村管工,979-1152,福島県,双葉郡富岡町,本町1-52,0240-22-5156,0240-22-5478,http://www.kimura-kanko.co.jp/,設備工事業,
株式会社カナエ福島支店,979-1112,福島県,双葉郡富岡町,中央2丁目45,0240-22-5341,03-3432-5538,http://www.kanae.co.jp/,商社・貿易,
株式会社レンタルのニッケン,979-1131,福島県,双葉郡富岡町,上郡山字太田526-7,0240-22-5526,0240-22-5596,http://www.rental.co.jp/,製造・加工（工作機械・一般機械器具）,
きくち薬局ヨークベニマル富岡店,979-1111,福島県,双葉郡富岡町,大字小浜字中央416,0240-22-5612,N.A.,http://www.yorkbeni.co.jp/,薬,
リベラルパークホテル,979-1151,福島県,双葉郡富岡町,大字本岡字上本町578,0240-22-5621,0240-22-6144,http://www.accordiagolf.com/,ゴルフ,
株式会社東北エンタープライズ,979-1111,福島県,双葉郡富岡町,大字小浜字大膳町119-3,0240-22-5963,0240-22-5630,http://www.tohoku-enterprise.com/,その他サービス,
株式会社アトックス／福島事務所,979-1131,福島県,双葉郡富岡町,大字上郡山字太田229,0240-22-6066,03-3453-3821,http://www.atox.co.jp/,家電,
アトム,979-1112,福島県,双葉郡富岡町,中央2丁目69-2,0240-22-6116,N.A.,http://www.atom-corp.co.jp/,中華・中国料理,
東北労働金庫／富岡支店,979-1152,福島県,双葉郡富岡町,本町1丁目60,0240-22-6200,0240-22-6565,http://www.tohoku-rokin.or.jp/,金融・郵貯・貸金,
あぶくま信用金庫／夜の森支店,979-1151,福島県,双葉郡富岡町,大字本岡字新夜ノ森84-5,0240-22-6321,0240-21-0186,http://www.abukuma.co.jp/,金融・郵貯・貸金,
ローソン富岡上手岡店,979-1141,福島県,双葉郡富岡町,大字上手岡字日南郷6,0240-22-6326,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
東北エンジニアリング株式会社,979-1151,福島県,双葉郡富岡町,本岡字清水前152-2,0240-22-6344,N.A.,http://www.te109.co.jp/,製造・加工（工作機械・一般機械器具）,
