▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社いわきマシン広野営業所,979-0402,福島県,双葉郡広野町,大字下北迫字岩沢31-72,0240-28-0121,0240-28-0122,http://iwaki-machine.jp/,販売・卸（工作機械・一般機械器具）,
幸栄建設株式会社,N.A.,福島県,双葉郡広野町,上北迫字石名坂49-2,0240-28-0280,N.A.,http://koei-h.co.jp/,建設業・工務店,
喜美運送株式会社広野物流センター,979-0401,福島県,双葉郡広野町,大字上北迫字堂の原7-8,0240-28-0443,0246-96-6374,http://www.yoshimiunso.com/,運送・貨物・倉庫,
バリュー・ザ・ホテル広野,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢29,0240-28-0567,0240-28-0568,http://www.valuethehotel.jp/,ホテル・ペンション,
よか宿稲村屋,979-0401,福島県,双葉郡広野町,大字上北迫字二ツ沼14-19,0240-27-1737,0240-25-8646,http://inamuraya.com/,旅館・民宿,
花ぶさ苑,979-0402,福島県,双葉郡広野町,大字下北迫字東町211-2,0240-27-1755,0240-27-1141,http://hanabusa-en.com/,介護・福祉,
広野町役場,979-0402,福島県,双葉郡広野町,大字下北迫字苗代替35,0240-27-2111,0240-27-4167,http://www.town.hirono.fukushima.jp/,市区町村機関,
あぶくま信用金庫広野支店,979-0403,福島県,双葉郡広野町,大字下浅見川字築地22-1,0240-27-2121,0240-27-3330,http://www.abukuma.co.jp/,金融・郵貯・貸金,
株式会社顕幸,979-0404,福島県,双葉郡広野町,折木字関の上21,0240-27-2381,0240-27-2381,https://mkenko.jp/,その他サービス,
目の湯真砂屋,979-0404,福島県,双葉郡広野町,大字折木字南沢299-2,0240-27-2403,0240-27-4285,http://www7.plala.or.jp/,旅館・民宿,
株式会社ガイアートT・K／福島合材工場,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢1-24,0240-27-2530,03-5261-9220,http://www.gaeart.com/,総合・職別工事業,
株式会社ガイアートT・K／福島営業所,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢1-24,0240-27-2557,0240-27-2532,http://www.gaeart.com/,総合・職別工事業,
株式会社プリント電子研究所広野工場,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢1-12,0240-27-2641,0240-27-4282,http://www.pdk21.com/,製造・加工（電子・精密機械器具）,
株式会社広野製作所,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢1-15,0240-27-2662,0240-27-2143,http://www.hironoss.com/,製造・加工（輸送機械器具）,
広野町立／広野小学校,979-0408,福島県,双葉郡広野町,中央台3丁目1,0240-27-2722,0240-27-4041,http://hironochuweb.blog.fc2.com/,小・中・高・大学等,
広野町社会福祉協議会,979-0408,福島県,双葉郡広野町,中央台1丁目4-1,0240-27-2789,0240-27-4537,http://www.fukushimakenshakyo.or.jp/,介護・福祉,
株式会社下村電友舎製作所,979-0401,福島県,双葉郡広野町,岩沢1-38,0240-27-2866,0240-27-2867,http://www.shimomuradenyu.co.jp/,製造・加工（化学・プラスチック）,
高野病院,979-0402,福島県,双葉郡広野町,大字下北迫字東町214,0240-27-2901,0240-27-2286,http://takano-hosp.jp/,内科系,
東京電力株式会社広野火力発電所,979-0402,福島県,双葉郡広野町,大字下北迫字二ツ沼58,0240-27-3111,N.A.,http://www.tepco.co.jp/index-j.html,水道・ガス・電力,
ふたば農業協同組合広野支店,979-0402,福島県,双葉郡広野町,大字下北迫字苗代替1-1,0240-27-3131,0240-27-3133,http://ww1.ja-futaba.com/,組合・団体,
折木の湯つるや旅館,979-0404,福島県,双葉郡広野町,大字折木字南沢134,0240-27-3161,0240-27-3162,http://www.dom.ne.jp/,旅館・民宿,
広野町立広野中学校,979-0403,福島県,双葉郡広野町,大字下浅見川字築地12,0240-27-3224,0240-27-4231,http://hironochuweb.blog.fc2.com/,小・中・高・大学等,
日本化学産業株式会社,979-0402,福島県,双葉郡広野町,大字下北迫字岩沢31-61,0240-27-3347,0240-27-2273,http://www.nihonkagakusangyo.co.jp/,製造・加工（化学・プラスチック）,
三浦工業所,979-0401,福島県,双葉郡広野町,大字上北迫字二本椚112-36,0240-27-3949,0240-27-3949,http://www.miuraz.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社メイコー,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢1-2,0240-27-3970,N.A.,http://www.meiko-elec.com/,製造・加工（電子・精密機械器具）,
株式会社大和田測量設計,979-0406,福島県,双葉郡広野町,上浅見川字山崎50-4,0240-27-4151,N.A.,http://www.geo999.com/,相談・調査,
富士フイルムファインケミカルズ株式会社,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢1-34,0240-27-4171,0240-27-3505,http://ffwk.fujifilm.co.jp/,製造・加工（化学・プラスチック）,
株式会社クラタ耐火物,979-0402,福島県,双葉郡広野町,大字下北迫字下大吹28,0240-27-4383,0240-27-4230,http://kurata-taikabutsu.co.jp/,製造・加工（窯業・土石）,
南双葉青年会議所,979-0403,福島県,双葉郡広野町,大字下浅見川字桜田40,0240-25-8891,0240-25-8893,http://www.jc737.net/,組合・団体,
株式会社エイブル,979-0401,福島県,双葉郡広野町,大字上北迫字岩沢1-9,0240-25-8996,0240-25-8997,http://www.able.co.jp/,総合・職別工事業,
