▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
Jヴィレッジ,979-0513,福島県,双葉郡楢葉町,大字山田岡字美し森8,0240-26-0111,0240-26-0112,http://www.J-VILLAGE.jp/,サッカー,
株式会社レンタルのニッケン楢葉営業所,979-0513,福島県,双葉郡楢葉町,大字山田岡字仲丸1-13,0240-26-0660,03-5512-7548,http://www.rental.co.jp/,リース・レンタル,
株式会社同仁社,979-0513,福島県,双葉郡楢葉町,大字山田岡字仲丸1番地35号,0240-26-0677,0240-26-0678,http://www.dojinsha.jp/,その他サービス,
有限会社浜通り交通,979-0606,福島県,双葉郡楢葉町,大字上繁岡字小六郎39-10,0240-25-1092,0240-25-1093,http://hamakobus.com/,交通機関,
株式会社ダンレイ,N.A.,福島県,双葉郡楢葉町,大字山田岡字仲丸1-122楢葉南工業団地,0240-26-1161,0240-26-1165,http://www.danle.co.jp/,製造・加工（工作機械・一般機械器具）,
有限会社ウインズトラベル,979-0515,福島県,双葉郡楢葉町,大字上小塙字中川原29-1,0240-26-1323,0246-38-6168,http://www.wins-gp.jp/,旅行業・代理店,
セブンイレブン／楢葉下小塙店,979-0514,福島県,双葉郡楢葉町,大字下小塙字四斗蒔15-2,0240-25-1505,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
公文式竜田駅前教室,979-0603,福島県,双葉郡楢葉町,大字井出字木屋126,0240-25-2001,N.A.,http://www.kumon.ne.jp/,塾・予備校,
楢葉町役場,979-0604,福島県,双葉郡楢葉町,大字北田字鐘突堂5-6,0240-25-2111,0240-25-5564,http://www.naraha.net/,市区町村機関,
双葉地方広域市町村圏組合富岡消防署楢葉分署,979-0513,福島県,双葉郡楢葉町,大字山田岡字仲丸1-110,0240-25-2119,0240-25-2148,http://www.futaba-koiki.jp/,消防・警察,
いわき信用組合楢葉支店,979-0514,福島県,双葉郡楢葉町,大字下小塙字広畑14-1,0240-25-2121,N.A.,http://www.iwaki-shinkumi.com/,金融・郵貯・貸金,
鈴木自工株式会社,979-0606,福島県,双葉郡楢葉町,大字上繁岡字小六郎86-5,0240-25-2125,0240-25-5757,http://park15.wakwak.com/,車検・整備・修理,
クレステージカントリークラブ／予約,979-0605,福島県,双葉郡楢葉町,大字大谷字北林1-20,0240-25-2201,0240-25-3768,http://www.crestage.net/,ゴルフ,
有限会社がんたら,979-0514,福島県,双葉郡楢葉町,大字下小塙字府ノ内1,0240-25-2202,0240-25-2273,http://gantara.com/,食料品,
大楽院,979-0603,福島県,双葉郡楢葉町,大字井出字谷地36,0240-25-2434,0240-25-4808,http://dairakuin.net/,宗教,
神電設備工業株式会社,979-0606,福島県,双葉郡楢葉町,大字上繁岡字小六郎37-14,0240-25-2484,0240-25-3277,http://www.sinden.co.jp/,家電,
やぶそば,979-0605,福島県,双葉郡楢葉町,大字大谷字鐘突堂9-1,0240-25-2577,03-3258-0684,http://www.yabusoba.net/,そば・うどん,
加藤建設株式会社,979-0603,福島県,双葉郡楢葉町,井出字八石83,0240-25-2818,0240-25-2819,http://www.kato-kensetu.co.jp/,総合・職別工事業,
株式会社ネクスト情報はましん,N.A.,福島県,双葉郡楢葉町,大字山田浜,0240-25-3107,N.A.,http://www.next-hamashin.co.jp/,IT・情報通信,
