▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
公文式浪江中央教室,979-1521,福島県,双葉郡浪江町,大字権現堂字東住寺40-1,0240-35-0006,N.A.,http://www.kumon.ne.jp/,塾・予備校,
有限会社プレステージ,979-1531,福島県,双葉郡浪江町,川添字蔵前28,0240-24-0009,0240-24-0010,http://www.prestigesoftwaretools.net/,IT・情報通信,
手塚クリニック,979-1513,福島県,双葉郡浪江町,大字幾世橋字来福寺西6-1,0240-24-0088,0240-24-0078,http://www.tezukaclinic.jp/,内科系,
株式会社ナプロフクシマ,979-1525,福島県,双葉郡浪江町,大字高瀬字小高瀬迫189番2号,0240-35-0100,0240-24-0007,http://www.naproparts.com/,その他サービス,
株式会社ツルハツルハドラッグ浪江店,979-1513,福島県,双葉郡浪江町,大字幾世橋字斉藤屋敷58-2,0240-24-0330,0240-24-0330,http://www.tsuruha.co.jp/,薬,
ローソン／浪江高瀬店,979-1525,福島県,双葉郡浪江町,大字高瀬字堀内150,0240-34-1070,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
浪江ロータリークラブ,979-1525,福島県,双葉郡浪江町,大字高瀬字原田2,0240-34-1717,N.A.,http://namierc.org/,組合・団体,
浪江町立／津島中学校,979-1756,福島県,双葉郡浪江町,大字下津島字萱深1,0240-36-2007,N.A.,http://www.futaba.ne.jp/,小・中・高・大学等,
世紀東急工業株式会社,979-1531,福島県,双葉郡浪江町,大字川添字清信3-2,0240-34-2099,N.A.,http://www.seikitokyu.co.jp/,建設業・工務店,
福島民友新聞社浪江支局,979-1521,福島県,双葉郡浪江町,大字権現堂字矢沢町68-1,0240-34-2110,0240-34-2125,http://www.minyu-net.com/,映画・放送・新聞,
浪江町役場,979-1513,福島県,双葉郡浪江町,大字幾世橋字六反田7-2,0240-34-2111,0240-34-5714,http://www.town.namie.fukushima.jp/,市区町村機関,
ホテル行人荘,979-1521,福島県,双葉郡浪江町,大字権現堂字御殿南7,0240-35-2121,0240-35-2123,http://www.koujinso.co.jp/,ホテル・ペンション,
有限会社柴栄水産,979-1522,福島県,双葉郡浪江町,大字請戸字川原11,0240-34-2155,0240-34-4811,http://www.shibaei.co.jp/,食料品,
株式会社東邦銀行浪江支店,979-1521,福島県,双葉郡浪江町,大字権現堂字新町71-1,0240-34-2166,0240-34-5183,http://www.tohobank.co.jp/,金融・郵貯・貸金,
あぶくま信用金庫浪江支店,979-1521,福島県,双葉郡浪江町,大字権現堂字新町33,0240-35-2171,N.A.,http://www.abukuma.co.jp/,金融・郵貯・貸金,
旭屋,979-1521,福島県,双葉郡浪江町,大字権現堂字上柳町11,0240-35-2217,024-983-7229,http://asahiyamen.com/,食料品,
車検のコバック浪江店,979-1513,福島県,双葉郡浪江町,大字幾世橋字田中前13-1,0240-35-2268,N.A.,http://www.kobac.co.jp/,車検・整備・修理,
つしまのとくさん,979-1754,福島県,双葉郡浪江町,大字南津島字大柳53-1,0240-37-2300,0240-37-2300,http://www16.plala.or.jp/,旅館・民宿,
半谷写真舘,979-1521,福島県,双葉郡浪江町,大字権現堂字新町12-5,0240-35-2318,0240-35-5505,http://www.hangai.com/,広告・マーケティング,
浪江町立／請戸小学校,979-1522,福島県,双葉郡浪江町,大字請戸字持平56,0240-35-2336,N.A.,http://mrmiti5.com/,小・中・高・大学等,
株式会社鈴木酒造店,979-1522,福島県,双葉郡浪江町,請戸東向10,0240-35-2337,0240-35-3107,http://www.iw-kotobuki.co.jp/,製造・加工（食料品）,
寿し松,979-1521,福島県,双葉郡浪江町,大字権現堂字下蔵役目3-2,0240-35-2424,029-875-7676,http://www.susimatu.jp/,すし,
ふたば自動車学校,979-1525,福島県,双葉郡浪江町,大字高瀬字小高瀬迫198-3,0240-34-2535,0240-35-3650,http://www.jidousyagakko.com/,資格,
アスナロ幼稚園,979-1513,福島県,双葉郡浪江町,大字幾世橋字田中前68,0240-35-2539,0240-35-2585,http://www.youchien.net/,幼稚園・保育施設,
