▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
社会福祉法人古平福祉会／地域住民活性化ステーション結・寿味,046-0121,北海道,古平郡古平町,大字浜町15-1,0135-41-2050,0135-41-2051,http://marinhausu-hurubira.com/,介護・福祉,
野村養殖場,046-0121,北海道,古平郡古平町,大字浜町43,0135-42-2075,0135-42-2123,http://www.ne.jp/,水産業,
港寿し,046-0112,北海道,古平郡古平町,大字新地町23,0135-42-2101,0135-42-2101,http://www.tarako.com/,すし,
株式会社よ吉野,046-0121,北海道,古平郡古平町,浜町467-7,0135-42-2114,0135-42-3591,http://www.yojirushi-yoshino.com/,製造・加工（食料品）,
小樽掖済会病院付属古平診療所,046-0121,北海道,古平郡古平町,大字浜町644-1,0135-42-2125,0134-25-3408,http://www.otaru-ekisaikai.jp/,医院・診療所・療養所,
つばめタクシー,046-0112,北海道,古平郡古平町,大字新地町5,0135-42-2131,N.A.,http://tubame--taxi.com/,タクシー,
有限会社福徳商事,046-0113,北海道,古平郡古平町,港町3,0135-42-2153,0135-42-2766,http://fukutsugumi.co.jp/,不動産・賃貸,
新家寿司,046-0112,北海道,古平郡古平町,大字新地町13,0135-42-2303,0135-42-3583,http://www.furubirashinyasushi.com/,レストラン,
清水鮮魚店,046-0112,北海道,古平郡古平町,大字新地町53,0135-42-2322,0135-42-3151,http://www.tarako.com/,食料品,
岩間工業株式会社,046-0103,北海道,古平郡古平町,大字本町42,0135-42-2326,0135-42-4312,http://iwama-kougyou.com/,総合・職別工事業,
株式会社カネト水産,046-0104,北海道,古平郡古平町,大字入船町63,0135-42-2330,0135-42-3153,http://www.kanetosuisan.net/,製造・加工（食料品）,
有限会社田中商店,046-0121,北海道,古平郡古平町,大字浜町74,0135-42-2359,0135-42-2374,http://www.tanakasyouten.net/,食料品,
北海信用金庫／浜町代理店,046-0121,北海道,古平郡古平町,大字浜町93,0135-42-2371,0135-42-3744,http://www.shinkin.co.jp/,金融・郵貯・貸金,
東しゃこたん漁業協同組合／生産部,046-0113,北海道,古平郡古平町,大字港町437-2,0135-42-2518,0135-42-3916,http://www.higashi-syakotangyokyou.com/,組合・団体,
北海信用金庫／古平支店,046-0112,北海道,古平郡古平町,大字新地町21,0135-42-2545,0135-42-3480,http://www.shinkin.co.jp/,金融・郵貯・貸金,
有限会社古平造船所,046-0113,北海道,古平郡古平町,大字港町424,0135-42-2737,0135-42-2791,http://www.fzm.jp/,製造・加工（輸送機械器具）,
まりんはうすふるびら,046-0132,北海道,古平郡古平町,大字歌棄町14-5,0135-41-2820,0135-41-2821,http://marinhausu-hurubira.com/,レストラン,
社会福祉法人古平福祉会／地域生活総合支援センターいこいの家／生活・就労支援センター自立の家,046-0132,北海道,古平郡古平町,大字歌棄町204,0135-42-2936,0135-42-2938,http://www.reimeinosato.jp/,介護・福祉,
平田牧場古平養豚場,046-0121,北海道,古平郡古平町,大字浜町,0135-42-3915,0135-42-2523,http://www.hiraboku.info/,農業,
社会福祉法人古平福祉会,046-0132,北海道,古平郡古平町,大字歌棄町204-9,0135-42-4161,0135-42-4162,http://www.reimeinosato.jp/,介護・福祉,
社会福祉法人古平福祉会／きょうどう,046-0132,北海道,古平郡古平町,大字歌棄町204-5,0135-42-4171,0135-42-4174,http://www.reimeinosato.jp/,介護・福祉,
社会福祉法人古平福祉会／みっくすベジタ,046-0132,北海道,古平郡古平町,大字歌棄町204-20,0135-42-4186,0135-42-4173,http://www.reimeinosato.jp/,介護・福祉,
社会福祉法人古平福祉会／地域生活総合支援センターいこいの家／いこいの家ミニマート・和,046-0132,北海道,古平郡古平町,大字歌棄町204,0135-42-4300,0135-42-4162,http://www.reimeinosato.jp/,介護・福祉,
社会福祉法人古平福祉会／地域生活総合支援センターいこいの家／つどい・グッドケア,046-0132,北海道,古平郡古平町,大字歌棄町204,0135-42-4307,0135-42-4314,http://www.reimeinosato.jp/,介護・福祉,
社会福祉法人古平福祉会／地域生活総合支援センターいこいの家／保健支援ステーション,046-0132,北海道,古平郡古平町,大字歌棄町204,0135-42-4336,0135-42-4162,http://www.reimeinosato.jp/,介護・福祉,
社会福祉法人古平福祉会／共働の家,046-0132,北海道,古平郡古平町,大字歌棄町204-9,0135-42-4500,0135-42-4501,http://www.reimeinosato.jp/,介護・福祉,
