▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
アイメガネ古河東口駅前店コンタクトレンズセンター,306-0013,茨城県,古河市,東本町1丁目2-6,0280-33-0001,N.A.,http://www.aimegane.com/,生活用品,
メモリアルホールわたらせ,306-0026,茨城県,古河市,原111,0280-48-0001,0280-48-4888,http://m-watarase.net/,葬儀,
三和郵便局／郵便配達,306-0125,茨城県,古河市,仁連1914,0280-76-0001,0280-76-5487,http://www.post.japanpost.jp/,金融・郵貯・貸金,
株式会社渡辺本家倉庫本社,306-0122,茨城県,古河市,上和田5-3,0280-77-0003,N.A.,http://www.honke-soko.co.jp/,引越,
古河市立／八俣小学校,306-0112,茨城県,古河市,東山田1814,0280-78-0009,0280-78-3822,http://www.koganet.ne.jp/,小・中・高・大学等,
フライング・ガーデン／古河店,306-0013,茨城県,古河市,東本町4丁目2150-1,0280-30-0011,N.A.,http://www.fgarden.co.jp/,レストラン,
有限会社森ファームサービス,306-0128,茨城県,古河市,上片田1224-2,0280-77-0011,0280-77-1335,http://www.morifarm.co.jp/,食料品,
明石屋本店,306-0022,茨城県,古河市,横山町1丁目10-44,0280-22-0012,0280-22-0012,http://akashiya-honten.com/,お菓子・スイーツ,
株式会社アイセイ薬局,N.A.,茨城県,古河市,東牛谷825-3,0280-98-0015,N.A.,http://www.aisei.co.jp/,製造・加工（医療・薬関連）,
有限会社ミトベ写真館,306-0033,茨城県,古河市,中央町1-2-23,0280-22-0021,0280-22-1993,http://studio-mitobe.com/,写真・ビデオ・スライド,
田村屋甘露煮西口店,306-0033,茨城県,古河市,中央町1丁目1-8,0280-22-0023,0280-22-0045,http://www.koganet.ne.jp/,食料品,
あいおう歯科クリニック,306-0012,茨城県,古河市,旭町1-2-17,0280-30-0028,N.A.,http://aiou.seesaa.net/,医院・診療所・療養所,
イーストセバタ,306-0013,茨城県,古河市,東本町1丁目5-2,0280-32-0032,0280-32-0038,http://www.east-sebata.jp/,アクセサリー,
デザインズスクエア,306-0235,茨城県,古河市,下辺見2644,0280-33-0035,0280-33-8513,http://d-square.jp/,アウトソーシング,
株式会社グッドレイク,306-0226,茨城県,古河市,女沼318-1,0280-93-0035,N.A.,http://www.goodlake.jp/,建設業・工務店,
株式会社ミズヨケ,306-0204,茨城県,古河市,下大野2965-110,0280-91-0039,0280-91-0038,http://www.mizuyoke.co.jp/,リフォーム,
古河市立／諸川小学校,306-0126,茨城県,古河市,諸川1097,0280-76-0039,0280-77-2051,http://www.koganet.ne.jp/,小・中・高・大学等,
古河市立／駒込小学校,306-0121,茨城県,古河市,駒込899-1,0280-76-0041,0280-77-2053,http://www.koganet.ne.jp/,小・中・高・大学等,
株式会社東日本宇佐美千葉茨城販売支店4号古河,306-0052,茨城県,古河市,大山1609-1,0280-48-0044,0280-48-0046,http://www.e-map.ne.jp/,ガソリンスタンド,
