▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
鹿鳴館,377-1614,群馬県,吾妻郡嬬恋村,大字田代1017-92,0279-98-0003,0279-98-0110,http://www.rockmaykan.com/,旅館・民宿,
嬬恋村立／嬬恋中学校,377-1613,群馬県,吾妻郡嬬恋村,大字大笹1654-2,0279-96-0009,0279-96-1390,http://www12.wind.ne.jp/,小・中・高・大学等,
真田屋,377-1614,群馬県,吾妻郡嬬恋村,大字田代682,0279-98-0111,0279-98-0950,http://www.burari.biz/,旅館・民宿,
アララギ園,377-1613,群馬県,吾妻郡嬬恋村,大字大笹2148-19,0279-96-0119,0279-96-0119,http://araragien.web.fc2.com/,ガーデニング,
有限会社古澤建築,N.A.,群馬県,吾妻郡嬬恋村,田代1298-2,0279-98-0143,0279-98-0177,http://www.smile-furusawa.com/,建設業・工務店,
郵便局株式会社,377-1611,群馬県,吾妻郡嬬恋村,干俣1639-1,0279-96-0228,N.A.,http://map.japanpost.jp/,その他サービス,
有限会社ボンデール,N.A.,群馬県,吾妻郡嬬恋村,大字田代10171037,0279-98-0230,N.A.,http://kazeno.info/,その他サービス,
黒岩建設株式会社,377-1612,群馬県,吾妻郡嬬恋村,大前72-1,0279-96-0304,0279-96-1506,http://onetech.tec-lab.pref.gunma.jp/,建設業・工務店,
つちや旅館,377-1614,群馬県,吾妻郡嬬恋村,大字田代1017-59,0279-98-0314,0279-98-0591,http://www.mjnet.ne.jp/,旅館・民宿,
有限会社土屋建築,377-1612,群馬県,吾妻郡嬬恋村,大前99,0279-96-0356,N.A.,http://www.111a.co.jp/,総合・職別工事業,
紅葉館,377-1614,群馬県,吾妻郡嬬恋村,大字田代681,0279-98-0421,0279-98-0431,http://www.kazawaonsen.com/,旅館・民宿,
北群馬信用金庫／嬬恋支店,377-1613,群馬県,吾妻郡嬬恋村,大字大笹384-1,0279-96-0421,N.A.,http://www.kitashin-web.co.jp/,金融・郵貯・貸金,
嬬恋村立／干俣小学校,377-1611,群馬県,吾妻郡嬬恋村,大字干俣1313,0279-96-0454,0279-96-1454,http://www8.wind.ne.jp/,小・中・高・大学等,
プチホテルマルシェ,377-1611,群馬県,吾妻郡嬬恋村,大字干俣1724-1,0279-96-0480,0279-96-1394,http://plaza.across.or.jp/,ホテル・ペンション,
休暇村鹿沢高原,377-1614,群馬県,吾妻郡嬬恋村,大字田代1312,0279-98-0511,0279-98-0513,http://www.qkamura.or.jp/,旅館・民宿,
嬬恋村役場／総務課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-0511,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
嬬恋村役場／会計課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-0512,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
嬬恋村役場／税務課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-0513,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
嬬恋村役場／住民福祉課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-0515,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
株式会社群馬グリーン配送,377-1614,群馬県,吾妻郡嬬恋村,田代1018-66,0279-98-0521,0279-98-0525,http://www.gunma-green.co.jp/,運送・貨物・倉庫,
かみつけ信用組合,N.A.,群馬県,吾妻郡嬬恋村,大前771-1,0279-96-0531,N.A.,http://www.skibank.co.jp/,製造・加工（鉄鋼製品）,
嬬恋村役場／教育委員会事務局／学校教育係,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-0544,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
わたらせ,377-1524,群馬県,吾妻郡嬬恋村,大字鎌原1053-39,0279-98-0551,0279-98-0651,http://watarase.s346.xrea.com/,旅館・民宿,
鹿沢キャンピングガーデン,377-1614,群馬県,吾妻郡嬬恋村,大字田代1017-128,0279-98-0588,0279-98-0666,http://www.kazawa-camp.jp/,キャンプ,
五輪観光株式会社,377-1614,群馬県,吾妻郡嬬恋村,田代1017,0279-98-0611,0279-98-0614,http://www.kazawa.com/,旅館・民宿,
鹿沢スノーエリア・ハイランド・カマン,377-1614,群馬県,吾妻郡嬬恋村,大字田代1017-128,0279-98-0615,0279-98-0614,http://www.kazawa.com/,ウィンタースポーツ,
大久保産業株式会社,377-1613,群馬県,吾妻郡嬬恋村,大笹293,0279-96-0821,0279-96-0823,http://www.ookubosangyou.jp/,総合・職別工事業,
群馬県庁／その他機関／農業技術センター／高冷地野菜研究センター,377-1614,群馬県,吾妻郡嬬恋村,大字田代301,0279-96-1011,0279-96-1065,http://www.pref.gunma.jp/,都道府県機関,
美才治運輸株式会社,N.A.,群馬県,吾妻郡嬬恋村,西窪256-12,0279-96-1045,0279-96-1046,http://www.bisaiji.com/,運送・貨物・倉庫,
有限会社嬬恋緑地,377-1613,群馬県,吾妻郡嬬恋村,大字大笹3449-136,0279-96-1052,0279-96-1052,http://www.karuizawa-ueki.com/,ガーデニング,
花闊歩,377-1524,群馬県,吾妻郡嬬恋村,大字鎌原1054-1268,0279-84-1088,0279-84-1088,http://hanakappo.com/,ホテル・ペンション,
万座プリンスホテル,377-1528,群馬県,吾妻郡嬬恋村,大字干俣万座温泉2401,0279-97-1111,0279-97-3119,http://www.princehotels.co.jp/,ホテル・ペンション,
プチホテルラパン,377-1611,群馬県,吾妻郡嬬恋村,大字干俣2401,0279-96-1122,0279-96-0445,http://www.rapan.net/,ホテル・ペンション,
ドッグバケーション,377-1524,群馬県,吾妻郡嬬恋村,大字鎌原1132-3,0279-97-1154,0279-97-1154,http://www.dog-vacation.jp/,その他ペット関連サービス,
オーベルジュドゥら.ルーナ,377-1611,群馬県,吾妻郡嬬恋村,大字干俣2401,0279-96-1155,0279-96-0891,http://la-luna.com/,その他宿泊施設,
秀和ビルメンテナンス株式会社,377-1611,群馬県,吾妻郡嬬恋村,干俣2401,0279-96-1211,0279-96-1230,https://www.shuwa-blm.com/,ビルメンテナンス,
群北観光バス株式会社,377-1612,群馬県,吾妻郡嬬恋村,大字大前775-13,0279-96-1234,0279-96-1223,http://www5.gunmanet.ne.jp/,交通機関,
嬬恋村役場／上下水道課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-1255,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,水道・ガス・電力,
嬬恋村役場／農林振興課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-1256,0279-96-1979,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
嬬恋村役場／企画財政課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-1257,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
千代田区立嬬恋自然休養村,377-1611,群馬県,吾妻郡嬬恋村,大字干俣2401,0279-96-1280,0279-96-1282,http://hoyou.city.chiyoda.tokyo.jp/,その他宿泊施設,
嬬恋村役場／地域包括支援センター,377-1612,群馬県,吾妻郡嬬恋村,大字大前1100,0279-96-1336,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
嬬恋高原ブルワリー,377-1613,群馬県,吾妻郡嬬恋村,大字大笹2193-27,0279-96-1403,0279-96-1436,http://www.tsumabru.com/,レストラン,
ロッジグリーンフィールド,377-1611,群馬県,吾妻郡嬬恋村,大字干俣2401,0279-96-1413,0279-96-1413,http://lodgegreenfield.ftw.jp/,ホテル・ペンション,
バラギ高原ロッジ,377-1611,群馬県,吾妻郡嬬恋村,大字干俣2401,0279-96-1488,0279-96-149,http://baragi.co.jp/,ホテル・ペンション,
嬬恋村役場／観光商工課,377-1612,群馬県,吾妻郡嬬恋村,大字大前110,0279-96-1515,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
嬬恋村役場／農村環境改善センター,377-1612,群馬県,吾妻郡嬬恋村,大字大前1100,0279-96-1551,0279-96-0516,http://www.vill.tsumagoi.gunma.jp/,市区町村機関,
