▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ベイシア吾妻店,377-0801,群馬県,吾妻郡東吾妻町,大字原町991-1,0279-68-0022,0279-68-0555,http://www.beisia.co.jp/,コンビニ・スーパー・デパート,
あがつま農協／焼肉燦,377-0801,群馬県,吾妻郡東吾妻町,大字原町985-1,0279-68-0033,0279-68-2008,http://www.aganet.or.jp/,組合・団体,
群馬県警察本部／吾妻警察署,377-0801,群馬県,吾妻郡東吾妻町,大字原町21-1,0279-68-0110,0279-68-0110,http://www.police.pref.gunma.jp/,消防・警察,
吾妻広域町村圏振興整備組合／消防本部,377-0801,群馬県,吾妻郡東吾妻町,大字原町35,0279-68-0119,0279-68-5080,http://www.fd-agatsuma.jp/,消防・警察,
hair・Noel,377-0801,群馬県,吾妻郡東吾妻町,大字原町875,0279-68-0121,0279-68-0121,http://www.hair-noel.com/,美容院・理容店・毛髪業,
100円ショップセリア原町店,377-0801,群馬県,吾妻郡東吾妻町,大字原町761-1,0279-68-0288,N.A.,http://www.seria-group.com/,生活用品,
フィッシングパーク深沢,377-0802,群馬県,吾妻郡東吾妻町,大字川戸2095-1,0279-68-0687,N.A.,http://www.fg-waiwai.net/,アウトドア,
株式会社エヌエスケーエコーマーク,377-0802,群馬県,吾妻郡東吾妻町,大字川戸895-3,0279-70-2005,0279-68-5518,http://www.nskechomark.co.jp/,製造・加工（その他）,
東吾妻町立／原町小学校,377-0801,群馬県,吾妻郡東吾妻町,大字原町789,0279-68-2016,0279-68-5493,http://www15.wind.ne.jp/,小・中・高・大学等,
轟木材?,377-0932,群馬県,吾妻郡東吾妻町,大字萩生2884-4,0279-69-2027,0279-69-2035,http://onetech.tec-lab.pref.gunma.jp/,建設業・工務店,
サンワ株式会社,N.A.,群馬県,吾妻郡東吾妻町,川戸1150,0279-68-2033,N.A.,http://www.sanwa-gr.co.jp/,ビルメンテナンス,
東吾妻町立／岩島中学校,377-0815,群馬県,吾妻郡東吾妻町,大字岩下1887,0279-67-2037,0279-67-2585,http://www12.wind.ne.jp/,小・中・高・大学等,
東吾妻町立／岩島小学校,377-0815,群馬県,吾妻郡東吾妻町,大字岩下46,0279-67-2039,N.A.,http://www5.wind.ne.jp/,小・中・高・大学等,
株式会社エヌエスケーエコーマーク／第1工場,377-0802,群馬県,吾妻郡東吾妻町,大字川戸746,0279-70-2070,03-3207-3339,http://www.nskechomark.co.jp/,印刷・出版,
郵便局株式会社,377-0934,群馬県,吾妻郡東吾妻町,須賀尾1208-1,0279-69-2090,N.A.,http://map.japanpost.jp/,その他サービス,
ケンタッキーフライドチキン／原町店,377-0801,群馬県,吾妻郡東吾妻町,大字原町761-2,0279-70-2105,N.A.,https://www.kfc.co.jp/top.html,ファーストフード,
東吾妻町観光協会,377-0801,群馬県,吾妻郡東吾妻町,大字原町594-3,0279-70-2110,0279-68-4800,http://www.tohgoku.or.jp/,観光・温泉・銭湯,
東吾妻町役場,377-0801,群馬県,吾妻郡東吾妻町,大字原町594-3,0279-68-2111,0279-68-4900,http://www1.town.higashiagatsuma.gunma.jp/,市区町村機関,
吾妻太鼓店,377-0811,群馬県,吾妻郡東吾妻町,大字郷原212-1,0279-67-2148,0279-67-2148,http://agatumadaiko.com/,音楽,
株式会社町田電器,377-0802,群馬県,吾妻郡東吾妻町,大字川戸666-1,0279-70-2150,0279-70-2160,http://www.machida-denki.jp/,製造・加工（電子・精密機械器具）,
外丸歯科医院,377-0815,群馬県,吾妻郡東吾妻町,岩下214,0279-67-2155,N.A.,http://www.tomarushika.jp/,歯科系,
有限会社岩井ゴルフ練習場,377-0804,群馬県,吾妻郡東吾妻町,大字岩井45-3,0279-68-2171,N.A.,http://www.golf-p.net/,ゴルフ,
大島運輸株式会社,377-0802,群馬県,吾妻郡東吾妻町,川戸41-1,0279-68-2181,N.A.,http://www.oshima-unyu.co.jp/,運送・貨物・倉庫,
坂東コンクリート工業株式会社,377-0806,群馬県,吾妻郡東吾妻町,大字小泉264-1,0279-68-2185,0279-68-4679,http://www.bando-con.jp/,製造・加工（その他）,
登利平原町店,377-0801,群馬県,吾妻郡東吾妻町,大字原町763-1,0279-70-2200,027-265-5181,http://www.torihei.co.jp/,弁当・宅配,
