▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
草津町役場,377-1711,群馬県,吾妻郡草津町,大字草津28,0279-88-0001,0279-88-0002,http://www.town.kusatsu.gunma.jp/,市区町村機関,
ホテル一井,377-1711,群馬県,吾妻郡草津町,大字草津411,0279-88-0011,0279-88-0111,http://travel.rakuten.co.jp/,旅館・民宿,
はなみづき別館,377-1711,群馬県,吾妻郡草津町,大字草津464-419,0279-88-0083,0279-88-0082,http://www.kusatsu.ne.jp/,旅館・民宿,
シーダーロッジ,377-1711,群馬県,吾妻郡草津町,大字草津557-6,0279-88-0088,0279-88-0339,http://www.cedar-lodge.com/,ホテル・ペンション,
吾妻広域町村圏振興整備組合／西部消防署,377-1711,群馬県,吾妻郡草津町,大字草津449-1,0279-88-0119,0279-88-3137,http://www.fd-agatsuma.jp/,消防・警察,
緑風亭,377-1711,群馬県,吾妻郡草津町,大字草津524-8,0279-88-0131,0279-88-0132,http://www.kusatsu.ne.jp/,旅館・民宿,
夢花,377-1711,群馬県,吾妻郡草津町,大字草津39-1,0279-88-0224,0279-88-0224,http://kusatsu-yumehana.com/,レストラン,
セブンイレブン／群馬草津前口店,377-1712,群馬県,吾妻郡草津町,大字前口4-2,0279-88-0230,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
草津山荘,377-1711,群馬県,吾妻郡草津町,大字草津249-44,0279-88-0279,0279-88-0277,http://www.kusatsu-rotenburo.jp/,旅館・民宿,
草津温泉観光協会,377-1711,群馬県,吾妻郡草津町,大字草津3-9,0279-88-0800,0279-88-0801,http://www.town.kusatsu.gunma.jp/,観光・温泉・銭湯,
草津片岡鶴太郎美術館,377-1711,群馬県,吾妻郡草津町,大字草津513-6,0279-88-1011,0279-88-1013,http://www.kusatsuhotel.com/,博物館・美術館,
草津町社会福祉協議会草津町デイサービス,377-1711,群馬県,吾妻郡草津町,大字草津464-28,0279-88-1065,0279-88-1055,http://www.g-shakyo.or.jp/,介護・福祉,
和風旅館やまもと,377-1711,群馬県,吾妻郡草津町,大字草津1-7,0279-88-1105,0279-88-5091,http://www.k-yamamoto.in/,旅館・民宿,
お宿平の家,377-1711,群馬県,吾妻郡草津町,大字草津121,0279-88-1126,0279-88-1220,http://www.kusatsu-hiranoya1126.com/,喫茶店・カフェ,
季の庭,377-1711,群馬県,吾妻郡草津町,大字草津464-214,0279-89-1158,0279-88-0260,https://www.hotespa.net/resort/,旅館・民宿,
木の葉,377-1711,群馬県,吾妻郡草津町,大字草津464-214,0279-88-1180,0279-88-0260,https://www.hotespa.net/resort/,旅館・民宿,
草津スキークラブ,377-1711,群馬県,吾妻郡草津町,大字草津158,0279-88-1190,0279-88-1190,http://www.kusatsuski.or.jp/,ウィンタースポーツ,
草津温泉・音雅,377-1711,群馬県,吾妻郡草津町,白根740,0279-88-1212,0279-88-1211,http://www.onga.co.jp/,旅館・民宿,
こしゆり,377-1711,群馬県,吾妻郡草津町,大字草津888-26,0279-88-1218,0279-88-1218,http://koshiyuri.net/,旅館・民宿,
アルペンローゼ,377-1711,群馬県,吾妻郡草津町,大字草津512-2,0279-88-1300,0279-88-1308,http://www.saitama-ctv-kyosai.net/,その他宿泊施設,
株式会社ウィズウェイストジャパン,377-1712,群馬県,吾妻郡草津町,大字前口字井堀176-4,0279-88-1311,0279-88-1313,http://www.withwaste.jp/,製造・加工（建築資材）,
重監房資料館,377-1711,群馬県,吾妻郡草津町,大字草津464-1533,0279-88-1550,0279-88-1553,http://sjpm.hansen-dis.jp/,組合・団体,
カフェ・スパ・ノイエポスト,377-1711,群馬県,吾妻郡草津町,大字草津507,0279-88-1610,N.A.,http://www.gokurakukan.com/,喫茶店・カフェ,
益成屋旅館,377-1711,群馬県,吾妻郡草津町,大字草津406,0279-88-2005,0279-88-3193,http://www.lun.co.jp/,旅館・民宿,
ルーバン山田,377-1711,群馬県,吾妻郡草津町,草津524-99,0279-88-2010,0279-88-1210,http://www.ruban.co.jp/,旅館・民宿,
日新館,377-1711,群馬県,吾妻郡草津町,大字草津368,0279-88-2013,0279-88-2307,http://www.nisshinkan.com/,旅館・民宿,
草津館,377-1711,群馬県,吾妻郡草津町,大字草津419,0279-88-2027,0279-88-2416,http://www21.cx/,旅館・民宿,
布施医院,377-1711,群馬県,吾妻郡草津町,大字草津462-58,0279-88-2030,0279-88-8202,http://www.fuseclinic.jp/,内科系,
本家ちちや,377-1711,群馬県,吾妻郡草津町,大字草津89,0279-88-2031,0279-88-7517,http://www.honke-chichiya.com/,お菓子・スイーツ,
松むら饅頭,377-1711,群馬県,吾妻郡草津町,大字草津389,0279-88-2042,0279-88-6465,http://www6.wind.ne.jp/,お菓子・スイーツ,
旅館たむら,377-1711,群馬県,吾妻郡草津町,大字草津305,0279-88-2045,0279-88-2046,http://www.tanaka-tec.co.jp/,旅館・民宿,
ペンションみとも,377-1711,群馬県,吾妻郡草津町,大字草津235-114,0279-88-2052,0279-88-2052,http://p-mitomo.com/,ホテル・ペンション,
小泉館,377-1711,群馬県,吾妻郡草津町,大字草津379,0279-88-2068,0279-88-2113,http://kusatu.com/,旅館・民宿,
群龍館,377-1711,群馬県,吾妻郡草津町,大字草津394-2,0279-88-2079,0279-88-4740,http://www.lun.co.jp/,旅館・民宿,
菊水荘,377-1711,群馬県,吾妻郡草津町,大字草津213,0279-88-2086,0279-88-1086,http://kikusuisou.com/,旅館・民宿,
喜久美旅館,377-1711,群馬県,吾妻郡草津町,大字草津167,0279-88-2098,0279-88-3098,http://www21.cx/,旅館・民宿,
群馬県警察本部／長野原警察署／草津町交番,377-1711,群馬県,吾妻郡草津町,大字草津449-1,0279-88-2100,N.A.,http://www.police.pref.gunma.jp/,消防・警察,
ホテルリゾート,377-1711,群馬県,吾妻郡草津町,大字草津15-8,0279-88-2109,0279-88-5022,http://www.kusatsu-resort.com/,ホテル・ペンション,
小島屋,377-1711,群馬県,吾妻郡草津町,大字草津344,0279-88-2128,0279-88-8373,http://www.kusatsu.org/,旅館・民宿,
喜和旅館,377-1711,群馬県,吾妻郡草津町,大字草津194-1,0279-88-2130,0279-88-6458,http://www21.cx/,旅館・民宿,
八雲旅館,377-1711,群馬県,吾妻郡草津町,大字草津100,0279-88-2138,0279-88-7162,http://www.kusatsu.org/,旅館・民宿,
極楽館,377-1711,群馬県,吾妻郡草津町,大字草津507,0279-88-2142,0279-88-5556,http://www.gokurakukan.com/,旅館・民宿,
草津温泉本多みやげ店,377-1711,群馬県,吾妻郡草津町,大字草津110,0279-88-2155,0279-88-2193,http://www.kusatsu-honda.com/,製造・加工（食料品）,
清月堂,377-1711,群馬県,吾妻郡草津町,大字草津25,0279-88-2166,0279-88-2150,http://kusatu.com/,製造・加工（食料品）,
米山館鬼無里屋,377-1711,群馬県,吾妻郡草津町,草津209,0279-88-2189,N.A.,http://yoneyamakan.main.jp/,旅館・民宿,
中村屋旅館,377-1711,群馬県,吾妻郡草津町,大字草津98,0279-88-2209,0279-75-7638,http://www21.cx/,旅館・民宿,
関東甲信越地区国立大学草津セミナーハウス,377-1711,群馬県,吾妻郡草津町,大字草津737,0279-88-2212,0279-88-8030,http://www.gunma-u.ac.jp/,アウトソーシング,
光泉寺,377-1711,群馬県,吾妻郡草津町,大字草津446,0279-88-2224,N.A.,http://www.kusatsu.ne.jp/,宗教,
山形屋みやげ店,377-1711,群馬県,吾妻郡草津町,大字草津393,0279-88-2234,0279-88-4619,http://www21.cx/,おみやげ,
喜紫,377-1711,群馬県,吾妻郡草津町,大字草津154,0279-88-2248,0279-88-2029,http://kusatsu-kimura.com/,和食,
そばきち,377-1711,群馬県,吾妻郡草津町,大字草津469-6,0279-88-2256,0279-88-2256,http://www13.plala.or.jp/,そば・うどん,
清重館,377-1711,群馬県,吾妻郡草津町,大字草津280-4,0279-88-2272,0279-88-5032,http://www.kusatsuspa.com/,旅館・民宿,
