▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
高山運輸倉庫株式会社,377-0702,群馬県,吾妻郡高山村,大字中山1143番地,0279-63-1733,0279-63-1733,http://www.takayamaunyu-souko.jp/,運送・貨物・倉庫,
高山村道の駅中山盆地,377-0702,群馬県,吾妻郡高山村,大字中山2357-1,0279-63-1919,0279-70-5000,http://www.takayama-kanko.jp/,道の駅,
高山温泉ふれあいプラザ,377-0702,群馬県,吾妻郡高山村,大字中山2357-1,0279-63-2000,0279-70-5000,http://vill.takayama.gunma.jp/,観光・温泉・銭湯,
群馬県庁／その他機関／北毛青少年自然の家,377-0702,群馬県,吾妻郡高山村,大字中山6853-18,0279-63-2004,0279-63-2873,http://www.pref.gunma.jp/,都道府県機関,
あがつま農協／高山支店,377-0702,群馬県,吾妻郡高山村,大字中山3374,0279-63-2011,0279-68-2008,http://www.aganet.or.jp/,組合・団体,
高山村社会福祉協議会,377-0702,群馬県,吾妻郡高山村,大字中山3410,0279-63-2075,0279-63-1310,http://www.g-shakyo.or.jp/,市区町村機関,
ロックハート城,377-0702,群馬県,吾妻郡高山村,大字中山5583-1,0279-63-2101,0279-63-3514,http://www.jrs-w.com/,賃貸・レンタル,
高山村役場,377-0702,群馬県,吾妻郡高山村,大字中山2856-1,0279-63-2111,0279-63-2768,http://vill.takayama.gunma.jp/,市区町村機関,
ノーザンカントリークラブ上毛ゴルフ場,377-0702,群馬県,吾妻郡高山村,大字中山6860-1,0279-63-2131,0279-63-2039,http://reserve.accordiagolf.com/,ゴルフ,
高山村商工会,377-0702,群馬県,吾妻郡高山村,大字中山3410,0279-63-2200,0279-63-2430,http://www5.wind.ne.jp/,組合・団体,
上毛森林カントリー倶楽部／コース課,377-0702,群馬県,吾妻郡高山村,大字中山6859-147,0279-63-2226,0279-63-2465,http://www.js-cc.jp/,ゴルフ,
吾妻養護老人ホーム,377-0702,群馬県,吾妻郡高山村,大字中山6858-24,0279-63-2304,0279-76-3060,http://www.aga-kouiki.jp/,介護・福祉,
高山運輸倉庫株式会社／本社,377-0702,群馬県,吾妻郡高山村,大字中山5602,0279-63-2336,0279-63-2749,http://www.takayamaunyu-souko.jp/,運送・貨物・倉庫,
高山村役場／基幹集落センター,377-0701,群馬県,吾妻郡高山村,大字尻高2577,0279-63-2354,N.A.,http://tkym-yakuba.jugem.jp/,市区町村機関,
高山運輸倉庫株式会社,377-0702,群馬県,吾妻郡高山村,大字中山5618-1番地,0279-63-2559,0279-63-2559,http://www.takayamaunyu-souko.jp/,運送・貨物・倉庫,
いぶきの湯,377-0702,群馬県,吾妻郡高山村,大字中山3999-1,0279-63-2639,N.A.,http://vill.takayama.gunma.jp/,観光・温泉・銭湯,
有限会社山田商事,N.A.,群馬県,吾妻郡高山村,尻高431-1,0279-63-2754,N.A.,http://www5.wind.ne.jp/,不動産,
高山村役場／いぶき会館,377-0702,群馬県,吾妻郡高山村,大字中山3410,0279-63-3046,0279-63-2768,http://vill.takayama.gunma.jp/,市区町村機関,
高山村役場／たかやま高原牧場,377-0702,群馬県,吾妻郡高山村,大字中山6853-4,0279-63-3111,027-220-2372,http://www.chikusankyokai.or.jp/,市区町村機関,
株式会社高山ゴルフ倶楽部,377-0702,群馬県,吾妻郡高山村,中山6852-1,0279-63-3131,0279-63-3030,http://www.takayama-gc.com/,ゴルフ,
株式会社サンポウアート／大理石村,377-0702,群馬県,吾妻郡高山村,大字中山5583-1,0279-63-3515,0279-63-3514,http://www.jrs-w.com/,造園,
りんどうの里,377-0702,群馬県,吾妻郡高山村,大字中山2715-2,0279-70-5100,0279-70-5101,http://www.rindo.jp/,介護・福祉,
有限会社田村創建,377-0701,群馬県,吾妻郡高山村,大字尻高2595-5,0279-70-5116,0279-70-5117,http://tamurasouken.com/,総合・職別工事業,
群馬県庁／その他機関／ぐんま天文台,377-0702,群馬県,吾妻郡高山村,大字中山6860-86,0279-70-5300,0279-70-5544,http://www.astron.pref.gunma.jp/,その他,
