▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社長太郎不動産,351-0115,埼玉県,和光市,新倉1-2-67,048-465-0002,N.A.,http://www.choutarou.co.jp/,不動産,
エーワン和光店,351-0114,埼玉県,和光市,本町12-17,048-469-0005,048-469-0129,http://www.bar-a-one.info/,飲み屋,
かつみ不動産株式会社／和光支店,351-0114,埼玉県,和光市,本町6-1,048-461-0011,048-474-0660,http://www.katsumi-f.co.jp/,不動産,
ピザーラ和光店,351-0112,埼玉県,和光市,丸山台1丁目11-13,048-468-0022,N.A.,http://www.pizza-la.co.jp/,弁当・宅配,
株式会社アメフレック,351-0115,埼玉県,和光市,新倉7-14-2,048-451-0027,048-469-7900,http://www.amefrec.co.jp/,製造・加工（工作機械・一般機械器具）,
ドコモショップ和光店,351-0114,埼玉県,和光市,本町1-13,048-464-0033,048-464-0075,http://www.docomoshop.co.jp/,電話・通信,
バーミヤン／和光南店,351-0104,埼玉県,和光市,南1丁目8-66,048-460-0038,N.A.,http://www.skylark.co.jp/,レストラン,
ベルク工業有限会社,351-0114,埼玉県,和光市,本町23-24,048-465-0054,048-465-0750,http://www.berg-k.co.jp/,製造・加工（工作機械・一般機械器具）,
シーアイ歯科医院,351-0114,埼玉県,和光市,本町31-2-E-218,048-462-0080,N.A.,http://www.idc.or.jp/,歯科系,
セブンイレブン／和光新倉2丁目店,351-0115,埼玉県,和光市,新倉2丁目9-50,048-461-0080,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
有限会社岡山技研,351-0101,埼玉県,和光市,白子3-29-34,048-460-0080,048-460-0081,http://www.ok-giken.jp/,建設業・工務店,
和光北インター地域土地区画整理組合,351-0115,埼玉県,和光市,新倉5丁目4-1,048-467-0088,048-424-3203,http://www.wakokita-inter.jp/,組合・団体,
メリーポピンズ和光ルーム,351-0111,埼玉県,和光市,下新倉1丁目1-62,048-466-0100,03-5786-1157,https://www.doronko.jp/,幼稚園・保育施設,
株式会社トヨタレンタリース埼玉／和光店,351-0112,埼玉県,和光市,丸山台2丁目3-9,048-468-0100,048-464-8128,http://saitama.rl-toyota.co.jp/,リース・レンタル,
和光市総合体育館,351-0106,埼玉県,和光市,広沢3-1,048-462-0107,048-464-1328,http://www.konamisportsandlife.co.jp/,スポーツ施設,
埼玉県南西部消防本部／和光消防署,351-0106,埼玉県,和光市,広沢1-3,048-461-0119,048-461-9000,http://www.kennanseibu119.jp/,消防・警察,
アート引越センター,351-0101,埼玉県,和光市,白子3丁目17-30,048-467-0123,N.A.,http://www.the0123.com/,引越,
ラ・パスタ陶和光店,351-0114,埼玉県,和光市,本町1-7,048-451-0150,048-451-0334,http://www.jfcy.co.jp/,レストラン,
サンレガロ,351-0106,埼玉県,和光市,広沢1-5,048-463-0166,048-463-7057,http://www.miki-foods.co.jp/,レストラン,
植田産業株式会社,351-0101,埼玉県,和光市,白子2-9-17,048-464-0181,048-464-2453,http://www.uedas.co.jp/,販売・卸（一般機械）,
株式会社マルカン,351-0101,埼玉県,和光市,白子3丁目16-39,048-466-0194,03-5968-5558,http://www.e-marukan.com/,運送・貨物・倉庫,
第一環境株式会社,351-0114,埼玉県,和光市,本町11-5イズミ,048-462-0222,048-462-0249,http://www.daiichikankyo.co.jp/,ビルメンテナンス,
ペットの専門店コジマ和光店,351-0101,埼玉県,和光市,白子2丁目10-20,048-450-0223,048-450-0223,http://pets-kojima.com/,ペットショップ,
新井整体治療院,351-0115,埼玉県,和光市,新倉2丁目1-6,048-465-0230,N.A.,http://www.araiseitai.com/,整体等各種療術,
ながほ歯科クリニック,351-0112,埼玉県,和光市,丸山台1丁目11-4,048-423-0267,048-423-0267,http://www.nagaho-shika-clinic.com/,歯科系,
スシロー和光白子店,351-0101,埼玉県,和光市,白子2丁目1723-2,048-451-0281,048-451-0282,http://www.akindo-sushiro.co.jp/,中華・中国料理,
アオキ和光光が丘店,351-0101,埼玉県,和光市,白子1丁目2-31,048-467-0288,048-467-1357,http://www.aoki-style.com/,洋服,
ザバススポーツクラブ和光,351-0112,埼玉県,和光市,丸山台1丁目1-2,048-450-0311,N.A.,http://meijisp.jp/,スポーツ,
株式会社松屋フーズ／和光白子店,351-0101,埼玉県,和光市,白子1丁目7-12,048-450-0366,N.A.,http://www.matsuyafoods.co.jp/,レストラン,
大和すみれ幼稚園,351-0104,埼玉県,和光市,南1丁目2-2,048-462-0370,N.A.,http://yamato-sumire.info/,幼稚園・保育施設,
みはし株式会社／本社,351-0101,埼玉県,和光市,白子3丁目26-43,048-464-0384,048-466-1034,http://www.mihasi.co.jp/,製造・加工（木製品・紙・パルプ関連）,
パパピニョル,351-0115,埼玉県,和光市,新倉1丁目10-76,048-235-0428,N.A.,http://papapignol.com/,お菓子・スイーツ,
ザ・ダイソー和光店,351-0114,埼玉県,和光市,本町31-6,048-451-0451,N.A.,http://www.daiso-sangyo.co.jp/,生活用品,
栄和開発株式会社,351-0112,埼玉県,和光市,丸山台1-9-19,048-465-0504,048-465-0653,http://www.eiwakaihatu.com/,建設業・工務店,
田中建設株式会社／一級建築士事務所,351-0101,埼玉県,和光市,白子3丁目24-73,048-462-0507,048-462-0623,http://www.tanaka-kensetsu.co.jp/,リフォーム,
ヤマハ音楽教室和光センター,351-0114,埼玉県,和光市,本町10-1,048-464-0511,N.A.,http://www.sakuraigakki.com/,語学,
和光動物病院,351-0112,埼玉県,和光市,丸山台2丁目12-6-103,048-467-0551,048-467-0541,https://www.ipet1.com/,動物病院・獣医師,
ノア・インドアステージ和光成増,351-0101,埼玉県,和光市,白子2丁目25-2,048-451-0603,048-451-0604,http://www.noahis.com/,スポーツ施設,
有限会社サタケ工業,351-0111,埼玉県,和光市,下新倉5丁目15-3,048-466-0607,048-466-0672,http://www.sata-ko.com/,エクステリア,
マクドナルド笹目通り和光店,351-0101,埼玉県,和光市,白子4丁目1-1,048-451-0648,048-451-0648,http://www.mcdonalds.co.jp/,ファーストフード,
株式会社たちばな,351-0101,埼玉県,和光市,白子1-29-10,048-464-0673,048-466-9581,http://choco.co.jp/,製造・加工（食料品）,
朝霞地区看護専門学校,351-0102,埼玉県,和光市,諏訪2-4,048-468-0701,048-468-0630,http://www.asakakango.ac.jp/,専修学校,
美容室ピュアポイント,351-0114,埼玉県,和光市,本町14-41,048-451-0705,N.A.,http://www.fahren-pure.com/,美容院・理容店・毛髪業,
株式会社研友流通,351-0101,埼玉県,和光市,白子3-35-15法研和光ビル,048-497-0760,N.A.,http://www.sociohealth.co.jp/,運送・貨物・倉庫,
日生オアシス和光,351-0115,埼玉県,和光市,新倉2丁目5-49,048-423-0763,048-450-1325,http://www.jlsri.com/,介護・福祉,
宮岡金属株式会社,351-0101,埼玉県,和光市,白子1丁目11-1,048-467-0765,048-458-5200,http://www.miyaoka.co.jp/,製造・加工（非鉄金属製品）,
キヨタ株式会社,351-0112,埼玉県,和光市,丸山台3丁目14番1号,048-450-0788,N.A.,http://www.kiyota-and.co.jp/,製造・加工（建築資材）,
杉本武税理士事務所,351-0113,埼玉県,和光市,中央1丁目1-67,048-462-0807,048-465-7864,http://sugimototakeshi.com/,士業・コンサルタント,
和光農産物直売センター,351-0112,埼玉県,和光市,丸山台1丁目7-9,048-461-0850,048-479-1119,http://www.ja-asakano.or.jp/,組合・団体,
和光市立／本町小学校,351-0114,埼玉県,和光市,本町31-17,048-466-0855,048-466-0894,http://honcho.wako-city.ed.jp/,小・中・高・大学等,
ヨシダオートセンター株式会社,351-0111,埼玉県,和光市,下新倉3-11-45,048-463-0860,048-463-7931,http://www.yoshida-auto.co.jp/,車検・整備・修理,
新日本建販株式会社,351-0115,埼玉県,和光市,新倉7丁目5-6,048-451-0861,048-451-0863,http://www.njm.co.jp/,リース・レンタル,
医療法人慶和会和光耳鼻咽喉科医院,351-0114,埼玉県,和光市,本町2-6レインボープラザ3F,048-467-0889,N.A.,http://www.wako-ent.com/,医院・診療所・療養所,
株式会社北欧トーキョー,351-0114,埼玉県,和光市,本町4-6,048-465-0990,N.A.,http://www.hokuo-tokyo.jp/,食料品,
新光電機株式会社,351-0101,埼玉県,和光市,白子3丁目28番24号,048-460-1000,N.A.,http://www.sinkoec.com/,建設業・工務店,
アミカの郷和光,351-0111,埼玉県,和光市,下新倉2丁目38-15,048-450-1002,048-423-4688,http://www.amica.jp/,介護・福祉,
スペースクリエイト自遊空間和光店,351-0112,埼玉県,和光市,丸山台1丁目10-4,048-450-1008,048-450-1008,http://www.runsystem.co.jp/,マンガ・ネットカフェ,
島田歯科医院,351-0112,埼玉県,和光市,丸山台1丁目4-3,048-469-1010,N.A.,http://www.shimada-shika.com/,歯科系,
株式会社レーマン,351-0113,埼玉県,和光市,中央1丁目3番1号,048-463-1011,048-463-9409,https://reman-choco.com/html/page9.html,食料品,
和光市立／ひろさわ保育園,351-0106,埼玉県,和光市,広沢1-2,048-461-1043,048-467-1086,http://hirosawa.wako-city.ed.jp/,幼稚園・保育施設,
東横イン和光市駅前,351-0112,埼玉県,和光市,丸山台1丁目10-7,048-466-1045,048-466-2045,http://www.toyoko-inn.com/,ホテル・ペンション,
株式会社ライフデザインワークス,351-0111,埼玉県,和光市,下新倉4丁目26-22,048-450-1055,048-450-1066,http://ld-works.co.jp/,総合・職別工事業,
株式会社京都版画院,351-0111,埼玉県,和光市,下新倉5丁目10-70-203,048-485-1061,048-485-1062,http://www.amy.hi-ho.ne.jp/,美術・工芸,
株式会社さくらプランニング,351-0104,埼玉県,和光市,南1-8-86,048-461-1075,048-461-1583,http://www.sakura-planning.jp/,印刷・出版,
山王テック株式会社,351-0113,埼玉県,和光市,中央2-3-7,048-466-1081,048-463-7711,http://www.sannotec.co.jp/,IT・情報通信,
レインボーモータースクール,351-0111,埼玉県,和光市,下新倉5丁目27-1,048-461-1101,048-461-1104,https://www.rms.co.jp/wako/,資格,
丸善産業株式会社,351-0104,埼玉県,和光市,南1-1-5,048-468-1101,048-462-9663,http://www.maruzen-sangyo.net/,製造・加工（食料品）,
国立病院機構埼玉病院（独立行政法人）,351-0102,埼玉県,和光市,諏訪2-1,048-462-1101,048-464-1138,https://nho.hosp.go.jp/,総合病院,
和光駅前皮フ科,351-0112,埼玉県,和光市,丸山台1-10-4F’SBOX4F,048-450-1102,N.A.,http://www.wako-hifuka.com/,医院・診療所・療養所,
東京紙工株式会社,351-0101,埼玉県,和光市,白子3丁目33-21,048-461-1111,N.A.,http://www.tokyoshikou.co.jp/,生活用品,
和光市役所／教育委員会,351-0106,埼玉県,和光市,広沢1-5,048-464-1111,048-464-8822,http://www.city.wako.lg.jp/,市区町村機関,
中川眼科,351-0114,埼玉県,和光市,本町2-6,048-465-1144,048-465-1576,http://www.nakagawa-ganka.com/,眼科,
和光市立／広沢小学校,351-0106,埼玉県,和光市,広沢1-5,048-464-1149,048-464-1235,http://hirosawa.wako-city.ed.jp/,小・中・高・大学等,
株式会社アサヒコーポレーション,351-0112,埼玉県,和光市,丸山台2-16-10,048-466-1150,048-466-4511,http://www.asahi-shoes.co.jp/,製造・加工（化学・プラスチック）,
クロシェット・ドゥ・ボワ,351-0114,埼玉県,和光市,本町11-8,048-450-1158,048-450-1168,http://www.clochette-de-bois.jp/,イタリアン・フレンチ,
富士商工株式会社,351-0114,埼玉県,和光市,本町27-21,048-451-1161,048-451-1160,http://www.fujishoko.co.jp/,製造・加工（工作機械・一般機械器具）,
スターツピタットハウス株式会社ピタットハウス和光店,351-0114,埼玉県,和光市,本町3-13,048-450-1175,048-468-1086,http://www.pitat.com/,不動産,
クリクラ山手,351-0101,埼玉県,和光市,白子4丁目5-15,048-450-1179,N.A.,http://www.crystalclara.net/,酒・飲料品,
株式会社イワショウ,351-0111,埼玉県,和光市,下新倉6-10-4,048-450-1181,048-450-1182,http://www.iwasho.com/,運送・貨物・倉庫,
アイパーツ和光店,351-0101,埼玉県,和光市,白子4丁目3-1,048-466-1182,048-778-5588,http://www.i-parts.co.jp/,カー用品,
株式会社朝霞装文社／和光センター,351-0115,埼玉県,和光市,新倉3丁目1-30,048-464-1191,048-465-2227,http://www.asaka-sobunsha.co.jp/,引越,
株式会社渋谷光学,N.A.,埼玉県,和光市,下新倉3-22-2,048-469-1200,048-469-1311,http://www.shibuya-opt.co.jp/,製造・加工（電子・精密機械器具）,
埼玉県立／和光高等学校,351-0115,埼玉県,和光市,新倉3丁目22-1,048-463-1207,048-460-1015,http://www.wako-h.spec.ed.jp/,小・中・高・大学等,
株式会社ナックプロ,351-0111,埼玉県,和光市,下新倉6丁目10-9,048-450-1212,048-450-1231,http://www.nak-pro.com/,製造・加工（電子・精密機械器具）,
楓商会,351-0112,埼玉県,和光市,丸山台2丁目6-20-101,048-450-1223,048-450-0259,http://kaede777yk.web.fc2.com/,リサイクルショップ,
美容室ベーセ・ベーゼ,351-0112,埼玉県,和光市,丸山台1丁目11-5,048-463-1229,N.A.,http://www.bcbg-hair.jp/,美容院・理容店・毛髪業,
ヘアーサロンブロンド有限会社本店,351-0101,埼玉県,和光市,白子2丁目14-16,048-466-1234,N.A.,http://hs-blonde.com/,美容院・理容店・毛髪業,
ビルトマテリアル株式会社,351-0101,埼玉県,和光市,白子1-16-36,048-461-1240,048-461-1215,http://www.built-material.co.jp/,製造・加工（建築資材）,
スタジオアリス和光白子店,351-0101,埼玉県,和光市,白子2丁目13-38,048-450-1291,048-450-1292,http://www.studio-alice.co.jp/,写真・ビデオ・スライド,
興亜建設株式会社,351-0114,埼玉県,和光市,本町12-11,048-467-1303,N.A.,http://kouakensetsu.jp/,総合・職別工事業,
埼玉県立／和光国際高等学校,351-0106,埼玉県,和光市,広沢4-1,048-467-1311,048-460-1018,http://www.wakoku-h.spec.ed.jp/,小・中・高・大学等,
ガスト／和光店,351-0101,埼玉県,和光市,白子3丁目17-47,048-460-1331,N.A.,http://www.skylark.co.jp/,レストラン,
株式会社関東マツダ和光アルカ店,351-0101,埼玉県,和光市,白子2丁目16-20,048-468-1331,048-468-1333,http://www.mazda-ucar.com/,車検・整備・修理,
ガスト／和光インター店,351-0106,埼玉県,和光市,広沢2-8,048-460-1335,N.A.,http://www.skylark.co.jp/,レストラン,
ケンタッキーフライドチキン／和光市駅店,351-0114,埼玉県,和光市,本町4-6,048-460-1350,048-460-1351,https://www.kfc.co.jp/top.html,ファーストフード,
先端力学シミュレーション研究所／本社,351-0104,埼玉県,和光市,南2丁目3-13-402,048-450-1351,048-450-1350,http://www.astom.co.jp/,IT・情報通信,
はんこ屋さん21和光店,351-0114,埼玉県,和光市,本町17-1,048-450-1357,048-450-1358,http://hanko21wako.sub.jp/,文房具,
研友社印刷株式会社,351-0101,埼玉県,和光市,白子3-35-9,048-463-1411,048-464-3041,http://www.kenyuusya.co.jp/,印刷・出版,
ひかり歯科クリニック,351-0112,埼玉県,和光市,丸山台2丁目12-6,048-466-1472,048-466-1472,http://www.h-dc.net/,歯科系,
株式会社トーテック,N.A.,埼玉県,和光市,白子3-31-1,048-461-1515,048-468-3519,http://www.to-tec.co.jp/,建設業・工務店,
株式会社勤労衛生,351-0111,埼玉県,和光市,下新倉6-13-15,048-461-1577,048-465-5350,http://kinrou-eisei.co.jp/,ゴミ収集・資源回収,
和光ミュージックセンター,351-0114,埼玉県,和光市,本町21-18,048-466-1618,N.A.,http://www.clochette-de-bois.jp/,音楽,
株式会社塚田設計,351-0114,埼玉県,和光市,本町9-17,048-461-1619,048-466-3323,http://www.tsukada-sekkei.co.jp/,リフォーム,
大恵産業株式会社,351-0104,埼玉県,和光市,南1-20-53,048-463-1627,048-466-3047,http://www.daikei-s.co.jp/,自動車卸,
坐・和民和光南口店,351-0114,埼玉県,和光市,本町3-13,048-460-1629,048-460-1635,http://www.watami.co.jp/,飲み屋,
ルチェンテヘア&ネイル,351-0114,埼玉県,和光市,本町2-6-102,048-466-1665,N.A.,http://www.lucente.co.jp/,美容・コスメ,
柳下生コン株式会社／工場,351-0112,埼玉県,和光市,丸山台3丁目7-7,048-461-1676,048-462-0390,http://www.yagishita-namacon.jp/,製造・加工（建築資材）,
住美産業株式会社,351-0102,埼玉県,和光市,諏訪1-11,048-450-1681,048-450-1683,http://www.jyubi.co.jp/,販売・卸（建設資材）,
らくあ整骨院和光,351-0114,埼玉県,和光市,本町5-5,048-464-1690,048-464-1690,http://www.turuse-seikotu.com/,整体等各種療術,
化研マテリアル株式会社／埼玉物流センター,351-0115,埼玉県,和光市,新倉7丁目11-20,048-467-1691,03-3578-1155,http://www.kaken-material.co.jp/,製造・加工（建築資材）,
株式会社ガレージ・ベリー,351-0111,埼玉県,和光市,下新倉5-18-21,048-469-1708,048-469-1709,http://www.vary.co.jp/,製造・加工（非鉄金属製品）,
あべ登記測量事務所,351-0115,埼玉県,和光市,新倉2丁目10-40,048-463-1750,048-463-1515,http://www.officeabe.net/,士業・コンサルタント,
株式会社タイセイロジテム,351-0115,埼玉県,和光市,新倉7丁目12-32,048-467-1750,048-467-1751,http://taisei-logitem.net/,引越,
株式会社エイブル和光市店,351-0115,埼玉県,和光市,新倉1丁目1-36,048-450-1788,048-450-1787,http://shop.able.co.jp/,不動産,
和光市立／第二中学校,351-0106,埼玉県,和光市,広沢1-4,048-462-1793,048-461-4856,http://2chu.wako-city.ed.jp/,小・中・高・大学等,
吉野家和光笹目通り店,351-0112,埼玉県,和光市,丸山台3丁目10-6,048-460-1799,N.A.,http://www.yoshinoya.com/,ファーストフード,
メガネストアー和光店,351-0112,埼玉県,和光市,丸山台1丁目11-3,048-469-1808,N.A.,http://www.meganestore.co.jp/,生活用品,
柳下生コン株式会社,N.A.,埼玉県,和光市,丸山台3-7-7,048-461-1813,048-462-0390,http://www.yagishita-namacon.jp/,製造・加工（その他）,
柳下技研株式会社,351-0111,埼玉県,和光市,下新倉3-22-61,048-450-1861,048-450-1862,http://www.yagishitagiken.jp/,製造・加工（鉄鋼製品）,
柳下技研株式会社,351-0113,埼玉県,和光市,中央2-4-30,048-464-1880,048-466-8639,http://www.yagishitagiken.jp/,製造・加工（鉄鋼製品）,
株式会社東日本銀行／和光支店,351-0112,埼玉県,和光市,丸山台1丁目10-1,048-463-1881,N.A.,http://www.higashi-nipponbank.co.jp/,金融・郵貯・貸金,
千年の宴和光市南口駅前店,351-0112,埼玉県,和光市,丸山台1丁目1-14,048-462-1888,048-462-1893,http://www.monteroza.co.jp/,飲み屋,
有限会社アタック七十度,351-0111,埼玉県,和光市,下新倉4丁目21-7,048-450-1900,048-450-1901,http://www.attack70.com/,クリーニング,
佐々木整骨院,351-0114,埼玉県,和光市,本町12-16,048-464-1951,0495-23-0254,http://ssk05.jp/,整体等各種療術,
サミット株式会社／シーアイハイツ和光店,351-0114,埼玉県,和光市,本町31-1,048-460-1970,048-461-2553,http://www.summitstore.co.jp/,コンビニ・スーパー・デパート,
司法研修所,351-0104,埼玉県,和光市,南2丁目3-8,048-460-2000,03-3222-1376,http://www.courts.go.jp/,裁判所,
歯科タケダクリニック,351-0112,埼玉県,和光市,丸山台1-10-5和光MHビル2F,048-467-2000,N.A.,http://www.fenest.com/,医院・診療所・療養所,
