▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
山中煎餅本舗／直売店,966-0819,福島県,喜多方市,字一丁目4643,0241-22-0004,N.A.,http://yamanakasenbei.justhpbs.jp/,お菓子・スイーツ,
喜多方交通株式会社,966-0813,福島県,喜多方市,小田付道下7132-4,0241-22-0016,N.A.,http://kosodate-taxi.com/,運送・貨物・倉庫,
金忠,966-0074,福島県,喜多方市,字南町2854,0241-22-0027,0241-22-0106,http://www.kanecyu.com/,食料品,
株式会社大善,966-0081,福島県,喜多方市,字西町2840,0241-22-0032,0241-22-0042,http://www.dzn.jp/,食料品,
福島民友新聞社喜多方支社,966-0902,福島県,喜多方市,松山町村松字町尻1484-3,0241-22-0050,0241-22-0090,http://www.minyu-net.com/,映画・放送・新聞,
国光酒造店,966-0074,福島県,喜多方市,字南町2844,0241-22-0074,0241-22-0094,http://www.oharashuzo.co.jp/,酒・飲料品,
源来軒,966-0849,福島県,喜多方市,字一本木上7745,0241-22-0091,N.A.,http://www.miru.co.jp/,ラーメン,
業務スーパー喜多方店,966-0033,福島県,喜多方市,字瀬戸3210-4,0241-23-0115,0241-23-0124,http://www.kobebussan.co.jp/,酒・飲料品,
有限会社うしごめ電化設備,969-3538,福島県,喜多方市,塩川町天沼字第六22,0241-22-0115,0241-27-2332,http://www.usigome.jp/,家電,
喜多方市／第一保育所,966-0805,福島県,喜多方市,字小田付道上6998-4,0241-22-0156,0241-24-5284,http://www.city.kitakata.fukushima.jp/,市区町村機関,
福島県立／喜多方高等学校,966-0802,福島県,喜多方市,字桜ガ丘1丁目129,0241-22-0174,0241-23-0947,https://kitakata-h.fcs.ed.jp/,小・中・高・大学等,
郵便事業株式会社,966-8799,福島県,喜多方市,惣座宮2798,0241-22-0180,N.A.,http://map.japanpost.jp/,その他サービス,
しののめ荘救護施設,966-0932,福島県,喜多方市,上三宮町吉川字黒沢4600-1,0241-22-0222,0241-23-1745,http://www.zenkyukyo.gr.jp/,介護・福祉,
喜多方市／しきみ児童クラブ館,966-0806,福島県,喜多方市,字水上6868,0241-22-0225,0241-24-5284,http://www.city.kitakata.fukushima.jp/,市区町村機関,
喜多方市／豊川公民館,966-0912,福島県,喜多方市,豊川町一井字間々ノ上676-5,0241-22-0266,0241-22-0266,http://www.city.kitakata.fukushima.jp/,市区町村機関,
入澤病院,966-0041,福島県,喜多方市,字蒔田3106-2,0241-22-0267,0241-22-2089,http://care-net.biz/,医院・診療所・療養所,
ニューロング工業株式会社,N.A.,福島県,喜多方市,豊川町高堂太字免田997-1,0241-23-0269,0241-23-0286,http://www.nlwww.com/,製造・加工（工作機械・一般機械器具）,
喜多方市／第四保育所,966-0902,福島県,喜多方市,松山町村松字大坪1853-1,0241-22-0282,0241-22-0282,http://www.city.kitakata.fukushima.jp/,市区町村機関,
来夢,966-0087,福島県,喜多方市,字稲荷宮8,0241-23-0287,0241-22-4422,http://www.umai-kitakata.co.jp/,ラーメン,
株式会社ダイユーエイト塩川店,969-3532,福島県,喜多方市,塩川町小府根字曽谷田1,0241-28-0288,N.A.,http://www.daiyu8.co.jp/,生活用品,
株式会社福島民報社喜多方支社,966-0835,福島県,喜多方市,字行作7601-16,0241-22-0320,0241-22-7530,https://www.minpo.jp/,映画・放送・新聞,
喜多方市社会福祉協議会／総合福祉センター,966-0043,福島県,喜多方市,字上江3646-1,0241-23-0345,0241-23-3296,http://www.kitakata-shakyo.or.jp/,組合・団体,
喜多方市社会福祉協議会／中央デイサービスセンター,966-0043,福島県,喜多方市,字上江3646-1,0241-23-0346,0241-23-3239,http://www.kitakata-shakyo.or.jp/,組合・団体,
坂内食堂,966-0816,福島県,喜多方市,字細田7230,0241-22-0351,0241-24-3879,http://ban-nai.com/,ラーメン,
サテライト会津場外車券売場,966-0005,福島県,喜多方市,岩月町大都字五貫沢3839,0241-23-0377,0241-23-0344,http://www.st-aizu.jp/,公営競技,
グリーンハウスしみずや,966-0818,福島県,喜多方市,字二丁目4658,0241-22-0379,0241-22-0330,http://www.eflora.co.jp/,ガーデニング,
喜多方市／美術館,966-0094,福島県,喜多方市,字押切2丁目2,0241-23-0404,0241-23-0406,http://www.city.kitakata.fukushima.jp/,市区町村機関,
さくらっこ保育園,966-0091,福島県,喜多方市,字青葉台47,0241-23-0415,0241-23-0415,http://sakurakko1989.web.fc2.com/,幼稚園・保育施設,
峰の雪酒造場,966-0802,福島県,喜多方市,字桜ガ丘1丁目17,0241-22-0431,0241-22-0432,http://minenoyuki.com/,酒・飲料品,
漆器蔵會津野,966-0852,福島県,喜多方市,字天満前8919-1,0241-23-0441,0241-25-7789,http://hachiro-bei.com/,美術・工芸,
株式会社五十嵐製麺,966-0826,福島県,喜多方市,町尻東7468,0241-22-0457,0241-22-0459,http://www.igarasi-seimen.co.jp/,製造・加工（食料品）,
佐原病院／デイサービスさわら,966-0841,福島県,喜多方市,字さつきが丘101,0241-23-0511,0241-23-3154,http://sawara.or.jp/,介護・福祉,
清水薬草有限会社／薬局,966-0817,福島県,喜多方市,字三丁目4835,0241-22-0533,0241-22-2997,http://www.shimizu89.com/,薬,
有限会社はすぬま,966-0896,福島県,喜多方市,字諏訪208,0241-22-0543,0241-23-3661,http://hasunuma-men.com/,製造・加工（食料品）,
蔵々亭,966-0072,福島県,喜多方市,字北町2906,0241-23-0606,0241-25-7363,http://www.kurakuratei.co.jp/,ラーメン,
山中煎餅本舗,966-0914,福島県,喜多方市,豊川町米室字遠瀬戸4325,0241-22-0614,0241-23-7020,http://yamanakasenbei.justhpbs.jp/,お菓子・スイーツ,
東北実業株式会社会津支店喜多方営業所,966-0056,福島県,喜多方市,字屋敷免3988-4,0241-22-0616,0241-22-0673,http://www.touhokuzitugyou.co.jp/,水道・ガス・電力,
喜多方市／松山公民館,966-0902,福島県,喜多方市,松山町村松字桜清水1974,0241-22-0644,0241-22-0644,http://www.city.kitakata.fukushima.jp/,市区町村機関,
ラーメン一平,966-0902,福島県,喜多方市,松山町村松字石田1453,0241-23-0699,0241-23-0699,http://ippekita.web.fc2.com/,ラーメン,
有限会社北見八郎平商店,966-0852,福島県,喜多方市,天満前8919-1,0241-22-0711,N.A.,http://hachiro-bei.com/,販売・卸（家具・建具等）,
株式会社五十嵐製麺／本店,966-0826,福島県,喜多方市,字町尻東7468,0241-22-0752,0241-22-0459,http://www.igarasi-seimen.co.jp/,製造・加工（食料品）,
喜多方市／押切川公園体育館,966-0094,福島県,喜多方市,字押切1丁目86,0241-23-0771,0241-23-0780,http://www.city.kitakata.fukushima.jp/,武道,
特別養護老人ホームしょうぶ苑,966-0005,福島県,喜多方市,岩月町大都字菖蒲沢3610-1,0241-23-0777,0241-22-0105,http://care-net.biz/,介護・福祉,
喜多方市／ふれあいの家,966-0043,福島県,喜多方市,字上江3646-1,0241-22-0862,0241-22-0862,http://www.kitakata-shakyo.or.jp/,市区町村機関,
株式会社ダイゴ／本社,966-0848,福島県,喜多方市,字一本木下7817,0241-22-0863,0241-24-2680,https://daigokogyo.wixsite.com/kitakata,総合・職別工事業,
株式会社河京,966-0902,福島県,喜多方市,松山町村松字常盤町2681,0241-22-0875,0241-22-0853,http://www.ramenkan.com/,食料品,
穴澤建設株式会社,966-0902,福島県,喜多方市,松山町村松上川原3417-1,0241-22-0881,0241-22-0984,http://www.anazawakensetsu.co.jp/,総合・職別工事業,
喜多方市／第二保育所,966-0857,福島県,喜多方市,字町西8961-2,0241-22-0886,0241-22-0886,http://www.city.kitakata.fukushima.jp/,幼稚園・保育施設,
