▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社イズミ,306-0635,茨城県,坂東市,小泉706,0297-38-0001,0297-38-0002,http://www.izumi.co.jp/,ガーデニング,
坂東市立／生子菅小学校,306-0504,茨城県,坂東市,生子2219,0280-88-0001,N.A.,http://www.bando.ed.jp/,小・中・高・大学等,
株式会社スガヌマ薬局,306-0631,茨城県,坂東市,岩井4443,0297-35-0003,0297-35-2093,http://www.suganuma-yakkyoku.com/,薬,
坂東市立／岩井第一小学校,306-0631,茨城県,坂東市,岩井2029-1,0297-35-0019,0297-36-3085,http://www.bando.ed.jp/,小・中・高・大学等,
暁厚生園,306-0515,茨城県,坂東市,沓掛334,0297-44-0022,0297-44-0465,http://www.seifufukushi-akatsuki.jp/,介護・福祉,
JA岩井／岩井支店,306-0631,茨城県,坂東市,岩井2741-3,0297-35-0043,0297-35-7201,http://www.ja-iwai.jp/,組合・団体,
株式会社ワカミヤ,306-0635,茨城県,坂東市,小泉231-3,0297-38-0050,0297-38-0150,http://www.wakamiya.co.jp/,運送・貨物・倉庫,
中山観光トラベルサービス,306-0632,茨城県,坂東市,辺田1521-11,0297-35-0057,0297-35-6732,http://www.nakayama-kanko.com/,交通機関,
古菅,306-0632,茨城県,坂東市,辺田1521-2,0297-34-0075,0297-34-0075,http://kosuge.kakurezato.com/,そば・うどん,
スズキアリーナ坂東,306-0621,茨城県,坂東市,大谷口1094-8,0297-38-0081,0297-38-0177,http://s-trust.info/,自動車販売,
有限会社アートカレンダー,306-0504,茨城県,坂東市,生子1784,0280-88-0130,0280-88-7935,http://www.artcalendar-pr.com/,印刷・出版,
JA岩井／弓馬田支店,306-0605,茨城県,坂東市,馬立1027-1,0297-35-0134,0297-35-7201,http://www.ja-iwai.jp/,組合・団体,
中屋,306-0631,茨城県,坂東市,岩井4555,0297-35-0138,03-3841-7120,http://www.nakaya.co.jp/,魚料理,
カルゲン会さしま,306-0505,茨城県,坂東市,菅谷1389,0280-88-0145,0280-88-0852,http://www.calgenkai-sashima.jp/,組合・団体,
リフォメックスナカヤマ有限会社,306-0631,茨城県,坂東市,岩井4624-4,0297-35-0148,0297-35-0028,http://www.reformex-n.com/,燃料,
株式会社ビューティいいだ,306-0631,茨城県,坂東市,岩井4619,0297-35-0149,0297-35-9710,http://www.beauty-iida.co.jp/,美容院・理容店・毛髪業,
日東電線工業株式会社,N.A.,茨城県,坂東市,辺田1403-1,0297-35-0225,0297-35-8815,http://www.nittodensen.co.jp/,製造・加工（鉄鋼製品）,
森島司法書士行政書士事務所,306-0632,茨城県,坂東市,辺田1469-2,0297-35-0258,0297-35-0268,http://morishima-office.com/,士業・コンサルタント,
つむぎ薬局,306-0515,茨城県,坂東市,沓掛2525-7,0297-44-0269,0297-44-0269,http://www.medicabi.net/,薬,
株式会社友愛電気工事,306-0505,茨城県,坂東市,菅谷1010-3,0280-88-0278,0280-88-1059,http://www.yuai-dk.co.jp/,家電,
株式会社野田マルニ,306-0624,茨城県,坂東市,矢作2670-1,0297-38-0281,0297-38-0284,http://www.maruni.com/,家具・インテリア,
有限会社トリマサ,306-0502,茨城県,坂東市,山2477-11,0280-88-0283,0280-88-0574,http://torimasa.co.jp/,製造・加工（食料品）,
慈光学園,306-0504,茨城県,坂東市,生子1617,0280-88-0301,0280-88-1178,http://w3.dreams.ne.jp/,宗教,
八洋食品株式会社,306-0624,茨城県,坂東市,矢作2614-1,0297-38-0303,0297-30-2166,http://www.hachiyo.com/,食料品,
生子青果株式会社,306-0504,茨城県,坂東市,生子800-1,0280-88-0316,0280-88-7203,http://marunama.sakura.ne.jp/,販売・卸（食料品）,
有限会社倉持商店,306-0624,茨城県,坂東市,矢作2695-3,0297-38-0319,0297-34-3040,http://www.kurasho.co.jp/,美術・工芸,
株式会社ホソダ,306-0631,茨城県,坂東市,岩井4106,0297-35-0328,N.A.,http://www.hosoda-nouki.com/,製造・加工（工作機械・一般機械器具）,
岩井幼稚園,306-0631,茨城県,坂東市,岩井4678-3,0297-35-0334,0297-23-1404,http://www.iwai.ed.jp/,幼稚園・保育施設,
ばんどう紅茶園,306-0504,茨城県,坂東市,生子3235-1,0280-88-0340,N.A.,http://www.bandokochaen.com/,販売・卸（食料品）,
堀種苗店,306-0631,茨城県,坂東市,岩井4458,0297-35-0344,0297-36-3444,http://www.taneya3.com/,ガーデニング,
太陽鉱油株式会社／芽吹大橋SS,306-0625,茨城県,坂東市,莚打1568-1,0297-38-0351,0297-38-0355,http://www.taiyo-koyu.co.jp/,ガソリンスタンド,
JA岩井／長須支店,306-0645,茨城県,坂東市,長須3649-4,0297-35-0354,0297-35-7201,http://www.ja-iwai.jp/,組合・団体,
猪瀬綜合セミナー,306-0515,茨城県,坂東市,沓掛820-1,0297-44-0373,0297-44-2372,http://inose-seminar.com/,塾・予備校,
松原眼科,306-0631,茨城県,坂東市,岩井4942-2,0297-35-0448,0297-35-0448,http://www.matsubara-ganka.com/,眼科,
三協フロンテア株式会社スペースナビ岩井店,306-0635,茨城県,坂東市,小泉977,0297-38-0469,0297-38-2928,http://www.sankyofrontier.com/,リフォーム,
野村産業株式会社,306-0504,茨城県,坂東市,生子2702,0280-88-0511,0280-88-0035,http://www.nihoncha.co.jp/,製造・加工（食料品）,
のむらの茶園,306-0504,茨城県,坂東市,生子2702,0280-88-0512,0280-88-0035,http://www.nihoncha.co.jp/,華道・茶道,
有限会社いしつか薬局,306-0631,茨城県,坂東市,岩井3292-18,0297-36-0515,0297-36-0525,http://www5.plala.or.jp/,薬,
株式会社平和堂,N.A.,茨城県,坂東市,小泉775-1,0297-38-0551,N.A.,http://www.heiwado-net.co.jp/,その他サービス,
株式会社平和堂,N.A.,茨城県,坂東市,小泉775-1,0297-38-0552,N.A.,http://www.heiwado-net.co.jp/,その他サービス,
株式会社スズモク,306-0504,茨城県,坂東市,生子717-2,0280-88-0554,N.A.,http://www.8341ie.com/,総合・職別工事業,
ホスピタル坂東／地域医療連携室,306-0515,茨城県,坂東市,沓掛411,0297-44-0555,0297-44-0162,http://www.hp-bando.jp/,医院・診療所・療養所,
株式会社すぎのや,306-0631,茨城県,坂東市,岩井4215-1,0297-36-0556,0297-35-8412,http://www.suginoya.com/,レストラン,
茨城むつみ農協／猿島地区営農センター,306-0502,茨城県,坂東市,山2850,0280-88-0584,0280-88-7668,http://www.jamutsumi.com/,組合・団体,
坂東市役所／猿島体育館,306-0502,茨城県,坂東市,山2724,0280-88-0596,0297-35-8201,http://www.city.bando.lg.jp/,市区町村機関,
ミラノピザコーンズ坂東店,306-0631,茨城県,坂東市,岩井3294-2,0297-35-0599,N.A.,http://demae-can.com/,弁当・宅配,
神田山歯科クリニック,306-0617,茨城県,坂東市,神田山1427-1,0297-36-0605,N.A.,http://www.kadoyama-shika.com/,歯科系,
片山特殊鍛工株式会社,306-0502,茨城県,坂東市,山2178,0280-88-0611,0280-88-0288,http://katayama-forge.co.jp/,製造・加工（輸送機械器具）,
アイビーハウジング株式会社,306-0631,茨城県,坂東市,岩井2763-1,0297-35-0621,0297-36-2690,http://www.ivyhousing.jp/,不動産,
株式会社マナカ商事,306-0624,茨城県,坂東市,矢作2900,0297-38-0631,0297-38-0647,http://www.manaka.co.jp/,製造・加工（食料品）,
株式会社めふき重機販売,306-0625,茨城県,坂東市,莚打1589-1,0297-38-0653,N.A.,http://www.mefuki.com/information.html,製造・加工（工作機械・一般機械器具）,
家庭犬の学校サカタドッグスクール,306-0617,茨城県,坂東市,神田山1089-6,0297-36-0691,0297-36-0691,http://www.sakata-dogschool.com/,犬訓練所,
新東京ゴルフクラブ,306-0607,茨城県,坂東市,弓田3377,0297-35-0711,0297-35-0712,http://www.shintokyogc.jp/,ゴルフ,
オンリーワン（NPO法人）,306-0515,茨城県,坂東市,沓掛1805-1,0297-44-0722,0297-44-0722,http://npo-onlyone.com/,介護・福祉,
サンリット工営株式会社,306-0624,茨城県,坂東市,矢作字上根島3161-2,0297-38-0731,0297-38-0732,http://www.sunlit-co.co.jp/,製造・加工（建築資材）,
