▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社マルハラ,985-0015,宮城県,塩竈市,中の島61,0223-64-0015,0223-64-8402,http://www.maruhara.co.jp/,販売・卸（建設資材）,
額椽手芸のやまだ屋,985-0052,宮城県,塩竈市,本町10-29,022-362-0054,022-362-0054,http://momiji-yamadaya.co.jp/,美術・工芸,
有限会社新港宅建,985-0004,宮城県,塩竈市,藤倉2丁目16-46,022-367-0074,022-366-5942,http://www.mrdgold.com/,不動産,
株式会社トヨタレンタリース仙台塩釜店,985-0024,宮城県,塩竈市,錦町7-36,022-364-0100,022-232-0188,http://www.r-sendai.co.jp/,リース・レンタル,
カットショップビートル,985-0065,宮城県,塩竈市,向ケ丘11-1,022-367-0107,N.A.,http://www.biu-g.co.jp/,美容院・理容店・毛髪業,
第二管区海上保安本部,985-0011,宮城県,塩竈市,貞山通3丁目4-1,022-363-0111,022-365-1341,http://www.kaiho.mlit.go.jp/,官公署,
宮城海上保安部,985-0011,宮城県,塩竈市,貞山通3丁目4-1,022-363-0114,022-366-1801,http://www.kaiho.mlit.go.jp/,官公署,
塩釜地区消防事務組合／消防本部,985-0021,宮城県,塩竈市,尾島町17-22,022-361-0119,022-365-1190,http://sioshou.jp/,消防・警察,
塩釜地区機船漁業協同組合,985-0001,宮城県,塩竈市,新浜町1丁目13-1,022-365-0131,022-365-0131,http://www.shiogama.or.jp/,組合・団体,
サン福祉工房株式会社下山勘之亟商店,985-0003,宮城県,塩竈市,北浜4丁目5-25,022-364-0151,022-364-0152,http://www.sunfukushi.co.jp/,介護・福祉,
株式会社ザイエンス東北営業所,985-0015,宮城県,塩竈市,中の島4-13,022-365-0151,022-365-0154,http://www.xyence.co.jp/,総合・職別工事業,
カネヨ山野辺水産株式会社,985-0005,宮城県,塩竈市,杉の入4丁目1-88,022-366-0171,022-361-1722,http://kaneyo-yamanobe.co.jp/,食料品,
宮城県漁業協同組合／塩釜市第一支所,985-0003,宮城県,塩竈市,北浜1丁目1-12,022-365-0181,022-365-8011,http://www.jf-miyagi.com/,組合・団体,
宮城県／塩釜女子高等学校,985-0056,宮城県,塩竈市,泉ケ岡7-1,022-362-0188,022-362-0189,https://shioko.myswan.ed.jp/,小・中・高・大学等,
永佐化工株式会社仙台営業所,985-0001,宮城県,塩竈市,新浜町2丁目2-32-2,022-367-0191,022-367-0315,http://www.nagasa.co.jp/,製造・加工（その他）,
