▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
谷口産婦人科・小児科・皮フ科医院,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺1038,028-675-0005,028-675-6077,http://taniguchiiin.jp/,産科・婦人科系,
高根沢町立／阿久津中学校,329-1234,栃木県,塩谷郡高根沢町,大字中阿久津1470,028-675-0014,028-675-7150,http://www.takane-ed.jp/,小・中・高・大学等,
高根沢町立／北小学校,329-1205,栃木県,塩谷郡高根沢町,大字飯室876,028-676-0014,028-676-0174,http://schit.net/,小・中・高・大学等,
株式会社仁井田観光,329-1203,栃木県,塩谷郡高根沢町,伏久472,028-676-0021,028-676-2812,http://www.niitakanko.co.jp/,旅行業・代理店,
朝日屋本店,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2368,028-675-0030,028-675-0072,http://www.asahiyahonten.co.jp/,お菓子・スイーツ,
JAしおのや／阿久津支店,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2384-15,028-675-0038,028-681-1409,http://www.ja-shionoya.or.jp/,組合・団体,
高根沢町立／阿久津小学校,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺1178,028-675-0046,028-675-7129,http://schit.net/,小・中・高・大学等,
高根沢町立／中央小学校,329-1225,栃木県,塩谷郡高根沢町,大字石末2247-1,028-675-0047,028-675-7136,http://www.takane-ed.jp/,小・中・高・大学等,
有限会社サンユーグリーン産業,329-1233,栃木県,塩谷郡高根沢町,宝積寺2384-17,028-675-0052,028-675-1927,http://sunyougreen.jp/,ガーデニング,
OA再生館,329-1225,栃木県,塩谷郡高根沢町,大字石末912-3,028-675-0101,N.A.,http://www.kmscopy.net/,OA機器,
株式会社エースステージ,329-1206,栃木県,塩谷郡高根沢町,平田1064-20,028-676-0120,028-676-8666,http://www.acestage.co.jp/,その他サービス,
高根沢町／ひまわり保育園,329-1205,栃木県,塩谷郡高根沢町,大字飯室500,028-676-0123,028-678-3643,http://makotoyawaragikai.or.jp/,幼稚園・保育施設,
エイブルネットワーク高根沢店,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2339-16,028-675-0142,028-675-0179,http://shop.able.co.jp/,不動産,
有限会社レーシングサービスYASU,329-1216,栃木県,塩谷郡高根沢町,大字桑窪2170,028-676-0195,N.A.,http://www.rs-yasu.jp/,車検・整備・修理,
JAしおのや／高根沢支店,329-1217,栃木県,塩谷郡高根沢町,大字太田746-1,028-676-0232,028-681-1409,http://www.ja-shionoya.or.jp/,組合・団体,
加藤理容店,329-1206,栃木県,塩谷郡高根沢町,大字平田2008-10,028-676-0247,N.A.,http://www.bombom.co.jp/,美容院・理容店・毛髪業,
スズキアリーナ高根沢,329-1206,栃木県,塩谷郡高根沢町,大字平田1859-1,028-676-0278,028-676-0207,http://suzukiarena-takanezawa.com/,自動車販売,
菅又病院,329-1207,栃木県,塩谷郡高根沢町,大字花岡2351,028-676-0311,028-676-2399,http://www.sugamatahp.com/,総合病院,
親和幼稚園,329-1206,栃木県,塩谷郡高根沢町,平田1898-2,028-676-0339,028-676-3222,http://youchien.or.jp/,幼稚園・保育施設,
高根沢町立／東小学校,329-1217,栃木県,塩谷郡高根沢町,大字太田715,028-676-0342,028-676-0872,http://www.takane-ed.jp/,小・中・高・大学等,
安住神社参集殿,329-1224,栃木県,塩谷郡高根沢町,大字上高根沢2313,028-675-0357,028-675-4460,http://yasuzumi.com/,宗教,
東和ランドテック株式会社,329-1213,栃木県,塩谷郡高根沢町,大字下柏崎388-5,028-676-0461,N.A.,http://www.towalt.com/,ガーデニング,
株式会社アイデクト,329-1207,栃木県,塩谷郡高根沢町,花岡512-2,028-676-0467,028-676-2412,http://www.aidect.com/,広告・マーケティング,
栃木県立／高根沢高等学校,329-1204,栃木県,塩谷郡高根沢町,大字文挾32-2,028-676-0531,028-676-0820,http://www.tochigi-edu.ed.jp/,小・中・高・大学等,
株式会社栃木カートン,329-1225,栃木県,塩谷郡高根沢町,石末1831,028-675-0541,028-675-4017,http://www.tochigi-carton.co.jp/,製造・加工（木製品・紙・パルプ関連）,
宇都宮みんみん高根沢店,329-1232,栃木県,塩谷郡高根沢町,光陽台1丁目9-4,028-675-0609,0120-88-3216,http://www.minmin.co.jp/,レストラン,
高根沢町立／上高根沢小学校,329-1224,栃木県,塩谷郡高根沢町,大字上高根沢2080,028-675-0648,028-675-7139,http://schit.net/,小・中・高・大学等,
深澤クリニック,329-1206,栃木県,塩谷郡高根沢町,大字平田1920-1,028-676-0671,N.A.,http://www.fukasawaclinic.or.jp/,医院・診療所・療養所,
公文式／西町・宝石台教室,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺1119-4,028-675-0751,N.A.,http://www.kumon.ne.jp/,塾・予備校,
那須バイオファーム,329-1207,栃木県,塩谷郡高根沢町,大字花岡1626-1,028-676-0770,028-676-3090,http://nasbiofarm.jp/?transactionid=5b79e015c8112ff447871919f9bfa5eee46fc632,販売・卸（食料品）,
ドラッグウエル高根沢店,329-1232,栃木県,塩谷郡高根沢町,光陽台3丁目11-1,028-675-0954,N.A.,http://www.daiso-sangyo.co.jp/,薬,
宇都宮ガーデンゴルフクラブ,329-1204,栃木県,塩谷郡高根沢町,大字文挾764-3,028-676-1011,028-676-1012,http://www.uggc.jp/,ゴルフ,
ファッションセンターしまむら／高根沢店,329-1231,栃木県,塩谷郡高根沢町,宝石台3丁目14-4,028-680-1020,N.A.,http://www.shimamura.gr.jp/,洋服,
ファミリーマート高根沢宝積寺店,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2241-29,028-680-1071,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
グループたすけあいエプロン,329-1207,栃木県,塩谷郡高根沢町,大字花岡1503-3,028-676-1100,028-676-1139,http://www.lsnet.ne.jp/top/,介護・福祉,
株式会社セレモニー宝典,329-1232,栃木県,塩谷郡高根沢町,光陽台4丁目17-5,028-675-1101,028-675-4682,http://www.houten.co.jp/,仏壇・仏具・神具,
宮内庁御料牧場,329-1224,栃木県,塩谷郡高根沢町,大字上高根沢6020,028-675-1111,028-675-1113,http://www.kunaicho.go.jp/,官公署,
ガスト／高根沢店,329-1231,栃木県,塩谷郡高根沢町,宝石台1丁目7-2,028-680-1118,N.A.,http://www.skylark.co.jp/,レストラン,
元気寿司／高根沢店,329-1232,栃木県,塩谷郡高根沢町,光陽台1丁目9-7,028-675-1121,028-675-1121,http://www.genkisushi.co.jp/,中華・中国料理,
高根沢中央病院,329-1232,栃木県,塩谷郡高根沢町,光陽台3丁目16-1,028-675-1133,028-675-8666,http://www.takanezawa-chuo.jp/,総合病院,
株式会社足利銀行／宝積寺支店,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2366,028-675-1155,N.A.,http://www.ashikagabank.co.jp/,金融・郵貯・貸金,
株式会社司工業,N.A.,栃木県,塩谷郡高根沢町,大字石末1180,028-675-1179,N.A.,http://www.tsukasa-kogyo.co.jp/,建設業・工務店,
ほっともっと高根沢宝石台店,329-1231,栃木県,塩谷郡高根沢町,宝石台3丁目1-7,028-680-1187,028-68-1188,http://www.hottomotto.com/,弁当・宅配,
フロンティア動物病院,329-1232,栃木県,塩谷郡高根沢町,光陽台5丁目1-13,028-675-1212,N.A.,http://www14.plala.or.jp/,動物病院・獣医師,
ゴルフパートナー高根沢ゴルフパーク店,329-1225,栃木県,塩谷郡高根沢町,大字石末637-1,028-680-1215,028-675-4840,http://www.golfpartner.co.jp/,ゴルフ,
テイ・エステック株式会社,329-1217,栃木県,塩谷郡高根沢町,大字太田118-1,028-676-1234,028-676-1449,http://www.tstech.co.jp/,製造・加工（輸送機械器具）,
有限会社見目石材工業,329-1217,栃木県,塩谷郡高根沢町,大字太田888,028-676-1235,028-676-1269,http://www.kenmoku.jp/,建材,
リオン・ドール／高根沢店,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2337,028-675-1251,028-649-1172,http://www.liondor.jp/,コンビニ・スーパー・デパート,
東京靴流通センター高根沢店,329-1231,栃木県,塩谷郡高根沢町,宝石台3丁目1-1,028-680-1292,028-680-1292,http://www.chiyodagrp.co.jp/,靴・かばん・小物,
タイガースポリマー株式会社,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2150,028-675-1311,028-675-1313,http://tigers.jp/,製造・加工（化学・プラスチック）,
酪農とちぎ農業協同組合／ふれあい牧場,329-1213,栃木県,塩谷郡高根沢町,大字下柏崎541,028-676-1439,028-676-2949,http://www.rakunoutochigi.com/,組合・団体,
株式会社ケーヒン／栃木開発センター,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2021-8,028-680-1500,028-680-1520,http://www.keihin-corp.co.jp/,製造・加工（輸送機械器具）,
マニー株式会社,329-1234,栃木県,塩谷郡高根沢町,大字中阿久津743番地,028-675-1511,N.A.,http://www.mani.co.jp/,製造・加工（電子・精密機械器具）,
有限会社高根沢金型,329-1206,栃木県,塩谷郡高根沢町,平田1064-12,028-676-1590,N.A.,http://www.kanagata.jp/,製造・加工（工作機械・一般機械器具）,
株式会社計測技研,329-1233,栃木県,塩谷郡高根沢町,宝積寺2021-5,028-680-1611,N.A.,http://www.kgc.co.jp/,製造・加工（工作機械・一般機械器具）,
有限会社ダガグラフィック,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2021-5,028-680-1621,028-680-1610,http://www.dagagraphics.com/,IT・情報通信,
塩谷広域行政組合／高根沢消防署,329-1225,栃木県,塩谷郡高根沢町,大字石末898-3,028-675-1711,028-675-2142,http://www.shioyakouiki.or.jp/,消防・警察,
株式会社仙波工業,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2331,028-675-1722,028-660-0777,http://www.senbakk.jp/,家電,
サロンドカーシュカーシュ,329-1231,栃木県,塩谷郡高根沢町,宝石台3丁目14-3,028-675-1874,N.A.,http://www.salon-de-cache-cache.com/,美容院・理容店・毛髪業,
鬼怒グリーンパーク,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺861,028-675-1909,028-675-5604,http://www.park-tochigi.com/,アウトドア,
JAしおのや／高根沢地区営農生活センター／たんたんプラザ光陽台,329-1232,栃木県,塩谷郡高根沢町,光陽台1丁目9-3,028-680-1910,028-681-1409,http://www.ja-shionoya.or.jp/,組合・団体,
株式会社オータニ／宝積寺店,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺1164-2,028-675-1911,N.A.,http://www.sp-otani.com/,コンビニ・スーパー・デパート,
有限会社サンユーグリーン産業,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2384-12,028-675-1927,028-675-1987,http://sunyougreen.jp/,ガーデニング,
SSCT,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2034-14,028-680-2000,028-680-2022,http://www.ssct.co.jp/,電話・通信,
ツクイ高根沢,329-1231,栃木県,塩谷郡高根沢町,宝石台3丁目10-5,028-680-2003,028-680-2004,http://www.tsukui.net/,介護・福祉,
高根沢皮フ科クリニック,329-1231,栃木県,塩谷郡高根沢町,宝石台2丁目5-18,028-675-2111,N.A.,http://takanezawa-skin-clinic.com/,皮膚科・アレルギー科,
イエローハット／高根沢店,329-1232,栃木県,塩谷郡高根沢町,光陽台3丁目15-3,028-675-2131,028-675-5533,http://www.yellowhat.jp/,車検・整備・修理,
有限会社高根沢ゴルフパーク,329-1225,栃木県,塩谷郡高根沢町,大字石末637-1,028-675-2140,028-675-4840,http://www.ne.jp/,ゴルフ,
フタバ飼料株式会社,329-1217,栃木県,塩谷郡高根沢町,大字太田1189番地,028-676-2280,028-676-2284,http://www.futabafeed.co.jp/,製造・加工（その他）,
長生療院,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2329-5,028-675-2283,03-3738-1768,http://www.chousei.ac.jp/,整体等各種療術,
栃木トヨペット株式会社／高根沢店,329-1225,栃木県,塩谷郡高根沢町,大字石末2241-1,028-675-2401,N.A.,http://tochigi-toyopet.toyota-dealers.jp/,自動車販売,
ファミリーマート高根沢宝石台店,329-1231,栃木県,塩谷郡高根沢町,宝石台4丁目13-9,028-680-2611,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
美容室プリネオ,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺2338-13,028-675-2673,028-675-7311,http://purineo.at-ninja.jp/,美容院・理容店・毛髪業,
株式会社カキヌマ,329-1233,栃木県,塩谷郡高根沢町,大字宝積寺1819-1,028-680-2700,N.A.,http://www.shaken-daigaku.jp/,ガソリンスタンド,
中央発條株式会社,329-1231,栃木県,塩谷郡高根沢町,宝石台1-7-3,028-680-2721,028-675-7471,http://www.chkk.co.jp/,製造・加工（鉄鋼製品）,
