▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ネッツトヨタ仙台株式会社塩釜店,985-0872,宮城県,多賀城市,伝上山1丁目14-21,022-367-0010,022-367-3955,http://www.netz-sendai.jp/,自動車販売,
うまい鮨勘多賀城支店,985-0833,宮城県,多賀城市,栄2丁目3-3,022-367-0013,022-367-0014,http://www.sushikan.co.jp/,中華・中国料理,
株式会社多賀城ハウジングセンター,985-0863,宮城県,多賀城市,東田中2丁目40-40,022-363-0030,022-365-0077,http://www.taga-hou.co.jp/,ビルメンテナンス,
タイヤ館ルート45,985-0874,宮城県,多賀城市,八幡2丁目17-29,022-364-0045,022-364-0045,http://miyagi.taiyakan-shop.jp/,カー用品,
有限会社加藤鉄工所,N.A.,宮城県,多賀城市,町前二丁目4番25号,022-362-0058,N.A.,http://www.katotetsu.co.jp/,建設業・工務店,
ヤマザワ多賀城店,985-0865,宮城県,多賀城市,城南2丁目14-7,022-389-0066,022-389-0171,http://yamazawa.co.jp/,コンビニ・スーパー・デパート,
ペットサロン-キラ星,985-0832,宮城県,多賀城市,大代6丁目1-22,022-364-0077,N.A.,http://petsalon-kiraboshi.com/,ペット美容室,
せいの歯科医院,985-0863,宮城県,多賀城市,東田中2丁目40-32-G-102,022-365-0099,022-365-0099,http://www.real-dent.com/,歯科系,
東北歴史博物館,985-0862,宮城県,多賀城市,高崎1丁目22-1,022-368-0101,022-368-0103,http://www.thm.pref.miyagi.jp/enter_top.html,都道府県機関,
東北歴史博物館／宮城県多賀城跡調査研究所,985-0862,宮城県,多賀城市,高崎1丁目22-1,022-368-0102,022-368-0104,http://www.thm.pref.miyagi.jp/enter_top.html,都道府県機関,
東北歴史博物館／管理部,985-0862,宮城県,多賀城市,高崎1丁目22-1,022-368-0106,022-368-0103,http://www.thm.pref.miyagi.jp/enter_top.html,都道府県機関,
有限会社カギハシ,985-0832,宮城県,多賀城市,大代3丁目8-70,022-365-0110,022-365-0119,http://www.kagihashi.co.jp/,防犯・防火,
東洋建設株式会社宮城営業所,985-0874,宮城県,多賀城市,八幡4丁目4-15,022-363-0127,022-246-9212,http://www.toyo-const.co.jp/,リフォーム,
多賀城市文化センター市民会館,985-0873,宮城県,多賀城市,中央2丁目27-1,022-368-0132,022-368-0132,http://tagajo-bunka.jp/,映画・劇場・会館,
多賀城市／中央公民館,985-0873,宮城県,多賀城市,中央2丁目27-1,022-368-0133,022-368-0132,http://www.city.tagajo.miyagi.jp/,市区町村機関,
多賀城市埋蔵文化財調査センター,985-0873,宮城県,多賀城市,中央2丁目27-1,022-368-0134,022-368-0134,http://www.city.tagajo.miyagi.jp/,博物館・美術館,
洋服の青山新多賀城店,985-0845,宮城県,多賀城市,町前2丁目3-2,022-363-0150,N.A.,http://www.aoyama-syouji.co.jp/,洋服,
一般社団法人日本海事検定協会,985-0874,宮城県,多賀城市,八幡3丁目11番3号,022-367-0151,022-364-6010,http://www.nkkk.or.jp/,運送・貨物・倉庫,
多賀城消防署,985-0841,宮城県,多賀城市,鶴ケ谷1丁目10-1,022-366-0177,022-366-0178,http://sioshou.jp/,消防・警察,
笠井皮膚科,985-0863,宮城県,多賀城市,東田中2丁目40-32-105,022-364-0180,N.A.,http://www.hifuka23.net/,皮膚科・アレルギー科,
日本フィルター工業株式会社,985-8543,宮城県,多賀城市,宮内1丁目4番20,022-365-0195,022-367-1773,http://www.jft-l.co.jp/,製造・加工（その他）,
ファミリーマート多賀城育英高校前店,985-0853,宮城県,多賀城市,高橋5丁目5-3,022-389-0225,022-217-6731,http://www.family.co.jp/,コンビニ・スーパー・デパート,
株式会社アシスト・プロ,985-0843,宮城県,多賀城市,明月1丁目1-29,022-361-0265,022-361-0267,http://assist-p.jp/,中古車・買取,
ツルハドラッグ多賀城町前店,985-0845,宮城県,多賀城市,町前2丁目6-5,022-361-0268,N.A.,http://www.tsuruha.co.jp/,薬,
介護付有料老人ホーム・ウェルフェアー多賀城,985-0845,宮城県,多賀城市,町前2丁目2-5,022-361-0277,022-361-0278,http://www.wff.co.jp/,介護・福祉,
ダイシャリン多賀城店,985-0835,宮城県,多賀城市,下馬5丁目1-12,022-365-0287,022-365-2260,http://www.daisharin.co.jp/,自転車,
株式会社エイト・テクノロジー,985-0845,宮城県,多賀城市,町前3丁目2番10号,022-364-0309,022-364-0449,http://www.eight-gp.co.jp/,印刷・出版,
利久多賀城店,985-0845,宮城県,多賀城市,町前1丁目3-5,022-361-0311,022-361-0311,http://www.rikyu-gyutan.co.jp/,肉料理,
社団法人宮城県安全運転管理者協会,985-0841,宮城県,多賀城市,鶴ケ谷1丁目4-1-2F,022-361-0313,022-362-3801,http://kenankan.or.jp/,組合・団体,
セイホクビルド株式会社,985-0833,宮城県,多賀城市,栄2丁目2-13,022-361-0330,022-361-0339,http://www.seihoku.gr.jp/,製造・加工（木製品・紙・パルプ関連）,
大代保育園,985-0832,宮城県,多賀城市,大代1丁目4-3,022-362-0356,022-362-0345,http://ooshiro143.exblog.jp/,幼稚園・保育施設,
セカンドストリート多賀城店,985-0874,宮城県,多賀城市,八幡1丁目3-48,022-361-0411,N.A.,http://www.2ndstreet.jp/,リサイクルショップ,
有限会社城不動産商事,985-0854,宮城県,多賀城市,新田字上75-3,022-368-0422,022-368-0555,http://joufudousan.com/,不動産,
有限会社城不動産商事,985-0854,宮城県,多賀城市,新田字上75-3,0223-68-0422,0223-68-0555,http://joufudousan.com/,不動産,
ほっともっと多賀城中央店,985-0873,宮城県,多賀城市,中央3丁目16-5,022-389-0431,022-389-0433,http://www.hottomotto.com/,弁当・宅配,
やきとり大吉多賀城高崎店,985-0862,宮城県,多賀城市,高崎3丁目35-20,022-309-0479,N.A.,http://www.daikichi.co.jp/,肉料理,
健康倶楽部多賀城居宅介護支援事業所,985-0862,宮城県,多賀城市,高崎2丁目1-41-201,022-368-0535,022-368-0635,http://www.altidea.com/,介護・福祉,
グリーン・ゲイブル,985-0862,宮城県,多賀城市,高崎1丁目22-1,022-368-0616,022-368-0616,http://www.green-gable.jp/,レストラン,
東北歴史博物館／学芸部,985-0862,宮城県,多賀城市,高崎1丁目22-1,022-389-0627,022-368-0109,http://www.thm.pref.miyagi.jp/enter_top.html,都道府県機関,
たかゆ整骨院,985-0863,宮城県,多賀城市,東田中1丁目15-9,022-354-0702,022-354-0702,http://www.takayu.net/,整体等各種療術,
学校法人柏木学園,985-0832,宮城県,多賀城市,大代5-18-24,0223-62-0732,0223-66-1416,http://www.kashiwa-k.jp/,幼稚園・保育施設,
柏木神社,985-0832,宮城県,多賀城市,大代5丁目17-50,022-362-0732,022-366-1416,http://www.kashiwa-k.jp/,宗教,
株式会社酒のやまや／多賀城高橋店,985-0853,宮城県,多賀城市,高橋4丁目5-2,022-389-0751,N.A.,http://www.yamaya.jp/,酒・飲料品,
チャンプ学習スクール仙台東校,985-0853,宮城県,多賀城市,高橋4丁目2-2,022-389-0755,N.A.,http://www.champ.jp/,塾・予備校,
ラフィネジャスコ多賀城店,985-0845,宮城県,多賀城市,町前4丁目1-1-3F,022-363-0761,N.A.,http://www.bodywork.co.jp/,美容・コスメ,
多賀城市／鶴ケ谷児童館,985-0841,宮城県,多賀城市,鶴ケ谷1丁目10-5,022-362-0763,022-362-0763,https://www.city.tagajo.miyagi.jp/,市区町村機関,
うさちゃんクリーニングイオン多賀城店,985-0845,宮城県,多賀城市,町前4丁目1-1,022-366-0780,N.A.,http://www.usachan-shop.jp/,住まいのクリーニング,
株式会社藤原清掃,N.A.,宮城県,多賀城市,下馬四丁目7-7,022-364-0827,022-366-8343,http://www.fujiwara-seisou.com/,その他サービス,
株式会社藤原清掃,985-0835,宮城県,多賀城市,下馬4-7-7,0223-64-0827,0223-66-8343,http://www.fujiwara-seisou.com/,ゴミ収集・資源回収,
市川永光,985-0864,宮城県,多賀城市,市川字奏社1,022-368-0841,022-368-0841,http://sousyanomiya.jp/,宗教,
ハローワーク塩釜多賀城市地域職業相談室,985-0873,宮城県,多賀城市,中央2丁目25-3,022-389-0860,022-389-0870,http://www.city.tagajo.miyagi.jp/,官公署,
田中産業株式会社,985-0842,宮城県,多賀城市,桜木1丁目4-17,022-290-0876,022-366-6088,http://www.tanakasangyo.com/,販売・卸（その他）,
有限会社ガレージグレードワン,985-0861,宮城県,多賀城市,浮島字沢前32-1,022-389-0876,022-389-0877,http://www.g-gradeone.com/,中古車・買取,
日酸TANAKA株式会社,985-0844,宮城県,多賀城市,宮内2-3-2,022-365-0938,022-365-0594,http://nissantanaka.com/,製造・加工（工作機械・一般機械器具）,
株式会社東北マシン,N.A.,宮城県,多賀城市,栄3-4-1,022-352-0952,022-352-0953,http://www.tohoku-machine.com/,製造・加工（工作機械・一般機械器具）,
ミニストップ多賀城八幡3丁目店,985-0874,宮城県,多賀城市,八幡3丁目3-7,022-366-1000,N.A.,http://www.ministop.co.jp/,コンビニ・スーパー・デパート,
成沢歯科医院,985-0854,宮城県,多賀城市,新田字後12-12,022-389-1015,N.A.,http://www.narisawa-dc.net/,歯科系,
dogwoodエル,985-0865,宮城県,多賀城市,城南2丁目14-34,022-368-1020,022-391-3150,http://www.dogwood-jp.com/,ペットショップ,
ガスト多賀城店,985-0872,宮城県,多賀城市,伝上山1丁目14-23,022-361-1026,022-361-1026,http://www.skylark.co.jp/,レストラン,
ファッションセンターしまむら高橋店,985-0853,宮城県,多賀城市,高橋字発向197-1,022-389-1070,N.A.,http://www.shimamura.gr.jp/,洋服,
東北学院大学多賀城キャンパス／情報システム係,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1100,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
宮城日産自動車株式会社多賀城店,985-0845,宮城県,多賀城市,町前2丁目1-6,022-362-1101,022-367-5623,https://ni-miyagi.nissan-dealer.jp/,車検・整備・修理,
東北学院大学多賀城キャンパス／事務室／就職係,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1101,022-368-1118,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
東北学院大学多賀城キャンパス／総務部次長席,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1102,022-368-1100,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
財団法人宮城厚生協会,985-0835,宮城県,多賀城市,下馬2-13-7,0223-61-1113,0223-61-1124,http://www.m-kousei.com/,医院・診療所・療養所,
東北学院大学多賀城キャンパス／事務室／庶務係,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1116,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
東北学院大学多賀城キャンパス／事務室／管財係,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1117,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
東北学院大学多賀城キャンパス／事務室／学務係,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1119,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
東北学院大学多賀城キャンパス／事務室／学生厚生係,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1120,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
東北学院大学多賀城キャンパス／研究機関事務課／バイオテクノロジー・リサーチ・コモン,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1132,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
東北学院大学多賀城キャンパス／事務室／保健室,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1139,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
多賀城市土地開発公社,985-0873,宮城県,多賀城市,中央2-1-1,0223-68-1141,0223-68-8104,http://www.city.tagajo.miyagi.jp/,不動産,
多賀城市役所,985-0873,宮城県,多賀城市,中央2丁目1-1,022-368-1141,022-309-2460,http://www.city.tagajo.miyagi.jp/,市区町村機関,
メイクランド,985-0845,宮城県,多賀城市,町前3丁目6-25,022-365-1142,022-365-1179,http://www.makeland.jp/,美容・コスメ,
セブンイレブン／多賀城桜木店,985-0842,宮城県,多賀城市,桜木3丁目3-36,022-366-1144,022-288-5787,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
東北学院大学多賀城キャンパス／研究機関事務課／工学基礎教育センター,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1148,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
株式会社ヨークベニマル多賀城店,985-0853,宮城県,多賀城市,高橋4丁目3-5,022-389-1149,022-389-1148,http://www.yorkbeni.co.jp/,コンビニ・スーパー・デパート,
ありま歯科医院,985-0853,宮城県,多賀城市,高橋4丁目2-1,022-389-1182,022-389-1183,http://www.arima-shika.com/,歯科系,
東北学院大学多賀城キャンパス／図書係,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1206,022-368-0777,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
池田金属工業株式会社仙台営業所,985-0833,宮城県,多賀城市,栄2丁目3-88,022-367-1215,022-362-7749,http://www.ikekin.co.jp/,販売・卸（建設資材）,
東北学院大学多賀城キャンパス／工学部長室,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1215,022-264-3030,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
宮城県／多賀城高等学校,985-0831,宮城県,多賀城市,笠神2丁目17-1,022-366-1225,022-366-1226,https://tagajo-hs.myswan.ed.jp/,小・中・高・大学等,
遠藤マタニティクリニック,985-0845,宮城県,多賀城市,町前2-2-8,022-361-1230,N.A.,http://endo-clinic.jp/,医院・診療所・療養所,
王子コンテナー株式会社仙台工場,985-0844,宮城県,多賀城市,宮内1丁目5-1,022-364-1231,022-367-5334,http://www.oji-container.co.jp/,製造・加工（木製品・紙・パルプ関連）,
東北学院大学多賀城キャンパス／研究機関事務課／工学総合研究所・ハイテク・リサーチ・センター,985-0873,宮城県,多賀城市,中央1丁目13-1,022-368-1268,022-368-1272,http://www.tohoku-gakuin.ac.jp/,小・中・高・大学等,
ツルハドラッグ多賀城店,985-0853,宮城県,多賀城市,高橋4丁目4-1,022-389-1286,N.A.,http://www.tsuruha.co.jp/,薬,
カメイ株式会社カーライフ事業部多賀城SS,985-0845,宮城県,多賀城市,町前3丁目7-20,022-364-1301,022-366-1996,http://www.kamei.co.jp/,ガソリンスタンド,
株式会社北一東事業所,985-0874,宮城県,多賀城市,八幡1丁目3-60,022-361-1307,022-361-1308,http://www.kitaichi.net/,総合・職別工事業,
