▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
上野村立上野小学校,370-1611,群馬県,多野郡上野村,大字新羽32,0274-59-2004,N.A.,http://user.uenomura.ne.jp/,小・中・高・大学等,
ウッディー上野村銘木工芸館,370-1613,群馬県,多野郡上野村,大字勝山127,0274-59-2019,0274-59-2885,http://woody-uenomura.shop-pro.jp/,製造・加工（木製品・紙・パルプ関連）,
やまびこ荘,370-1617,群馬県,多野郡上野村,大字楢原888,0274-59-2027,0274-59-2641,http://user.uenomura.ne.jp/,公共宿泊施設,
上野村森林組合,370-1614,群馬県,多野郡上野村,川和989,0274-59-2074,N.A.,http://ueno-shinrin.org/,組合・団体,
上野村役場,370-1614,群馬県,多野郡上野村,大字川和11,0274-59-2111,0274-59-2470,http://www.uenomura.jp/,博物館・美術館,
上野村役場／かじかの里学園,370-1617,群馬県,多野郡上野村,大字楢原229,0274-59-2137,0274-59-2327,http://www.uenomura.jp/,市区町村機関,
川和自然公園,370-1614,群馬県,多野郡上野村,大字川和665,0274-59-2146,0274-59-2587,http://user.uenomura.ne.jp/,アウトドア,
すりばち荘野栗沢温泉,370-1612,群馬県,多野郡上野村,大字野栗沢506,0274-59-2161,0274-59-2199,http://user.uenomura.ne.jp/,旅館・民宿,
JA上野村本所,370-1613,群馬県,多野郡上野村,大字勝山110,0274-59-2236,0274-59-2106,http://www.ja-uenomura.com/,組合・団体,
鱒池,370-1617,群馬県,多野郡上野村,大字楢原865-5,0274-59-2243,0274-59-2241,http://tm-masuike.com/,釣り,
上野村商工会,370-1614,群馬県,多野郡上野村,大字川和11,0274-59-2254,0274-59-2465,http://www.uenomura.jp/,組合・団体,
上野村クラフトマンショップこかげ,370-1617,群馬県,多野郡上野村,大字楢原316-1,0274-59-2330,0274-59-2330,http://user.uenomura.ne.jp/,製造・加工（木製品・紙・パルプ関連）,
不二野家,370-1614,群馬県,多野郡上野村,大字川和134,0274-59-2379,0274-59-2379,http://user.uenomura.ne.jp/,旅館・民宿,
上野村図書館,370-1611,群馬県,多野郡上野村,大字新羽32,0274-59-2460,0274-59-2460,http://www.uenomura.jp/,図書館,
株式会社上野振興公社,370-1614,群馬県,多野郡上野村,川和665,0274-59-2584,0274-59-2632,http://user.uenomura.ne.jp/,旅館・民宿,
ヴィラせせらぎ,370-1613,群馬県,多野郡上野村,大字勝山684,0274-59-2585,0274-59-2587,http://user.uenomura.ne.jp/,公共宿泊施設,
上野村教育委員会,370-1614,群馬県,多野郡上野村,大字川和11,0274-59-2657,0274-59-2470,http://www.uenomura.jp/,市区町村機関,
JA上野村／焼肉センター,370-1616,群馬県,多野郡上野村,大字乙父891,0274-59-2929,0274-59-2106,http://www.ja-uenomura.com/,組合・団体,
上野村ふれあい館,370-1617,群馬県,多野郡上野村,大字楢原316-1,0274-59-3223,0274-59-3165,http://www.uenomura.jp/,おみやげ,
浜平温泉しおじの湯,370-1617,群馬県,多野郡上野村,大字楢原3487-2,0274-59-3955,0274-59-3977,http://www.uenomura.jp/,その他宿泊施設,
道の駅上野,370-1613,群馬県,多野郡上野村,大字勝山118,0274-20-7021,0274-20-7021,http://www.ktr.mlit.go.jp/,道の駅,
上野村全国郷土玩具館,370-1617,群馬県,多野郡上野村,大字楢原310-1,0274-20-7070,0274-59-2520,http://www.uenomura.jp/,博物館・美術館,
上野村役場／体験学習館,370-1617,群馬県,多野郡上野村,大字楢原310-1,0274-20-7072,0274-59-2520,http://www.uenomura.jp/,市区町村機関,
