▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
加藤歯科クリニック,989-4308,宮城県,大崎市,田尻沼部字新堀136-1,0229-39-0008,0229-39-0422,http://www.real-dent.com/,歯科系,
ネッツトヨタ仙台株式会社古川店,989-6145,宮城県,大崎市,古川北稲葉2丁目11-1,0229-23-0010,0229-22-4746,http://www.netz-sendai.jp/,自動車販売,
有限会社富士東,989-6153,宮城県,大崎市,古川七日町10-1,0229-22-0010,N.A.,http://fuji-to.com/,不動産,
介護老人保健施設アミスタ,989-6173,宮城県,大崎市,古川浦町1-37,0229-22-0015,0229-24-1226,http://www.katakura-hospital.com/,介護・福祉,
財団法人片倉病院,989-6173,宮城県,大崎市,古川浦町1-37,0229-22-0016,N.A.,http://katakura-hospital.com/,医院・診療所・療養所,
石崎屋菓子店,989-6436,宮城県,大崎市,岩出山字二ノ構157,0229-72-0020,0229-72-0023,http://ishizakiya.net/,お菓子・スイーツ,
宮城県精神保健福祉センター,989-6117,宮城県,大崎市,古川旭5丁目7-20,0229-23-0021,0229-23-0388,http://www.pref.miyagi.jp/,都道府県機関,
三陸,989-6162,宮城県,大崎市,古川駅前大通2丁目3-6,0229-22-0025,N.A.,http://www.sanriku.net/,弁当・宅配,
宮城県北部児童相談所,989-6161,宮城県,大崎市,古川駅南2丁目4-3,0229-22-0030,0229-22-0029,http://www.pref.miyagi.jp/,都道府県機関,
社会福祉法人すずかけの里おおさきさくら福祉会,989-4415,宮城県,大崎市,田尻字町浦22,0229-39-0030,0229-39-0050,http://www.suzukakenosato.jp/,介護・福祉,
七十七リース株式会社,989-6162,宮城県,大崎市,古川駅前大通二丁目4番26号,0229-23-0037,0229-23-0046,http://www.77lease.co.jp/,リース・レンタル,
株式会社タイガーカワシマ東北営業所,989-6223,宮城県,大崎市,古川字上古川9-1,0229-24-0038,0276-55-3006,http://www.tiger-k.co.jp/,農業,
古川商工会議所,989-6166,宮城県,大崎市,古川東町5-46,0229-24-0055,0229-24-2820,http://www.furukawa-cci.or.jp/,組合・団体,
宮城ふるさと酒造株式会社,N.A.,宮城県,大崎市,古川馬寄字屋敷3-2,0229-22-0061,0229-23-5426,http://www.furusatoshuzo.com/,製造・加工（その他）,
永仁会病院,989-6117,宮城県,大崎市,古川旭2丁目5-1,0229-22-0063,0229-24-1420,http://www.eijinkai-hp.or.jp/,医院・診療所・療養所,
株式会社河北新報社古川支局,989-6162,宮城県,大崎市,古川駅前大通2丁目6-16,0229-22-0066,022-211-1448,http://www.kahoku.co.jp/,映画・放送・新聞,
ショートステイくるみ,989-6222,宮城県,大崎市,古川若葉町1丁目7-23,0229-23-0067,0229-23-0068,http://www.kurumi-care.com/,介護・福祉,
株式会社ラダック,989-6175,宮城県,大崎市,古川諏訪3丁目8-1,0229-21-0067,0229-21-0068,http://www.ldac.co.jp/,印刷・出版,
マック英語教室,989-6115,宮城県,大崎市,古川駅東1丁目1-21,0229-24-0094,0229-23-0055,http://www.macss.co.jp/,語学,
ホテルルートイン古川駅前,989-6162,宮城県,大崎市,古川駅前大通1丁目4-18,0229-22-0095,0229-22-0090,http://www.route-inn.co.jp/,ホテル・ペンション,
株式会社トヨタレンタリース宮城古川店,989-6162,宮城県,大崎市,古川駅前大通2丁目4-11,0229-23-0100,0229-23-1027,http://www.trl-miyagi.co.jp/,リース・レンタル,
株式会社トヨタレンタリース仙台新古川店,989-6143,宮城県,大崎市,古川中里2丁目9-68,0229-24-0100,0229-24-4090,http://www.r-sendai.co.jp/,リース・レンタル,
郵便局株式会社,989-6403,宮城県,大崎市,岩出山上野目涎池20,0229-72-0101,N.A.,http://map.japanpost.jp/,その他サービス,
古川民主病院歯科,989-6115,宮城県,大崎市,古川駅東2丁目11-14,0229-23-0105,0229-24-8891,http://www.m-kousei.com/,歯科系,
かくれ家,989-6166,宮城県,大崎市,古川東町2-18,0229-24-0107,0229-24-0107,http://wa-kakureya.com/,レストラン,
カインズホーム古川店,989-6136,宮城県,大崎市,古川穂波4丁目2-7,0229-21-0111,0495-25-1001,http://www.cainz.co.jp/,総合・職別工事業,
セカンドストリート／古川東店,989-6115,宮城県,大崎市,古川駅東1丁目6-11,0229-91-0115,0229-24-3740,http://www.2ndstreet.jp/,中古品売買,
ストロベリーコーンズ古川店,989-6163,宮城県,大崎市,古川台町9-20,0229-22-0116,0229-22-0129,http://www.strawberrycones.com/,弁当・宅配,
ツルハドラッグ古川北町店／調剤,989-6171,宮城県,大崎市,古川北町2丁目88-1,0229-21-0122,0229-21-0122,http://www.tsuruha.co.jp/,薬,
スーパー銭湯極楽湯古川店,989-6135,宮城県,大崎市,古川稲葉字鴻ノ巣184-1,0229-91-0155,N.A.,http://www.gokurakuyu.ne.jp/,観光・温泉・銭湯,
株式会社菊才商店,N.A.,宮城県,大崎市,古川三日町1-6-5,0229-22-0161,0229-22-6492,http://www.kikusaishoten.com/,食料品,
日本クリーンオイル株式会社,989-6124,宮城県,大崎市,古川石森字東田66,0229-23-0168,0229-23-0192,http://nihon-cleanoil.co.jp/,製造・加工（食料品）,
株式会社フラワープロデュース／営業部,989-6115,宮城県,大崎市,古川駅東3丁目13-2,0229-21-0187,0229-22-8522,http://www.flower-pro.co.jp/,ガーデニング,
千年の宴古川駅前店,989-6162,宮城県,大崎市,古川駅前大通2丁目3-30,0229-24-0188,N.A.,http://www.monteroza.co.jp/,飲み屋,
財団法人佐藤病院,989-6143,宮城県,大崎市,古川中里1-3-18,0229-22-0207,0229-22-0514,http://www.sato-hpz.or.jp/,医院・診療所・療養所,
ヤマザワ／古川北店,989-6103,宮城県,大崎市,古川江合寿町3丁目6-2,0229-21-0211,0229-21-0212,http://yamazawa.co.jp/,コンビニ・スーパー・デパート,
つぼ八古川店,989-6117,宮城県,大崎市,古川旭3丁目8-33,0229-21-0222,N.A.,http://www.tsubohachi.co.jp/,レストラン,
株式会社仙北製材所,989-6222,宮城県,大崎市,古川若葉町2-11-46,0229-24-0222,0229-24-0224,http://senpoku-seizai.com/,製造・加工（木製品・紙・パルプ関連）,
古川調剤薬局／駅東店,989-6161,宮城県,大崎市,古川駅南1丁目10,0229-21-0230,0229-21-0231,http://www.furu-cho.co.jp/,薬,
大崎市立／古川中学校,989-6152,宮城県,大崎市,古川二ノ構7-54,0229-22-0236,0229-22-6686,http://www2.educ.osaki.miyagi.jp/,小・中・高・大学等,
株式会社フラワープロデュース／K’sflower,989-6162,宮城県,大崎市,古川駅前大通1丁目7-35,0229-24-0243,0229-24-0243,http://www.flower-pro.co.jp/,ガーデニング,
日本電産コパル電子株式会社／田尻事業所,989-4308,宮城県,大崎市,田尻沼部字新堀81-1,0229-39-0245,0229-39-2470,https://www.nidec-copal-electronics.com/,製造・加工（電子・精密機械器具）,
JR駅レンタカー古川営業所,989-6162,宮城県,大崎市,古川駅前大通1丁目7-35,0229-23-0248,0229-23-0248,http://www.ekiren.co.jp/,リース・レンタル,
有限会社平山建設,989-4415,宮城県,大崎市,田尻字薬師堂前33,0229-39-0258,0229-39-2369,http://ie-koubou.jp/,リフォーム,
