▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
グループホームかねやま,968-0006,福島県,大沼郡金山町,大字中川字沖根原1223-1,0241-53-1550,0241-53-1560,http://cosmo-m-s.co.jp/,介護・福祉,
フェアリーランドかねやまスキー場,968-0012,福島県,大沼郡金山町,大字小栗山字上村2339,0241-54-2022,0241-54-2021,http://www.aizukaneyama.co.jp/,ウィンタースポーツ,
福島県立川口高等学校,968-0011,福島県,大沼郡金山町,大字川口2434-2,0241-54-2154,0241-54-2240,https://kawaguchi-h.fcs.ed.jp/,小・中・高・大学等,
恵比寿屋・玉梨温泉,968-0014,福島県,大沼郡金山町,大字玉梨字横井戸2786-1,0241-54-2211,0241-54-2252,http://www.ebis-ya.com/,旅館・民宿,
金山町立／金山小学校,968-0011,福島県,大沼郡金山町,大字川口字馬場324,0241-54-2251,N.A.,http://www7.plala.or.jp/,小・中・高・大学等,
株式会社東邦銀行川口支店,968-0011,福島県,大沼郡金山町,大字川口字森ノ上460-9,0241-54-2326,024-522-5624,http://www.tohobank.co.jp/,金融・郵貯・貸金,
鶴亀荘,968-0016,福島県,大沼郡金山町,大字本名字上ノ坪1942,0241-54-2724,0241-42-3525,http://www.turukameso.com/,旅館・民宿,
金山町観光情報センター,968-0011,福島県,大沼郡金山町,大字川口字森ノ上508-1,0241-54-2855,0241-48-5544,http://www.ht-net21.ne.jp/,観光・温泉・銭湯,
金山町役場／自然休養村センター,968-0002,福島県,大沼郡金山町,大字大栗山字荒浜2851-6,0241-55-3140,0241-54-2117,http://www.aizukaneyama.co.jp/,市区町村機関,
渡部岱龍,968-0001,福島県,大沼郡金山町,大字水沼字沢西1000,0241-55-3319,N.A.,http://www.nihonbijutsu-club.com/,美術・工芸,
金山町社会福祉協議会,968-0006,福島県,大沼郡金山町,大字中川字沖根原1324,0241-55-3336,0241-55-3412,http://www.fukushimakenshakyo.or.jp/,組合・団体,
ヒロセ,968-0322,福島県,大沼郡金山町,大字横田字浜子1386,0241-56-4411,N.A.,http://www.hirose-net.com/,映画・放送・新聞,
株式会社ハーベス,968-0326,福島県,大沼郡金山町,大字大塩字上ノ山5298-3,0241-56-4888,N.A.,http://www.harves.co.jp/,製造・加工（化学・プラスチック）,
金山町役場,968-0011,福島県,大沼郡金山町,大字川口字谷地393,0241-54-5111,0241-54-2117,http://www.town.kaneyama.fukushima.jp/,市区町村機関,
金山町役場／総務課／総務係,968-0011,福島県,大沼郡金山町,大字川口字谷地393,0241-54-5215,0241-54-2117,http://www.town.kaneyama.fukushima.jp/,市区町村機関,
株式会社奥会津金山大自然,968-0322,福島県,大沼郡金山町,大字横田字古町682,0241-58-5661,0241-58-5662,http://www.daisizen.biz/,農業,
郵便局株式会社,968-0016,福島県,大沼郡金山町,本名沖ノ原1178,0241-54-5800,N.A.,http://map.japanpost.jp/,その他サービス,
金山町観光物産協会,968-0011,福島県,大沼郡金山町,大字川口字谷地393,0241-42-7211,0241-54-2855,http://www.ht-net21.ne.jp/,観光・温泉・銭湯,
