▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
社会福祉法人大船渡市社会福祉協議会,022-0006,岩手県,大船渡市,立根町字下欠125-12,0192-27-0001,0192-27-0800,http://www.ofunato-shakyo.com/,組合・団体,
エヴァホール大海,022-0004,岩手県,大船渡市,猪川町字下権現堂101-1,0192-25-0033,0192-26-5808,http://www.everhall-ooumi.com/,葬儀,
朋友館,022-0006,岩手県,大船渡市,立根町字下欠125-14,0192-27-0077,0192-21-1632,http://www.taiyokai.or.jp/,介護・福祉,
株式会社トヨタレンタリース岩手大船渡店,022-0003,岩手県,大船渡市,盛町字木町11-2,0192-26-0100,0192-26-0171,https://sp.echna.ne.jp/,リース・レンタル,
株式会社マイヤ／大船渡店,022-0002,岩手県,大船渡市,大船渡町字茶屋前61-4,0192-26-0101,0192-26-0167,http://www.maiya.co.jp/,コンビニ・スーパー・デパート,
大船渡警察署,022-0003,岩手県,大船渡市,盛町字下舘下14-2,0192-26-0110,0192-26-0110,http://www.pref.iwate.jp/,消防・警察,
株式会社浦嶋商店,022-0002,岩手県,大船渡市,大船渡町下平10-4,0192-27-0111,0192-26-3568,http://sanriku-urashima.com/,販売・卸（食料品）,
秋刀魚だし黒船,022-0004,岩手県,大船渡市,猪川町字藤沢口39-1,0192-26-0144,0192-26-0144,http://www.m-side.net/,ラーメン,
岩手銀河法律事務所（弁護士法人）大船渡事務所,022-0003,岩手県,大船渡市,盛町字内ノ目4-1-2F,0192-26-0240,0192-26-0241,http://gingaoofunatojimusho.seesaa.net/,士業・コンサルタント,
株式会社ジョイス大船渡店,022-0003,岩手県,大船渡市,盛町字町10-11,0192-25-0345,019-622-0470,http://www.arcs-g.co.jp/,コンビニ・スーパー・デパート,
さいとう製菓株式会社／中井工場,022-0007,岩手県,大船渡市,赤崎町字宮野5-2,0192-27-0498,0192-27-3104,http://www.saitoseika.co.jp/,製造・加工（食料品）,
イーグルショップ大船渡店,022-0004,岩手県,大船渡市,猪川町字前田2-1,0192-26-0571,0192-26-0572,http://www.goodyear.co.jp/,カー用品,
ロリアン,022-0003,岩手県,大船渡市,盛町字町11-20,0192-25-0746,N.A.,http://lorientcafe.net/,喫茶店・カフェ,
ポルコ・ロッソ（PorcoRosso）,022-0003,岩手県,大船渡市,盛町字町10-1,0192-26-0801,N.A.,http://porcorosso-web.com/,イタリアン・フレンチ,
株式会社菊池技研コンサルタント,022-0007,岩手県,大船渡市,赤崎町石橋前6-8,0192-27-0835,0192-26-3972,http://www.k-giken.co.jp/,相談・調査,
株式会社吉田測量設計,022-0002,岩手県,大船渡市,大船渡町字笹崎55-1,0192-26-0935,N.A.,http://www.ysdag.co.jp/,印刷・出版,
株式会社東海新報社,022-0002,岩手県,大船渡市,大船渡町鷹頭9-1,0192-27-1000,0192-27-2154,http://www.tohkaishimpo.com/,映画・放送・新聞,
大船渡市役所／勤労青少年ホーム,022-0003,岩手県,大船渡市,盛町字中道下1-1,0192-27-1001,0192-27-1002,http://ofutaikyou.com/,市区町村機関,
実戦空手道琢磨会,022-0004,岩手県,大船渡市,猪川町字前田11-1,0192-27-1006,N.A.,http://www17.plala.or.jp/,スポーツ,
三陸精工株式会社,022-0002,岩手県,大船渡市,大船渡町地ノ森62-14,0192-27-1011,0192-27-1012,http://www.sanrikuseiko.co.jp/,製造・加工（工作機械・一般機械器具）,
ラグジュアリーネイル,022-0002,岩手県,大船渡市,大船渡町字野々田21-2,0192-27-1038,N.A.,http://yaplog.jp/,美容・コスメ,
セコム株式会社大船渡事務所,022-0003,岩手県,大船渡市,盛町字内ノ目4-1,0192-27-1057,N.A.,https://www.secom.co.jp/,アウトソーシング,
株式会社カナモト,022-0003,岩手県,大船渡市,盛町二本枠7-5,0192-25-1070,0192-25-1088,http://www.kanamoto.co.jp/,リース・レンタル,
東京海上日動火災保険株式会社大船渡支社,022-0002,岩手県,大船渡市,大船渡町字茶屋前59-6,0192-27-1070,0192-27-1073,http://www.tokiomarine-nichido.co.jp/,証券・保険・商品先物,
株式会社ツルハツルハドラッグ大船渡店,022-0003,岩手県,大船渡市,盛町字内ノ目14-5,0192-21-1110,0192-21-1110,http://www.tsuruha.co.jp/,薬,
JTB岩手開発観光,022-0003,岩手県,大船渡市,盛町字町8-19,0192-27-1111,0192-27-2231,http://www.jtb.co.jp/,旅行業・代理店,
