▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社エイアンドティー,023-1101,岩手県,奥州市,江刺区岩谷堂字松長根63-2,0197-35-0005,N.A.,https://www.aandt.co.jp/jpn/index.htm,製造・加工（電子・精密機械器具）,
有限会社平栗,023-1131,岩手県,奥州市,江刺区愛宕字力石202番地,0197-31-0012,N.A.,http://www.hiraguri.co.jp/,製造・加工（電子・精密機械器具）,
有限会社シシド眼鏡時計店,023-1112,岩手県,奥州市,江刺区南大通り7-32,0197-35-0015,0197-35-1668,http://www.pup.waiwai-net.ne.jp/,アクセサリー,
有限会社恭立エンジニア,N.A.,岩手県,奥州市,胆沢区小山字小十文字135,0197-47-0015,0197-47-1280,http://www.kyorituengineer.com/Default.htm,建設業・工務店,
株式会社セントラル,023-0841,岩手県,奥州市,水沢区真城字北塩加羅40,0197-46-0030,0197-46-3900,http://central3939.co.jp/,製造・加工（工作機械・一般機械器具）,
JA岩手ふるさと／胆沢地域センター／営農・生活アドバイザー・米穀・畜産,023-0402,岩手県,奥州市,胆沢区小山字菅谷地131-1,0197-47-0031,0197-47-0541,http://www.jafurusato.or.jp/,組合・団体,
株式会社セントラル,023-0841,岩手県,奥州市,水沢区真城字北上野56-2,0197-46-0031,0197-46-4791,http://central3939.co.jp/,製造・加工（工作機械・一般機械器具）,
JA岩手ふるさと／本店・監査室・リスク管理室・企画管理グループ／営農経済グループ／家畜人工授精所,023-0402,岩手県,奥州市,胆沢区小山字菅谷地131-1,0197-47-0035,0197-47-0541,http://www.jafurusato.or.jp/,組合・団体,
えさしクリーンパーク,023-1101,岩手県,奥州市,江刺区岩谷堂字大沢田172-3,0197-35-0055,0197-35-7207,http://www.esashi-iwate.gr.jp/,屋内遊戯,
株式会社薬王堂／水沢慶徳店,023-0003,岩手県,奥州市,水沢区佐倉河字慶徳47-1,0197-24-0067,0197-24-0264,http://www.yakuodo.co.jp/,薬,
