▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
梅ノ郷ゴルフ倶楽部,379-0103,群馬県,安中市,中秋間198-4,027-381-0001,027-381-0003,http://www.umenosato.co.jp/,ゴルフ,
梅ノ郷ゴルフ倶楽部／予約受付,379-0103,群馬県,安中市,中秋間198-4,027-381-0002,027-381-0003,http://www.umenosato.co.jp/,ゴルフ,
いこい旅館,379-0116,群馬県,安中市,安中2丁目17-25,027-382-0050,N.A.,http://ikoi-r.ftw.jp/,旅館・民宿,
ばりきや安中店,379-0116,群馬県,安中市,安中5丁目11-25,027-387-0057,N.A.,http://www.barikiya.net/,ラーメン,
ヴィス安中店,379-0112,群馬県,安中市,岩井2420,027-388-0070,N.A.,http://www.vis-cj.net/,美容院・理容店・毛髪業,
やまと,379-0133,群馬県,安中市,原市3518,027-388-0071,027-388-0072,http://yyh-yamato.co.jp/,タクシー,
セブンイレブン／安中板鼻店,379-0111,群馬県,安中市,板鼻109-1,027-381-0072,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
有限会社山田タイル工業,379-0132,群馬県,安中市,高別当727-2,027-381-0075,027-381-0065,http://water.pluslife-annaka.co.jp/,設備工事業,
Aコープ／安中店,379-0133,群馬県,安中市,原市634,027-381-0077,027-382-0761,http://www.acoop-kanto.co.jp/,コンビニ・スーパー・デパート,
扇堂,379-0116,群馬県,安中市,安中2丁目2-35,027-381-0079,027-381-3736,http://www.tooashi.com/,お菓子・スイーツ,
すずめのお宿磯部ガーデン,379-0127,群馬県,安中市,磯部1丁目12-5,027-385-0085,027-385-0055,http://www.isobesuzume.co.jp/,旅館・民宿,
桜や作右衛門,379-0127,群馬県,安中市,磯部1丁目5-21,027-384-0088,027-384-0077,http://www.sakuemon.com/,旅館・民宿,
株式会社ユー・コーポレーション本社,379-0124,群馬県,安中市,鷺宮929-1,027-382-0101,027-382-0169,http://www.u-corp.co.jp/,印刷・出版,
群馬県警察本部／安中警察署,379-0133,群馬県,安中市,原市707-2,027-381-0110,N.A.,http://www.police.pref.gunma.jp/,消防・警察,
群馬県警察本部／安中警察署／松井田分庁舎,379-0221,群馬県,安中市,松井田町新堀1111,027-393-0110,N.A.,http://www.police.pref.gunma.jp/,消防・警察,
会計検査院安中研修所,379-0136,群馬県,安中市,嶺38-1,027-385-0111,027-385-1318,http://www.jbaudit.go.jp/,官公署,
グルノーブル美容専門学校,379-0135,群馬県,安中市,郷原315-1,027-385-0115,027-385-0116,http://gurubi.jp/,各種学校,
すかや松井田店,379-0221,群馬県,安中市,松井田町新堀1462,027-393-0133,027-393-0133,http://www.sukaya-matuida.com/,そば・うどん,
アメリカンベーカリー,379-0222,群馬県,安中市,松井田町松井田526-1,027-393-0141,027-393-0141,http://american-bakery.com/,製造・加工（食料品）,
バンビ,379-0222,群馬県,安中市,松井田町松井田614,027-393-0150,027-393-0150,https://www.bambi.jp/,洋服,
株式会社秋山商店,379-0116,群馬県,安中市,安中3-16-3,027-381-0213,027-382-6546,http://www.tooashi.com/,食料品,
安中市立／安中小学校,379-0116,群馬県,安中市,安中3丁目10-43,027-381-0215,027-382-0348,http://www.annaka.ed.jp/,小・中・高・大学等,
東和銀行／安中支店,379-0116,群馬県,安中市,安中3丁目12-16,027-381-0221,027-381-0398,http://www.towabank.co.jp/,金融・郵貯・貸金,
群馬県立安中総合学園高等学校,379-0116,群馬県,安中市,安中1丁目2-8,027-381-0227,027-382-7207,http://www.annakasogo-hs.gsn.ed.jp/,小・中・高・大学等,
碓氷川森林組合,379-0221,群馬県,安中市,松井田町新堀236-21,027-393-0234,027-393-1228,http://www.ufa.or.tv/,林業,
新島学園高等学校,379-0116,群馬県,安中市,安中3702,027-381-0240,027-381-0630,http://www.neesima.ac.jp/,小・中・高・大学等,
株式会社高原社,379-0116,群馬県,安中市,安中1-24-43,027-381-0252,N.A.,http://www.kougensha.com/,農業,
ケービックス株式会社,N.A.,群馬県,安中市,磯部1-12-5,027-384-0270,027-384-0270,https://www.kbix.co.jp/,ビルメンテナンス,
山田畳店,379-0111,群馬県,安中市,板鼻2丁目6-11,027-381-0283,027-380-5170,http://www.yamada-tatami.com/,販売・卸（建設資材）,
板鼻館,379-0111,群馬県,安中市,板鼻2丁目4-36,027-381-0305,027-381-0305,http://fas-gunma.com/,肉料理,
株式会社山賀酒店,379-0116,群馬県,安中市,安中2-4-33,027-381-0323,027-382-2708,http://www.tooashi.com/,食料品,
特別養護老人ホームセラヴィ,379-0111,群馬県,安中市,板鼻1丁目5-15,027-381-0326,027-382-3872,http://www.greentope.jp/,介護・福祉,
