▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
共和水産株式会社,027-0053,岩手県,宮古市,長町2-3-1,0193-64-0036,0193-63-6686,http://www.kyowa-suisan.co.jp/,製造・加工（食料品）,
郵便局株式会社,027-0096,岩手県,宮古市,崎鍬ヶ崎11-40-9,0193-64-0051,N.A.,http://map.japanpost.jp/,その他サービス,
異人館,027-0032,岩手県,宮古市,高浜1丁目1-10,0193-63-0065,N.A.,http://ijinkan0065.at.webry.info/,喫茶店・カフェ,
ファミリーマート宮古そけい店,027-0025,岩手県,宮古市,実田2丁目2-8,0193-62-0066,0193-62-0066,http://www.family.co.jp/,コンビニ・スーパー・デパート,
岩手県北バス／ビームワン専用,027-0083,岩手県,宮古市,大通4丁目5-3,0193-64-0069,019-641-7700,http://www.iwate-kenpokubus.co.jp/,交通機関,
宮古警察署,027-0028,岩手県,宮古市,神林3-1,0193-64-0110,0193-64-0110,http://www.pref.iwate.jp/,消防・警察,
宮古消防署火災情報案内,027-0072,岩手県,宮古市,五月町2-1,0193-64-0119,N.A.,http://www.fire.miyako.iwate.jp/,情報提供サービス,
株式会社宮古自動車学校,027-0038,岩手県,宮古市,小山田4-1-15,0193-64-0300,0193-62-2644,http://www.miyako-ds.co.jp/,各種学校,
株式会社岩手開発測量設計,N.A.,岩手県,宮古市,西ヶ丘三丁目3-3,0193-65-0303,0193-65-0304,http://www.iwakai.co.jp/,印刷・出版,
さくら薬局,027-0074,岩手県,宮古市,保久田8-11-2,0193-65-0377,N.A.,http://www.e-classa.net/,薬,
三八五引越センター,027-0031,岩手県,宮古市,八木沢1丁目3-7,0193-62-0385,0178-27-0429,http://www.0385.co.jp/,運送・貨物・倉庫,
小百合幼稚園,027-0052,岩手県,宮古市,宮町1丁目2-14,0193-64-0388,0193-64-3898,http://www.tohoku-catholic.ac.jp/,幼稚園・保育施設,
